['Time, Count, opp-conj: 0, sqr-tri-sext: 0, major: 0, minor: 0, moon-opp-conj: 0, moon-sqr-tri-sext: 0, empty: 20']
['11:44:40, 14, opp-conj: 1, sqr-tri-sext: 13, major: 14, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 6, empty: 10']
['10:51:04, 11, opp-conj: 1, sqr-tri-sext: 10, major: 11, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 4, empty: 14']
['11:44:47, 14, opp-conj: 1, sqr-tri-sext: 13, major: 14, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 6, empty: 10']
['10:51:12, 11, opp-conj: 1, sqr-tri-sext: 10, major: 11, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 4, empty: 14']
['10:50:54, 13, opp-conj: 1, sqr-tri-sext: 12, major: 13, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 4, empty: 13']
['11:26:15, 17, opp-conj: 2, sqr-tri-sext: 15, major: 17, minor: 0, moon-opp-conj: 2, moon-sqr-tri-sext: 3, empty: 8']
['10:51:28, 14, opp-conj: 1, sqr-tri-sext: 13, major: 14, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 5, empty: 12']
['00:30:46, 18, opp-conj: 4, sqr-tri-sext: 14, major: 18, minor: 0, moon-opp-conj: 2, moon-sqr-tri-sext: 5, empty: 11']
['18:30:08, 25, opp-conj: 18, sqr-tri-sext: 7, major: 25, minor: 0, moon-opp-conj: 5, moon-sqr-tri-sext: 6, empty: 8']
['22:56:46, 11, opp-conj: 3, sqr-tri-sext: 8, major: 11, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 2, empty: 13']
['08:51:28, 17, opp-conj: 5, sqr-tri-sext: 12, major: 17, minor: 0, moon-opp-conj: 2, moon-sqr-tri-sext: 5, empty: 10']
['23:02:30, 21, opp-conj: 6, sqr-tri-sext: 15, major: 21, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 3, empty: 9']
['15:00:22, 10, opp-conj: 5, sqr-tri-sext: 5, major: 10, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 2, empty: 13']
['17:14:15, 30, opp-conj: 8, sqr-tri-sext: 22, major: 30, minor: 0, moon-opp-conj: 6, moon-sqr-tri-sext: 13, empty: 5']
['15:00:14, 10, opp-conj: 6, sqr-tri-sext: 4, major: 10, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 2, empty: 14']
['22:56:56, 13, opp-conj: 3, sqr-tri-sext: 10, major: 13, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 2, empty: 13']
['18:29:44, 18, opp-conj: 12, sqr-tri-sext: 6, major: 18, minor: 0, moon-opp-conj: 5, moon-sqr-tri-sext: 6, empty: 9']
['08:51:36, 15, opp-conj: 6, sqr-tri-sext: 9, major: 15, minor: 0, moon-opp-conj: 2, moon-sqr-tri-sext: 4, empty: 10']
['11:26:30, 15, opp-conj: 2, sqr-tri-sext: 13, major: 15, minor: 0, moon-opp-conj: 2, moon-sqr-tri-sext: 3, empty: 10']
['11:45:36, 11, opp-conj: 2, sqr-tri-sext: 9, major: 11, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 5, empty: 11']
['11:45:44, 13, opp-conj: 2, sqr-tri-sext: 11, major: 13, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 5, empty: 9']
['23:19:36, 14, opp-conj: 1, sqr-tri-sext: 13, major: 14, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 4, empty: 10']
['21:41:12, 21, opp-conj: 4, sqr-tri-sext: 17, major: 21, minor: 0, moon-opp-conj: 2, moon-sqr-tri-sext: 7, empty: 6']
['05:32:56, 16, opp-conj: 1, sqr-tri-sext: 15, major: 16, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 5, empty: 11']
['13:32:46, 16, opp-conj: 2, sqr-tri-sext: 14, major: 16, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 2, empty: 9']
['21:41:20, 23, opp-conj: 6, sqr-tri-sext: 17, major: 23, minor: 0, moon-opp-conj: 2, moon-sqr-tri-sext: 7, empty: 6']
['10:51:20, 12, opp-conj: 1, sqr-tri-sext: 11, major: 12, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 4, empty: 14']
['11:45:28, 14, opp-conj: 2, sqr-tri-sext: 12, major: 14, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 5, empty: 10']
['08:51:44, 14, opp-conj: 6, sqr-tri-sext: 8, major: 14, minor: 0, moon-opp-conj: 2, moon-sqr-tri-sext: 4, empty: 10']
['18:20:00, 22, opp-conj: 10, sqr-tri-sext: 12, major: 22, minor: 0, moon-opp-conj: 6, moon-sqr-tri-sext: 10, empty: 11']
['20:04:22, 10, opp-conj: 1, sqr-tri-sext: 9, major: 10, minor: 0, moon-opp-conj: 1, moon-sqr-tri-sext: 3, empty: 13']
