['Time', '0: 1949-08-15', '1: 1952-01-21', '2: 1953-04-18', '3: 1953-06-25', '4: 1953-09-12', '5: 1956-08-23', '6: 1957-08-03', '7: 1957-11-27', '8: 1958-11-04', '9: 1960-11-25', '10: 1963-08-07', '11: 1963-08-09', '12: 1963-11-22', '13: 1964-06-15', '14: 1957-11-15', '15: 1968-03-15', '16: 1968-06-05', '17: 1968-10-20', '18: 1975-03-15', '19: 1994-05-20', 'Count']
['11:44:40', "(H10,51.846,(r)) (Moon,292.059,(p)) (trine,13')", "(Jupiter,65.149,(c)) (H5,245.131,(c)) (opposition,1')", "(Mean_Node,47.226,(r)) (H5,287.371,(p)) (trine,9')", "(H7,328.011,(r)) (Sun,147.828,(p)) (opposition,11')\n(Mean_Node,45.960,(p)) (H7,345.908,(p)) (sextile,3')", "(H7,328.011,(r)) (Sun,148.037,(p)) (opposition,2')\n(Mean_Node,45.948,(p)) (H7,346.066,(p)) (sextile,7')", "(Pluto,108.371,(r)) (H1,168.212,(p)) (sextile,10')", "(Mean_Node,47.226,(r)) (H10,77.097,(p)) (30-semisextile,8')\n(Pluto,109.017,(p)) (H1,168.898,(p)) (sextile,7')\n(Sun,124.890,(r)) (H12,95.045,(c)) (30-semisextile,9')\n(Saturn,266.382,(c)) (H8,326.329,(c)) (sextile,3')", "(Mean_Node,47.226,(r)) (H4,257.367,(p)) (150-quincunx,8')", "(Sun,124.890,(r)) (H1,169.807,(p)) (45-semisquare,5')\n(H3,198.744,(r)) (Moon,49.248,(p)) (150-quincunx,30')\n(Sun,124.890,(r)) (H1,124.829,(c)) (conjunction,4')\n(Venus,81.463,(r)) (H10,21.391,(c)) (sextile,4')\n(H3,198.744,(r)) (Jupiter,63.710,(c)) (135-sesquisquare,2')\n(H10,51.846,(r)) (Sun,96.962,(c)) (45-semisquare,7')\n(Venus,51.304,(c)) (H10,21.391,(c)) (30-semisextile,5')", "(Sun,124.890,(r)) (H4,259.899,(p)) (135-sesquisquare,1')\n(Mars,145.678,(c)) (H5,235.731,(c)) (square,3')\n(Jupiter,63.264,(c)) (H1,123.148,(c)) (sextile,7')", '10', "(H5,266.884,(r)) (Saturn,266.819,(c)) (conjunction,4')", "(H5,266.884,(r)) (Saturn,266.840,(c)) (conjunction,3')\n(Neptune,149.129,(c)) (H12,89.103,(c)) (sextile,2')", "(H10,51.846,(r)) (Mars,186.724,(p)) (135-sesquisquare,7')\n(Saturn,263.902,(p)) (H1,173.857,(p)) (square,3')\n(Mars,164.651,(r)) (H9,344.484,(c)) (opposition,10')\n(Neptune,150.130,(r)) (H1,120.229,(c)) (30-semisextile,6')\n(Neptune,150.130,(r)) (H10,15.140,(c)) (135-sesquisquare,1')", "(Jupiter,73.812,(p)) (H9,43.945,(p)) (30-semisextile,8')", "(Mercury,187.711,(p)) (H9,52.536,(p)) (135-sesquisquare,11')\n(Uranus,11.080,(c)) (H10,10.927,(c)) (conjunction,9')", "(Saturn,264.666,(r)) (H12,84.707,(c)) (opposition,2')", "(Jupiter,74.984,(p)) (H5,300.072,(p)) (135-sesquisquare,5')", "(Neptune,151.787,(p)) (H4,271.782,(p)) (trine,0')\n(Saturn,264.666,(r)) (H5,219.507,(c)) (45-semisquare,10')\n(Sun,81.354,(c)) (H7,291.275,(c)) (150-quincunx,5')", "(Neptune,150.130,(r)) (H1,195.182,(p)) (45-semisquare,3')", 40]
['10:51:04', "(Mercury,121.729,(r)) (H1,121.735,(c)) (conjunction,0')", "(Mars,164.628,(r)) (H7,299.754,(c)) (135-sesquisquare,8')\n(Mars,164.628,(r)) (H10,14.493,(c)) (150-quincunx,8')", '2', '3', '4', "(H8,339.137,(r)) (Sun,99.022,(c)) (trine,7')", "(Mean_Node,47.228,(r)) (H8,2.219,(p)) (45-semisquare,1')\n(Mars,182.277,(p)) (H8,2.219,(p)) (opposition,3')\n(Sun,98.122,(c)) (H10,8.304,(c)) (square,11')", "(Venus,113.373,(p)) (H1,158.530,(p)) (45-semisquare,9')", "(Sun,96.926,(c)) (H10,6.892,(c)) (square,2')", "(H5,254.201,(r)) (Jupiter,74.163,(p)) (opposition,2')", "(Jupiter,69.514,(r)) (H4,249.694,(p)) (opposition,11')\n(H1,137.520,(r)) (Sun,92.392,(c)) (45-semisquare,8')", "(Mean_Node,45.426,(p)) (H12,135.267,(p)) (square,9')\n(Saturn,264.668,(r)) (H8,309.650,(c)) (45-semisquare,1')\n(H7,317.520,(r)) (Pluto,107.490,(c)) (150-quincunx,2')", "(Mean_Node,45.410,(p)) (H12,135.488,(p)) (square,5')\n(H7,317.520,(r)) (Pluto,107.482,(c)) (150-quincunx,2')", "(Uranus,10.586,(p)) (H10,70.423,(p)) (sextile,10')\n(Mercury,121.729,(r)) (H9,331.670,(c)) (150-quincunx,4')", "(H9,5.799,(r)) (Moon,35.657,(p)) (30-semisextile,8')\n(H10,38.365,(r)) (Mercury,173.511,(p)) (135-sesquisquare,9')\n(Moon,7.705,(c)) (H9,338.156,(c)) (30-semisextile,27')\n(Moon,7.705,(c)) (H10,7.984,(c)) (conjunction,17')", "(H1,137.520,(r)) (Moon,182.992,(p)) (45-semisquare,28')", '16', "(Jupiter,61.514,(c)) (H5,211.680,(c)) (150-quincunx,10')", "(Saturn,264.053,(p)) (H12,144.150,(p)) (trine,6')\n(Pluto,109.328,(p)) (H4,259.436,(p)) (150-quincunx,6')\n(Mars,164.628,(r)) (H8,299.481,(c)) (135-sesquisquare,9')\n(Pluto,108.370,(r)) (H4,168.401,(c)) (sextile,2')", "(H12,108.117,(r)) (Sun,62.945,(c)) (45-semisquare,10')", 30]
['11:44:47', "(H10,51.875,(r)) (Moon,292.060,(p)) (trine,11')\n(Mercury,160.432,(p)) (H10,70.262,(p)) (square,10')", "(Jupiter,65.149,(c)) (H5,245.160,(c)) (opposition,1')", "(Mean_Node,47.226,(r)) (H5,287.397,(p)) (trine,10')\n(Mean_Node,45.969,(p)) (H7,345.795,(p)) (sextile,10')\n(Jupiter,69.521,(r)) (H7,309.352,(c)) (trine,10')", "(Mean_Node,45.960,(p)) (H7,345.931,(p)) (sextile,2')", "(H7,328.033,(r)) (Sun,148.037,(p)) (opposition,0')\n(Mean_Node,45.948,(p)) (H7,346.089,(p)) (sextile,8')", "(Pluto,108.371,(r)) (H1,168.235,(p)) (sextile,8')", "(Mean_Node,47.226,(r)) (H10,77.124,(p)) (30-semisextile,6')\n(Pluto,109.017,(p)) (H1,168.921,(p)) (sextile,6')\n(Sun,124.890,(r)) (H12,95.071,(c)) (30-semisextile,11')\n(Saturn,266.382,(c)) (H8,326.354,(c)) (sextile,2')", "(Mean_Node,47.226,(r)) (H4,257.394,(p)) (150-quincunx,10')", "(Sun,124.890,(r)) (H1,169.830,(p)) (45-semisquare,4')\n(H3,198.772,(r)) (Moon,49.250,(p)) (150-quincunx,29')\n(Sun,124.890,(r)) (H1,124.852,(c)) (conjunction,2')\n(Venus,81.463,(r)) (H10,21.422,(c)) (sextile,2')\n(H3,198.772,(r)) (Jupiter,63.710,(c)) (135-sesquisquare,4')\n(H10,51.875,(r)) (Sun,96.962,(c)) (45-semisquare,5')\n(Venus,51.304,(c)) (H10,21.422,(c)) (30-semisextile,7')", "(Sun,124.890,(r)) (H4,259.926,(p)) (135-sesquisquare,2')\n(Mars,145.678,(c)) (H5,235.762,(c)) (square,5')\n(Jupiter,63.264,(c)) (H1,123.171,(c)) (sextile,6')", '10', "(H5,266.911,(r)) (Saturn,266.819,(c)) (conjunction,6')", "(H5,266.911,(r)) (Saturn,266.840,(c)) (conjunction,4')\n(Neptune,149.129,(c)) (H12,89.130,(c)) (sextile,0')", "(H10,51.875,(r)) (Mars,186.724,(p)) (135-sesquisquare,9')\n(Saturn,263.902,(p)) (H1,173.880,(p)) (square,1')\n(Mars,164.651,(r)) (H9,344.512,(c)) (opposition,8')\n(Neptune,150.130,(r)) (H1,120.252,(c)) (30-semisextile,7')\n(Neptune,150.130,(r)) (H10,15.172,(c)) (135-sesquisquare,2')", "(Jupiter,73.812,(p)) (H9,43.972,(p)) (30-semisextile,10')", "(Mercury,187.711,(p)) (H9,52.562,(p)) (135-sesquisquare,9')\n(Uranus,11.080,(c)) (H10,10.959,(c)) (conjunction,7')", "(Saturn,264.666,(r)) (H12,84.735,(c)) (opposition,4')", "(Jupiter,74.984,(p)) (H5,300.099,(p)) (135-sesquisquare,7')", "(Neptune,151.787,(p)) (H4,271.809,(p)) (trine,1')\n(Saturn,264.666,(r)) (H5,219.540,(c)) (45-semisquare,8')\n(Sun,81.354,(c)) (H7,291.299,(c)) (150-quincunx,3')", "(Neptune,150.130,(r)) (H1,195.205,(p)) (45-semisquare,5')", 42]
['10:51:12', "(Mercury,121.730,(r)) (H1,121.761,(c)) (conjunction,2')", "(Mars,164.628,(r)) (H7,299.780,(c)) (135-sesquisquare,9')\n(Mars,164.628,(r)) (H10,14.529,(c)) (150-quincunx,6')", '2', '3', '4', "(H8,339.166,(r)) (Sun,99.023,(c)) (trine,9')", "(Mean_Node,47.228,(r)) (H8,2.248,(p)) (45-semisquare,1')\n(Mars,182.277,(p)) (H8,2.248,(p)) (opposition,2')", '7', "(Sun,96.926,(c)) (H10,6.929,(c)) (square,0')", "(H5,254.233,(r)) (Jupiter,74.163,(p)) (opposition,4')", "(H1,137.546,(r)) (Sun,92.392,(c)) (45-semisquare,9')", "(Mean_Node,45.426,(p)) (H12,135.295,(p)) (square,8')\n(Saturn,264.668,(r)) (H8,309.678,(c)) (45-semisquare,1')", "(Mean_Node,45.410,(p)) (H12,135.516,(p)) (square,6')", "(Uranus,10.586,(p)) (H10,70.455,(p)) (sextile,8')\n(Mercury,121.730,(r)) (H9,331.701,(c)) (150-quincunx,2')", "(H9,5.831,(r)) (Moon,35.659,(p)) (30-semisextile,10')\n(H10,38.400,(r)) (Mercury,173.511,(p)) (135-sesquisquare,7')\n(Moon,7.707,(c)) (H9,338.188,(c)) (30-semisextile,29')\n(Moon,7.707,(c)) (H10,8.020,(c)) (conjunction,19')", "(H1,137.546,(r)) (Moon,182.994,(p)) (45-semisquare,27')", '16', '17', "(Saturn,264.053,(p)) (H12,144.178,(p)) (trine,7')\n(Pluto,109.328,(p)) (H4,259.467,(p)) (150-quincunx,8')\n(Mars,164.628,(r)) (H8,299.509,(c)) (135-sesquisquare,7')\n(Pluto,108.370,(r)) (H4,168.437,(c)) (sextile,4')", '19', 23]
['10:50:54', "(Mercury,121.729,(r)) (H1,121.705,(c)) (conjunction,1')\n(H9,5.762,(r)) (Jupiter,65.646,(c)) (sextile,7')", "(Mars,164.628,(r)) (H7,299.724,(c)) (135-sesquisquare,6')\n(Mars,164.628,(r)) (H10,14.453,(c)) (150-quincunx,11')", '2', '3', '4', "(H8,339.105,(r)) (Sun,99.022,(c)) (trine,5')", "(Mean_Node,47.228,(r)) (H8,2.186,(p)) (45-semisquare,2')\n(Mars,182.276,(p)) (H8,2.186,(p)) (opposition,5')\n(Sun,98.122,(c)) (H10,8.264,(c)) (square,9')", "(Venus,113.372,(p)) (H1,158.501,(p)) (45-semisquare,8')", "(Sun,96.926,(c)) (H10,6.852,(c)) (square,4')", "(H5,254.164,(r)) (Jupiter,74.163,(p)) (opposition,0')", "(Jupiter,69.514,(r)) (H4,249.658,(p)) (opposition,9')\n(H1,137.490,(r)) (Sun,92.392,(c)) (45-semisquare,6')", "(Saturn,264.668,(r)) (H8,309.618,(c)) (45-semisquare,3')\n(H7,317.490,(r)) (Pluto,107.490,(c)) (150-quincunx,0')", "(Mean_Node,45.410,(p)) (H12,135.456,(p)) (square,3')\n(H7,317.490,(r)) (Pluto,107.482,(c)) (150-quincunx,0')", "(Mercury,121.729,(r)) (H9,331.634,(c)) (150-quincunx,6')\n(H1,137.490,(r)) (Pluto,107.468,(c)) (30-semisextile,1')", "(H9,5.762,(r)) (Moon,35.656,(p)) (30-semisextile,6')\n(Moon,7.704,(c)) (H9,338.120,(c)) (30-semisextile,25')\n(Moon,7.704,(c)) (H10,7.943,(c)) (conjunction,14')", "(H1,137.490,(r)) (Moon,182.991,(p)) (45-semisquare,30')", '16', "(Jupiter,61.514,(c)) (H5,211.636,(c)) (150-quincunx,7')", "(Saturn,264.053,(p)) (H12,144.118,(p)) (trine,4')\n(Pluto,109.328,(p)) (H4,259.401,(p)) (150-quincunx,4')\n(Mars,164.628,(r)) (H8,299.449,(c)) (135-sesquisquare,11')\n(Pluto,108.370,(r)) (H4,168.360,(c)) (sextile,1')", "(H12,108.085,(r)) (Sun,62.945,(c)) (45-semisquare,8')", 29]
['11:26:15', "(Jupiter,69.518,(r)) (H1,159.441,(p)) (square,5')", '1', "(Jupiter,73.231,(p)) (H5,283.230,(p)) (150-quincunx,0')", "(Jupiter,73.255,(p)) (H5,283.384,(p)) (150-quincunx,8')", "(Jupiter,69.518,(r)) (H10,69.456,(p)) (conjunction,4')", "(Mean_Node,47.226,(r)) (H12,137.347,(p)) (square,7')", "(H10,47.275,(r)) (Mars,182.292,(p)) (135-sesquisquare,1')", '7', "(H1,144.402,(r)) (Venus,114.488,(p)) (30-semisextile,5')\n(Jupiter,73.927,(p)) (H10,73.879,(p)) (conjunction,3')\n(Mercury,76.288,(c)) (H1,121.187,(c)) (45-semisquare,6')\n(Mercury,76.288,(c)) (H10,16.442,(c)) (sextile,9')", "(Mean_Node,45.567,(p)) (H4,255.628,(p)) (150-quincunx,4')\n(Mars,164.644,(r)) (H1,119.494,(c)) (45-semisquare,9')", "(H4,227.275,(r)) (Sun,92.415,(c)) (135-sesquisquare,8')", "(Mars,164.644,(r)) (H8,14.670,(p)) (150-quincunx,2')\n(Mean_Node,47.226,(r)) (H8,317.103,(c)) (square,7')", "(Sun,124.878,(r)) (H7,349.798,(p)) (135-sesquisquare,5')\n(Saturn,264.667,(r)) (H12,84.800,(c)) (opposition,8')\n(H4,227.275,(r)) (Sun,92.136,(c)) (135-sesquisquare,8')\n(Saturn,266.841,(c)) (H7,297.021,(c)) (30-semisextile,11')\n(Pluto,107.483,(c)) (H5,227.452,(c)) (trine,2')", '13', "(Jupiter,69.518,(r)) (H9,39.682,(p)) (30-semisextile,10')\n(Mercury,121.781,(r)) (H9,346.613,(c)) (135-sesquisquare,10')\n(Mercury,76.923,(c)) (H1,121.981,(c)) (45-semisquare,3')", "(Moon,21.711,(r)) (H10,81.755,(p)) (sextile,3')\n(Moon,183.329,(p)) (H9,48.332,(p)) (135-sesquisquare,0')", "(Pluto,108.370,(r)) (H8,18.457,(p)) (square,5')\n(Sun,87.809,(c)) (H8,312.863,(c)) (135-sesquisquare,3')", "(H7,324.402,(r)) (Mars,189.538,(p)) (135-sesquisquare,8')", "(Neptune,151.787,(p)) (H12,151.684,(p)) (conjunction,6')\n(H4,227.275,(r)) (Mars,137.292,(c)) (square,1')", "(H8,346.775,(r)) (Pluto,106.784,(c)) (trine,1')", 31]
['10:51:28', "(Mercury,121.730,(r)) (H1,121.814,(c)) (conjunction,5')", "(Mars,164.629,(r)) (H10,14.601,(c)) (150-quincunx,2')", '2', '3', '4', '5', "(Mean_Node,47.228,(r)) (H8,2.306,(p)) (45-semisquare,5')\n(Mars,182.277,(p)) (H8,2.306,(p)) (opposition,2')\n(H1,137.598,(r)) (Pluto,107.644,(c)) (30-semisextile,3')", '7', "(Venus,114.460,(p)) (H1,159.284,(p)) (45-semisquare,11')\n(Sun,96.926,(c)) (H10,7.002,(c)) (square,5')", "(Sun,124.855,(r)) (H4,184.678,(c)) (sextile,11')", '10', "(Mean_Node,45.426,(p)) (H12,135.352,(p)) (square,4')\n(Saturn,264.668,(r)) (H8,309.735,(c)) (45-semisquare,4')", "(Mean_Node,45.410,(p)) (H12,135.573,(p)) (square,10')", "(Uranus,10.586,(p)) (H10,70.517,(p)) (sextile,4')\n(Mercury,121.730,(r)) (H9,331.765,(c)) (150-quincunx,2')", "(H9,5.896,(r)) (Moon,35.661,(p)) (30-semisextile,14')\n(H10,38.468,(r)) (Mercury,173.511,(p)) (135-sesquisquare,3')\n(Moon,7.709,(c)) (H10,8.093,(c)) (conjunction,23')", "(H1,137.598,(r)) (Moon,182.996,(p)) (45-semisquare,24')\n(Uranus,10.462,(p)) (H9,40.313,(p)) (30-semisextile,9')", "(Pluto,109.219,(p)) (H12,139.053,(p)) (30-semisextile,10')", '17', "(Saturn,264.053,(p)) (H12,144.235,(p)) (trine,11')\n(Mars,164.629,(r)) (H8,299.565,(c)) (135-sesquisquare,4')\n(Pluto,108.370,(r)) (H4,168.509,(c)) (sextile,8')", '19', 22]
['00:30:46', "(H1,312.661,(r)) (Jupiter,72.667,(p)) (trine,0')", "(Mean_Node,46.060,(p)) (H7,166.086,(p)) (trine,2')", '2', '3', '4', "(H12,285.306,(r)) (Sun,150.426,(p)) (135-sesquisquare,7')", "(Sun,124.443,(r)) (H10,214.371,(c)) (square,4')\n(Mean_Node,48.734,(c)) (H12,258.907,(c)) (150-quincunx,10')", "(Jupiter,69.437,(r)) (H1,279.262,(c)) (150-quincunx,10')", "(H1,312.661,(r)) (Moon,42.915,(p)) (square,15')\n(H10,242.562,(r)) (Sun,152.546,(p)) (square,1')\n(Moon,42.915,(p)) (H10,268.375,(p)) (135-sesquisquare,28')", "(Mars,145.400,(c)) (H5,55.284,(c)) (square,7')", "(Sun,124.443,(r)) (H1,4.483,(p)) (trine,2')\n(Mean_Node,47.250,(r)) (H4,92.358,(p)) (45-semisquare,6')\n(H4,62.562,(r)) (Jupiter,62.572,(c)) (conjunction,1')\n(H5,83.895,(r)) (Mars,143.807,(c)) (sextile,5')", "(Mean_Node,47.250,(r)) (H4,92.363,(p)) (45-semisquare,7')\n(H5,83.895,(r)) (Saturn,263.896,(p)) (opposition,0')\n(H5,83.895,(r)) (Mars,143.804,(c)) (sextile,5')", "(H5,83.895,(r)) (Saturn,263.897,(p)) (opposition,0')", "(Saturn,266.916,(c)) (H10,206.923,(c)) (sextile,0')", "(Jupiter,69.437,(r)) (H1,279.296,(c)) (150-quincunx,8')\n(H10,242.562,(r)) (Moon,2.087,(c)) (trine,29')\n(Moon,2.087,(c)) (H9,182.258,(c)) (opposition,10')", "(Jupiter,74.883,(p)) (H9,254.931,(p)) (opposition,3')", "(Neptune,149.020,(c)) (H1,268.898,(c)) (trine,7')", '17', "(Mars,164.362,(r)) (H8,119.334,(c)) (45-semisquare,2')\n(Neptune,150.114,(r)) (H4,15.005,(c)) (135-sesquisquare,7')\n(Pluto,108.359,(r)) (H12,243.187,(c)) (135-sesquisquare,10')\n(H7,132.661,(r)) (Saturn,267.708,(c)) (135-sesquisquare,3')", "(Pluto,108.359,(r)) (H1,48.409,(p)) (sextile,3')\n(H10,242.562,(r)) (Sun,62.530,(c)) (opposition,2')\n(Pluto,106.775,(c)) (H12,226.602,(c)) (trine,10')", 31]
['18:30:08', "(Jupiter,72.772,(p)) (H9,132.712,(p)) (sextile,4')\n(Mercury,122.402,(r)) (H1,212.273,(c)) (square,8')", "(H5,1.036,(r)) (Mean_Node,46.020,(p)) (45-semisquare,1')\n(H10,148.931,(r)) (Mars,178.944,(p)) (30-semisextile,1')\n(H5,1.036,(r)) (Mars,151.121,(c)) (150-quincunx,5')", "(Jupiter,64.949,(c)) (H10,124.814,(c)) (sextile,8')", '3', '4', "(Saturn,264.653,(r)) (H8,54.643,(c)) (150-quincunx,1')", "(Mean_Node,47.211,(r)) (H12,182.376,(c)) (135-sesquisquare,10')", "(Moon,25.605,(r)) (H1,205.583,(c)) (opposition,1')", "(H3,292.717,(r)) (Moon,53.085,(p)) (trine,22')\n(Venus,114.829,(p)) (H1,249.971,(p)) (135-sesquisquare,9')\n(H10,148.931,(r)) (Moon,359.280,(c)) (150-quincunx,21')\n(Moon,359.280,(c)) (H10,119.275,(c)) (trine,0')", "(Mean_Node,45.552,(p)) (H4,0.692,(p)) (45-semisquare,8')", "(Jupiter,69.571,(r)) (H4,294.572,(c)) (135-sesquisquare,0')", "(Saturn,264.653,(r)) (H4,294.567,(c)) (30-semisextile,5')\n(Pluto,108.378,(r)) (H8,48.555,(c)) (sextile,11')\n(Saturn,266.798,(c)) (H12,176.937,(c)) (square,8')", "(Pluto,108.378,(r)) (H8,108.209,(p)) (conjunction,10')\n(Pluto,108.378,(r)) (H8,48.303,(c)) (sextile,4')\n(H12,206.940,(r)) (Saturn,266.819,(c)) (sextile,7')\n(Saturn,266.819,(c)) (H12,176.677,(c)) (square,9')", "(Saturn,264.653,(r)) (H12,234.782,(p)) (30-semisextile,8')\n(H12,206.940,(r)) (Saturn,266.860,(c)) (sextile,5')\n(Mars,143.745,(c)) (H10,113.730,(c)) (30-semisextile,1')", "(Moon,25.605,(r)) (H1,205.609,(c)) (opposition,0')\n(Moon,25.605,(r)) (H9,85.655,(c)) (sextile,3')", "(Mercury,188.056,(p)) (H10,187.908,(p)) (conjunction,9')", "(Mean_Node,47.211,(r)) (H1,257.197,(p)) (150-quincunx,1')", "(Jupiter,61.586,(c)) (H7,16.679,(c)) (45-semisquare,6')", "(Mars,164.826,(r)) (H4,14.732,(p)) (150-quincunx,6')\n(H4,328.931,(r)) (Mars,193.913,(p)) (135-sesquisquare,1')\n(Mean_Node,44.794,(p)) (H4,14.732,(p)) (30-semisextile,4')\n(H4,328.931,(r)) (Neptune,148.903,(c)) (opposition,2')", "(Pluto,109.553,(p)) (H8,139.506,(p)) (30-semisextile,3')\n(H10,148.931,(r)) (Saturn,268.974,(c)) (trine,3')", 36]
['22:56:46', "(H10,219.327,(r)) (Mercury,84.481,(c)) (135-sesquisquare,9')", "(Mars,150.630,(c)) (H10,195.480,(c)) (45-semisquare,9')", '2', '3', "(H7,104.495,(r)) (Mars,149.647,(c)) (45-semisquare,9')", "(Mean_Node,45.820,(p)) (H1,315.674,(p)) (square,9')\n(Saturn,264.692,(r)) (H8,114.655,(c)) (150-quincunx,2')", "(Pluto,108.357,(r)) (H12,288.375,(p)) (opposition,1')\n(Mars,181.959,(p)) (H1,316.909,(p)) (135-sesquisquare,3')\n(H8,147.467,(r)) (Mars,147.326,(c)) (conjunction,8')", "(Mean_Node,47.254,(r)) (H1,317.326,(p)) (square,4')", "(H10,219.327,(r)) (Mercury,174.218,(p)) (45-semisquare,7')\n(Moon,42.036,(p)) (H3,41.645,(p)) (conjunction,23')", '9', "(H1,284.495,(r)) (Jupiter,74.408,(p)) (150-quincunx,5')\n(Jupiter,62.558,(c)) (H4,2.510,(c)) (sextile,3')", "(Mean_Node,47.254,(r)) (H8,107.129,(c)) (sextile,8')", "(Mean_Node,47.254,(r)) (H4,2.178,(c)) (45-semisquare,5')", "(Uranus,11.336,(r)) (H1,326.219,(p)) (45-semisquare,7')\n(Uranus,11.336,(r)) (H10,251.339,(p)) (trine,0')\n(Mercury,182.179,(p)) (H9,227.322,(p)) (45-semisquare,9')\n(H12,263.163,(r)) (Mars,143.264,(c)) (trine,6')", "(Uranus,10.800,(p)) (H9,220.644,(p)) (150-quincunx,9')", '15', "(Pluto,109.211,(p)) (H8,199.259,(p)) (square,3')\n(H8,147.467,(r)) (Sun,87.311,(c)) (sextile,9')\n(Saturn,267.213,(c)) (H10,177.038,(c)) (square,11')\n(Mean_Node,49.311,(c)) (H12,229.227,(c)) (opposition,5')", "(H10,219.327,(r)) (Mars,189.201,(p)) (30-semisextile,8')\n(Jupiter,74.934,(p)) (H10,255.010,(p)) (opposition,5')\n(Mean_Node,45.176,(p)) (H10,255.010,(p)) (150-quincunx,10')", "(Sun,124.380,(r)) (H4,349.389,(c)) (135-sesquisquare,1')\n(Mean_Node,49.670,(c)) (H5,19.532,(c)) (30-semisextile,8')", '19', 29]
