['Time', '0: 1949-08-15', '1: 1952-01-21', '2: 1953-04-18', '3: 1953-06-25', '4: 1953-09-12', '5: 1956-08-23', '6: 1957-08-03', '7: 1957-11-27', '8: 1958-11-04', '9: 1960-11-25', '10: 1963-08-07', '11: 1963-08-09', '12: 1963-11-22', '13: 1964-06-15', '14: 1957-11-15', '15: 1968-03-15', '16: 1968-06-05', '17: 1968-10-20', '18: 1975-03-15', '19: 1994-05-20', 'Count']
['11:44:40', '0', "(H7,328.011,(r)) (Mars,238.294,(c)) (square,17')", "(H7,328.011,(r)) (Sun,28.152,(p)) (sextile,8')\n(H10,51.846,(r)) (Mars,51.027,(p)) (conjunction,49')\n(H10,51.846,(r)) (Mars,291.264,(c)) (trine,35')", '3', "(H7,328.011,(r)) (Mars,148.577,(p)) (opposition,34')\n(H10,51.846,(r)) (Jupiter,52.234,(c)) (conjunction,23')", "(H1,148.011,(r)) (Neptune,208.180,(p)) (sextile,10')\n(H1,148.011,(r)) (Pluto,148.362,(p)) (conjunction,21')", "(H1,148.011,(r)) (Mars,147.013,(p)) (conjunction,60')", "(H4,231.846,(r)) (Venus,291.829,(p)) (sextile,1')\n(H4,231.846,(r)) (Moon,112.748,(c)) (trine,54')", '8', '9', '10', "(H4,231.846,(r)) (Mars,142.110,(c)) (square,16')", "(H4,231.846,(r)) (Mean_Node,351.007,(c)) (trine,50')", "(H1,148.011,(r)) (Mars,58.577,(p)) (square,34')", "(H10,51.846,(r)) (Mercury,351.798,(c)) (sextile,3')", "(H1,148.011,(r)) (Mercury,327.583,(p)) (opposition,26')\n(H1,148.011,(r)) (Jupiter,147.923,(p)) (conjunction,5')", '16', "(H7,328.011,(r)) (Sun,207.158,(p)) (trine,51')", "(H4,231.846,(r)) (Mars,140.933,(c)) (square,55')", '19', 19]
['10:51:04', '0', '1', "(H10,38.365,(r)) (Mean_Node,308.387,(p)) (square,1')", "(H10,38.365,(r)) (Mars,97.551,(p)) (sextile,49')", "(H10,38.365,(r)) (Mars,218.489,(c)) (opposition,7')", '5', "(H1,137.520,(r)) (Pluto,78.115,(c)) (sextile,36')", "(H4,218.365,(r)) (Mean_Node,219.212,(p)) (conjunction,51')", '8', '9', '10', "(H7,317.520,(r)) (Neptune,76.916,(c)) (trine,36')", "(H7,317.520,(r)) (Saturn,317.300,(p)) (conjunction,13')\n(H7,317.520,(r)) (Mars,78.224,(c)) (trine,42')", '13', "(H1,137.520,(r)) (Moon,257.090,(c)) (trine,26')\n(H1,137.520,(r)) (Uranus,256.763,(c)) (trine,45')", '15', '16', '17', "(H4,218.365,(r)) (Mars,309.257,(p)) (square,53')\n(H7,317.520,(r)) (Sun,258.036,(c)) (sextile,31')", '19', 12]
['11:44:47', '0', "(H7,328.033,(r)) (Mars,238.294,(c)) (square,16')", "(H7,328.033,(r)) (Sun,28.152,(p)) (sextile,7')\n(H10,51.875,(r)) (Mars,51.027,(p)) (conjunction,51')\n(H10,51.875,(r)) (Mars,291.264,(c)) (trine,37')", '3', "(H7,328.033,(r)) (Mars,148.577,(p)) (opposition,33')\n(H10,51.875,(r)) (Jupiter,52.234,(c)) (conjunction,22')", "(H1,148.033,(r)) (Neptune,208.180,(p)) (sextile,9')\n(H1,148.033,(r)) (Pluto,148.362,(p)) (conjunction,20')", "(H1,148.033,(r)) (Mars,147.013,(p)) (conjunction,61')", "(H4,231.875,(r)) (Venus,291.829,(p)) (sextile,3')\n(H4,231.875,(r)) (Moon,112.750,(c)) (trine,52')", '8', '9', '10', "(H4,231.875,(r)) (Mars,142.111,(c)) (square,14')", "(H4,231.875,(r)) (Mean_Node,351.007,(c)) (trine,52')", "(H1,148.033,(r)) (Mars,58.577,(p)) (square,33')", "(H10,51.875,(r)) (Mercury,351.799,(c)) (sextile,5')", "(H1,148.033,(r)) (Mercury,327.583,(p)) (opposition,27')\n(H1,148.033,(r)) (Jupiter,147.923,(p)) (conjunction,7')", '16', "(H7,328.033,(r)) (Sun,207.158,(p)) (trine,53')", "(H4,231.875,(r)) (Mars,140.933,(c)) (square,56')", '19', 19]
['10:51:12', '0', '1', "(H10,38.400,(r)) (Mean_Node,308.387,(p)) (square,1')", "(H10,38.400,(r)) (Mars,97.551,(p)) (sextile,51')", "(H10,38.400,(r)) (Mars,218.489,(c)) (opposition,5')", '5', "(H1,137.546,(r)) (Pluto,78.115,(c)) (sextile,34')", "(H4,218.400,(r)) (Mean_Node,219.212,(p)) (conjunction,49')", '8', '9', '10', "(H7,317.546,(r)) (Neptune,76.916,(c)) (trine,38')", "(H7,317.546,(r)) (Saturn,317.300,(p)) (conjunction,15')\n(H7,317.546,(r)) (Mars,78.224,(c)) (trine,41')", '13', "(H1,137.546,(r)) (Moon,257.092,(c)) (trine,27')\n(H1,137.546,(r)) (Uranus,256.763,(c)) (trine,47')", '15', '16', '17', "(H4,218.400,(r)) (Mars,309.257,(p)) (square,51')\n(H7,317.546,(r)) (Sun,258.037,(c)) (sextile,29')", '19', 12]
['10:50:54', '0', '1', "(H10,38.327,(r)) (Mean_Node,308.387,(p)) (square,4')", "(H10,38.327,(r)) (Mars,97.551,(p)) (sextile,47')", "(H10,38.327,(r)) (Mars,218.489,(c)) (opposition,10')", '5', "(H1,137.490,(r)) (Pluto,78.115,(c)) (sextile,38')", "(H4,218.327,(r)) (Mean_Node,219.212,(p)) (conjunction,53')", '8', '9', '10', "(H7,317.490,(r)) (Neptune,76.916,(c)) (trine,34')", "(H7,317.490,(r)) (Saturn,317.300,(p)) (conjunction,11')\n(H7,317.490,(r)) (Mars,78.224,(c)) (trine,44')", '13', "(H1,137.490,(r)) (Moon,257.087,(c)) (trine,24')\n(H1,137.490,(r)) (Uranus,256.763,(c)) (trine,44')", '15', '16', '17', "(H4,218.327,(r)) (Mars,309.257,(p)) (square,56')\n(H7,317.490,(r)) (Sun,258.036,(c)) (sextile,33')", '19', 12]
['11:26:15', '0', '1', "(H7,324.402,(r)) (Jupiter,55.163,(p)) (square,46')", '3', "(H7,324.402,(r)) (Jupiter,84.777,(p)) (trine,22')", '5', '6', "(H1,144.402,(r)) (Mean_Node,235.254,(c)) (square,51')", "(H10,47.275,(r)) (Uranus,136.218,(p)) (square,63')", '9', "(H1,144.402,(r)) (Mars,143.341,(c)) (conjunction,64')", '11', "(H4,227.275,(r)) (Saturn,317.300,(p)) (square,1')", '13', '14', '15', "(H1,144.402,(r)) (Neptune,234.622,(p)) (square,13')", "(H10,47.275,(r)) (Mars,167.890,(p)) (trine,37')", '18', "(H1,144.402,(r)) (Mean_Node,233.709,(p)) (square,42')", 9]
['10:51:28', '0', '1', "(H10,38.468,(r)) (Mean_Node,308.387,(p)) (square,5')", "(H10,38.468,(r)) (Mars,97.551,(p)) (sextile,55')", "(H10,38.468,(r)) (Mars,218.489,(c)) (opposition,1')", '5', "(H1,137.598,(r)) (Pluto,78.115,(c)) (sextile,31')", "(H4,218.468,(r)) (Mean_Node,219.212,(p)) (conjunction,45')", '8', '9', '10', "(H7,317.598,(r)) (Neptune,76.916,(c)) (trine,41')", "(H7,317.598,(r)) (Saturn,317.300,(p)) (conjunction,18')\n(H7,317.598,(r)) (Mars,78.224,(c)) (trine,38')", '13', "(H1,137.598,(r)) (Moon,257.096,(c)) (trine,30')\n(H1,137.598,(r)) (Uranus,256.763,(c)) (trine,50')", '15', '16', '17', "(H4,218.468,(r)) (Mars,309.257,(p)) (square,47')\n(H7,317.598,(r)) (Sun,258.037,(c)) (sextile,26')", '19', 12]
['00:30:46', '0', "(H10,242.562,(r)) (Mean_Node,332.374,(p)) (square,11')\n(H10,242.562,(r)) (Mean_Node,122.132,(c)) (trine,26')", "(H7,132.661,(r)) (Sun,222.457,(c)) (square,12')", '3', '4', "(H10,242.562,(r)) (Mean_Node,243.625,(p)) (conjunction,64')", '6', '7', "(H1,312.661,(r)) (Jupiter,221.995,(p)) (square,40')\n(H1,312.661,(r)) (Uranus,252.035,(c)) (sextile,38')\n(H10,242.562,(r)) (Mercury,1.945,(c)) (trine,37')", "(H4,62.562,(r)) (Sun,243.232,(p)) (opposition,40')", '10', "(H7,132.661,(r)) (Neptune,222.947,(p)) (square,17')\n(H7,132.661,(r)) (Pluto,72.182,(c)) (sextile,29')", "(H7,132.661,(r)) (Neptune,73.412,(c)) (sextile,45')", "(H1,312.661,(r)) (Uranus,222.290,(c)) (square,22')\n(H1,312.661,(r)) (Pluto,71.777,(c)) (trine,53')", "(H1,312.661,(r)) (Uranus,131.666,(p)) (opposition,60')", '15', '16', "(H7,132.661,(r)) (Sun,43.017,(c)) (square,21')\n(H7,132.661,(r)) (Mars,252.592,(c)) (trine,4')", "(H7,132.661,(r)) (Neptune,251.796,(p)) (trine,52')", "(H1,312.661,(r)) (Pluto,42.849,(c)) (square,11')", 18]
['18:30:08', "(H10,148.931,(r)) (Moon,27.962,(c)) (trine,58')", "(H10,148.931,(r)) (Mars,238.624,(c)) (square,18')", "(H10,148.931,(r)) (Sun,28.152,(p)) (trine,47')", "(H10,148.931,(r)) (Mean_Node,149.643,(c)) (conjunction,43')", "(H10,148.931,(r)) (Mars,148.577,(p)) (conjunction,21')", "(H10,148.931,(r)) (Neptune,208.180,(p)) (sextile,45')\n(H10,148.931,(r)) (Pluto,148.362,(p)) (conjunction,34')", "(H10,148.931,(r)) (Neptune,209.963,(p)) (sextile,62')\n(H10,148.931,(r)) (Pluto,149.493,(p)) (conjunction,34')", '7', "(H10,148.931,(r)) (Mercury,239.131,(p)) (square,12')", "(H1,227.989,(r)) (Mars,108.493,(p)) (trine,30')", '10', "(H7,47.989,(r)) (Mean_Node,109.008,(p)) (sextile,61')", "(H4,328.931,(r)) (Sun,239.460,(p)) (square,32')\n(H7,47.989,(r)) (Saturn,317.300,(p)) (square,41')", "(H10,148.931,(r)) (Mars,58.577,(p)) (square,21')", '14', "(H10,148.931,(r)) (Jupiter,147.923,(p)) (conjunction,60')\n(H10,148.931,(r)) (Uranus,209.988,(c)) (sextile,63')", '16', "(H7,47.989,(r)) (Mars,167.890,(p)) (trine,6')", "(H4,328.931,(r)) (Pluto,59.889,(c)) (square,57')\n(H4,328.931,(r)) (Mean_Node,209.731,(c)) (trine,48')\n(H7,47.989,(r)) (Neptune,48.911,(c)) (conjunction,55')", "(H10,148.931,(r)) (Sun,59.246,(p)) (square,19')", 22]
['22:56:46', '0', '1', "(H10,219.327,(r)) (Mean_Node,308.387,(p)) (square,56')", '3', "(H10,219.327,(r)) (Mars,218.563,(c)) (conjunction,46')", "(H10,219.327,(r)) (Sun,98.607,(c)) (trine,43')", "(H1,284.495,(r)) (Mean_Node,225.355,(p)) (sextile,52')", "(H4,39.327,(r)) (Mean_Node,219.212,(p)) (opposition,7')\n(H4,39.327,(r)) (Moon,98.748,(c)) (sextile,35')", "(H10,219.327,(r)) (Moon,130.376,(p)) (square,63')\n(H10,219.327,(r)) (Venus,219.802,(p)) (conjunction,29')", '9', "(H1,284.495,(r)) (Mean_Node,345.398,(c)) (sextile,54')", "(H7,104.495,(r)) (Mean_Node,345.504,(c)) (trine,61')", "(H7,104.495,(r)) (Pluto,164.063,(p)) (sextile,26')\n(H7,104.495,(r)) (Mean_Node,103.447,(p)) (conjunction,63')", "(H1,284.495,(r)) (Neptune,225.497,(p)) (sextile,60')", '14', "(H10,219.327,(r)) (Jupiter,309.683,(c)) (square,21')", "(H10,219.327,(r)) (Saturn,159.505,(c)) (sextile,11')", '17', "(H4,39.327,(r)) (Mars,309.257,(p)) (square,4')", '19', 16]
