Time,all-sr,mj1-sr,mj2-sr,mja-sr,min-sr,mon-conj-sr,mon-maj-sr,e-sr,all-tr,mj1-tr,mj2-tr,mja-tr,min-tr,e-tr,all-sc,mj1-sc,mj2-sc,mja-sc,min-sc,e-sc
18:20:08,21,10,11,21,0,7,9,10,14,5,9,14,0,8,36,5,10,15,21,3
17:56:16,38,9,29,38,0,7,8,6,26,6,20,26,0,5,34,3,9,12,22,3
17:54:24,18,7,11,18,0,7,7,8,30,4,26,30,0,4,48,4,24,28,20,2
17:14:15,30,8,22,30,0,6,13,5,14,3,11,14,0,10,32,4,18,22,10,7
17:14:22,29,9,20,29,0,6,12,4,14,3,11,14,0,9,32,5,17,22,10,7
18:20:00,22,10,12,22,0,6,10,11,15,5,10,15,0,8,36,5,9,14,22,3
18:19:44,22,10,12,22,0,6,10,11,16,5,11,16,0,8,40,6,10,16,24,3
18:26:38,27,13,14,27,0,6,7,6,14,5,9,14,0,10,31,7,12,19,12,3
18:30:08,25,18,7,25,0,5,6,8,22,6,16,22,0,4,36,5,13,18,18,2
18:29:44,18,12,6,18,0,5,6,9,19,6,13,19,0,5,38,3,11,14,24,0
18:30:24,27,18,9,27,0,5,6,8,24,7,17,24,0,3,30,5,10,15,15,4
18:30:00,20,14,6,20,0,5,6,8,21,6,15,21,0,4,40,4,15,19,21,2
18:29:52,19,13,6,19,0,5,6,8,20,6,14,20,0,4,42,4,13,17,25,0
18:30:16,27,18,9,27,0,5,6,8,23,7,16,23,0,4,32,4,11,15,17,3
21:37:20,20,5,15,20,0,3,6,9,16,4,12,16,0,8,33,2,16,18,15,7
21:37:27,20,5,15,20,0,3,6,9,16,4,12,16,0,8,35,2,17,19,16,6
21:36:56,15,3,12,15,0,3,6,11,17,3,14,17,0,7,38,2,18,20,18,4
07:10:38,16,6,10,16,0,3,5,9,13,4,9,13,0,11,25,0,12,12,13,4
00:30:24,18,5,13,18,0,3,5,12,20,3,17,20,0,9,36,6,15,21,15,6
21:41:12,21,4,17,21,0,2,7,6,20,4,16,20,0,6,29,6,7,13,16,7
21:41:20,23,6,17,23,0,2,7,6,20,4,16,20,0,6,34,8,8,16,18,6
21:41:28,22,6,16,22,0,2,7,6,20,4,16,20,0,6,37,9,8,17,20,4
21:50:14,26,8,18,26,0,2,7,6,15,3,12,15,0,10,27,4,14,18,9,6
18:37:20,29,3,26,29,0,2,7,8,23,4,19,23,0,7,29,3,9,12,17,6
00:30:56,23,5,18,23,0,2,7,10,18,3,15,18,0,8,37,7,14,21,16,4
21:41:04,22,6,16,22,0,2,7,7,20,4,16,20,0,6,27,5,7,12,15,6
07:29:44,18,6,12,18,0,2,7,9,16,3,13,16,0,8,24,2,12,14,10,6
21:50:22,26,10,16,26,0,2,7,4,14,3,11,14,0,10,27,4,14,18,9,5
23:57:52,17,5,12,17,0,2,6,9,14,5,9,14,0,8,34,2,15,17,17,4
00:30:46,18,4,14,18,0,2,5,11,18,3,15,18,0,8,31,6,14,20,11,4
08:51:28,17,5,12,17,0,2,5,10,15,5,10,15,0,10,46,8,11,19,27,0
08:51:20,21,9,12,21,0,2,5,10,15,5,10,15,0,10,38,6,7,13,25,1
01:03:02,25,9,16,25,0,2,5,8,20,4,16,20,0,4,32,5,12,17,15,3
00:30:39,12,3,9,12,0,2,5,13,20,3,17,20,0,9,31,6,15,21,10,5
01:03:10,26,9,17,26,0,2,5,7,20,4,16,20,0,4,36,6,14,20,16,2
08:51:36,15,6,9,15,0,2,4,10,15,5,10,15,0,10,46,8,11,19,27,0
08:51:44,14,6,8,14,0,2,4,10,15,5,10,15,0,10,47,7,12,19,28,0
11:25:52,17,2,15,17,0,2,4,9,9,1,8,9,0,11,35,5,11,16,19,4
11:26:00,19,2,17,19,0,2,4,8,9,1,8,9,0,11,32,6,10,16,16,6
11:26:15,17,2,15,17,0,2,3,8,9,1,8,9,0,11,31,4,9,13,18,3
11:26:30,15,2,13,15,0,2,3,10,7,0,7,7,0,13,29,3,10,13,16,3
05:50:46,22,6,16,22,0,2,3,8,17,6,11,17,0,9,27,2,9,11,16,5
11:26:38,14,2,12,14,0,2,3,11,7,0,7,7,0,13,30,4,9,13,17,4
11:26:22,16,2,14,16,0,2,3,9,7,0,7,7,0,13,29,4,9,13,16,2
11:26:46,15,2,13,15,0,2,3,11,7,0,7,7,0,13,31,4,9,13,18,4
05:50:30,21,6,15,21,0,2,3,9,16,6,10,16,0,9,23,1,7,8,15,5
12:23:51,24,5,19,24,0,1,7,8,19,4,15,19,0,10,21,3,10,13,8,9
11:44:40,14,1,13,14,0,1,6,10,19,7,12,19,0,7,40,9,13,22,18,1
11:44:47,14,1,13,14,0,1,6,10,19,7,12,19,0,7,42,8,16,24,18,1
11:44:56,14,1,13,14,0,1,6,10,20,7,13,20,0,6,40,8,15,23,17,2
11:44:32,16,4,12,16,0,1,6,10,19,7,12,19,0,7,37,8,13,21,16,3
11:45:04,14,1,13,14,0,1,6,10,20,7,13,20,0,6,38,6,15,21,17,3
10:51:28,14,1,13,14,0,1,5,12,12,3,9,12,0,11,22,3,7,10,12,8
11:45:36,11,2,9,11,0,1,5,11,19,6,13,19,0,7,34,7,14,21,13,3
11:45:44,13,2,11,13,0,1,5,9,20,6,14,20,0,7,34,7,13,20,14,3
05:32:56,16,1,15,16,0,1,5,11,16,3,13,16,0,7,34,1,15,16,18,1
11:45:28,14,2,12,14,0,1,5,10,19,6,13,19,0,7,35,7,15,22,13,2
10:51:36,14,1,13,14,0,1,5,12,14,3,11,14,0,10,26,4,6,10,16,6
11:05:28,25,3,22,25,0,1,5,8,26,8,18,26,0,3,21,2,6,8,13,7
11:06:16,21,3,18,21,0,1,5,7,23,8,15,23,0,5,31,4,11,15,16,3
05:33:04,16,1,15,16,0,1,5,11,16,3,13,16,0,8,33,1,16,17,16,0
04:44:56,12,3,9,12,0,1,5,14,10,3,7,10,0,11,33,4,10,14,19,3
10:51:44,14,1,13,14,0,1,5,12,14,3,11,14,0,10,28,4,8,12,16,5
10:51:52,13,1,12,13,0,1,5,12,16,3,13,16,0,9,30,4,8,12,18,5
19:30:46,15,2,13,15,0,1,5,11,23,7,16,23,0,3,27,2,16,18,9,5
03:03:04,12,4,8,12,0,1,5,11,15,3,12,15,0,7,30,3,13,16,14,3
11:05:36,24,3,21,24,0,1,5,8,25,8,17,25,0,4,26,3,10,13,13,6
05:32:48,17,3,14,17,0,1,5,12,16,3,13,16,0,7,34,1,13,14,20,3
10:51:04,11,1,10,11,0,1,4,14,12,3,9,12,0,11,30,5,8,13,17,4
10:51:12,11,1,10,11,0,1,4,14,12,3,9,12,0,11,23,4,7,11,12,7
10:50:54,13,1,12,13,0,1,4,13,12,3,9,12,0,11,29,5,7,12,17,4
23:19:36,14,1,13,14,0,1,4,10,15,4,11,15,0,10,28,3,7,10,18,7
10:51:20,12,1,11,12,0,1,4,14,12,3,9,12,0,11,24,4,7,11,13,7
11:45:52,11,2,9,11,0,1,4,11,18,5,13,18,0,8,32,7,10,17,15,4
23:19:44,13,1,12,13,0,1,4,11,15,4,11,15,0,9,29,5,6,11,18,6
23:02:23,22,6,16,22,0,1,4,9,22,3,19,22,0,5,32,6,11,17,15,3
11:46:00,12,3,9,12,0,1,4,11,18,5,13,18,0,8,30,5,12,17,13,3
03:02:56,11,4,7,11,0,1,4,12,15,3,12,15,0,7,33,3,14,17,16,4
05:54:24,22,4,18,22,0,1,4,12,13,4,9,13,0,10,34,3,14,17,17,5
23:16:22,21,11,10,21,0,1,4,8,18,6,12,18,0,8,31,2,7,9,22,6
23:02:30,21,6,15,21,0,1,3,9,21,3,18,21,0,6,33,5,11,16,17,3
20:04:22,10,1,9,10,0,1,3,13,16,5,11,16,0,11,33,1,11,12,21,3
20:04:14,10,1,9,10,0,1,3,13,16,4,12,16,0,11,33,2,11,13,20,2
23:02:38,21,6,15,21,0,1,3,9,21,3,18,21,0,6,34,6,10,16,18,4
13:33:04,25,3,22,25,0,1,3,8,23,9,14,23,0,8,27,3,10,13,14,5
20:04:30,9,1,8,9,0,1,3,13,16,5,11,16,0,11,33,1,11,12,21,3
06:09:52,14,7,7,14,0,1,3,12,13,6,7,13,0,9,27,3,8,11,16,4
22:56:46,11,3,8,11,0,1,2,13,16,4,12,16,0,7,29,5,9,14,15,5
15:00:22,10,5,5,10,0,1,2,13,18,4,14,18,0,7,27,2,11,13,14,6
15:00:14,10,6,4,10,0,1,2,14,18,4,14,18,0,7,26,2,9,11,15,6
22:56:56,13,3,10,13,0,1,2,13,15,3,12,15,0,7,29,5,9,14,15,3
13:32:46,16,2,14,16,0,1,2,9,23,8,15,23,0,8,30,4,14,18,12,3
22:56:38,11,3,8,11,0,1,2,13,15,4,11,15,0,7,22,5,7,12,10,9
15:00:30,10,4,6,10,0,1,2,13,18,4,14,18,0,7,26,2,12,14,12,5
15:00:07,9,6,3,9,0,1,2,14,19,4,15,19,0,7,27,3,9,12,15,6
01:40:00,8,0,8,8,0,0,3,15,16,5,11,16,0,9,19,3,5,8,11,8
01:39:50,7,0,7,7,0,0,3,16,16,5,11,16,0,9,19,3,6,9,10,8
01:39:42,8,1,7,8,0,0,3,15,16,5,11,16,0,9,21,3,6,9,12,8
