['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['23:00:00, 34, opp/conj: 6', 'sqr/tri/sext: 28', 'major: 34', 'minor: 0']
['23:00:08, 35, opp/conj: 6', 'sqr/tri/sext: 29', 'major: 35', 'minor: 0']
['23:00:16, 36, opp/conj: 6', 'sqr/tri/sext: 30', 'major: 36', 'minor: 0']
['23:00:24, 34, opp/conj: 6', 'sqr/tri/sext: 28', 'major: 34', 'minor: 0']
['23:00:32, 34, opp/conj: 6', 'sqr/tri/sext: 28', 'major: 34', 'minor: 0']
['23:00:39, 35, opp/conj: 7', 'sqr/tri/sext: 28', 'major: 35', 'minor: 0']
['23:00:47, 36, opp/conj: 7', 'sqr/tri/sext: 29', 'major: 36', 'minor: 0']
['23:00:56, 36, opp/conj: 6', 'sqr/tri/sext: 30', 'major: 36', 'minor: 0']
['23:01:04, 35, opp/conj: 6', 'sqr/tri/sext: 29', 'major: 35', 'minor: 0']
['23:01:12, 35, opp/conj: 6', 'sqr/tri/sext: 29', 'major: 35', 'minor: 0']
['23:01:20, 35, opp/conj: 6', 'sqr/tri/sext: 29', 'major: 35', 'minor: 0']
['23:01:28, 35, opp/conj: 6', 'sqr/tri/sext: 29', 'major: 35', 'minor: 0']
['23:01:36, 35, opp/conj: 6', 'sqr/tri/sext: 29', 'major: 35', 'minor: 0']
['23:01:44, 35, opp/conj: 6', 'sqr/tri/sext: 29', 'major: 35', 'minor: 0']
['23:01:52, 35, opp/conj: 6', 'sqr/tri/sext: 29', 'major: 35', 'minor: 0']
['23:02:00, 36, opp/conj: 6', 'sqr/tri/sext: 30', 'major: 36', 'minor: 0']
['23:02:08, 33, opp/conj: 5', 'sqr/tri/sext: 28', 'major: 33', 'minor: 0']
['23:02:15, 32, opp/conj: 5', 'sqr/tri/sext: 27', 'major: 32', 'minor: 0']
['23:02:23, 31, opp/conj: 5', 'sqr/tri/sext: 26', 'major: 31', 'minor: 0']
['23:02:31, 31, opp/conj: 5', 'sqr/tri/sext: 26', 'major: 31', 'minor: 0']
['23:02:39, 31, opp/conj: 5', 'sqr/tri/sext: 26', 'major: 31', 'minor: 0']
['23:02:47, 32, opp/conj: 5', 'sqr/tri/sext: 27', 'major: 32', 'minor: 0']
['23:02:56, 32, opp/conj: 5', 'sqr/tri/sext: 27', 'major: 32', 'minor: 0']
['23:03:04, 32, opp/conj: 5', 'sqr/tri/sext: 27', 'major: 32', 'minor: 0']
['23:03:12, 32, opp/conj: 6', 'sqr/tri/sext: 26', 'major: 32', 'minor: 0']
['23:03:20, 33, opp/conj: 7', 'sqr/tri/sext: 26', 'major: 33', 'minor: 0']
['23:03:28, 33, opp/conj: 7', 'sqr/tri/sext: 26', 'major: 33', 'minor: 0']
['23:03:36, 31, opp/conj: 6', 'sqr/tri/sext: 25', 'major: 31', 'minor: 0']
['23:03:44, 31, opp/conj: 6', 'sqr/tri/sext: 25', 'major: 31', 'minor: 0']
['23:03:52, 31, opp/conj: 6', 'sqr/tri/sext: 25', 'major: 31', 'minor: 0']
['23:03:59, 31, opp/conj: 6', 'sqr/tri/sext: 25', 'major: 31', 'minor: 0']
['23:04:07, 31, opp/conj: 6', 'sqr/tri/sext: 25', 'major: 31', 'minor: 0']
['23:04:15, 32, opp/conj: 6', 'sqr/tri/sext: 26', 'major: 32', 'minor: 0']
['23:04:23, 31, opp/conj: 6', 'sqr/tri/sext: 25', 'major: 31', 'minor: 0']
['23:04:31, 30, opp/conj: 6', 'sqr/tri/sext: 24', 'major: 30', 'minor: 0']
['23:04:39, 29, opp/conj: 6', 'sqr/tri/sext: 23', 'major: 29', 'minor: 0']
['23:04:47, 29, opp/conj: 6', 'sqr/tri/sext: 23', 'major: 29', 'minor: 0']
['23:04:56, 28, opp/conj: 6', 'sqr/tri/sext: 22', 'major: 28', 'minor: 0']
['23:05:04, 28, opp/conj: 6', 'sqr/tri/sext: 22', 'major: 28', 'minor: 0']
['23:05:12, 28, opp/conj: 6', 'sqr/tri/sext: 22', 'major: 28', 'minor: 0']
['23:05:20, 27, opp/conj: 6', 'sqr/tri/sext: 21', 'major: 27', 'minor: 0']
['23:05:28, 26, opp/conj: 6', 'sqr/tri/sext: 20', 'major: 26', 'minor: 0']
['23:05:36, 25, opp/conj: 6', 'sqr/tri/sext: 19', 'major: 25', 'minor: 0']
['23:05:43, 25, opp/conj: 6', 'sqr/tri/sext: 19', 'major: 25', 'minor: 0']
['23:05:51, 24, opp/conj: 6', 'sqr/tri/sext: 18', 'major: 24', 'minor: 0']
['23:06:00, 24, opp/conj: 6', 'sqr/tri/sext: 18', 'major: 24', 'minor: 0']
['23:06:08, 24, opp/conj: 6', 'sqr/tri/sext: 18', 'major: 24', 'minor: 0']
['23:06:16, 24, opp/conj: 6', 'sqr/tri/sext: 18', 'major: 24', 'minor: 0']
['23:06:24, 25, opp/conj: 6', 'sqr/tri/sext: 19', 'major: 25', 'minor: 0']
['23:06:32, 24, opp/conj: 6', 'sqr/tri/sext: 18', 'major: 24', 'minor: 0']
['23:06:40, 24, opp/conj: 6', 'sqr/tri/sext: 18', 'major: 24', 'minor: 0']
['23:06:48, 24, opp/conj: 6', 'sqr/tri/sext: 18', 'major: 24', 'minor: 0']
['23:06:56, 24, opp/conj: 6', 'sqr/tri/sext: 18', 'major: 24', 'minor: 0']
['23:07:04, 24, opp/conj: 6', 'sqr/tri/sext: 18', 'major: 24', 'minor: 0']
['23:07:12, 24, opp/conj: 6', 'sqr/tri/sext: 18', 'major: 24', 'minor: 0']
['23:07:20, 24, opp/conj: 6', 'sqr/tri/sext: 18', 'major: 24', 'minor: 0']
['23:07:28, 24, opp/conj: 6', 'sqr/tri/sext: 18', 'major: 24', 'minor: 0']
['23:07:36, 24, opp/conj: 6', 'sqr/tri/sext: 18', 'major: 24', 'minor: 0']
['23:07:44, 23, opp/conj: 6', 'sqr/tri/sext: 17', 'major: 23', 'minor: 0']
['23:07:52, 23, opp/conj: 6', 'sqr/tri/sext: 17', 'major: 23', 'minor: 0']
['23:08:00, 21, opp/conj: 4', 'sqr/tri/sext: 17', 'major: 21', 'minor: 0']
['23:08:08, 20, opp/conj: 4', 'sqr/tri/sext: 16', 'major: 20', 'minor: 0']
['23:08:16, 20, opp/conj: 4', 'sqr/tri/sext: 16', 'major: 20', 'minor: 0']
['23:08:24, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:08:32, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:08:40, 20, opp/conj: 5', 'sqr/tri/sext: 15', 'major: 20', 'minor: 0']
['23:08:48, 20, opp/conj: 5', 'sqr/tri/sext: 15', 'major: 20', 'minor: 0']
['23:08:56, 19, opp/conj: 5', 'sqr/tri/sext: 14', 'major: 19', 'minor: 0']
['23:09:04, 20, opp/conj: 5', 'sqr/tri/sext: 15', 'major: 20', 'minor: 0']
['23:09:12, 19, opp/conj: 5', 'sqr/tri/sext: 14', 'major: 19', 'minor: 0']
['23:09:20, 20, opp/conj: 6', 'sqr/tri/sext: 14', 'major: 20', 'minor: 0']
['23:09:28, 20, opp/conj: 6', 'sqr/tri/sext: 14', 'major: 20', 'minor: 0']
['23:09:36, 21, opp/conj: 6', 'sqr/tri/sext: 15', 'major: 21', 'minor: 0']
['23:09:44, 21, opp/conj: 6', 'sqr/tri/sext: 15', 'major: 21', 'minor: 0']
['23:09:52, 20, opp/conj: 6', 'sqr/tri/sext: 14', 'major: 20', 'minor: 0']
['23:10:00, 19, opp/conj: 6', 'sqr/tri/sext: 13', 'major: 19', 'minor: 0']
['23:10:08, 21, opp/conj: 7', 'sqr/tri/sext: 14', 'major: 21', 'minor: 0']
['23:10:16, 20, opp/conj: 7', 'sqr/tri/sext: 13', 'major: 20', 'minor: 0']
['23:10:24, 20, opp/conj: 7', 'sqr/tri/sext: 13', 'major: 20', 'minor: 0']
['23:10:32, 20, opp/conj: 7', 'sqr/tri/sext: 13', 'major: 20', 'minor: 0']
['23:10:40, 22, opp/conj: 8', 'sqr/tri/sext: 14', 'major: 22', 'minor: 0']
['23:10:47, 23, opp/conj: 8', 'sqr/tri/sext: 15', 'major: 23', 'minor: 0']
['23:10:56, 23, opp/conj: 8', 'sqr/tri/sext: 15', 'major: 23', 'minor: 0']
['23:11:04, 23, opp/conj: 8', 'sqr/tri/sext: 15', 'major: 23', 'minor: 0']
['23:11:12, 22, opp/conj: 6', 'sqr/tri/sext: 16', 'major: 22', 'minor: 0']
['23:11:20, 22, opp/conj: 6', 'sqr/tri/sext: 16', 'major: 22', 'minor: 0']
['23:11:28, 22, opp/conj: 6', 'sqr/tri/sext: 16', 'major: 22', 'minor: 0']
['23:11:36, 22, opp/conj: 6', 'sqr/tri/sext: 16', 'major: 22', 'minor: 0']
['23:11:44, 22, opp/conj: 6', 'sqr/tri/sext: 16', 'major: 22', 'minor: 0']
['23:11:52, 22, opp/conj: 6', 'sqr/tri/sext: 16', 'major: 22', 'minor: 0']
['23:12:00, 21, opp/conj: 6', 'sqr/tri/sext: 15', 'major: 21', 'minor: 0']
['23:12:08, 21, opp/conj: 6', 'sqr/tri/sext: 15', 'major: 21', 'minor: 0']
['23:12:16, 21, opp/conj: 6', 'sqr/tri/sext: 15', 'major: 21', 'minor: 0']
['23:12:24, 21, opp/conj: 6', 'sqr/tri/sext: 15', 'major: 21', 'minor: 0']
['23:12:31, 22, opp/conj: 6', 'sqr/tri/sext: 16', 'major: 22', 'minor: 0']
['23:12:39, 22, opp/conj: 6', 'sqr/tri/sext: 16', 'major: 22', 'minor: 0']
['23:12:47, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:12:56, 22, opp/conj: 5', 'sqr/tri/sext: 17', 'major: 22', 'minor: 0']
['23:13:04, 22, opp/conj: 5', 'sqr/tri/sext: 17', 'major: 22', 'minor: 0']
['23:13:12, 23, opp/conj: 5', 'sqr/tri/sext: 18', 'major: 23', 'minor: 0']
['23:13:20, 22, opp/conj: 5', 'sqr/tri/sext: 17', 'major: 22', 'minor: 0']
['23:13:28, 22, opp/conj: 5', 'sqr/tri/sext: 17', 'major: 22', 'minor: 0']
['23:13:36, 22, opp/conj: 5', 'sqr/tri/sext: 17', 'major: 22', 'minor: 0']
['23:13:44, 22, opp/conj: 5', 'sqr/tri/sext: 17', 'major: 22', 'minor: 0']
['23:13:52, 22, opp/conj: 5', 'sqr/tri/sext: 17', 'major: 22', 'minor: 0']
['23:14:00, 23, opp/conj: 5', 'sqr/tri/sext: 18', 'major: 23', 'minor: 0']
['23:14:08, 23, opp/conj: 5', 'sqr/tri/sext: 18', 'major: 23', 'minor: 0']
['23:14:15, 23, opp/conj: 5', 'sqr/tri/sext: 18', 'major: 23', 'minor: 0']
['23:14:23, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:14:31, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:14:39, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:14:47, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:14:56, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:15:04, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:15:12, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:15:20, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:15:28, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:15:36, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:15:44, 22, opp/conj: 5', 'sqr/tri/sext: 17', 'major: 22', 'minor: 0']
['23:15:51, 23, opp/conj: 5', 'sqr/tri/sext: 18', 'major: 23', 'minor: 0']
['23:15:59, 22, opp/conj: 5', 'sqr/tri/sext: 17', 'major: 22', 'minor: 0']
['23:16:07, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:16:15, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:16:23, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:16:31, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:16:39, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:16:47, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:16:56, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:17:04, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:17:12, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
['23:17:20, 21, opp/conj: 5', 'sqr/tri/sext: 16', 'major: 21', 'minor: 0']
