['Time', '0: 2008-09-05', '1: 2008-12-11', '2: 2009-01-14', '3: 2009-03-19', '4: 2013-12-12', '5: 2014-03-24', '6: 2015-05-27', '7: 2018-02-19', '8: 2021-04-06', '9: 2022-01-01', '10: 2022-01-03', '11: 2000-03-11', '12: 2023-10-04', '13: 2018-12-04', '14: 2016-12-29', 'Count']
['1997-11-16 03:45:51', "(Venus,280.461,(r)) (H4,340.534,(d)) (sextile,4')", '1', '2', "(Venus,280.461,(r)) (H3,310.537,(d)) (30-semisextile,5')\n(H7,64.894,(r)) (Sun,244.738,(d)) (opposition,9')\n(Sun,233.820,(r)) (H7,53.960,(c)) (opposition,8')\n(H7,64.894,(r)) (Moon,64.926,(c)) (conjunction,2')", "(H1,244.894,(r)) (Mars,289.826,(d)) (45-semisquare,4')", "(Uranus,305.188,(r)) (H7,80.096,(d)) (135-sesquisquare,5')\n(Moon,74.613,(r)) (H3,284.581,(c)) (150-quincunx,2')\n(Jupiter,314.509,(r)) (H3,284.581,(c)) (30-semisextile,4')", '6', "(H4,329.262,(r)) (Venus,299.216,(d)) (30-semisextile,3')", "(Neptune,297.580,(r)) (H12,237.669,(d)) (sextile,5')", "(Mars,275.228,(r)) (H10,125.246,(c)) (150-quincunx,1')\n(H10,149.262,(r)) (Sun,209.212,(c)) (sextile,3')", "(H10,149.262,(r)) (Uranus,329.203,(d)) (opposition,4')\n(Uranus,305.188,(r)) (H10,125.240,(c)) (opposition,3')\n(H10,149.262,(r)) (Sun,209.206,(c)) (sextile,3')", '11', '12', "(Saturn,14.340,(r)) (H1,224.267,(c)) (150-quincunx,4')", "(H10,149.262,(r)) (Mercury,269.201,(d)) (trine,4')\n(Mean_Node,166.153,(r)) (H1,226.219,(c)) (sextile,4')", 254]
['1997-11-16 03:30:08', "(H4,325.163,(r)) (Moon,85.217,(d)) (trine,3')\n(Saturn,14.341,(r)) (H4,314.324,(c)) (sextile,1')\n(H4,325.163,(r)) (Uranus,295.130,(c)) (30-semisextile,2')", "(Mars,275.220,(r)) (H1,230.271,(c)) (45-semisquare,3')\n(H10,145.163,(r)) (Mars,265.198,(c)) (trine,2')", "(Mars,275.220,(r)) (H1,230.179,(c)) (45-semisquare,2')\n(Mars,275.220,(r)) (H7,50.179,(c)) (135-sesquisquare,2')\n(H1,241.079,(r)) (Mercury,241.181,(c)) (conjunction,6')\n(H4,325.163,(r)) (Mars,265.113,(c)) (sextile,3')\n(H7,61.079,(r)) (Mercury,241.181,(c)) (opposition,6')", "(H7,61.079,(r)) (Mercury,241.013,(c)) (opposition,4')", '4', "(Mercury,252.176,(r)) (H4,342.168,(d)) (square,0')", '6', "(Mean_Node,166.154,(r)) (H4,346.319,(d)) (opposition,10')\n(H4,325.163,(r)) (Uranus,325.287,(d)) (conjunction,7')\n(Uranus,305.188,(r)) (H4,305.115,(c)) (conjunction,4')", '8', "(H6,30.081,(r)) (Pluto,270.012,(d)) (trine,4')", '10', "(Sun,233.808,(r)) (H3,293.808,(c)) (sextile,0')", "(H1,241.079,(r)) (Uranus,331.026,(d)) (square,3')\n(Mars,275.220,(r)) (H1,215.170,(c)) (sextile,3')\n(Uranus,305.188,(r)) (H1,215.170,(c)) (square,1')\n(Pluto,245.018,(r)) (H2,244.918,(c)) (conjunction,6')", '13', "(Mercury,252.176,(r)) (H1,222.158,(c)) (30-semisextile,1')\n(H3,295.964,(r)) (Mean_Node,146.046,(c)) (150-quincunx,5')", 359]
['1997-11-16 03:14:39', "(Moon,74.309,(r)) (H12,194.318,(c)) (trine,1')\n(Venus,280.441,(r)) (H4,310.463,(c)) (30-semisextile,1')\n(Saturn,14.341,(r)) (H12,194.318,(c)) (opposition,1')", "(Mercury,252.161,(r)) (H3,282.163,(c)) (30-semisextile,0')\n(H1,237.282,(r)) (Pluto,237.277,(c)) (conjunction,0')", "(Mean_Node,166.154,(r)) (H1,226.240,(c)) (sextile,5')\n(Mean_Node,166.154,(r)) (H7,46.240,(c)) (trine,5')\n(H1,237.282,(r)) (Pluto,237.187,(c)) (conjunction,6')\n(H7,57.282,(r)) (Pluto,237.187,(c)) (opposition,6')", "(Mean_Node,166.154,(r)) (H7,46.064,(c)) (trine,5')", "(H3,292.311,(r)) (Pluto,232.391,(c)) (sextile,5')", "(Uranus,305.187,(r)) (H4,305.092,(c)) (conjunction,6')\n(Pluto,245.017,(r)) (H4,305.092,(c)) (sextile,4')", "(H4,321.177,(r)) (Mars,291.164,(d)) (30-semisextile,1')", "(Mercury,252.161,(r)) (H4,342.142,(d)) (square,1')\n(H3,292.311,(r)) (Mercury,232.357,(c)) (sextile,3')\n(H3,292.311,(r)) (Venus,262.248,(c)) (30-semisextile,4')", '8', "(Mean_Node,166.154,(r)) (H10,166.247,(d)) (conjunction,6')\n(H1,237.282,(r)) (Mars,297.279,(d)) (sextile,0')\n(H1,237.282,(r)) (Mean_Node,192.213,(d)) (45-semisquare,4')\n(Neptune,297.580,(r)) (H10,117.701,(c)) (opposition,7')", '10', '11', '12', '13', "(Venus,280.441,(r)) (H3,310.388,(d)) (30-semisextile,3')\n(H1,237.282,(r)) (Moon,57.158,(c)) (opposition,7')", 366]
['1997-11-16 05:27:59', '0', "(Sun,233.891,(r)) (H1,278.848,(d)) (45-semisquare,3')", "(H4,356.716,(r)) (Moon,86.641,(d)) (square,5')", "(Sun,233.891,(r)) (H4,8.885,(d)) (135-sesquisquare,0')\n(H4,356.716,(r)) (Moon,86.800,(d)) (square,5')\n(Jupiter,314.518,(r)) (H4,344.593,(c)) (30-semisextile,5')", "(Saturn,14.337,(r)) (H12,224.389,(c)) (150-quincunx,3')", "(H4,356.716,(r)) (Mercury,266.803,(d)) (square,5')", "(H4,356.716,(r)) (Saturn,356.631,(c)) (conjunction,5')", "(Mean_Node,166.149,(r)) (H3,345.971,(d)) (opposition,11')\n(H3,325.022,(r)) (Uranus,325.120,(d)) (conjunction,6')\n(Uranus,305.190,(r)) (H3,305.127,(c)) (conjunction,4')\n(Uranus,305.190,(r)) (H4,335.190,(c)) (30-semisextile,0')\n(H3,325.022,(r)) (Mean_Node,145.063,(c)) (opposition,2')", "(Pluto,245.021,(r)) (H1,290.030,(d)) (45-semisquare,1')\n(Pluto,245.021,(r)) (H7,110.030,(d)) (135-sesquisquare,1')", '9', '10', '11', "(H1,268.846,(r)) (Mars,298.866,(d)) (30-semisextile,1')\n(Saturn,14.337,(r)) (H10,149.358,(c)) (135-sesquisquare,1')\n(Pluto,245.021,(r)) (H1,244.984,(c)) (conjunction,2')", '13', "(Mean_Node,166.149,(r)) (H1,286.140,(d)) (trine,1')", 243]
['1997-11-16 07:14:07', "(Pluto,245.024,(r)) (H12,274.964,(d)) (30-semisextile,4')\n(H4,25.455,(r)) (Mars,265.539,(c)) (trine,5')", "(Mars,275.338,(r)) (H12,275.204,(d)) (conjunction,8')\n(Uranus,305.192,(r)) (H12,275.204,(d)) (30-semisextile,1')", "(Mars,275.338,(r)) (H12,275.288,(d)) (conjunction,3')", "(Uranus,305.192,(r)) (H3,5.142,(d)) (sextile,3')", '4', '5', "(H4,25.455,(r)) (Sun,250.546,(d)) (135-sesquisquare,5')", "(Mercury,252.394,(r)) (H7,132.345,(d)) (trine,3')\n(Jupiter,314.526,(r)) (H3,14.585,(d)) (sextile,4')\n(H4,25.455,(r)) (Jupiter,295.547,(c)) (square,6')", "(H4,25.455,(r)) (Moon,55.362,(c)) (30-semisextile,6')", "(Mean_Node,166.146,(r)) (H1,316.078,(d)) (150-quincunx,4')", '10', '11', '12', '13', "(Uranus,305.192,(r)) (H10,185.173,(c)) (trine,1')\n(H1,293.335,(r)) (Venus,263.347,(c)) (30-semisextile,1')", 173]
['1997-11-16 13:25:35', "(Pluto,245.034,(r)) (H4,125.012,(d)) (trine,1')", "(Moon,80.226,(r)) (H10,305.267,(d)) (135-sesquisquare,2')\n(Uranus,305.199,(r)) (H10,305.267,(d)) (conjunction,4')\n(H10,294.784,(r)) (Uranus,294.882,(c)) (conjunction,6')", "(Uranus,305.199,(r)) (H4,125.356,(d)) (opposition,9')\n(H1,27.937,(r)) (Mean_Node,177.881,(d)) (150-quincunx,3')\n(H7,207.937,(r)) (Mean_Node,177.881,(d)) (30-semisextile,3')\n(H4,114.784,(r)) (Uranus,294.795,(c)) (opposition,1')", "(Mean_Node,166.132,(r)) (H3,76.164,(c)) (square,2')\n(H4,114.784,(r)) (Uranus,294.632,(c)) (opposition,9')", '4', "(H3,86.448,(r)) (Venus,266.359,(c)) (opposition,5')", "(H8,238.003,(r)) (Mean_Node,148.062,(c)) (square,4')", '7', "(H1,27.937,(r)) (Pluto,267.877,(d)) (trine,4')\n(H7,207.937,(r)) (Pluto,267.877,(d)) (sextile,4')", "(H1,27.937,(r)) (Mars,297.853,(d)) (square,5')", '10', "(H3,86.448,(r)) (Sun,236.419,(d)) (150-quincunx,2')", '12', "(H10,294.784,(r)) (Mars,294.957,(d)) (conjunction,10')\n(Mars,275.534,(r)) (H10,275.478,(c)) (conjunction,3')", "(H3,86.448,(r)) (Jupiter,296.499,(c)) (150-quincunx,3')\n(H3,86.448,(r)) (Mean_Node,146.453,(c)) (sextile,0')\n(H10,294.784,(r)) (Mercury,234.727,(c)) (sextile,3')", 328]
['1997-11-16 15:21:36', "(Mean_Node,166.128,(r)) (H12,16.113,(c)) (150-quincunx,1')", "(Mean_Node,166.128,(r)) (H1,46.137,(c)) (trine,1')", "(Pluto,245.037,(r)) (H4,154.955,(d)) (square,5')\n(Mean_Node,166.128,(r)) (H1,46.047,(c)) (trine,5')\n(Mean_Node,166.128,(r)) (H7,226.047,(c)) (sextile,5')", "(Uranus,305.201,(r)) (H4,155.138,(d)) (150-quincunx,4')\n(Mercury,252.868,(r)) (H3,102.932,(c)) (150-quincunx,4')", '4', '5', "(Venus,280.908,(r)) (H8,280.962,(d)) (conjunction,3')", "(Mercury,252.868,(r)) (H3,132.886,(d)) (trine,1')\n(Jupiter,314.567,(r)) (H4,164.541,(d)) (150-quincunx,2')", '8', '9', '10', "(Venus,280.908,(r)) (H4,145.821,(d)) (135-sesquisquare,5')\n(H3,113.412,(r)) (Moon,83.488,(d)) (30-semisextile,5')\n(H3,113.412,(r)) (Pluto,248.439,(d)) (135-sesquisquare,2')\n(H4,143.465,(r)) (Moon,83.488,(d)) (sextile,1')\n(H7,236.668,(r)) (Sun,236.489,(d)) (conjunction,11')\n(Moon,81.341,(r)) (H3,111.252,(c)) (30-semisextile,5')", '12', "(Mean_Node,166.128,(r)) (H1,76.044,(d)) (square,5')\n(H10,323.465,(r)) (Mean_Node,188.525,(d)) (135-sesquisquare,4')", '14', 232]
['1997-11-16 04:04:39', '0', "(Mars,275.238,(r)) (H12,230.317,(d)) (45-semisquare,5')\n(Sun,233.833,(r)) (H3,293.836,(c)) (sextile,0')\n(Neptune,297.581,(r)) (H12,207.672,(c)) (square,5')", "(Mean_Node,166.153,(r)) (H4,345.983,(d)) (opposition,10')\n(Neptune,297.581,(r)) (H12,207.573,(c)) (square,0')\n(H4,334.216,(r)) (Mean_Node,154.339,(c)) (opposition,7')", "(Mean_Node,166.153,(r)) (H4,346.170,(d)) (opposition,1')\n(H3,304.238,(r)) (Mean_Node,154.156,(c)) (150-quincunx,5')\n(H4,334.216,(r)) (Mean_Node,154.156,(c)) (opposition,4')", '4', "(H7,69.399,(r)) (Sun,249.454,(d)) (opposition,3')\n(Sun,233.833,(r)) (H7,53.732,(c)) (opposition,6')", '6', "(H4,334.216,(r)) (Moon,94.132,(d)) (trine,5')", "(Saturn,14.340,(r)) (H12,194.463,(c)) (opposition,7')", '9', "(H1,249.399,(r)) (Jupiter,339.316,(d)) (square,5')", "(H7,69.399,(r)) (Mercury,249.557,(c)) (opposition,9')", '12', "(H1,249.399,(r)) (Mars,294.408,(d)) (45-semisquare,1')", "(H10,154.216,(r)) (Jupiter,334.096,(d)) (opposition,7')\n(Moon,74.796,(r)) (H10,134.786,(c)) (sextile,1')", 320]
['1997-11-16 11:37:28', "(Venus,280.764,(r)) (H1,10.826,(d)) (square,4')\n(Venus,280.764,(r)) (H7,190.826,(d)) (square,4')", "(H1,359.584,(r)) (Moon,89.564,(d)) (square,1')\n(H10,269.639,(r)) (Moon,89.564,(d)) (opposition,4')", "(H1,359.584,(r)) (Moon,89.648,(d)) (square,4')\n(H4,89.639,(r)) (Moon,89.648,(d)) (conjunction,1')\n(H7,179.584,(r)) (Moon,89.648,(d)) (square,4')", "(H4,89.639,(r)) (Moon,89.807,(d)) (conjunction,10')\n(Moon,79.184,(r)) (H4,79.363,(c)) (conjunction,11')", '4', "(Jupiter,314.548,(r)) (H4,104.482,(d)) (150-quincunx,4')\n(Mercury,252.650,(r)) (H7,162.617,(c)) (square,2')", "(Mean_Node,166.136,(r)) (H12,346.028,(d)) (opposition,6')\n(Venus,280.764,(r)) (H12,310.733,(c)) (30-semisextile,2')", '7', "(Mars,275.477,(r)) (H1,335.421,(c)) (sextile,3')\n(Mars,275.477,(r)) (H7,155.421,(c)) (trine,3')\n(Uranus,305.197,(r)) (H12,305.130,(c)) (conjunction,4')\n(H1,359.584,(r)) (Pluto,224.522,(c)) (135-sesquisquare,4')\n(H7,179.584,(r)) (Pluto,224.522,(c)) (45-semisquare,4')", '9', '10', '11', '12', '13', "(H10,269.639,(r)) (Mercury,269.754,(d)) (conjunction,7')", 287]
['1997-11-16 15:12:15', '0', '1', '2', "(Pluto,245.037,(r)) (H7,245.004,(d)) (conjunction,2')\n(Venus,280.902,(r)) (H3,100.763,(c)) (opposition,8')", "(H10,321.066,(r)) (Pluto,260.977,(d)) (sextile,5')\n(H3,111.198,(r)) (Mars,261.150,(c)) (150-quincunx,3')\n(H3,111.198,(r)) (Pluto,231.279,(c)) (trine,5')\n(H10,321.066,(r)) (Mars,261.150,(c)) (sextile,5')", "(H3,111.198,(r)) (Pluto,261.229,(d)) (150-quincunx,2')\n(H4,141.066,(r)) (Moon,96.111,(d)) (45-semisquare,3')\n(Pluto,245.037,(r)) (H4,124.988,(c)) (trine,3')\n(H4,141.066,(r)) (Pluto,231.013,(c)) (square,3')", '6', '7', '8', "(Mean_Node,166.128,(r)) (H10,346.128,(d)) (opposition,0')\n(H10,321.066,(r)) (Neptune,321.095,(d)) (conjunction,2')\n(Neptune,297.590,(r)) (H10,297.599,(c)) (conjunction,1')\n(H10,321.066,(r)) (Mean_Node,141.242,(c)) (opposition,11')", '10', '11', "(H2,82.923,(r)) (Neptune,322.879,(d)) (trine,3')\n(H10,321.066,(r)) (Mercury,276.146,(d)) (45-semisquare,5')", "(Mercury,252.859,(r)) (H10,342.859,(d)) (square,0')", "(Venus,280.902,(r)) (H10,340.817,(d)) (sextile,5')", 298]
['1997-11-16 14:02:00', '0', "(Saturn,14.319,(r)) (H10,314.283,(d)) (sextile,2')", "(Saturn,14.319,(r)) (H4,134.375,(d)) (trine,3')\n(H4,123.531,(r)) (Saturn,3.615,(c)) (trine,5')", "(Jupiter,314.560,(r)) (H4,134.548,(d)) (opposition,1')\n(H3,94.824,(r)) (Sun,244.859,(d)) (150-quincunx,2')", '4', '5', "(Sun,234.251,(r)) (H1,54.106,(d)) (opposition,9')\n(H8,246.629,(r)) (Moon,96.597,(d)) (150-quincunx,2')\n(H8,246.629,(r)) (Mars,291.709,(d)) (45-semisquare,5')\n(H1,37.181,(r)) (Sun,217.261,(c)) (opposition,5')", "(Jupiter,314.560,(r)) (H4,104.618,(c)) (150-quincunx,3')", '8', "(Mean_Node,166.131,(r)) (H6,211.191,(d)) (45-semisquare,4')\n(Mercury,252.791,(r)) (H1,12.722,(c)) (trine,4')", "(Mercury,252.791,(r)) (H1,12.717,(c)) (trine,4')", "(H4,123.531,(r)) (Mean_Node,168.566,(d)) (45-semisquare,2')", '12', "(Sun,234.251,(r)) (H10,324.281,(d)) (square,2')", '14', 215]
['1997-11-16 11:16:56', "(Mars,275.466,(r)) (H1,5.399,(d)) (square,4')\n(Mars,275.466,(r)) (H7,185.399,(d)) (square,4')", "(Mercury,252.630,(r)) (H1,342.678,(c)) (square,3')\n(Neptune,297.587,(r)) (H1,342.678,(c)) (45-semisquare,5')\n(H10,264.914,(r)) (Uranus,294.922,(c)) (30-semisextile,0')", "(Pluto,245.030,(r)) (H4,95.013,(d)) (150-quincunx,1')\n(Mercury,252.630,(r)) (H1,342.582,(c)) (square,3')\n(Mercury,252.630,(r)) (H7,162.582,(c)) (square,3')\n(Neptune,297.587,(r)) (H1,342.582,(c)) (45-semisquare,0')\n(Neptune,297.587,(r)) (H7,162.582,(c)) (135-sesquisquare,0')\n(H4,84.914,(r)) (Uranus,294.835,(c)) (150-quincunx,5')", "(Uranus,305.196,(r)) (H4,95.172,(d)) (150-quincunx,1')\n(Jupiter,314.547,(r)) (H4,74.595,(c)) (trine,3')\n(H3,56.299,(r)) (Pluto,236.229,(c)) (opposition,4')", '4', '5', "(Venus,280.751,(r)) (H4,100.788,(d)) (opposition,2')", '7', "(Mean_Node,166.137,(r)) (H4,106.144,(d)) (sextile,0')", "(Saturn,14.324,(r)) (H1,329.400,(c)) (45-semisquare,5')", '10', "(H3,56.299,(r)) (Sun,236.344,(d)) (opposition,3')\n(Sun,234.135,(r)) (H3,54.090,(c)) (opposition,3')", "(Neptune,297.587,(r)) (H1,327.643,(c)) (30-semisextile,3')", '13', '14', 251]
['1997-11-16 15:28:55', '0', "(Saturn,14.316,(r)) (H10,314.255,(c)) (sextile,4')", '2', "(Jupiter,314.568,(r)) (H3,104.641,(c)) (150-quincunx,4')", "(H1,58.415,(r)) (Saturn,358.390,(c)) (sextile,2')", "(Venus,280.912,(r)) (H3,130.868,(d)) (150-quincunx,3')\n(Mercury,252.875,(r)) (H7,222.827,(c)) (30-semisextile,3')", "(Venus,280.912,(r)) (H8,250.845,(c)) (30-semisextile,4')", "(Jupiter,314.568,(r)) (H3,134.738,(d)) (opposition,10')\n(H4,145.362,(r)) (Uranus,325.529,(d)) (opposition,10')\n(Uranus,305.201,(r)) (H4,125.304,(c)) (opposition,6')\n(H3,115.160,(r)) (Mean_Node,145.106,(c)) (30-semisextile,3')\n(H4,145.362,(r)) (Jupiter,295.348,(c)) (150-quincunx,1')", "(H1,58.415,(r)) (Uranus,283.447,(c)) (135-sesquisquare,2')\n(H7,238.415,(r)) (Uranus,283.447,(c)) (45-semisquare,2')", '9', "(H1,58.415,(r)) (Moon,103.355,(d)) (45-semisquare,4')\n(Uranus,305.201,(r)) (H1,35.181,(c)) (square,1')", "(H7,238.415,(r)) (Venus,283.474,(d)) (45-semisquare,4')", "(H2,86.754,(r)) (Saturn,41.708,(d)) (45-semisquare,3')\n(H2,86.754,(r)) (Pluto,221.780,(c)) (135-sesquisquare,2')", "(H10,325.362,(r)) (Pluto,265.430,(d)) (sextile,4')", "(Moon,81.412,(r)) (H10,306.403,(c)) (135-sesquisquare,1')", 221]
