Row 1: {'time': '1997-11-16 03:45:51', 'p_a_conj': 3, 'p_a_maj': 3, 'p_a_allm': 6, 'p_a_min': 2, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_allm': 4, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 3, 'e': 5, 'all_conj': 5}
Row 2: {'time': '1997-11-16 03:30:08', 'p_a_conj': 4, 'p_a_maj': 4, 'p_a_allm': 8, 'p_a_min': 1, 'a_p_conj': 2, 'a_p_maj': 4, 'a_p_allm': 6, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 0, 'e': 5, 'all_conj': 7}
Row 3: {'time': '1997-11-16 03:14:39', 'p_a_conj': 4, 'p_a_maj': 1, 'p_a_allm': 5, 'p_a_min': 2, 'a_p_conj': 3, 'a_p_maj': 5, 'a_p_allm': 8, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_allm': 2, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 2, 'e': 5, 'all_conj': 8}
Row 4: {'time': '1997-11-16 05:27:59', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_allm': 4, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 7, 'p_h_conj': 2, 'p_h_maj': 0, 'p_h_allm': 2, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 0, 'h_p_allm': 2, 'h_p_min': 1, 'e': 5, 'all_conj': 6}
Row 5: {'time': '1997-11-16 07:14:07', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_allm': 2, 'p_a_min': 3, 'a_p_conj': 0, 'a_p_maj': 2, 'a_p_allm': 2, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 2, 'h_p_allm': 4, 'h_p_min': 2, 'e': 6, 'all_conj': 2}
Row 6: {'time': '1997-11-16 13:25:35', 'p_a_conj': 4, 'p_a_maj': 4, 'p_a_allm': 8, 'p_a_min': 2, 'a_p_conj': 3, 'a_p_maj': 1, 'a_p_allm': 4, 'a_p_min': 1, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_allm': 3, 'p_h_min': 2, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'e': 4, 'all_conj': 8}
Row 7: {'time': '1997-11-16 15:21:36', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_allm': 2, 'p_a_min': 1, 'a_p_conj': 0, 'a_p_maj': 5, 'a_p_allm': 5, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 2, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 3, 'e': 7, 'all_conj': 2}
Row 8: {'time': '1997-11-16 04:04:39', 'p_a_conj': 5, 'p_a_maj': 2, 'p_a_allm': 7, 'p_a_min': 1, 'a_p_conj': 3, 'a_p_maj': 1, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 3, 'h_p_allm': 4, 'h_p_min': 1, 'e': 5, 'all_conj': 9}
Row 9: {'time': '1997-11-16 11:37:28', 'p_a_conj': 4, 'p_a_maj': 3, 'p_a_allm': 7, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 5, 'a_p_allm': 6, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 0, 'h_p_allm': 2, 'h_p_min': 1, 'e': 7, 'all_conj': 7}
Row 10: {'time': '1997-11-16 15:12:15', 'p_a_conj': 2, 'p_a_maj': 3, 'p_a_allm': 5, 'p_a_min': 2, 'a_p_conj': 3, 'a_p_maj': 3, 'a_p_allm': 6, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_allm': 2, 'p_h_min': 2, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'e': 8, 'all_conj': 6}
Row 11: {'time': '1997-11-16 14:02:00', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_allm': 2, 'p_a_min': 1, 'a_p_conj': 2, 'a_p_maj': 5, 'a_p_allm': 7, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 3, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 1, 'e': 6, 'all_conj': 3}
