Row 1: {'time': '1997-11-16 03:45:51', 'p_a_conj': 6, 'p_a_maj': 17, 'p_a_allm': 23, 'p_a_min': 26, 'e': 0, 'all_conj': 6}
Row 2: {'time': '1997-11-16 03:30:08', 'p_a_conj': 5, 'p_a_maj': 17, 'p_a_allm': 22, 'p_a_min': 20, 'e': 1, 'all_conj': 5}
Row 3: {'time': '1997-11-16 03:14:39', 'p_a_conj': 5, 'p_a_maj': 11, 'p_a_allm': 16, 'p_a_min': 30, 'e': 0, 'all_conj': 5}
Row 4: {'time': '1997-11-16 05:27:59', 'p_a_conj': 7, 'p_a_maj': 13, 'p_a_allm': 20, 'p_a_min': 20, 'e': 1, 'all_conj': 7}
Row 5: {'time': '1997-11-16 07:14:07', 'p_a_conj': 10, 'p_a_maj': 15, 'p_a_allm': 25, 'p_a_min': 14, 'e': 1, 'all_conj': 10}
Row 6: {'time': '1997-11-16 13:25:35', 'p_a_conj': 5, 'p_a_maj': 21, 'p_a_allm': 26, 'p_a_min': 18, 'e': 1, 'all_conj': 5}
Row 7: {'time': '1997-11-16 15:21:36', 'p_a_conj': 2, 'p_a_maj': 12, 'p_a_allm': 14, 'p_a_min': 23, 'e': 0, 'all_conj': 2}
Row 8: {'time': '1997-11-16 04:04:39', 'p_a_conj': 2, 'p_a_maj': 15, 'p_a_allm': 17, 'p_a_min': 28, 'e': 1, 'all_conj': 2}
Row 9: {'time': '1997-11-16 11:37:28', 'p_a_conj': 5, 'p_a_maj': 14, 'p_a_allm': 19, 'p_a_min': 22, 'e': 6, 'all_conj': 5}
Row 10: {'time': '1997-11-16 15:12:15', 'p_a_conj': 3, 'p_a_maj': 13, 'p_a_allm': 16, 'p_a_min': 26, 'e': 1, 'all_conj': 3}
Row 11: {'time': '1997-11-16 14:02:00', 'p_a_conj': 4, 'p_a_maj': 25, 'p_a_allm': 29, 'p_a_min': 27, 'e': 1, 'all_conj': 4}
Row 12: {'time': '1997-11-16 11:16:56', 'p_a_conj': 3, 'p_a_maj': 18, 'p_a_allm': 21, 'p_a_min': 17, 'e': 3, 'all_conj': 3}
Row 13: {'time': '1997-11-16 15:28:55', 'p_a_conj': 5, 'p_a_maj': 18, 'p_a_allm': 23, 'p_a_min': 28, 'e': 0, 'all_conj': 5}
Row 14: {'time': '1997-11-16 09:57:12', 'p_a_conj': 5, 'p_a_maj': 17, 'p_a_allm': 22, 'p_a_min': 28, 'e': 0, 'all_conj': 5}
Row 15: {'time': '1997-11-16 09:40:16', 'p_a_conj': 3, 'p_a_maj': 21, 'p_a_allm': 24, 'p_a_min': 20, 'e': 0, 'all_conj': 3}
Row 16: {'time': '1997-11-16 11:30:00', 'p_a_conj': 6, 'p_a_maj': 15, 'p_a_allm': 21, 'p_a_min': 19, 'e': 4, 'all_conj': 6}
Row 17: {'time': '1997-11-16 07:53:12', 'p_a_conj': 6, 'p_a_maj': 15, 'p_a_allm': 21, 'p_a_min': 32, 'e': 0, 'all_conj': 6}
