['Time', '0: 2008-09-05', '1: 2009-01-14', '2: 2009-03-19', '3: 2012-03-06', '4: 2012-11-14', '5: 2012-12-12', '6: 2013-12-12', '7: 2014-03-24', '8: 2015-05-27', '9: 2016-05-26', '10: 2017-09-15', '11: 2017-09-22', '12: 2018-02-19', '13: 2019-05-22', '14: 2019-08-13', '15: 2021-04-06', '16: 2021-07-10', '17: 2022-01-03', '18: 2022-05-25', '19: 2024-02-28', '20: 2024-03-08', 'Count']
['2000-03-11 10:39:19', "(H4,177.028,(r)) (Neptune,296.999,(c)) (trine,2')", '1', "(H3,142.582,(r)) (Mercury,322.613,(c)) (opposition,2')", "(Moon,57.019,(r)) (H1,87.065,(d)) (30-semisextile,3')", '4', "(Neptune,305.687,(r)) (H1,65.596,(c)) (trine,5')\n(H9,322.582,(r)) (Jupiter,22.651,(c)) (sextile,4')", "(H3,142.582,(r)) (Mars,7.587,(c)) (135-sesquisquare,0')", "(Moon,57.019,(r)) (H4,192.077,(d)) (135-sesquisquare,3')", "(Saturn,43.334,(r)) (H4,193.329,(d)) (150-quincunx,0')\n(Uranus,318.705,(r)) (H8,273.795,(c)) (45-semisquare,5')\n(H4,177.028,(r)) (Venus,311.988,(c)) (135-sesquisquare,2')", "(H10,357.028,(r)) (Moon,42.104,(c)) (45-semisquare,5')", '10', '11', '12', "(H1,76.534,(r)) (Neptune,286.622,(c)) (150-quincunx,5')\n(H10,357.028,(r)) (Mercury,312.065,(c)) (45-semisquare,2')", "(Mars,21.409,(r)) (H10,336.370,(c)) (45-semisquare,2')", "(H4,177.028,(r)) (Mars,42.077,(d)) (135-sesquisquare,3')", '16', '17', "(H10,357.028,(r)) (Mercury,357.053,(d)) (conjunction,1')\n(Mercury,333.394,(r)) (H10,333.467,(c)) (conjunction,4')\n(Venus,327.480,(r)) (H1,57.569,(c)) (square,5')", "(H4,177.028,(r)) (Jupiter,57.059,(d)) (trine,2')\n(H4,177.028,(r)) (Mean_Node,147.103,(d)) (30-semisextile,5')", "(H10,357.028,(r)) (Jupiter,57.082,(d)) (sextile,3')", 262]
['2000-03-11 12:58:23', "(Pluto,252.898,(r)) (H4,222.951,(d)) (30-semisextile,3')\n(H1,109.056,(r)) (Pluto,259.141,(d)) (150-quincunx,5')\n(H7,289.056,(r)) (Pluto,259.141,(d)) (30-semisextile,5')\n(H1,109.056,(r)) (Pluto,244.020,(c)) (135-sesquisquare,2')\n(H7,289.056,(r)) (Pluto,244.020,(c)) (45-semisquare,2')", "(Saturn,43.343,(r)) (H4,223.308,(d)) (opposition,2')\n(H4,214.397,(r)) (Pluto,259.460,(d)) (45-semisquare,4')", "(Moon,58.372,(r)) (H7,298.330,(d)) (trine,3')\n(Pluto,252.898,(r)) (H3,192.896,(d)) (sextile,0')", "(Mean_Node,121.332,(r)) (H1,121.502,(d)) (conjunction,10')\n(Uranus,318.710,(r)) (H9,348.671,(c)) (30-semisextile,2')\n(H1,109.056,(r)) (Mean_Node,109.052,(c)) (conjunction,0')\n(H9,2.504,(r)) (Moon,47.549,(c)) (45-semisquare,3')", "(Sun,351.262,(r)) (H10,21.252,(c)) (30-semisextile,1')", "(Sun,351.262,(r)) (H10,21.171,(c)) (30-semisextile,5')", "(Mercury,333.359,(r)) (H1,123.425,(d)) (150-quincunx,4')\n(Mercury,333.359,(r)) (H3,198.294,(d)) (135-sesquisquare,4')", "(H7,289.056,(r)) (Jupiter,49.081,(d)) (trine,1')\n(Mean_Node,121.332,(r)) (H3,166.324,(c)) (45-semisquare,0')", '8', '9', '10', '11', '12', '13', '14', '15', "(H1,109.056,(r)) (Saturn,64.123,(d)) (45-semisquare,4')\n(Neptune,305.690,(r)) (H12,65.690,(c)) (trine,0')", '17', '18', '19', "(Mercury,333.359,(r)) (H6,243.354,(c)) (square,0')", 228]
['2000-03-11 15:00:31', "(Saturn,43.352,(r)) (H1,133.383,(c)) (square,2')\n(Saturn,43.352,(r)) (H7,313.383,(c)) (square,2')", "(Pluto,252.898,(r)) (H4,252.907,(d)) (conjunction,1')\n(Pluto,252.898,(r)) (H1,132.966,(c)) (trine,4')\n(Pluto,252.898,(r)) (H7,312.966,(c)) (sextile,4')", "(Pluto,252.898,(r)) (H4,253.068,(d)) (conjunction,10')", '3', "(Mean_Node,121.327,(r)) (H10,76.419,(d)) (45-semisquare,6')", "(H10,64.709,(r)) (Uranus,304.747,(c)) (trine,2')", "(H3,217.445,(r)) (Mars,37.338,(d)) (opposition,6')\n(Mars,21.544,(r)) (H10,51.617,(c)) (30-semisextile,4')", "(Sun,351.347,(r)) (H4,231.346,(c)) (trine,0')\n(H4,244.709,(r)) (Jupiter,19.703,(c)) (135-sesquisquare,0')", "(Uranus,318.714,(r)) (H4,258.727,(d)) (sextile,1')\n(Neptune,305.692,(r)) (H1,125.739,(c)) (opposition,3')\n(H8,3.495,(r)) (Mars,3.598,(c)) (conjunction,6')", "(Saturn,43.352,(r)) (H8,343.307,(c)) (sextile,3')", "(Mean_Node,121.327,(r)) (H1,166.239,(d)) (45-semisquare,5')", '11', "(H3,217.445,(r)) (Venus,307.483,(c)) (square,2')", '13', "(H1,143.562,(r)) (Saturn,23.556,(c)) (trine,0')", '15', "(Mercury,333.330,(r)) (H12,93.281,(c)) (trine,3')", '17', "(H10,64.709,(r)) (Sun,19.691,(d)) (45-semisquare,1')\n(Venus,327.704,(r)) (H9,12.710,(c)) (45-semisquare,0')", '19', "(Uranus,318.714,(r)) (H6,318.876,(d)) (conjunction,10')", 346]
['2000-03-11 15:44:39', "(H1,157.876,(r)) (Mean_Node,112.796,(c)) (45-semisquare,5')\n(H7,337.876,(r)) (Mean_Node,112.796,(c)) (135-sesquisquare,5')", "(H4,255.089,(r)) (Neptune,315.109,(d)) (sextile,1')", '2', "(Mean_Node,121.325,(r)) (H9,61.253,(d)) (sextile,4')", "(H9,49.235,(r)) (Jupiter,49.159,(d)) (conjunction,5')\n(Mercury,333.319,(r)) (H10,63.347,(c)) (square,2')", "(H9,49.235,(r)) (Jupiter,49.240,(d)) (conjunction,0')\n(H10,75.089,(r)) (Venus,345.074,(d)) (square,1')\n(Mercury,333.319,(r)) (H10,63.275,(c)) (square,3')", "(H1,157.876,(r)) (Mars,37.794,(d)) (trine,5')", "(Mercury,333.319,(r)) (H3,243.251,(d)) (square,4')", "(Mars,21.567,(r)) (H12,141.642,(d)) (trine,5')\n(Saturn,43.354,(r)) (H1,178.346,(d)) (135-sesquisquare,1')\n(H1,157.876,(r)) (Uranus,337.731,(d)) (opposition,9')\n(Uranus,318.716,(r)) (H1,138.711,(c)) (opposition,0')", "(Moon,59.991,(r)) (H10,60.020,(c)) (conjunction,2')\n(Uranus,318.716,(r)) (H12,108.631,(c)) (150-quincunx,5')", '10', '11', "(Mean_Node,121.325,(r)) (H4,271.378,(d)) (150-quincunx,3')\n(H4,255.089,(r)) (Sun,15.072,(d)) (trine,1')", "(Uranus,318.716,(r)) (H1,183.787,(d)) (135-sesquisquare,4')", '14', "(H4,255.089,(r)) (Uranus,345.177,(d)) (square,5')", '16', '17', '18', "(H1,157.876,(r)) (Sun,22.843,(d)) (135-sesquisquare,2')", "(H1,157.876,(r)) (Sun,22.874,(d)) (135-sesquisquare,0')", 319]
['2000-03-11 13:49:19', '0', '1', "(H4,227.367,(r)) (Sun,2.333,(d)) (135-sesquisquare,2')", "(Moon,58.868,(r)) (H10,58.940,(d)) (conjunction,4')\n(H9,17.384,(r)) (Jupiter,47.469,(d)) (30-semisextile,5')\n(H10,47.367,(r)) (Jupiter,47.469,(d)) (conjunction,6')\n(Uranus,318.712,(r)) (H9,3.623,(c)) (45-semisquare,5')\n(H9,17.384,(r)) (Mercury,317.469,(c)) (sextile,5')", "(Jupiter,34.764,(r)) (H10,34.678,(c)) (conjunction,5')\n(H10,47.367,(r)) (Moon,47.516,(c)) (conjunction,9')", "(H9,17.384,(r)) (Mercury,347.330,(d)) (30-semisextile,3')\n(H10,47.367,(r)) (Mercury,347.330,(d)) (sextile,2')\n(Jupiter,34.764,(r)) (H10,34.599,(c)) (conjunction,10')\n(H9,17.384,(r)) (Moon,47.442,(c)) (30-semisextile,3')\n(H10,47.367,(r)) (Moon,47.442,(c)) (conjunction,5')", "(Mercury,333.347,(r)) (H1,108.257,(c)) (135-sesquisquare,5')", "(Uranus,318.712,(r)) (H7,318.602,(d)) (conjunction,7')\n(Mercury,333.347,(r)) (H4,213.294,(c)) (trine,3')\n(Mean_Node,121.330,(r)) (H3,181.256,(c)) (sextile,4')", "(H4,227.367,(r)) (Venus,347.389,(d)) (trine,1')\n(H8,340.978,(r)) (Venus,310.992,(c)) (30-semisextile,1')", "(Sun,351.298,(r)) (H1,141.232,(d)) (150-quincunx,4')", '10', '11', '12', "(Neptune,305.691,(r)) (H10,65.724,(d)) (trine,2')\n(Pluto,252.898,(r)) (H1,102.933,(c)) (150-quincunx,2')\n(Pluto,252.898,(r)) (H10,27.977,(c)) (135-sesquisquare,5')", "(Uranus,318.712,(r)) (H12,78.759,(c)) (trine,3')", '15', '16', '17', '18', "(Jupiter,34.764,(r)) (H3,169.789,(c)) (135-sesquisquare,2')", '20', 368]
['2000-03-11 07:46:39', "(Mars,21.320,(r)) (H12,21.233,(d)) (conjunction,5')", "(Mean_Node,121.343,(r)) (H1,31.436,(c)) (square,6')\n(Mean_Node,121.343,(r)) (H7,211.436,(c)) (square,6')", "(Mean_Node,121.343,(r)) (H7,211.284,(c)) (square,4')", '3', "(Sun,351.046,(r)) (H9,291.024,(d)) (sextile,1')", "(Sun,351.046,(r)) (H9,291.097,(d)) (sextile,3')", "(Moon,55.340,(r)) (H10,325.273,(d)) (square,4')", "(Sun,351.046,(r)) (H7,231.051,(d)) (trine,0')", '8', '9', '10', '11', '12', '13', '14', "(H4,131.529,(r)) (Mean_Node,101.614,(c)) (30-semisextile,5')", "(Mars,21.320,(r)) (H10,291.243,(c)) (square,5')", "(Mercury,333.439,(r)) (H10,333.576,(d)) (conjunction,8')\n(H10,311.529,(r)) (Mercury,311.648,(c)) (conjunction,7')", "(H10,311.529,(r)) (Uranus,341.461,(d)) (30-semisextile,4')", '19', "(H6,193.324,(r)) (Uranus,343.325,(d)) (150-quincunx,0')\n(Uranus,318.699,(r)) (H10,288.783,(c)) (30-semisextile,5')\n(H6,193.324,(r)) (Jupiter,13.455,(c)) (opposition,8')", 228]
['2000-03-11 15:49:35', "(H1,159.528,(r)) (Moon,69.563,(d)) (square,2')\n(H1,159.528,(r)) (Venus,339.465,(d)) (opposition,4')\n(H7,339.528,(r)) (Moon,69.563,(d)) (square,2')\n(H7,339.528,(r)) (Venus,339.465,(d)) (conjunction,4')", '1', "(Venus,327.746,(r)) (H7,327.874,(c)) (conjunction,8')\n(H7,339.528,(r)) (Sun,339.578,(c)) (conjunction,3')", '3', "(Venus,327.746,(r)) (H10,87.751,(d)) (trine,0')", "(Mercury,333.318,(r)) (H9,63.228,(d)) (square,5')\n(Venus,327.746,(r)) (H10,87.820,(d)) (trine,4')", '6', "(H3,230.520,(r)) (Jupiter,50.629,(d)) (opposition,7')\n(H4,256.236,(r)) (Mean_Node,136.224,(d)) (trine,1')\n(Mercury,333.318,(r)) (H4,243.252,(c)) (square,4')", "(Moon,60.039,(r)) (H1,180.059,(d)) (trine,1')\n(Moon,60.039,(r)) (H4,270.039,(d)) (150-quincunx,0')\n(H1,159.528,(r)) (Mars,39.493,(d)) (trine,2')\n(Moon,60.039,(r)) (H8,0.078,(c)) (sextile,2')\n(H4,256.236,(r)) (Mean_Node,106.296,(c)) (150-quincunx,4')", '9', "(Moon,60.039,(r)) (H10,59.972,(c)) (conjunction,4')", "(Mercury,333.318,(r)) (H1,183.231,(d)) (150-quincunx,5')", "(Uranus,318.716,(r)) (H7,3.791,(d)) (45-semisquare,5')\n(H3,230.520,(r)) (Mean_Node,140.569,(d)) (square,3')", "(Uranus,318.716,(r)) (H10,93.645,(d)) (135-sesquisquare,4')\n(H10,76.236,(r)) (Neptune,286.287,(c)) (150-quincunx,3')", '14', "(Saturn,43.355,(r)) (H1,133.262,(c)) (square,6')\n(Saturn,43.355,(r)) (H7,313.262,(c)) (square,6')", "(H10,76.236,(r)) (Mars,46.297,(d)) (30-semisextile,4')\n(Pluto,252.898,(r)) (H1,132.960,(c)) (trine,4')", '17', "(H1,159.528,(r)) (Jupiter,9.613,(c)) (150-quincunx,5')", "(H4,256.236,(r)) (Venus,301.163,(c)) (45-semisquare,4')", "(Mercury,333.318,(r)) (H6,333.370,(d)) (conjunction,3')", 427]
['2000-03-11 12:09:04', '0', "(Neptune,305.689,(r)) (H12,65.636,(c)) (trine,3')\n(H1,96.954,(r)) (Mercury,322.019,(c)) (135-sesquisquare,4')\n(H7,276.954,(r)) (Mercury,322.019,(c)) (45-semisquare,4')", '2', '3', "(H1,96.954,(r)) (Sun,336.884,(c)) (trine,4')", "(Jupiter,34.749,(r)) (H10,34.610,(d)) (conjunction,8')", "(H3,168.028,(r)) (Mercury,347.991,(d)) (opposition,2')\n(H1,96.954,(r)) (Mars,6.903,(c)) (square,3')", '7', "(H8,311.433,(r)) (Moon,71.509,(d)) (trine,5')\n(H8,311.433,(r)) (Venus,311.542,(c)) (conjunction,7')", '9', "(H1,96.954,(r)) (Jupiter,51.989,(d)) (45-semisquare,2')\n(Sun,351.228,(r)) (H1,81.157,(c)) (square,4')", '11', "(Moon,57.892,(r)) (H3,147.869,(c)) (square,1')", '13', '14', "(Moon,57.892,(r)) (H1,117.804,(d)) (sextile,5')\n(Moon,57.892,(r)) (H7,297.804,(d)) (trine,5')\n(Pluto,252.898,(r)) (H4,222.987,(d)) (30-semisextile,5')", "(Saturn,43.340,(r)) (H10,43.246,(d)) (conjunction,6')\n(H1,96.954,(r)) (Pluto,231.966,(c)) (135-sesquisquare,1')", '17', '18', '19', '20', 243]
['2000-03-11 09:23:28', '0', "(Venus,327.415,(r)) (H4,147.335,(c)) (opposition,5')\n(Pluto,252.897,(r)) (H12,27.961,(c)) (135-sesquisquare,4')", '2', '3', '4', '5', '6', "(H4,156.503,(r)) (Sun,336.670,(c)) (opposition,10')", "(Pluto,252.897,(r)) (H1,73.009,(d)) (opposition,7')", "(Sun,351.113,(r)) (H12,21.161,(c)) (30-semisextile,3')", "(Uranus,318.702,(r)) (H10,318.559,(c)) (conjunction,9')", "(Uranus,318.702,(r)) (H10,318.540,(c)) (conjunction,10')", "(Sun,351.113,(r)) (H3,141.135,(d)) (150-quincunx,1')\n(H3,122.636,(r)) (Sun,332.706,(c)) (150-quincunx,4')", "(H1,60.038,(r)) (Saturn,60.017,(d)) (conjunction,1')\n(Mercury,333.413,(r)) (H12,18.385,(c)) (45-semisquare,2')", "(H1,60.038,(r)) (Saturn,60.215,(d)) (conjunction,11')\n(H9,302.636,(r)) (Mars,2.594,(c)) (sextile,3')", "(H4,156.503,(r)) (Venus,306.561,(c)) (150-quincunx,3')", "(H1,60.038,(r)) (Neptune,285.011,(c)) (135-sesquisquare,2')", "(Uranus,318.702,(r)) (H1,78.722,(d)) (trine,1')\n(H10,336.503,(r)) (Moon,36.454,(c)) (sextile,3')", '18', '19', "(Venus,327.415,(r)) (H6,237.478,(d)) (square,4')", 277]
['2000-03-11 07:40:08', '0', "(Uranus,318.699,(r)) (H4,138.639,(d)) (opposition,4')\n(H4,129.907,(r)) (Mean_Node,129.953,(d)) (conjunction,3')\n(Mercury,333.440,(r)) (H12,3.464,(c)) (30-semisextile,1')\n(Mean_Node,121.343,(r)) (H4,121.395,(c)) (conjunction,3')", "(Uranus,318.699,(r)) (H4,138.814,(d)) (opposition,7')\n(Mean_Node,121.343,(r)) (H4,121.228,(c)) (conjunction,7')", "(Uranus,318.699,(r)) (H9,288.790,(d)) (30-semisextile,5')\n(Venus,327.326,(r)) (H1,27.267,(c)) (sextile,4')", '4', '5', '6', '7', '8', "(Sun,351.042,(r)) (H8,261.065,(d)) (square,1')", "(Venus,327.326,(r)) (H10,327.417,(d)) (conjunction,5')", '11', '12', '13', '14', "(Mean_Node,121.343,(r)) (H12,31.296,(d)) (square,3')", '16', "(H10,309.907,(r)) (Mercury,354.942,(d)) (45-semisquare,2')\n(Uranus,318.699,(r)) (H1,18.674,(c)) (sextile,1')", '18', '19', '20', 212]
