Row 1: {'time': '2000-03-11 10:39:19', 'p_a_conj': 4, 'p_a_maj': 9, 'p_a_allm': 13, 'p_a_min': 9, 'p_h_conj': 1, 'p_h_maj': 4, 'p_h_allm': 5, 'p_h_min': 15, 'mon_p_conj': 6, 'mon_p_maj': 4, 'mon_p_allm': 10, 'mon_p_min': 5, 'e': 5, 'all_conj': 11}
Row 2: {'time': '2000-03-11 12:58:23', 'p_a_conj': 6, 'p_a_maj': 7, 'p_a_allm': 13, 'p_a_min': 12, 'p_h_conj': 2, 'p_h_maj': 3, 'p_h_allm': 5, 'p_h_min': 6, 'mon_p_conj': 3, 'mon_p_maj': 6, 'mon_p_allm': 9, 'mon_p_min': 11, 'e': 1, 'all_conj': 11}
Row 3: {'time': '2000-03-11 15:00:31', 'p_a_conj': 8, 'p_a_maj': 6, 'p_a_allm': 14, 'p_a_min': 7, 'p_h_conj': 3, 'p_h_maj': 7, 'p_h_allm': 10, 'p_h_min': 10, 'mon_p_conj': 3, 'mon_p_maj': 7, 'mon_p_allm': 10, 'mon_p_min': 9, 'e': 2, 'all_conj': 14}
Row 7: {'time': '2000-03-11 15:49:35', 'p_a_conj': 10, 'p_a_maj': 10, 'p_a_allm': 20, 'p_a_min': 15, 'p_h_conj': 2, 'p_h_maj': 2, 'p_h_allm': 4, 'p_h_min': 4, 'mon_p_conj': 2, 'mon_p_maj': 13, 'mon_p_allm': 15, 'mon_p_min': 4, 'e': 1, 'all_conj': 14}
Row 9: {'time': '2000-03-11 09:23:28', 'p_a_conj': 11, 'p_a_maj': 11, 'p_a_allm': 22, 'p_a_min': 23, 'p_h_conj': 1, 'p_h_maj': 3, 'p_h_allm': 4, 'p_h_min': 7, 'mon_p_conj': 3, 'mon_p_maj': 4, 'mon_p_allm': 7, 'mon_p_min': 7, 'e': 3, 'all_conj': 15}
Row 11: {'time': '2000-03-11 15:24:56', 'p_a_conj': 6, 'p_a_maj': 4, 'p_a_allm': 10, 'p_a_min': 6, 'p_h_conj': 3, 'p_h_maj': 2, 'p_h_allm': 5, 'p_h_min': 1, 'mon_p_conj': 2, 'mon_p_maj': 7, 'mon_p_allm': 9, 'mon_p_min': 5, 'e': 8, 'all_conj': 11}
Row 17: {'time': '2000-03-11 08:49:51', 'p_a_conj': 8, 'p_a_maj': 14, 'p_a_allm': 22, 'p_a_min': 15, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_allm': 2, 'p_h_min': 13, 'mon_p_conj': 4, 'mon_p_maj': 5, 'mon_p_allm': 9, 'mon_p_min': 8, 'e': 1, 'all_conj': 12}
Row 41: {'time': '2000-03-11 07:41:20', 'p_a_conj': 6, 'p_a_maj': 4, 'p_a_allm': 10, 'p_a_min': 8, 'p_h_conj': 0, 'p_h_maj': 6, 'p_h_allm': 6, 'p_h_min': 7, 'mon_p_conj': 5, 'mon_p_maj': 9, 'mon_p_allm': 14, 'mon_p_min': 11, 'e': 2, 'all_conj': 11}
Row 59: {'time': '2000-03-11 08:26:23', 'p_a_conj': 3, 'p_a_maj': 15, 'p_a_allm': 18, 'p_a_min': 9, 'p_h_conj': 4, 'p_h_maj': 4, 'p_h_allm': 8, 'p_h_min': 5, 'mon_p_conj': 4, 'mon_p_maj': 8, 'mon_p_allm': 12, 'mon_p_min': 9, 'e': 1, 'all_conj': 11}
Row 62: {'time': '2000-03-11 10:25:51', 'p_a_conj': 7, 'p_a_maj': 2, 'p_a_allm': 9, 'p_a_min': 7, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 7, 'mon_p_conj': 6, 'mon_p_maj': 4, 'mon_p_allm': 10, 'mon_p_min': 6, 'e': 3, 'all_conj': 14}
Row 78: {'time': '2000-03-11 10:11:59', 'p_a_conj': 5, 'p_a_maj': 3, 'p_a_allm': 8, 'p_a_min': 13, 'p_h_conj': 2, 'p_h_maj': 2, 'p_h_allm': 4, 'p_h_min': 8, 'mon_p_conj': 6, 'mon_p_maj': 5, 'mon_p_allm': 11, 'mon_p_min': 5, 'e': 5, 'all_conj': 13}
