['Time', '0: 2017-09-22', '1: 2024-10-25', '2: 2018-02-19', '3: 2021-04-06', '4: 2016-05-26', '5: 2022-01-01', 'Count']
['2014-03-24 00:07:28', '0', "(Uranus,11.938,(r)) (H3,11.933,(d)) (conjunction,0')\n(Mercury,337.585,(r)) (H10,202.564,(c)) (135-sesquisquare,1')\n(H3,1.331,(r)) (Jupiter,91.424,(c)) (square,6')\n(H3,1.331,(r)) (Uranus,1.286,(c)) (conjunction,3')", "(Mercury,337.585,(r)) (H4,37.517,(d)) (sextile,4')\n(H7,128.197,(r)) (Uranus,8.137,(c)) (trine,4')", "(Mars,204.392,(r)) (H8,159.331,(d)) (45-semisquare,4')\n(Moon,272.380,(r)) (H12,272.322,(c)) (conjunction,3')", "(H1,308.197,(r)) (Neptune,338.167,(d)) (30-semisextile,2')", '5', 136]
['2014-03-24 01:54:07', "(Uranus,11.942,(r)) (H10,236.892,(c)) (135-sesquisquare,3')\n(Pluto,283.457,(r)) (H1,328.446,(c)) (45-semisquare,1')", "(H1,331.483,(r)) (Jupiter,91.403,(c)) (trine,5')\n(H3,28.255,(r)) (Mercury,328.247,(c)) (sextile,0')", '2', "(H4,60.219,(r)) (Saturn,240.136,(d)) (opposition,5')", "(Sun,3.348,(r)) (H1,333.375,(d)) (30-semisextile,2')\n(Moon,273.421,(r)) (H1,333.375,(d)) (sextile,3')", "(H6,122.477,(r)) (Mars,212.438,(d)) (square,2')\n(Saturn,232.938,(r)) (H10,232.784,(c)) (conjunction,9')", 142]
['2014-03-24 00:54:56', '0', "(Jupiter,100.940,(r)) (H10,235.970,(d)) (135-sesquisquare,2')\n(H3,13.408,(r)) (Moon,283.423,(d)) (square,1')\n(Moon,272.843,(r)) (H3,2.816,(c)) (square,2')", '2', '3', "(Moon,272.843,(r)) (H10,227.814,(d)) (45-semisquare,2')\n(Neptune,336.088,(r)) (H12,291.159,(d)) (45-semisquare,4')\n(Uranus,11.940,(r)) (H8,161.990,(c)) (150-quincunx,3')\n(Pluto,283.456,(r)) (H10,223.518,(c)) (sextile,4')", '5', 78]
['2014-03-24 01:01:51', "(Saturn,232.939,(r)) (H1,323.013,(d)) (square,4')", "(H10,227.409,(r)) (Mercury,347.363,(d)) (trine,3')\n(Jupiter,100.940,(r)) (H1,310.957,(c)) (150-quincunx,1')", "(H4,47.409,(r)) (Pluto,287.465,(d)) (trine,3')\n(Venus,316.786,(r)) (H7,136.656,(c)) (opposition,8')\n(Pluto,283.456,(r)) (H4,43.546,(c)) (trine,5')", "(H1,320.005,(r)) (Uranus,5.095,(c)) (45-semisquare,5')", '4', "(H6,110.797,(r)) (Pluto,290.879,(d)) (opposition,5')", 131]
['2014-03-24 01:09:59', "(Saturn,232.939,(r)) (H10,232.834,(d)) (conjunction,6')", "(H3,17.217,(r)) (Mercury,347.309,(d)) (30-semisextile,5')", '2', '3', '4', "(Pluto,283.456,(r)) (H1,328.492,(d)) (45-semisquare,2')", 41]
['2014-03-24 00:01:43', '0', '1', '2', "(Pluto,283.456,(r)) (H12,283.539,(d)) (conjunction,5')", "(H10,212.046,(r)) (Mean_Node,212.156,(d)) (conjunction,7')\n(Mean_Node,209.926,(r)) (H10,209.807,(c)) (conjunction,7')", "(H6,97.309,(r)) (Pluto,277.353,(c)) (opposition,3')", 90]
['2014-03-24 01:19:28', "(Uranus,11.941,(r)) (H1,326.875,(d)) (45-semisquare,4')", "(Moon,273.082,(r)) (H1,333.027,(d)) (sextile,3')\n(Mean_Node,209.923,(r)) (H3,29.981,(d)) (opposition,3')", '2', "(Pluto,283.456,(r)) (H4,58.532,(d)) (135-sesquisquare,5')\n(Mean_Node,209.923,(r)) (H1,329.938,(d)) (trine,1')", '4', '5', 72]
['2014-03-24 01:13:03', "(H10,230.195,(r)) (Saturn,230.201,(c)) (conjunction,0')", "(H1,322.452,(r)) (Uranus,22.450,(d)) (sextile,0')", "(H7,142.452,(r)) (Moon,277.537,(d)) (135-sesquisquare,5')\n(H7,142.452,(r)) (Jupiter,97.403,(c)) (45-semisquare,3')", "(Uranus,11.941,(r)) (H4,56.981,(d)) (45-semisquare,2')\n(Pluto,283.456,(r)) (H1,328.527,(d)) (45-semisquare,4')\n(H4,50.195,(r)) (Pluto,290.200,(d)) (trine,0')\n(H4,50.195,(r)) (Uranus,5.127,(c)) (45-semisquare,4')", "(Mars,204.380,(r)) (H1,324.326,(d)) (trine,3')\n(Moon,273.020,(r)) (H10,228.070,(c)) (45-semisquare,3')", '5', 125]
['2014-03-24 00:57:59', "(Saturn,232.939,(r)) (H12,293.006,(d)) (sextile,4')", "(H1,319.162,(r)) (Mean_Node,199.215,(c)) (trine,3')\n(H10,226.442,(r)) (Jupiter,91.414,(c)) (135-sesquisquare,2')", '2', '3', '4', '5', 36]
['2014-03-24 00:24:23', '0', "(H10,217.917,(r)) (Venus,307.894,(c)) (square,1')", "(Venus,316.760,(r)) (H3,1.728,(c)) (45-semisquare,2')", "(Neptune,336.087,(r)) (H12,276.177,(c)) (sextile,5')\n(H4,37.917,(r)) (Pluto,277.916,(c)) (trine,0')", '4', "(H10,217.917,(r)) (Mean_Node,217.754,(d)) (conjunction,10')\n(Mean_Node,209.925,(r)) (H10,209.976,(c)) (conjunction,3')", 110]
['2014-03-24 00:03:35', '0', "(Jupiter,100.938,(r)) (H3,10.951,(d)) (square,1')", "(H7,127.362,(r)) (Moon,277.276,(d)) (150-quincunx,5')\n(H3,0.345,(r)) (Moon,270.262,(c)) (square,5')\n(H7,127.362,(r)) (Jupiter,97.399,(c)) (30-semisextile,2')", "(H4,32.533,(r)) (Mars,212.556,(d)) (opposition,1')", "(Mean_Node,209.926,(r)) (H8,149.924,(c)) (sextile,0')\n(H8,151.921,(r)) (Moon,271.828,(c)) (trine,6')", "(Mars,204.393,(r)) (H10,204.481,(c)) (conjunction,5')\n(H1,307.362,(r)) (Pluto,277.345,(c)) (30-semisextile,1')", 130]
['2014-03-24 01:46:31', "(H10,238.386,(r)) (Mars,208.358,(d)) (30-semisextile,2')", "(H3,26.369,(r)) (Venus,326.317,(d)) (sextile,3')\n(H10,238.386,(r)) (Sun,13.432,(d)) (135-sesquisquare,3')", '2', "(Neptune,336.089,(r)) (H1,335.930,(d)) (conjunction,10')\n(H1,329.805,(r)) (Neptune,329.844,(c)) (conjunction,2')", '4', "(Mercury,337.678,(r)) (H6,127.642,(d)) (150-quincunx,2')\n(H6,120.774,(r)) (Mercury,330.705,(c)) (150-quincunx,4')", 94]
['2014-03-24 01:07:59', "(Mars,204.380,(r)) (H1,324.357,(d)) (trine,1')", '1', "(Moon,272.970,(r)) (H7,137.990,(c)) (135-sesquisquare,1')", "(H4,48.937,(r)) (Uranus,19.007,(d)) (30-semisextile,4')\n(H8,167.123,(r)) (Mars,212.064,(d)) (45-semisquare,4')\n(Uranus,11.941,(r)) (H4,41.985,(c)) (30-semisextile,3')", "(H8,167.123,(r)) (Mean_Node,212.084,(d)) (45-semisquare,2')", "(H6,112.166,(r)) (Mean_Node,202.120,(c)) (square,3')", 72]
['2014-03-24 01:42:47', '0', '1', '2', "(Neptune,336.089,(r)) (H12,306.146,(d)) (30-semisextile,3')\n(Saturn,232.938,(r)) (H1,322.904,(c)) (square,2')", '4', '5', 26]
['2014-03-24 01:14:55', '0', '1', "(Venus,316.795,(r)) (H4,46.832,(c)) (square,2')", "(Mean_Node,209.923,(r)) (H12,299.895,(d)) (square,2')\n(Venus,316.795,(r)) (H1,316.824,(c)) (conjunction,2')\n(H1,322.861,(r)) (Mean_Node,202.891,(c)) (trine,2')", "(Saturn,232.938,(r)) (H10,232.766,(d)) (conjunction,10')\n(H1,322.861,(r)) (Mars,202.911,(c)) (trine,3')", '5', 122]
