Row 3: {'time': '2014-03-24 00:54:56', 'p_a_conj': 2, 'p_a_maj': 3, 'p_a_allm': 5, 'p_a_min': 5, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 3, 'mon_p_conj': 0, 'mon_p_maj': 1, 'mon_p_allm': 1, 'mon_p_min': 3, 'e': 0, 'all_conj': 3}
Row 4: {'time': '2014-03-24 01:01:51', 'p_a_conj': 2, 'p_a_maj': 3, 'p_a_allm': 5, 'p_a_min': 1, 'p_h_conj': 2, 'p_h_maj': 0, 'p_h_allm': 2, 'p_h_min': 3, 'mon_p_conj': 0, 'mon_p_maj': 1, 'mon_p_allm': 1, 'mon_p_min': 3, 'e': 0, 'all_conj': 4}
Row 5: {'time': '2014-03-24 01:09:59', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_allm': 4, 'p_a_min': 5, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 0, 'mon_p_conj': 1, 'mon_p_maj': 1, 'mon_p_allm': 2, 'mon_p_min': 3, 'e': 0, 'all_conj': 3}
Row 8: {'time': '2014-03-24 01:13:03', 'p_a_conj': 2, 'p_a_maj': 4, 'p_a_allm': 6, 'p_a_min': 10, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'mon_p_conj': 1, 'mon_p_maj': 1, 'mon_p_allm': 2, 'mon_p_min': 3, 'e': 0, 'all_conj': 3}
Row 10: {'time': '2014-03-24 00:24:23', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_allm': 2, 'p_a_min': 0, 'p_h_conj': 2, 'p_h_maj': 1, 'p_h_allm': 3, 'p_h_min': 2, 'mon_p_conj': 1, 'mon_p_maj': 2, 'mon_p_allm': 3, 'mon_p_min': 1, 'e': 1, 'all_conj': 3}
Row 11: {'time': '2014-03-24 00:03:35', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_allm': 1, 'p_a_min': 7, 'p_h_conj': 2, 'p_h_maj': 0, 'p_h_allm': 2, 'p_h_min': 1, 'mon_p_conj': 1, 'mon_p_maj': 1, 'mon_p_allm': 2, 'mon_p_min': 0, 'e': 1, 'all_conj': 3}
Row 13: {'time': '2014-03-24 01:07:59', 'p_a_conj': 1, 'p_a_maj': 6, 'p_a_allm': 7, 'p_a_min': 7, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_allm': 3, 'p_h_min': 2, 'mon_p_conj': 0, 'mon_p_maj': 1, 'mon_p_allm': 1, 'mon_p_min': 3, 'e': 0, 'all_conj': 2}
Row 14: {'time': '2014-03-24 01:42:47', 'p_a_conj': 0, 'p_a_maj': 5, 'p_a_allm': 5, 'p_a_min': 3, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_allm': 2, 'p_h_min': 0, 'mon_p_conj': 1, 'mon_p_maj': 2, 'mon_p_allm': 3, 'mon_p_min': 2, 'e': 0, 'all_conj': 2}
Row 15: {'time': '2014-03-24 01:14:55', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_allm': 3, 'p_a_min': 1, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 3, 'mon_p_conj': 1, 'mon_p_maj': 0, 'mon_p_allm': 1, 'mon_p_min': 4, 'e': 0, 'all_conj': 2}
Row 18: {'time': '2014-03-24 00:19:04', 'p_a_conj': 4, 'p_a_maj': 4, 'p_a_allm': 8, 'p_a_min': 1, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_allm': 2, 'p_h_min': 4, 'mon_p_conj': 1, 'mon_p_maj': 2, 'mon_p_allm': 3, 'mon_p_min': 0, 'e': 0, 'all_conj': 5}
Row 19: {'time': '2014-03-24 01:06:56', 'p_a_conj': 5, 'p_a_maj': 7, 'p_a_allm': 12, 'p_a_min': 7, 'p_h_conj': 2, 'p_h_maj': 0, 'p_h_allm': 2, 'p_h_min': 0, 'mon_p_conj': 0, 'mon_p_maj': 1, 'mon_p_allm': 1, 'mon_p_min': 3, 'e': 0, 'all_conj': 7}
