['Time', '0: 1917-11-30', '1: 1927-06-30', '2: 1927-06-30', '3: 1930-07-20', '4: 1940-01-01', '5: 1941-12-07', '6: 1942-03-20', '7: 1943-06-25', '8: 1944-04-20', '9: 1948-02-07', '10: 1949-01-15', '11: 1949-12-04', '12: 1952-04-22', '13: 1954-01-18', '14: 1963-04-29', '15: 1974-08-21', '16: 1978-09-21', 'Count']
['1916-09-07 03:34:15', '0', '1', '2', '3', '4', "(Mercury,190.851,(r)) (H10,310.873,(c)) (trine,1.36')", '6', "(Jupiter,35.137,(r)) (H10,5.044,(d)) (30-semisextile,5.57')", '8', '9', "(Mercury,190.851,(r)) (H10,10.999,(d)) (opposition,8.90')", '11', '12', "(Venus,118.335,(r)) (H5,148.267,(c)) (30-semisextile,4.13')", '14', "(Moon,280.026,(r)) (H4,100.198,(c)) (opposition,10.36')", '16', 5]
['1916-09-07 03:58:15', '0', '1', '2', "(Venus,118.351,(r)) (H10,328.407,(c)) (150-quincunx,3.39')", '4', '5', "(Moon,280.265,(r)) (H10,10.228,(d)) (square,2.23')", '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', 2]
['1916-09-06 23:15:44', '0', '1', "(Pluto,94.272,(r)) (H8,229.348,(d)) (135-sesquisquare,4.55')", '3', "(Saturn,116.883,(r)) (H10,251.932,(c)) (135-sesquisquare,2.94')", '5', "(Neptune,123.891,(r)) (H1,33.869,(d)) (square,1.35')\n(Mean_Node,296.515,(r)) (H10,296.548,(d)) (conjunction,1.99')", "(Jupiter,35.144,(r)) (H7,215.280,(d)) (opposition,8.13')\n(Mean_Node,296.515,(r)) (H5,146.586,(d)) (150-quincunx,4.29')", '8', '9', '10', "(Mars,208.827,(r)) (H5,88.811,(c)) (trine,0.95')", '12', "(Mars,208.827,(r)) (H4,58.808,(c)) (150-quincunx,1.13')", "(Uranus,316.694,(r)) (H5,76.706,(c)) (trine,0.70')", '15', "(Mean_Node,296.515,(r)) (H1,71.562,(d)) (135-sesquisquare,2.87')", 10]
['1916-09-06 13:09:59', '0', '1', '2', '3', "(Mean_Node,296.537,(r)) (POF,296.482,(c)) (conjunction,3.29')", '5', '6', "(Venus,117.782,(r)) (H5,357.863,(d)) (trine,4.83')\n(Jupiter,35.162,(r)) (H7,5.090,(c)) (30-semisextile,4.31')", "(Mean_Node,296.537,(r)) (H4,326.551,(d)) (30-semisextile,0.86')", "(H5,330.381,(r)) (H4,330.457,(d)) (conjunction,4.59')", "(Moon,271.446,(r)) (H10,151.429,(d)) (trine,1.02')\n(H9,89.652,(r)) (H10,89.692,(c)) (conjunction,2.41')", '11', "(Mean_Node,296.537,(r)) (H1,176.482,(c)) (trine,3.28')", "(Jupiter,35.162,(r)) (H1,245.130,(d)) (150-quincunx,1.93')", "(Uranus,316.709,(r)) (H4,256.732,(c)) (sextile,1.40')", '15', '16', 10]
['1916-09-06 19:28:55', '0', "(Mercury,190.490,(r)) (H1,310.495,(d)) (trine,0.34')", '2', '3', "(Mean_Node,296.523,(r)) (H12,251.466,(c)) (45-semisquare,3.44')", '5', "(Moon,275.198,(r)) (H1,275.130,(c)) (conjunction,4.07')", '7', "(Mercury,190.490,(r)) (H5,40.553,(c)) (150-quincunx,3.80')", "(Moon,275.198,(r)) (H5,95.132,(d)) (opposition,3.96')\n(Jupiter,35.151,(r)) (H5,95.132,(d)) (sextile,1.16')", "(Jupiter,35.151,(r)) (H10,185.075,(c)) (150-quincunx,4.57')", "(Jupiter,35.151,(r)) (H1,335.223,(d)) (sextile,4.32')\n(Jupiter,35.151,(r)) (H5,35.023,(c)) (conjunction,7.69')", '12', '13', '14', "(Moon,275.198,(r)) (H8,95.110,(c)) (opposition,5.24')", '16', 10]
['1916-09-07 03:01:12', "(Venus,118.314,(r)) (H3,118.279,(c)) (conjunction,2.13')\n(Mean_Node,296.506,(r)) (H4,146.481,(c)) (150-quincunx,1.49')", "(Uranus,316.689,(r)) (H10,316.818,(c)) (conjunction,7.72')", '2', "(Uranus,316.689,(r)) (H9,286.695,(c)) (30-semisextile,0.34')", '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', "(Mars,208.930,(r)) (H4,209.101,(d)) (conjunction,10.22')\n(Mars,208.930,(r)) (H5,119.005,(c)) (square,4.50')", '16', 6]
['1916-09-06 09:09:44', '0', '1', "(Mars,208.438,(r)) (H4,253.387,(d)) (45-semisquare,3.02')", '3', '4', '5', '6', '7', '8', '9', '10', '11', "(Moon,269.075,(r)) (H1,119.050,(c)) (150-quincunx,1.51')", "(Mars,208.438,(r)) (H5,238.353,(c)) (30-semisextile,5.10')", "(Uranus,316.714,(r)) (H4,196.663,(c)) (trine,3.12')", "(Mean_Node,296.546,(r)) (H4,296.433,(d)) (conjunction,6.76')", '16', 5]
['1916-09-06 16:47:19', '0', '1', "(Mean_Node,296.529,(r)) (H1,251.457,(c)) (45-semisquare,4.32')", "(Moon,273.596,(r)) (H1,273.577,(d)) (conjunction,1.11')", '4', '5', '6', '7', "(Mean_Node,296.529,(r)) (H4,326.588,(c)) (30-semisextile,3.55')", '9', '10', '11', '12', "(Jupiter,35.156,(r)) (H4,35.161,(d)) (conjunction,0.30')\n(Uranus,316.704,(r)) (H4,316.755,(c)) (conjunction,3.11')", '14', '15', '16', 5]
['1916-09-06 23:24:56', '0', '1', "(Mars,208.831,(r)) (H8,208.844,(c)) (conjunction,0.79')", '3', "(Mean_Node,296.514,(r)) (H10,296.665,(d)) (conjunction,9.04')", '5', "(Mars,208.831,(r)) (H10,298.749,(d)) (square,4.89')", "(Jupiter,35.144,(r)) (H7,155.203,(c)) (trine,3.55')", '8', '9', '10', '11', "(Mars,208.831,(r)) (H5,88.773,(c)) (trine,3.49')", '13', '14', '15', "(Mars,208.831,(r)) (H1,73.787,(d)) (135-sesquisquare,2.66')", 6]
['1916-09-06 12:57:44', "(Venus,117.774,(r)) (H4,297.620,(d)) (opposition,9.24')", '1', '2', '3', '4', '5', '6', '7', "(Moon,271.324,(r)) (H4,271.156,(c)) (conjunction,10.09')", "(H5,327.263,(r)) (H4,327.248,(d)) (conjunction,0.95')\n(Venus,117.774,(r)) (H4,267.720,(c)) (150-quincunx,3.28')", "(Venus,117.774,(r)) (H1,237.842,(d)) (trine,4.07')\n(Mean_Node,296.537,(r)) (H9,116.648,(d)) (opposition,6.64')\n(H9,86.833,(r)) (H10,86.870,(c)) (conjunction,2.21')", '11', '12', '13', '14', "(Moon,271.324,(r)) (H8,1.388,(c)) (square,3.83')", '16', 8]
