['Time', '0: 1870-08-25', '1: 1883-02-13', '2: 1821-09-30', '3: 1836-07-07', '4: 1836-11-24', '5: 1848-01-09', '6: 1865-04-10', '7: 1866-01-25', '8: 1867-02-17', '9: 1869-06-06', 'Count']
['1813-05-22 02:48:23', '0', '1', '2', "(Venus,31.199,(c)) (H10,271.184,(c)) (trine,0.91')", "(Venus,30.727,(c)) (H10,270.851,(c)) (trine,7.45')\n(Jupiter,120.749,(c)) (H10,270.851,(c)) (150-quincunx,6.13')", "(Venus,102.225,(p)) (H4,147.226,(p)) (45-semisquare,0.10')", '6', '7', '8', '9', 4]
['1813-05-22 21:45:44', "(Moon,292.161,(c)) (H7,52.648,(c)) (trine,29.22')\n(Mercury,22.650,(c)) (H7,52.648,(c)) (30-semisextile,0.17')", "(Neptune,254.553,(r)) (H8,74.583,(c)) (opposition,1.80')", "(Moon,224.109,(c)) (H8,133.645,(c)) (square,27.83')", "(Moon,274.716,(p)) (H7,124.569,(p)) (150-quincunx,8.81')\n(Moon,274.716,(p)) (H10,244.584,(p)) (30-semisextile,7.90')", "(Mean_Node,135.547,(c)) (H7,75.715,(c)) (sextile,10.05')", '5', "(Sun,110.879,(p)) (H5,111.014,(p)) (conjunction,8.10')", "(Uranus,235.711,(r)) (H7,55.612,(c)) (opposition,5.93')", "(Jupiter,123.802,(r)) (H4,93.858,(p)) (30-semisextile,3.34')\n(Mean_Node,137.148,(c)) (H4,347.038,(c)) (150-quincunx,6.62')", '9', 11]
['1813-05-22 20:47:12', '0', "(Saturn,287.689,(c)) (H8,62.583,(c)) (135-sesquisquare,6.36')", "(Mars,300.745,(c)) (H1,255.685,(c)) (45-semisquare,3.60')", '3', "(Mercury,75.701,(p)) (H7,105.771,(p)) (30-semisextile,4.18')", "(Saturn,286.927,(p)) (H4,61.997,(p)) (135-sesquisquare,4.17')\n(Pluto,349.940,(c)) (H4,350.097,(c)) (conjunction,9.42')", '6', '7', '8', "(Mars,310.851,(p)) (H5,100.711,(p)) (150-quincunx,8.35')\n(Sun,61.283,(r)) (H5,1.218,(c)) (sextile,3.91')\n(Jupiter,119.029,(c)) (H4,329.190,(c)) (150-quincunx,9.65')", 8]
['1813-05-22 08:00:47', "(Mean_Node,134.333,(r)) (H5,164.310,(c)) (30-semisextile,1.35')", "(Moon,132.690,(c)) (H8,268.134,(c)) (135-sesquisquare,26.68')", '2', "(Moon,318.671,(r)) (H7,288.646,(c)) (30-semisextile,1.45')\n(Moon,318.671,(r)) (H10,348.679,(c)) (30-semisextile,0.48')\n(Uranus,235.735,(r)) (H5,205.651,(c)) (30-semisextile,5.04')", '4', '5', "(Mean_Node,134.333,(r)) (H5,284.320,(p)) (150-quincunx,0.73')", "(Neptune,253.242,(p)) (H7,343.292,(p)) (square,3.00')", "(Moon,309.274,(p)) (H4,249.104,(p)) (sextile,10.19')\n(Moon,318.671,(r)) (H5,168.504,(c)) (150-quincunx,10.02')", "(Mean_Node,131.365,(p)) (H4,251.281,(p)) (trine,5.05')", 10]
['1813-05-22 07:09:51', '0', "(Neptune,255.561,(c)) (H8,255.633,(c)) (conjunction,4.29')", "(Pluto,350.508,(r)) (H8,305.340,(c)) (45-semisquare,10.09')\n(Pluto,350.402,(c)) (H8,305.340,(c)) (45-semisquare,3.73')\n(Pluto,350.402,(c)) (H10,350.289,(c)) (conjunction,6.76')", "(Mean_Node,133.110,(p)) (H7,312.942,(p)) (opposition,10.08')", "(Mean_Node,133.090,(p)) (H7,313.222,(p)) (opposition,7.93')", "(Venus,59.892,(r)) (H8,285.066,(c)) (135-sesquisquare,10.42')", "(Mars,303.938,(r)) (H1,153.757,(p)) (150-quincunx,10.84')\n(Jupiter,123.711,(r)) (H1,153.757,(p)) (30-semisextile,2.76')", "(Uranus,235.736,(r)) (H4,235.888,(p)) (conjunction,9.12')", '8', '9', 10]
['1813-05-22 04:57:51', "(Mean_Node,134.339,(r)) (H7,314.393,(p)) (opposition,3.21')\n(Jupiter,134.418,(p)) (H7,314.393,(p)) (opposition,1.54')", "(Pluto,349.070,(c)) (H8,214.233,(c)) (135-sesquisquare,9.76')", '2', "(Moon,266.261,(p)) (H5,206.086,(p)) (sextile,10.51')\n(Mercury,26.171,(c)) (H5,146.035,(c)) (trine,8.12')", '4', "(Moon,317.040,(r)) (H4,182.064,(p)) (135-sesquisquare,1.41')\n(Neptune,254.571,(r)) (H8,254.542,(c)) (conjunction,1.73')", "(Sun,60.650,(r)) (H5,240.688,(p)) (opposition,2.30')\n(Moon,356.161,(c)) (H5,115.986,(c)) (trine,10.51')", "(Mean_Node,134.339,(r)) (POF,314.413,(p)) (opposition,4.40')\n(Uranus,235.740,(r)) (H8,235.644,(c)) (conjunction,5.74')\n(Pluto,350.507,(r)) (POF,350.363,(c)) (conjunction,8.62')", '8', "(Uranus,235.740,(r)) (H4,205.750,(p)) (30-semisextile,0.59')", 13]
['1813-05-21 23:51:44', '0', '1', "(Mars,303.820,(r)) (H10,258.953,(p)) (45-semisquare,7.98')\n(Neptune,254.576,(r)) (H8,209.725,(p)) (45-semisquare,8.93')", "(Jupiter,127.537,(p)) (H7,187.570,(p)) (sextile,2.01')\n(Moon,314.324,(r)) (H7,104.268,(c)) (150-quincunx,3.38')\n(Mean_Node,134.351,(r)) (H7,104.268,(c)) (30-semisextile,4.98')", '4', "(Mars,303.820,(r)) (H1,33.960,(p)) (square,8.41')", '6', "(Mars,303.820,(r)) (H7,78.708,(c)) (135-sesquisquare,6.71')\n(Neptune,254.576,(r)) (H8,119.663,(c)) (135-sesquisquare,5.19')", '8', "(Moon,334.712,(p)) (H4,124.774,(p)) (150-quincunx,3.73')", 9]
['1813-05-22 21:23:44', '0', "(Uranus,235.711,(r)) (H10,145.754,(c)) (square,2.55')", "(Mean_Node,134.303,(r)) (H10,224.349,(p)) (square,2.74')", "(Jupiter,127.701,(p)) (POF,127.742,(p)) (conjunction,2.41')", '4', '5', '6', '7', '8', '9', 3]
['1813-05-22 14:46:31', '0', '1', '2', "(Jupiter,120.836,(c)) (H7,0.912,(c)) (trine,4.53')", "(Jupiter,120.798,(c)) (H7,0.655,(c)) (trine,8.59')\n(Jupiter,120.798,(c)) (H10,90.850,(c)) (30-semisextile,3.11')", '5', '6', "(Moon,322.306,(r)) (POF,142.352,(c)) (opposition,2.75')", "(Uranus,235.723,(r)) (H1,235.664,(p)) (conjunction,3.56')", '9', 5]
['1813-05-22 12:50:47', "(Moon,321.266,(r)) (H10,141.263,(p)) (opposition,0.23')\n(Uranus,233.983,(p)) (H5,354.140,(p)) (trine,9.46')", "(Uranus,237.901,(c)) (H8,327.718,(c)) (square,10.97')", "(Pluto,350.510,(r)) (H1,170.492,(c)) (opposition,1.08')\n(Pluto,350.405,(c)) (H1,170.492,(c)) (opposition,5.24')", "(Mean_Node,133.097,(p)) (H7,13.066,(p)) (trine,1.85')", "(Jupiter,123.747,(r)) (H10,63.922,(c)) (sextile,10.51')", "(Mars,287.839,(c)) (H1,152.880,(c)) (135-sesquisquare,2.49')", "(Mean_Node,137.070,(c)) (H5,256.927,(c)) (trine,8.54')", "(Moon,321.266,(r)) (H7,321.319,(c)) (conjunction,3.17')", '8', '9', 10]
