['Time', '0: 1883-07-05', '1: 1895-01-24', '2: 1899-11-15', '3: 1898-12-01', '4: 1900-06-05', '5: 1909-07-11', '6: 1911-05-28', '7: 1914-10-07', '8: 1918-11-15', '9: 1921-06-29', '10: 1922-09-15', '11: 1941-12-12', '12: 1944-09-05', '13: 1953-06-24', '14: 1963-10-19', 'Count']
['1874-11-30 01:51:36', '0', "(Sun,247.734,(r)) (POF,67.581,(c)) (opposition,9.20')", '2', '3', "(Mercury,227.604,(r)) (Neptune,47.501,(d)) (opposition,6.20')\n(H1,183.740,(r)) (Jupiter,183.610,(c)) (conjunction,7.76')", '5', "(Mars,196.559,(r)) (Pluto,16.616,(c)) (opposition,3.44')", '7', '8', "(Saturn,309.595,(r)) (POF,129.543,(d)) (opposition,3.10')", "(Mercury,227.604,(r)) (Mean_Node,347.574,(c)) (trine,1.83')", "(Mean_Node,24.367,(r)) (Moon,204.278,(d)) (opposition,5.33')", "(Moon,149.804,(r)) (Jupiter,149.809,(c)) (conjunction,0.30')", "(Saturn,309.595,(r)) (H1,129.597,(c)) (opposition,0.16')", "(Saturn,309.595,(r)) (Pluto,129.619,(d)) (opposition,1.47')", 10]
['1874-11-30 02:36:23', '0', '1', "(Sun,247.766,(r)) (Uranus,157.744,(d)) (square,1.35')", '3', "(Venus,262.008,(r)) (H10,82.106,(c)) (opposition,5.93')\n(H9,68.564,(r)) (Neptune,8.531,(c)) (sextile,1.99')", "(Pluto,51.424,(r)) (H5,351.411,(d)) (sextile,0.76')\n(Pluto,51.424,(r)) (Venus,231.573,(c)) (opposition,8.98')", '6', "(Jupiter,203.576,(r)) (H4,323.501,(d)) (trine,4.49')", '8', '9', '10', '11', "(Jupiter,203.576,(r)) (H1,143.490,(c)) (sextile,5.14')", '13', "(H8,36.873,(r)) (Pluto,126.812,(d)) (square,3.65')", 8]
['1874-11-30 01:33:59', '0', "(H10,90.835,(r)) (Mars,180.889,(c)) (square,3.26')", "(Mercury,227.594,(r)) (Neptune,47.451,(d)) (opposition,8.60')\n(Mercury,227.594,(r)) (H12,137.525,(c)) (square,4.14')", "(H9,54.884,(r)) (Uranus,114.866,(c)) (sextile,1.07')", '4', "(Mean_Node,24.367,(r)) (H1,204.545,(d)) (opposition,10.63')\n(H1,180.639,(r)) (Moon,120.581,(c)) (sextile,3.49')", "(Pluto,51.424,(r)) (Jupiter,231.246,(d)) (opposition,10.70')", "(Venus,262.027,(r)) (Pluto,82.130,(d)) (opposition,6.17')", '8', '9', "(H5,306.710,(r)) (Venus,306.648,(d)) (conjunction,3.72')", '11', "(Moon,149.651,(r)) (POF,149.767,(d)) (conjunction,6.98')\n(Moon,149.651,(r)) (Mean_Node,329.816,(c)) (opposition,9.94')\n(Mercury,227.594,(r)) (Pluto,347.538,(c)) (trine,3.40')\n(H10,90.835,(r)) (Moon,91.002,(c)) (conjunction,10.05')", '13', "(Saturn,309.594,(r)) (Mars,129.524,(c)) (opposition,4.17')", 14]
['1874-11-30 00:49:35', '0', "(Sun,247.691,(r)) (Pluto,67.652,(d)) (opposition,2.30')", "(Pluto,51.425,(r)) (POF,51.248,(c)) (conjunction,10.63')", "(Mercury,227.569,(r)) (Neptune,47.663,(d)) (opposition,5.61')", "(Mercury,227.569,(r)) (Moon,167.548,(d)) (sextile,1.27')\n(H9,45.101,(r)) (Venus,285.017,(d)) (trine,5.00')\n(H9,45.101,(r)) (Mean_Node,44.952,(d)) (conjunction,8.89')", '5', "(Mercury,227.569,(r)) (Venus,227.567,(c)) (conjunction,0.14')", "(Venus,262.041,(r)) (Mercury,262.014,(d)) (conjunction,1.63')\n(H5,296.975,(r)) (H4,297.010,(d)) (conjunction,2.07')", '8', '9', '10', "(Jupiter,203.562,(r)) (H10,143.521,(d)) (sextile,2.51')\n(Jupiter,203.562,(r)) (Mars,143.607,(c)) (sextile,2.66')", '12', "(Moon,149.262,(r)) (POF,149.203,(d)) (conjunction,3.56')\n(Neptune,28.434,(r)) (H1,118.522,(c)) (square,5.25')", "(Saturn,309.591,(r)) (Mercury,309.629,(d)) (conjunction,2.24')", 14]
['1874-11-30 00:34:56', '0', "(Neptune,28.434,(r)) (H8,28.548,(d)) (conjunction,6.84')", '2', '3', "(Mean_Node,24.370,(r)) (Mercury,204.403,(c)) (opposition,2.02')", "(Pluto,51.425,(r)) (Jupiter,231.434,(d)) (opposition,0.53')", '6', "(H1,170.238,(r)) (Jupiter,170.337,(c)) (conjunction,5.93')", '8', '9', "(H5,293.760,(r)) (Mars,233.845,(d)) (sextile,5.08')\n(Venus,262.045,(r)) (Sun,201.965,(c)) (sextile,4.83')\n(H1,170.238,(r)) (Moon,110.320,(c)) (sextile,4.91')", "(Mean_Node,24.370,(r)) (Venus,324.286,(d)) (sextile,5.03')\n(Uranus,135.230,(r)) (Venus,195.270,(c)) (sextile,2.40')", '12', "(Sun,247.680,(r)) (Pluto,337.635,(c)) (square,2.75')", "(Pluto,51.425,(r)) (H1,231.526,(d)) (opposition,6.03')", 11]
['1874-11-30 01:15:11', "(H8,20.832,(r)) (Neptune,20.988,(c)) (conjunction,9.32')", '1', "(Mean_Node,24.368,(r)) (Uranus,114.293,(c)) (square,4.50')", "(Sun,247.709,(r)) (Mercury,247.658,(d)) (conjunction,3.04')", "(Neptune,28.434,(r)) (H9,28.387,(c)) (conjunction,2.79')", '5', "(Uranus,135.229,(r)) (Mercury,195.304,(c)) (sextile,4.50')", '7', "(H5,302.584,(r)) (Venus,302.569,(d)) (conjunction,0.89')", "(Saturn,309.593,(r)) (H4,309.662,(d)) (conjunction,4.17')\n(Pluto,51.425,(r)) (Mars,231.410,(d)) (opposition,0.85')", "(Mean_Node,24.368,(r)) (H1,144.397,(c)) (trine,1.71')", '11', '12', '13', '14', 9]
['1874-11-30 00:04:56', '0', "(H10,70.209,(r)) (Pluto,70.235,(d)) (conjunction,1.52')", "(Mean_Node,24.371,(r)) (Mercury,204.450,(c)) (opposition,4.74')", "(H1,164.966,(r)) (Moon,164.889,(d)) (conjunction,4.61')\n(Mercury,227.544,(r)) (H10,47.390,(c)) (opposition,9.25')", "(H9,35.152,(r)) (Uranus,155.097,(d)) (trine,3.28')", "(Uranus,135.230,(r)) (Mercury,195.272,(c)) (sextile,2.52')\n(H5,287.164,(r)) (Uranus,107.302,(c)) (opposition,8.24')", '6', '7', '8', "(Mean_Node,24.371,(r)) (H4,204.483,(c)) (opposition,6.72')", '10', "(Mercury,227.544,(r)) (Pluto,347.603,(c)) (trine,3.54')", "(Venus,262.055,(r)) (Jupiter,261.923,(d)) (conjunction,7.87')", '13', "(Uranus,135.230,(r)) (Pluto,135.247,(d)) (conjunction,1.01')\n(H1,164.966,(r)) (Venus,344.960,(d)) (opposition,0.31')", 12]
['1874-11-30 01:24:47', '0', '1', "(Mercury,227.589,(r)) (Neptune,47.651,(d)) (opposition,3.75')\n(Uranus,135.229,(r)) (Sun,225.197,(c)) (square,1.95')", "(Mercury,227.589,(r)) (Moon,167.574,(d)) (sextile,0.90')", '4', "(Pluto,51.424,(r)) (Mean_Node,51.384,(d)) (conjunction,2.43')", "(Pluto,51.424,(r)) (Jupiter,231.504,(d)) (opposition,4.79')\n(Mean_Node,24.368,(r)) (H1,204.227,(d)) (opposition,8.43')", '7', '8', "(H4,268.719,(r)) (Pluto,88.704,(d)) (opposition,0.90')", '10', '11', "(Uranus,135.229,(r)) (Venus,195.188,(c)) (sextile,2.48')\n(Neptune,28.434,(r)) (Jupiter,148.459,(c)) (trine,1.55')", '13', '14', 9]
['1874-11-30 01:39:19', '0', '1', '2', '3', "(Mercury,227.597,(r)) (Neptune,47.768,(d)) (opposition,10.22')", '5', "(Mars,196.553,(r)) (Pluto,16.715,(c)) (opposition,9.69')", '7', "(Mean_Node,24.367,(r)) (Mercury,264.373,(d)) (trine,0.33')", "(H8,25.615,(r)) (Sun,205.451,(c)) (opposition,9.84')", '10', "(Mercury,227.597,(r)) (H1,227.737,(d)) (conjunction,8.41')\n(Jupiter,203.569,(r)) (Moon,203.446,(d)) (conjunction,7.36')\n(Uranus,135.229,(r)) (Jupiter,255.146,(d)) (trine,4.97')\n(Uranus,135.229,(r)) (H1,135.404,(c)) (conjunction,10.47')", "(Moon,149.697,(r)) (Venus,329.520,(d)) (opposition,10.64')\n(Jupiter,203.569,(r)) (Neptune,83.531,(d)) (trine,2.24')\n(Mercury,227.597,(r)) (Pluto,347.677,(c)) (trine,4.76')", "(Mercury,227.597,(r)) (Mars,137.507,(c)) (square,5.43')", "(Neptune,28.433,(r)) (Saturn,28.456,(d)) (conjunction,1.37')\n(POF,83.550,(r)) (Mars,263.683,(d)) (opposition,7.98')\n(Uranus,135.229,(r)) (Mean_Node,315.381,(c)) (opposition,9.10')", 15]
['1874-11-30 01:40:56', '0', '1', '2', '3', "(Mercury,227.598,(r)) (Neptune,47.733,(d)) (opposition,8.07')", '5', "(Mars,196.554,(r)) (Pluto,16.702,(c)) (opposition,8.87')", '7', "(Mean_Node,24.367,(r)) (Mercury,264.331,(d)) (trine,2.16')", "(Moon,149.711,(r)) (H1,149.716,(c)) (conjunction,0.28')", '10', "(Jupiter,203.569,(r)) (Moon,203.554,(d)) (conjunction,0.91')", "(Moon,149.711,(r)) (Venus,329.586,(d)) (opposition,7.50')", "(Saturn,309.594,(r)) (H12,219.646,(d)) (square,3.11')\n(Mercury,227.598,(r)) (Mars,137.594,(c)) (square,0.24')\n(Mars,196.554,(r)) (H10,16.508,(c)) (opposition,2.75')", "(Neptune,28.433,(r)) (Saturn,28.578,(d)) (conjunction,8.69')", 10]
