['Time', '0: 1917-11-30', '1: 1927-06-30', '2: 1927-06-30', '3: 1930-07-20', '4: 1940-01-01', '5: 1941-12-07', '6: 1942-03-20', '7: 1943-06-25', '8: 1944-04-20', '9: 1948-02-07', '10: 1949-01-15', '11: 1949-12-04', '12: 1952-04-22', '13: 1954-01-18', '14: 1963-04-29', '15: 1974-08-21', '16: 1978-09-21', 'Count']
['1916-09-07 03:34:15', "(POF,190.941,(r)) (Mercury,191.068,(d)) (conjunction,7.63')", '1', '2', "(POF,190.941,(r)) (Venus,131.022,(d)) (sextile,4.89')", '4', "(Mercury,190.851,(r)) (H10,310.873,(c)) (trine,1.36')", "(H3,127.303,(r)) (Mercury,217.253,(d)) (square,2.95')", '7', '8', '9', "(Mercury,190.851,(r)) (H10,10.999,(d)) (opposition,8.90')", "(H5,189.257,(r)) (Jupiter,69.319,(d)) (trine,3.73')", '12', '13', '14', "(Moon,280.026,(r)) (H4,100.198,(c)) (opposition,10.36')", '16', 7]
['1916-09-07 03:58:15', '0', '1', "(POF,196.861,(r)) (Mars,197.019,(c)) (conjunction,9.46')\n(H8,286.528,(r)) (Mean_Node,286.689,(c)) (conjunction,9.69')", "(H1,80.782,(r)) (Jupiter,20.787,(c)) (sextile,0.29')", '4', '5', "(Moon,280.265,(r)) (H10,10.228,(d)) (square,2.23')", '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', 4]
['1916-09-06 23:15:44', "(POF,117.586,(r)) (Mean_Node,297.688,(d)) (opposition,6.12')\n(Mean_Node,296.515,(r)) (POF,116.413,(c)) (opposition,6.12')", "(H9,246.996,(r)) (Mean_Node,306.976,(d)) (sextile,1.18')", '2', '3', '4', '5', "(Neptune,123.891,(r)) (H1,33.869,(d)) (square,1.35')\n(Mean_Node,296.515,(r)) (H10,296.548,(d)) (conjunction,1.99')\n(POF,117.586,(r)) (Pluto,117.573,(d)) (conjunction,0.83')\n(H10,273.126,(r)) (Saturn,93.244,(c)) (opposition,7.07')", "(Jupiter,35.144,(r)) (H7,215.280,(d)) (opposition,8.13')", "(H1,4.132,(r)) (Jupiter,64.168,(d)) (sextile,2.19')\n(H5,119.592,(r)) (Pluto,119.542,(d)) (conjunction,3.03')", '9', '10', "(Mars,208.827,(r)) (H5,88.811,(c)) (trine,0.95')", '12', '13', "(Uranus,316.694,(r)) (H5,76.706,(c)) (trine,0.70')", '15', '16', 12]
['1916-09-06 13:09:59', '0', '1', '2', "(H9,89.652,(r)) (Sun,149.688,(c)) (sextile,2.17')", "(Mean_Node,296.537,(r)) (POF,296.482,(c)) (conjunction,3.29')", "(POF,318.749,(r)) (Sun,138.569,(c)) (opposition,10.78')", '6', "(Venus,117.782,(r)) (H5,357.863,(d)) (trine,4.83')", '8', "(H5,330.381,(r)) (H4,330.457,(d)) (conjunction,4.59')", "(Moon,271.446,(r)) (H10,151.429,(d)) (trine,1.02')\n(H9,89.652,(r)) (H10,89.692,(c)) (conjunction,2.41')", '11', "(Mean_Node,296.537,(r)) (H1,176.482,(c)) (trine,3.28')", '13', "(Uranus,316.709,(r)) (H4,256.732,(c)) (sextile,1.40')", '15', "(H8,60.426,(r)) (Venus,60.263,(c)) (conjunction,9.83')", 10]
['1916-09-06 19:28:55', '0', "(Mercury,190.490,(r)) (H1,310.495,(d)) (trine,0.34')\n(H9,187.384,(r)) (Mean_Node,307.418,(d)) (trine,1.99')", '2', '3', '4', "(H1,299.433,(r)) (Moon,299.472,(d)) (conjunction,2.35')", "(Moon,275.198,(r)) (H1,275.130,(c)) (conjunction,4.07')", '7', "(H5,66.648,(r)) (Jupiter,6.597,(c)) (sextile,3.06')", "(Moon,275.198,(r)) (H5,95.132,(d)) (opposition,3.96')\n(Jupiter,35.151,(r)) (H5,95.132,(d)) (sextile,1.16')", '10', "(Jupiter,35.151,(r)) (H1,335.223,(d)) (sextile,4.32')\n(Jupiter,35.151,(r)) (H5,35.023,(c)) (conjunction,7.69')", '12', "(H1,299.433,(r)) (Uranus,359.386,(d)) (sextile,2.79')", '14', "(Moon,275.198,(r)) (H8,95.110,(c)) (opposition,5.24')", "(H4,38.942,(r)) (Moon,219.036,(c)) (opposition,5.67')", 12]
['1916-09-07 03:01:12', "(Venus,118.314,(r)) (H3,118.279,(c)) (conjunction,2.13')", "(H10,327.741,(r)) (Uranus,327.712,(d)) (conjunction,1.78')\n(Uranus,316.689,(r)) (H10,316.818,(c)) (conjunction,7.72')", '2', '3', "(POF,182.590,(r)) (Mars,182.557,(c)) (conjunction,1.98')", '5', '6', '7', '8', '9', "(H9,299.420,(r)) (Jupiter,359.450,(c)) (sextile,1.78')", '11', "(H1,67.041,(r)) (Moon,246.875,(c)) (opposition,9.96')", "(H1,67.041,(r)) (Mars,247.079,(d)) (opposition,2.26')", '14', "(Mars,208.930,(r)) (H4,209.101,(d)) (conjunction,10.22')\n(Mars,208.930,(r)) (H5,119.005,(c)) (square,4.50')", "(H1,67.041,(r)) (POF,247.158,(d)) (opposition,7.02')\n(H1,67.041,(r)) (Neptune,67.017,(c)) (conjunction,1.47')", 11]
['1916-09-06 09:09:44', '0', '1', '2', '3', '4', '5', '6', '7', "(H4,243.358,(r)) (Moon,243.370,(c)) (conjunction,0.73')", "(H4,243.358,(r)) (Jupiter,3.443,(c)) (trine,5.10')", '10', '11', '12', "(H1,151.885,(r)) (Mean_Node,331.865,(d)) (opposition,1.21')", "(Uranus,316.714,(r)) (H4,196.663,(c)) (trine,3.12')", "(Mean_Node,296.546,(r)) (H4,296.433,(d)) (conjunction,6.76')\n(H4,243.358,(r)) (Mean_Node,243.471,(c)) (conjunction,6.78')", '16', 6]
['1916-09-06 16:47:19', "(POF,10.949,(r)) (Mercury,190.844,(d)) (opposition,6.33')\n(H4,355.686,(r)) (Venus,115.686,(c)) (trine,0.04')", '1', '2', "(Moon,273.596,(r)) (H1,273.577,(d)) (conjunction,1.11')", '4', "(POF,10.949,(r)) (Sun,191.106,(d)) (opposition,9.39')\n(H3,322.573,(r)) (Venus,142.497,(d)) (opposition,4.53')", "(H3,322.573,(r)) (Mean_Node,322.423,(d)) (conjunction,8.97')", '7', '8', '9', '10', '11', "(H4,355.686,(r)) (Uranus,355.524,(d)) (conjunction,9.72')", "(Jupiter,35.156,(r)) (H4,35.161,(d)) (conjunction,0.30')\n(Uranus,316.704,(r)) (H4,316.755,(c)) (conjunction,3.11')", '14', '15', '16', 9]
['1916-09-06 23:24:56', '0', '1', "(H8,220.527,(r)) (Mars,220.537,(d)) (conjunction,0.61')\n(Mars,208.831,(r)) (H8,208.844,(c)) (conjunction,0.79')", '3', "(Mean_Node,296.514,(r)) (H10,296.665,(d)) (conjunction,9.04')\n(H10,275.244,(r)) (Saturn,95.272,(c)) (opposition,1.69')", '5', "(Mars,208.831,(r)) (H10,298.749,(d)) (square,4.89')", "(Jupiter,35.144,(r)) (H7,155.203,(c)) (trine,3.55')", '8', "(H1,6.924,(r)) (Moon,306.951,(d)) (sextile,1.61')", '10', '11', "(Mars,208.831,(r)) (H5,88.773,(c)) (trine,3.49')", '13', '14', '15', '16', 8]
['1916-09-06 12:57:44', "(Venus,117.774,(r)) (H4,297.620,(d)) (opposition,9.24')\n(Uranus,316.709,(r)) (POF,316.883,(d)) (conjunction,10.44')\n(POF,315.679,(r)) (Uranus,315.695,(c)) (conjunction,0.95')", '1', "(H8,57.570,(r)) (Uranus,327.625,(d)) (square,3.30')", '3', '4', '5', '6', '7', "(Moon,271.324,(r)) (H4,271.156,(c)) (conjunction,10.09')", "(H5,327.263,(r)) (Mean_Node,327.327,(d)) (conjunction,3.82')\n(H5,327.263,(r)) (H4,327.248,(d)) (conjunction,0.95')", "(Venus,117.774,(r)) (H1,237.842,(d)) (trine,4.07')\n(Mean_Node,296.537,(r)) (H9,116.648,(d)) (opposition,6.64')\n(H9,86.833,(r)) (Mean_Node,266.943,(c)) (opposition,6.55')\n(H9,86.833,(r)) (H10,86.870,(c)) (conjunction,2.21')", '11', '12', '13', "(POF,315.679,(r)) (Moon,315.706,(d)) (conjunction,1.65')", "(H5,327.263,(r)) (Moon,327.381,(d)) (conjunction,7.07')\n(Moon,271.324,(r)) (H8,1.388,(c)) (square,3.83')", '16', 14]
['1916-09-07 02:46:39', '0', "(Mercury,190.816,(r)) (POF,190.872,(d)) (conjunction,3.40')\n(Jupiter,35.138,(r)) (H10,335.107,(d)) (sextile,1.90')\n(H9,295.999,(r)) (Sun,175.946,(d)) (trine,3.16')\n(H10,323.968,(r)) (Jupiter,24.033,(c)) (sextile,3.86')", '2', "(Uranus,316.690,(r)) (H1,76.738,(d)) (trine,2.90')\n(H1,63.423,(r)) (Uranus,303.459,(c)) (trine,2.17')", '4', '5', "(Mars,208.924,(r)) (H10,298.979,(c)) (square,3.33')", "(H7,243.423,(r)) (Jupiter,63.442,(d)) (opposition,1.16')", '8', '9', '10', "(Jupiter,35.138,(r)) (POF,215.173,(d)) (opposition,2.07')\n(POF,178.836,(r)) (H4,178.964,(d)) (conjunction,7.67')", '12', '13', "(Moon,279.551,(r)) (H4,99.477,(c)) (opposition,4.44')", "(Mean_Node,296.507,(r)) (H7,296.500,(d)) (conjunction,0.43')\n(H7,243.423,(r)) (Mean_Node,243.433,(c)) (conjunction,0.57')", "(H8,270.150,(r)) (Mars,270.019,(d)) (conjunction,7.89')\n(Mars,208.924,(r)) (H8,208.931,(c)) (conjunction,0.46')", 15]
['1916-09-06 05:04:47', '0', '1', '2', '3', '4', "(Moon,266.665,(r)) (H10,26.751,(d)) (trine,5.13')", "(Neptune,123.869,(r)) (H3,123.996,(c)) (conjunction,7.64')", "(Mars,208.325,(r)) (H10,28.356,(d)) (opposition,1.85')", '8', "(H5,213.143,(r)) (H4,213.116,(d)) (conjunction,1.64')\n(Moon,266.665,(r)) (H4,146.732,(c)) (trine,4.03')", "(Venus,117.473,(r)) (H9,297.636,(c)) (opposition,9.78')", "(H5,213.143,(r)) (Mercury,153.180,(c)) (sextile,2.23')", '12', '13', '14', "(Uranus,316.720,(r)) (POF,136.586,(c)) (opposition,8.04')", "(Saturn,116.805,(r)) (H4,116.741,(c)) (conjunction,3.86')", 9]
['1916-09-06 10:59:19', "(Moon,270.156,(r)) (H4,270.016,(d)) (conjunction,8.38')\n(Venus,117.699,(r)) (H7,357.614,(c)) (trine,5.12')\n(H4,268.902,(r)) (Moon,269.035,(c)) (conjunction,8.02')", '1', '2', '3', '4', "(H3,239.382,(r)) (Jupiter,59.246,(d)) (opposition,8.21')\n(Jupiter,35.165,(r)) (H3,215.151,(c)) (opposition,0.87')", '6', '7', '8', "(Venus,117.699,(r)) (H4,297.691,(d)) (opposition,0.47')\n(Mars,208.488,(r)) (H5,328.567,(d)) (trine,4.73')\n(H4,268.902,(r)) (Venus,88.799,(c)) (opposition,6.18')", "(Moon,270.156,(r)) (H1,210.064,(d)) (sextile,5.49')\n(H10,88.902,(r)) (H9,88.862,(d)) (conjunction,2.37')", "(Uranus,316.712,(r)) (POF,316.767,(d)) (conjunction,3.32')", '12', '13', '14', "(Neptune,123.876,(r)) (H4,213.927,(c)) (square,3.04')\n(Neptune,123.876,(r)) (H7,304.040,(c)) (opposition,9.82')", "(H1,178.815,(r)) (Venus,178.879,(d)) (conjunction,3.85')\n(H4,268.902,(r)) (Venus,178.879,(d)) (square,1.33')", 15]
['1916-09-07 01:52:39', '0', '1', '2', '3', '4', '5', '6', '7', "(Uranus,316.691,(r)) (H1,76.755,(d)) (trine,3.87')", "(H4,130.297,(r)) (Moon,250.281,(c)) (trine,0.94')", '10', "(Sun,164.102,(r)) (H4,164.270,(d)) (conjunction,10.12')\n(POF,164.369,(r)) (H4,164.270,(d)) (conjunction,5.92')", '12', '13', '14', "(H5,160.662,(r)) (Neptune,70.688,(c)) (square,1.59')", '16', 5]
['1916-09-06 05:12:47', '0', "(POF,200.552,(r)) (Mercury,200.498,(d)) (conjunction,3.27')", '2', "(Jupiter,35.175,(r)) (POF,215.175,(d)) (opposition,0.01')", "(Saturn,116.806,(r)) (H10,26.856,(d)) (square,3.04')", "(Jupiter,35.175,(r)) (H10,335.215,(c)) (sextile,2.42')", '6', "(H7,277.074,(r)) (Mercury,217.133,(d)) (sextile,3.50')", '8', "(Jupiter,35.175,(r)) (H4,215.193,(d)) (opposition,1.07')\n(H5,215.281,(r)) (H4,215.193,(d)) (conjunction,5.30')", '10', '11', '12', '13', '14', '15', '16', 7]
['1916-09-06 21:10:15', "(H3,35.304,(r)) (Moon,275.384,(c)) (trine,4.79')", "(H1,326.729,(r)) (Moon,266.711,(c)) (sextile,1.11')", '2', "(Uranus,316.697,(r)) (H10,256.766,(d)) (sextile,4.10')", '4', '5', '6', "(Venus,118.089,(r)) (H7,178.019,(d)) (sextile,4.19')", '8', '9', '10', '11', '12', '13', '14', "(H4,63.954,(r)) (Venus,63.887,(c)) (conjunction,4.03')", '16', 5]
['1916-09-06 15:13:51', '0', '1', '2', '3', '4', '5', '6', "(Jupiter,35.158,(r)) (H5,335.123,(c)) (sextile,2.10')\n(Jupiter,35.158,(r)) (H7,35.321,(c)) (conjunction,9.75')", "(Pluto,94.268,(r)) (H5,334.292,(c)) (trine,1.43')", "(H5,2.752,(r)) (Moon,302.680,(d)) (sextile,4.31')\n(Uranus,316.706,(r)) (POF,316.873,(c)) (conjunction,10.04')\n(H4,330.543,(r)) (H5,330.465,(c)) (conjunction,4.70')", '10', "(H1,239.879,(r)) (Mars,240.052,(d)) (conjunction,10.41')\n(Mars,208.605,(r)) (H5,328.640,(c)) (trine,2.09')\n(H5,2.752,(r)) (Jupiter,2.611,(c)) (conjunction,8.47')", '12', '13', '14', "(H4,330.543,(r)) (Pluto,150.673,(d)) (opposition,7.79')\n(H4,330.543,(r)) (Mars,150.604,(c)) (opposition,3.65')", "(Mean_Node,296.532,(r)) (H1,296.623,(d)) (conjunction,5.42')\n(H1,239.879,(r)) (Saturn,59.974,(c)) (opposition,5.75')", 13]
['1916-09-06 15:06:32', "(H7,58.202,(r)) (Venus,118.198,(d)) (sextile,0.20')", '1', '2', '3', '4', "(Jupiter,35.158,(r)) (H1,215.022,(c)) (opposition,8.17')", '6', '7', "(Venus,117.857,(r)) (H4,357.815,(d)) (trine,2.50')", "(H4,328.621,(r)) (Venus,148.635,(d)) (opposition,0.87')\n(Venus,117.857,(r)) (H4,297.721,(c)) (opposition,8.16')\n(Mars,208.602,(r)) (H5,328.598,(c)) (trine,0.20')\n(H4,328.621,(r)) (H5,328.598,(c)) (conjunction,1.36')", '10', '11', "(H5,0.814,(r)) (Moon,240.800,(c)) (trine,0.84')", '13', '14', "(Uranus,316.706,(r)) (POF,46.755,(d)) (square,2.96')\n(H8,87.154,(r)) (Mean_Node,357.078,(d)) (square,4.58')\n(Neptune,123.881,(r)) (H8,33.862,(c)) (square,1.17')", '16', 11]
['1916-09-06 14:47:12', '0', '1', "(Moon,272.407,(r)) (H8,92.484,(d)) (opposition,4.64')", "(H10,143.598,(r)) (Mercury,203.681,(d)) (sextile,4.93')", '4', '5', "(Mars,208.593,(r)) (H10,118.634,(c)) (square,2.46')\n(H3,292.365,(r)) (Uranus,292.343,(c)) (conjunction,1.35')", "(H10,143.598,(r)) (Venus,143.704,(d)) (conjunction,6.31')", "(Mean_Node,296.533,(r)) (H4,296.671,(c)) (conjunction,8.26')", "(Mean_Node,296.533,(r)) (H4,356.615,(d)) (sextile,4.93')\n(H4,323.598,(r)) (H5,323.716,(c)) (conjunction,7.04')", "(H9,112.365,(r)) (H10,112.247,(c)) (conjunction,7.10')", '11', '12', '13', "(Mean_Node,296.533,(r)) (POF,296.566,(c)) (conjunction,1.96')", "(H7,53.761,(r)) (H5,53.911,(d)) (conjunction,9.00')\n(H8,82.730,(r)) (Uranus,262.786,(c)) (opposition,3.36')", '16', 12]
['1916-09-06 13:39:19', "(H3,276.416,(r)) (Jupiter,36.480,(d)) (trine,3.84')", "(H10,126.523,(r)) (Uranus,306.411,(c)) (opposition,6.67')", "(Venus,117.801,(r)) (H1,207.714,(c)) (square,5.24')", '3', '4', "(Moon,271.736,(r)) (H10,151.794,(d)) (trine,3.51')", "(Sun,163.607,(r)) (H12,163.464,(c)) (conjunction,8.58')", '7', '8', "(Mercury,190.227,(r)) (H5,10.402,(d)) (opposition,10.52')", "(H9,96.416,(r)) (Neptune,156.344,(d)) (sextile,4.33')\n(H9,96.416,(r)) (H10,96.443,(c)) (conjunction,1.63')", '11', '12', '13', '14', "(Moon,271.736,(r)) (POF,271.583,(c)) (conjunction,9.17')", '16', 9]
['1916-09-06 15:02:07', "(H3,295.962,(r)) (Venus,115.852,(c)) (opposition,6.55')", "(Uranus,316.706,(r)) (H10,136.555,(c)) (opposition,9.05')", '2', '3', "(H10,147.472,(r)) (Neptune,147.341,(d)) (conjunction,7.86')", "(Moon,272.554,(r)) (H3,272.609,(c)) (conjunction,3.31')", '6', "(Moon,272.554,(r)) (H7,32.515,(c)) (trine,2.34')", "(Mean_Node,296.533,(r)) (H4,356.613,(d)) (sextile,4.82')", "(Mean_Node,296.533,(r)) (H4,296.669,(c)) (conjunction,8.17')\n(H4,327.472,(r)) (H5,327.482,(c)) (conjunction,0.61')", "(H9,115.962,(r)) (H10,115.789,(c)) (conjunction,10.38')", '11', '12', "(H5,359.651,(r)) (Pluto,59.615,(c)) (sextile,2.14')", '14', "(Moon,272.554,(r)) (H7,2.519,(c)) (square,2.15')", '16', 11]
['1916-09-07 04:44:56', '0', '1', "(H4,175.567,(r)) (Pluto,85.486,(c)) (square,4.86')", "(H9,324.694,(r)) (Mercury,204.765,(d)) (trine,4.25')\n(Moon,280.731,(r)) (H10,340.782,(c)) (sextile,3.06')", '4', '5', "(POF,208.122,(r)) (Pluto,118.070,(d)) (square,3.10')", '7', "(H1,91.609,(r)) (Mean_Node,271.633,(c)) (opposition,1.44')", "(H5,208.845,(r)) (H4,208.942,(d)) (conjunction,5.86')", '10', '11', '12', "(Jupiter,35.135,(r)) (H4,215.047,(d)) (opposition,5.28')\n(H1,91.609,(r)) (Mean_Node,331.628,(d)) (trine,1.12')\n(Uranus,316.687,(r)) (H4,136.647,(c)) (opposition,2.38')", '14', '15', '16', 9]
['1916-09-06 20:46:16', "(H4,58.191,(r)) (Venus,118.121,(d)) (sextile,4.21')", '1', '2', '3', '4', '5', '6', "(H5,84.502,(r)) (Venus,144.489,(d)) (sextile,0.77')\n(POF,72.045,(r)) (Moon,252.088,(c)) (opposition,2.54')", '8', '9', '10', "(Mars,208.758,(r)) (H4,88.810,(d)) (trine,3.16')", '12', '13', '14', "(H8,175.253,(r)) (Mars,265.258,(d)) (square,0.31')", '16', 5]
