['Time', '0: 1883-07-05', '1: 1895-01-24', '2: 1899-11-15', '3: 1898-12-01', '4: 1900-06-05', '5: 1909-07-11', '6: 1911-05-28', '7: 1914-10-07', '8: 1918-11-15', '9: 1921-06-29', '10: 1922-09-15', '11: 1941-12-12', '12: 1944-09-05', '13: 1953-06-24', '14: 1963-10-19', 'Count']
['1874-11-30 01:51:36', '0', '1', "(Mean_Node,23.045,(p)) (H1,202.975,(p)) (opposition,4.20')", "(Venus,262.022,(r)) (H9,81.967,(p)) (opposition,3.27')", "(Jupiter,203.570,(r)) (H1,203.404,(p)) (conjunction,9.99')\n(Jupiter,203.570,(r)) (H9,83.469,(p)) (trine,6.06')", '5', '6', '7', '8', "(Saturn,309.595,(r)) (H1,219.480,(p)) (square,6.86')\n(H8,28.040,(r)) (Neptune,28.026,(p)) (conjunction,0.87')", "(Moon,230.297,(c)) (H4,230.073,(c)) (conjunction,13.44')", "(H10,94.884,(r)) (Moon,334.647,(c)) (trine,14.23')", "(H10,94.884,(r)) (Mercury,334.873,(p)) (trine,0.70')\n(Moon,149.804,(r)) (H10,29.736,(c)) (trine,4.11')", '13', '14', 10]
['1874-11-30 02:36:23', "(Mean_Node,23.910,(p)) (H10,114.009,(p)) (square,5.96')", '1', '2', "(Moon,150.196,(r)) (H1,210.064,(p)) (sextile,7.91')\n(Sun,272.179,(p)) (H9,92.175,(p)) (opposition,0.24')", "(Sun,273.716,(p)) (H9,93.728,(p)) (opposition,0.74')\n(Venus,261.075,(c)) (H10,80.950,(c)) (opposition,7.52')", "(Moon,49.838,(c)) (H5,289.530,(c)) (trine,18.49')", "(Uranus,135.229,(r)) (POF,195.066,(p)) (sextile,9.78')\n(Mean_Node,24.365,(r)) (H4,324.447,(p)) (sextile,4.94')\n(H5,320.510,(r)) (Moon,260.303,(p)) (sextile,12.39')", "(H4,285.251,(r)) (H5,285.136,(c)) (conjunction,6.91')", '8', '9', '10', "(Mercury,227.630,(r)) (POF,227.625,(p)) (conjunction,0.30')", "(Jupiter,203.576,(r)) (H9,143.488,(p)) (sextile,5.28')", '13', '14', 12]
['1874-11-30 01:33:59', '0', '1', '2', '3', '4', "(H5,306.710,(r)) (H4,306.648,(p)) (conjunction,3.71')", "(H4,270.835,(r)) (Sun,211.000,(c)) (sextile,9.91')", "(H4,270.835,(r)) (Moon,330.953,(c)) (sextile,7.09')\n(Moon,330.953,(c)) (H5,271.124,(c)) (sextile,10.29')", "(Moon,149.651,(r)) (H1,149.747,(c)) (conjunction,5.77')", '9', "(Mean_Node,24.367,(r)) (H5,264.249,(c)) (trine,7.09')", "(H1,180.639,(r)) (Moon,300.563,(p)) (trine,4.60')\n(Uranus,135.229,(r)) (H1,135.072,(c)) (conjunction,9.42')", '12', "(Mars,196.551,(r)) (H10,16.654,(c)) (opposition,6.16')", '14', 9]
['1874-11-30 00:49:35', '0', '1', '2', '3', "(Venus,249.698,(p)) (H9,69.698,(p)) (opposition,0.03')", "(POF,74.391,(r)) (Uranus,134.439,(p)) (sextile,2.91')\n(H5,296.975,(r)) (Moon,236.569,(p)) (sextile,24.37')", "(POF,74.391,(r)) (Uranus,134.372,(p)) (sextile,1.10')", "(Jupiter,203.562,(r)) (H1,203.590,(p)) (conjunction,1.69')\n(H4,260.608,(r)) (H5,260.753,(c)) (conjunction,8.70')", "(Venus,262.041,(r)) (H1,142.007,(c)) (trine,2.02')", "(POF,74.391,(r)) (Venus,254.547,(p)) (opposition,9.35')", '10', '11', '12', '13', '14', 8]
['1874-11-30 00:34:56', '0', '1', '2', '3', "(H9,41.847,(r)) (Sun,221.938,(c)) (opposition,5.44')", "(Venus,262.045,(r)) (H5,262.005,(c)) (conjunction,2.44')", "(Moon,149.134,(r)) (H5,329.225,(p)) (opposition,5.44')\n(Jupiter,209.153,(p)) (H5,329.225,(p)) (trine,4.31')\n(Mean_Node,24.370,(r)) (H1,144.358,(c)) (trine,0.70')\n(Moon,19.978,(c)) (H5,260.294,(c)) (trine,18.98')", "(Venus,262.045,(r)) (H1,142.136,(c)) (trine,5.46')\n(H4,257.212,(r)) (H5,257.221,(c)) (conjunction,0.58')", '8', "(Moon,34.406,(p)) (H4,304.912,(p)) (square,30.35')", '10', '11', "(Moon,149.134,(r)) (H10,149.170,(p)) (conjunction,2.18')\n(Jupiter,189.053,(c)) (H10,9.194,(c)) (opposition,8.46')", '13', "(Saturn,309.591,(r)) (POF,129.526,(p)) (opposition,3.91')\n(POF,129.526,(p)) (H3,309.516,(p)) (opposition,0.59')", 13]
['1874-11-30 01:15:11', "(Neptune,28.275,(p)) (H8,28.214,(p)) (conjunction,3.63')", "(Mars,184.162,(c)) (H8,4.114,(c)) (opposition,2.93')", "(Mars,196.543,(r)) (H1,196.597,(p)) (conjunction,3.23')", "(Neptune,28.434,(r)) (H9,28.611,(c)) (conjunction,10.61')", "(Uranus,135.229,(r)) (H9,75.344,(p)) (sextile,6.91')\n(H9,50.751,(r)) (Moon,171.205,(c)) (trine,27.20')", '5', "(Mars,218.486,(p)) (H5,338.355,(p)) (trine,7.87')", "(H5,302.584,(r)) (Moon,302.587,(p)) (conjunction,0.16')\n(H4,266.510,(r)) (Mean_Node,26.478,(c)) (trine,1.93')", '8', "(H8,20.832,(r)) (Sun,200.951,(c)) (opposition,7.11')", "(Sun,199.748,(c)) (H5,259.786,(c)) (sextile,2.26')", '11', '12', "(Saturn,309.593,(r)) (H12,219.614,(p)) (square,1.26')", '14', 12]
['1874-11-30 00:04:56', '0', "(Mean_Node,24.371,(r)) (H8,24.390,(p)) (conjunction,1.19')", "(Uranus,135.230,(r)) (H10,45.205,(c)) (square,1.49')\n(Uranus,135.154,(c)) (H10,45.205,(c)) (square,3.08')\n(Neptune,29.039,(c)) (H12,118.937,(c)) (square,6.14')", '3', "(H9,35.152,(r)) (POF,35.094,(p)) (conjunction,3.49')", '5', "(H1,164.966,(r)) (Sun,284.797,(p)) (trine,10.10')\n(H5,287.164,(r)) (H4,287.323,(p)) (conjunction,9.51')\n(Mean_Node,22.439,(p)) (H5,322.491,(p)) (sextile,3.11')", "(Jupiter,209.530,(p)) (POF,209.484,(p)) (conjunction,2.78')\n(Moon,330.077,(c)) (H4,210.435,(c)) (trine,21.54')", "(Jupiter,209.956,(p)) (H5,329.783,(p)) (trine,10.34')\n(POF,206.409,(c)) (H4,206.378,(c)) (conjunction,1.88')", '9', "(Mean_Node,21.841,(p)) (H1,201.766,(p)) (opposition,4.46')", '11', "(Moon,337.082,(p)) (H1,217.601,(p)) (trine,31.11')", '13', '14', 14]
['1874-11-30 01:24:47', '0', '1', "(POF,80.873,(r)) (Mercury,260.938,(p)) (opposition,3.89')", '3', "(Moon,149.570,(r)) (H9,29.428,(c)) (trine,8.50')\n(POF,80.873,(r)) (Venus,261.051,(c)) (opposition,10.70')", '5', "(Mars,174.035,(c)) (H4,233.913,(c)) (sextile,7.31')", "(Moon,149.570,(r)) (H1,209.740,(p)) (sextile,10.19')\n(Moon,330.862,(c)) (H1,150.830,(c)) (opposition,1.93')", '8', "(Moon,34.894,(p)) (H1,214.807,(p)) (opposition,5.19')", "(Moon,52.094,(p)) (H5,351.776,(p)) (sextile,19.11')\n(Venus,262.030,(r)) (H5,262.076,(c)) (conjunction,2.76')", "(Mercury,193.326,(c)) (H1,133.462,(c)) (sextile,8.14')", '12', "(Moon,101.607,(p)) (POF,11.753,(p)) (square,8.75')", '14', 11]
['1874-11-30 01:39:19', '0', '1', "(Mercury,227.597,(r)) (H12,137.594,(c)) (square,0.18')", "(Moon,189.318,(c)) (H10,69.049,(c)) (trine,16.13')", '4', "(H5,307.882,(r)) (H4,307.960,(p)) (conjunction,4.63')", '6', '7', "(Pluto,51.424,(r)) (H5,351.335,(p)) (sextile,5.33')", '9', '10', '11', "(H9,56.054,(r)) (Moon,296.097,(c)) (trine,2.60')", '13', '14', 5]
['1874-11-30 01:40:56', '0', '1', "(Neptune,28.071,(p)) (H10,118.004,(p)) (square,4.00')", "(Mercury,259.504,(p)) (H9,79.580,(p)) (opposition,4.54')\n(Moon,189.331,(c)) (H10,69.426,(c)) (trine,5.68')", '4', "(H5,308.234,(r)) (H4,308.354,(p)) (conjunction,7.18')", '6', "(Mercury,227.598,(r)) (H5,347.609,(p)) (trine,0.65')", '8', "(Pluto,51.424,(r)) (H4,321.425,(p)) (square,0.05')", '10', '11', "(H10,92.429,(r)) (Venus,272.415,(p)) (opposition,0.84')\n(H9,56.405,(r)) (Moon,296.112,(c)) (trine,17.56')", '13', "(Mars,247.814,(p)) (H1,247.875,(p)) (conjunction,3.61')", 9]
