Row 1: {'time': '1813-05-22 02:48:23', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 2, 'p_p_maj': 1, 'p_p_allm': 3, 'e': 4, 'all_conj': 4, 'all_maj': 4, 'a_p_p_a_conj': 1, 'all_m': 8}
Row 2: {'time': '1813-05-22 21:45:44', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_allm': 2, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 1, 'p_p_allm': 4, 'e': 1, 'all_conj': 6, 'all_maj': 4, 'a_p_p_a_conj': 3, 'all_m': 10}
Row 3: {'time': '1813-05-22 20:47:12', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 0, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_allm': 2, 'h_p_min': 0, 'p_p_conj': 1, 'p_p_maj': 4, 'p_p_allm': 5, 'e': 3, 'all_conj': 4, 'all_maj': 7, 'a_p_p_a_conj': 2, 'all_m': 11}
Row 4: {'time': '1813-05-22 08:00:47', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 1, 'p_p_maj': 2, 'p_p_allm': 3, 'e': 4, 'all_conj': 2, 'all_maj': 4, 'a_p_p_a_conj': 1, 'all_m': 6}
Row 5: {'time': '1813-05-22 07:09:51', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_allm': 2, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 0, 'p_p_conj': 1, 'p_p_maj': 4, 'p_p_allm': 5, 'e': 2, 'all_conj': 5, 'all_maj': 8, 'a_p_p_a_conj': 3, 'all_m': 13}
Row 6: {'time': '1813-05-22 04:57:51', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 2, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 5, 'p_p_maj': 0, 'p_p_allm': 5, 'e': 3, 'all_conj': 6, 'all_maj': 3, 'a_p_p_a_conj': 1, 'all_m': 9}
Row 7: {'time': '1813-05-21 23:51:44', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 3, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 2, 'p_p_maj': 2, 'p_p_allm': 4, 'e': 4, 'all_conj': 4, 'all_maj': 6, 'a_p_p_a_conj': 2, 'all_m': 10}
Row 8: {'time': '1813-05-22 21:23:44', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 0, 'a_p_allm': 0, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 2, 'p_p_allm': 2, 'e': 7, 'all_conj': 1, 'all_maj': 2, 'a_p_p_a_conj': 1, 'all_m': 3}
Row 9: {'time': '1813-05-22 14:46:31', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_allm': 2, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 1, 'p_p_allm': 4, 'e': 2, 'all_conj': 6, 'all_maj': 4, 'a_p_p_a_conj': 3, 'all_m': 10}
Row 10: {'time': '1813-05-22 12:50:47', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 1, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 0, 'h_p_allm': 2, 'h_p_min': 0, 'p_p_conj': 1, 'p_p_maj': 0, 'p_p_allm': 1, 'e': 4, 'all_conj': 7, 'all_maj': 1, 'a_p_p_a_conj': 4, 'all_m': 8}
Row 11: {'time': '1813-05-22 02:53:20', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_allm': 2, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 0, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_allm': 2, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 1, 'p_p_maj': 1, 'p_p_allm': 2, 'e': 4, 'all_conj': 5, 'all_maj': 3, 'a_p_p_a_conj': 3, 'all_m': 8}
