['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2010-09-15', '3: 2012-03-06', '4: 2012-12-12', '5: 2013-12-12', '6: 2014-03-24', '7: 2015-05-27', '8: 2016-05-27', '9: 2017-09-15', '10: 2017-09-22', '11: 2018-02-19', '12: 2019-05-22', '13: 2021-04-06', '14: 2021-07-10', '15: 2022-05-25', 'Count']
['2000-03-11 08:00:08', '0', "(H7,222.003,(r)) (Mercury,341.964,(d)) (trine,2.30')\n(Sun,351.055,(r)) (H4,126.094,(c)) (135-sesquisquare,2.32')", "(Sun,351.055,(r)) (H1,50.970,(d)) (sextile,5.14')\n(Moon,55.471,(r)) (H10,325.460,(d)) (square,0.65')\n(Jupiter,34.714,(r)) (H10,304.660,(c)) (square,3.24')", "(Mean_Node,121.343,(r)) (H9,271.355,(c)) (150-quincunx,0.74')", "(H10,314.900,(r)) (Venus,315.058,(c)) (conjunction,9.52')", '5', "(Mean_Node,121.343,(r)) (H4,121.298,(c)) (conjunction,2.65')", '7', "(Mean_Node,121.343,(r)) (H10,331.314,(d)) (150-quincunx,1.70')\n(Mean_Node,121.343,(r)) (H12,1.322,(c)) (trine,1.24')", "(H10,314.900,(r)) (Mean_Node,104.831,(c)) (150-quincunx,4.14')", "(Pluto,252.897,(r)) (H10,297.989,(c)) (45-semisquare,5.49')", "(Venus,327.344,(r)) (H7,237.280,(d)) (square,3.83')", '12', "(Mars,21.327,(r)) (H4,156.374,(d)) (135-sesquisquare,2.84')", "(H1,42.003,(r)) (Mercury,311.945,(c)) (square,3.47')", "(H10,314.900,(r)) (Jupiter,14.933,(c)) (sextile,1.98')", 16]
['2000-03-11 07:49:19', "(H7,219.648,(r)) (Mean_Node,129.625,(d)) (square,1.40')", "(Mercury,333.438,(r)) (H4,123.458,(c)) (150-quincunx,1.22')\n(H4,132.194,(r)) (Sun,342.187,(c)) (150-quincunx,0.45')", "(Uranus,318.699,(r)) (H1,48.633,(d)) (square,3.96')", "(Sun,351.048,(r)) (H9,291.010,(d)) (sextile,2.29')\n(H1,39.648,(r)) (Venus,339.712,(d)) (sextile,3.83')\n(H9,279.792,(r)) (Venus,339.712,(d)) (sextile,4.83')", '4', "(Mars,21.321,(r)) (H1,51.390,(d)) (30-semisextile,4.16')\n(H3,99.792,(r)) (Saturn,54.770,(d)) (45-semisquare,1.31')", '6', "(Venus,327.334,(r)) (H4,147.452,(d)) (opposition,7.08')\n(Moon,55.366,(r)) (H8,235.476,(c)) (opposition,6.58')", '8', "(H1,39.648,(r)) (Moon,69.740,(d)) (30-semisextile,5.51')\n(H3,99.792,(r)) (Moon,69.740,(d)) (30-semisextile,3.15')\n(Moon,55.366,(r)) (H10,295.428,(c)) (trine,3.74')", '10', '11', "(Pluto,252.897,(r)) (H9,297.960,(d)) (45-semisquare,3.77')\n(H9,279.792,(r)) (Neptune,324.817,(d)) (45-semisquare,1.49')", "(Mercury,333.438,(r)) (H4,153.507,(d)) (opposition,4.15')\n(Mercury,333.438,(r)) (H12,33.433,(d)) (sextile,0.31')\n(Mars,21.321,(r)) (H7,201.379,(c)) (opposition,3.45')\n(H4,132.194,(r)) (Mercury,312.323,(c)) (opposition,7.73')", "(Mars,21.321,(r)) (H1,21.151,(c)) (conjunction,10.21')\n(H10,312.194,(r)) (Mercury,312.076,(c)) (conjunction,7.11')", "(Jupiter,34.712,(r)) (H10,334.688,(d)) (sextile,1.45')\n(Sun,351.048,(r)) (H10,291.062,(c)) (sextile,0.87')\n(Jupiter,34.712,(r)) (H9,259.680,(c)) (135-sesquisquare,1.92')", 25]
['2000-03-11 06:07:36', '0', "(H7,197.165,(r)) (Moon,62.202,(d)) (135-sesquisquare,2.22')\n(Moon,54.377,(r)) (H4,99.430,(c)) (45-semisquare,3.18')", '2', "(Venus,327.247,(r)) (H9,267.156,(d)) (sextile,5.44')", '4', "(H3,76.388,(r)) (Mercury,346.385,(d)) (square,0.14')", "(Jupiter,34.698,(r)) (H7,184.779,(c)) (150-quincunx,4.86')", "(Uranus,318.695,(r)) (H1,3.739,(c)) (45-semisquare,2.63')", "(Mean_Node,121.347,(r)) (H1,31.317,(d)) (square,1.80')\n(Mean_Node,121.347,(r)) (H8,211.347,(c)) (square,0.05')", '9', "(Mercury,333.465,(r)) (H12,333.351,(c)) (conjunction,6.84')", "(Mean_Node,121.347,(r)) (H4,91.345,(c)) (30-semisextile,0.08')\n(Mean_Node,121.347,(r)) (H7,181.317,(c)) (sextile,1.76')\n(H3,76.388,(r)) (Mercury,316.376,(c)) (trine,0.70')", "(Uranus,318.695,(r)) (H9,273.681,(d)) (45-semisquare,0.88')\n(Neptune,305.681,(r)) (H10,305.706,(d)) (conjunction,1.48')", "(Moon,54.377,(r)) (H12,9.461,(d)) (45-semisquare,5.01')", "(Neptune,305.681,(r)) (H1,35.741,(d)) (square,3.56')\n(Neptune,305.681,(r)) (H9,275.626,(d)) (30-semisextile,3.29')\n(H1,17.165,(r)) (Saturn,62.074,(d)) (45-semisquare,5.44')\n(Saturn,43.316,(r)) (H1,358.318,(c)) (45-semisquare,0.11')\n(Saturn,43.316,(r)) (H10,268.282,(c)) (135-sesquisquare,2.03')", '15', 20]
['2000-03-11 07:27:35', '0', '1', "(Moon,55.155,(r)) (H3,85.216,(c)) (30-semisextile,3.71')", "(Uranus,318.698,(r)) (H10,318.592,(d)) (conjunction,6.39')\n(H1,34.892,(r)) (Moon,64.924,(d)) (30-semisextile,1.93')", '4', '5', "(H3,94.728,(r)) (Sun,4.744,(d)) (square,0.95')", "(H1,34.892,(r)) (Mars,34.927,(d)) (conjunction,2.13')\n(H8,243.997,(r)) (Uranus,334.070,(d)) (square,4.38')", "(Uranus,318.698,(r)) (H1,48.778,(d)) (square,4.77')\n(H10,306.815,(r)) (Sun,6.870,(d)) (sextile,3.26')", "(Sun,351.033,(r)) (H3,111.010,(d)) (trine,1.36')", '10', "(H4,126.815,(r)) (Uranus,336.860,(d)) (150-quincunx,2.71')", "(Mars,21.310,(r)) (H1,51.316,(d)) (30-semisextile,0.38')\n(Uranus,318.698,(r)) (H10,288.735,(c)) (30-semisextile,2.22')\n(Neptune,305.683,(r)) (H12,350.740,(c)) (45-semisquare,3.41')", '13', "(Uranus,318.698,(r)) (H12,348.738,(c)) (30-semisextile,2.38')", "(H1,34.892,(r)) (Venus,349.928,(d)) (45-semisquare,2.19')\n(H1,34.892,(r)) (Moon,34.901,(c)) (conjunction,0.54')", 16]
['2000-03-11 07:20:39', "(Saturn,43.321,(r)) (H4,133.370,(d)) (square,2.95')", "(H3,93.124,(r)) (Pluto,243.137,(c)) (150-quincunx,0.76')", "(Moon,55.087,(r)) (H10,295.157,(c)) (trine,4.17')", '3', "(H1,33.369,(r)) (Sun,3.445,(d)) (30-semisextile,4.56')\n(H9,273.124,(r)) (Neptune,318.118,(d)) (45-semisquare,0.33')", "(Mars,21.306,(r)) (H1,21.400,(c)) (conjunction,5.64')", "(Uranus,318.698,(r)) (H4,138.876,(d)) (opposition,10.70')\n(Mars,21.306,(r)) (H7,201.156,(c)) (opposition,9.03')", "(Mars,21.306,(r)) (H12,21.334,(d)) (conjunction,1.65')", "(Sun,351.028,(r)) (H10,321.062,(d)) (30-semisextile,2.01')\n(H10,305.117,(r)) (Uranus,335.032,(d)) (30-semisextile,5.13')\n(H1,33.369,(r)) (Uranus,303.333,(c)) (square,2.16')", "(Uranus,318.698,(r)) (H10,288.659,(c)) (30-semisextile,2.31')", "(Uranus,318.698,(r)) (H10,288.642,(c)) (30-semisextile,3.37')", "(Uranus,318.698,(r)) (H7,228.752,(d)) (square,3.24')", '12', '13', '14', "(Venus,327.310,(r)) (H10,327.149,(d)) (conjunction,9.61')", 16]
['2000-03-11 05:35:44', '0', "(Mercury,333.474,(r)) (H4,108.520,(d)) (135-sesquisquare,2.79')", "(H3,69.102,(r)) (Uranus,309.016,(c)) (trine,5.15')", "(H1,10.023,(r)) (Sun,339.962,(c)) (30-semisextile,3.63')", '4', '5', '6', '7', '8', '9', '10', "(H7,190.023,(r)) (Moon,70.105,(d)) (trine,4.93')\n(Moon,54.068,(r)) (H4,84.012,(c)) (30-semisextile,3.34')\n(Moon,54.068,(r)) (H7,174.142,(c)) (trine,4.45')", "(H1,10.023,(r)) (Pluto,235.103,(c)) (135-sesquisquare,4.80')", "(Mars,21.252,(r)) (H4,81.175,(c)) (sextile,4.61')", "(Saturn,43.314,(r)) (H9,268.274,(d)) (135-sesquisquare,2.39')\n(H9,249.102,(r)) (Uranus,339.146,(d)) (square,2.65')", "(H1,10.023,(r)) (Uranus,339.996,(d)) (30-semisextile,1.59')", 11]
['2000-03-11 07:46:39', "(Mars,21.320,(r)) (H12,21.233,(d)) (conjunction,5.22')", "(Mean_Node,121.343,(r)) (H7,211.284,(c)) (square,3.54')", "(H10,311.529,(r)) (Mean_Node,131.626,(d)) (opposition,5.78')\n(Mean_Node,121.343,(r)) (H10,301.389,(c)) (opposition,2.79')", '3', "(Sun,351.046,(r)) (H9,291.097,(d)) (sextile,3.03')", "(Moon,55.340,(r)) (H10,325.273,(d)) (square,4.01')", "(Sun,351.046,(r)) (H7,231.051,(d)) (trine,0.32')", '7', '8', '9', '10', '11', '12', "(H4,131.529,(r)) (Mean_Node,101.614,(c)) (30-semisextile,5.08')", "(Mars,21.320,(r)) (H10,291.243,(c)) (square,4.59')", "(H10,311.529,(r)) (Uranus,341.461,(d)) (30-semisextile,4.13')", 10]
['2000-03-11 06:30:16', '0', "(Mean_Node,121.346,(r)) (H4,121.489,(d)) (conjunction,8.60')\n(H4,113.008,(r)) (Mean_Node,112.943,(c)) (conjunction,3.92')", "(Mean_Node,121.346,(r)) (H1,31.375,(d)) (square,1.75')\n(H3,81.561,(r)) (Mean_Node,111.567,(c)) (30-semisextile,0.36')", '3', '4', '5', "(H7,202.221,(r)) (Jupiter,22.144,(c)) (opposition,4.61')", '7', '8', '9', '10', '11', '12', "(Uranus,318.696,(r)) (H4,93.732,(c)) (135-sesquisquare,2.16')\n(Uranus,318.696,(r)) (H7,183.653,(c)) (135-sesquisquare,2.57')", "(Saturn,43.318,(r)) (H10,313.395,(d)) (square,4.63')\n(Mercury,333.459,(r)) (H1,3.423,(c)) (30-semisextile,2.15')\n(Mercury,333.459,(r)) (H10,273.497,(c)) (sextile,2.27')", "(H9,261.561,(r)) (Venus,306.561,(c)) (45-semisquare,0.01')", 11]
['2000-03-11 05:47:36', '0', "(Mars,21.258,(r)) (H4,111.309,(d)) (square,3.04')\n(H3,71.819,(r)) (Mercury,341.792,(d)) (square,1.61')\n(H7,192.686,(r)) (Jupiter,42.738,(d)) (150-quincunx,3.11')\n(Jupiter,34.695,(r)) (H7,184.714,(c)) (150-quincunx,1.12')\n(H7,192.686,(r)) (Sun,342.631,(c)) (150-quincunx,3.30')", "(Mercury,333.470,(r)) (H1,3.393,(c)) (30-semisextile,4.65')\n(Mercury,333.470,(r)) (H10,273.466,(c)) (sextile,0.28')", "(H1,12.686,(r)) (Mean_Node,132.631,(d)) (trine,3.34')", "(Mean_Node,121.347,(r)) (H1,1.407,(c)) (trine,3.60')\n(Mean_Node,121.347,(r)) (H10,271.437,(c)) (150-quincunx,5.39')", "(Moon,54.183,(r)) (H3,84.170,(d)) (30-semisextile,0.77')", '6', '7', "(H1,12.686,(r)) (Saturn,57.730,(d)) (45-semisquare,2.62')\n(Saturn,43.315,(r)) (H1,358.348,(c)) (45-semisquare,1.95')\n(Saturn,43.315,(r)) (H10,268.312,(c)) (135-sesquisquare,0.15')\n(H1,12.686,(r)) (Pluto,237.726,(c)) (135-sesquisquare,2.37')", "(Venus,327.230,(r)) (H1,357.194,(c)) (30-semisextile,2.17')", '10', '11', '12', '13', '14', "(H1,12.686,(r)) (Mercury,312.694,(c)) (sextile,0.46')", 17]
['2000-03-11 06:56:39', "(Mars,21.294,(r)) (H4,111.361,(c)) (square,4.00')", "(H3,87.600,(r)) (Uranus,327.667,(d)) (trine,4.02')\n(H4,119.302,(r)) (Mars,29.272,(d)) (square,1.78')", '2', '3', '4', '5', "(Pluto,252.897,(r)) (H4,132.822,(d)) (trine,4.48')", '7', "(H8,237.077,(r)) (Saturn,57.233,(d)) (opposition,9.37')\n(H8,237.077,(r)) (Pluto,236.993,(c)) (conjunction,5.05')", '9', "(Saturn,43.320,(r)) (H1,43.194,(d)) (conjunction,7.54')", "(H3,87.600,(r)) (Pluto,267.457,(d)) (opposition,8.57')\n(Venus,327.289,(r)) (H7,192.352,(c)) (135-sesquisquare,3.79')", "(Saturn,43.320,(r)) (H12,343.380,(c)) (sextile,3.61')", "(Moon,54.854,(r)) (H4,99.821,(c)) (45-semisquare,1.98')", "(Mars,21.294,(r)) (H12,21.351,(d)) (conjunction,3.39')", "(Sun,351.011,(r)) (H10,320.950,(d)) (30-semisextile,3.68')", 13]
