Row 1: {'time': '2000-03-11 08:00:08', 'p_a_conj': 6, 'p_a_maj': 4, 'p_a_allm': 10, 'p_a_min': 8, 'p_h_conj': 0, 'p_h_maj': 5, 'p_h_allm': 5, 'p_h_min': 3, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 6, 'mon_p_maj': 4, 'mon_p_allm': 10, 'mon_p_min': 10, 'e': 3, 'all_conj': 12, 'all_maj': 13, 'p_a_mon_conj': 12}
Row 2: {'time': '2000-03-11 07:49:19', 'p_a_conj': 2, 'p_a_maj': 16, 'p_a_allm': 18, 'p_a_min': 7, 'p_h_conj': 3, 'p_h_maj': 6, 'p_h_allm': 9, 'p_h_min': 2, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 6, 'mon_p_maj': 4, 'mon_p_allm': 10, 'mon_p_min': 10, 'e': 0, 'all_conj': 11, 'all_maj': 26, 'p_a_mon_conj': 8}
Row 3: {'time': '2000-03-11 06:07:36', 'p_a_conj': 0, 'p_a_maj': 11, 'p_a_allm': 11, 'p_a_min': 11, 'p_h_conj': 2, 'p_h_maj': 4, 'p_h_allm': 6, 'p_h_min': 2, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 3, 'mon_p_maj': 3, 'mon_p_allm': 6, 'mon_p_min': 8, 'e': 2, 'all_conj': 5, 'all_maj': 18, 'p_a_mon_conj': 3}
Row 4: {'time': '2000-03-11 07:27:35', 'p_a_conj': 0, 'p_a_maj': 6, 'p_a_allm': 6, 'p_a_min': 6, 'p_h_conj': 1, 'p_h_maj': 5, 'p_h_allm': 6, 'p_h_min': 4, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 5, 'mon_p_maj': 4, 'mon_p_allm': 9, 'mon_p_min': 10, 'e': 2, 'all_conj': 6, 'all_maj': 15, 'p_a_mon_conj': 5}
Row 5: {'time': '2000-03-11 07:20:39', 'p_a_conj': 3, 'p_a_maj': 7, 'p_a_allm': 10, 'p_a_min': 6, 'p_h_conj': 2, 'p_h_maj': 5, 'p_h_allm': 7, 'p_h_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 4, 'mon_p_maj': 2, 'mon_p_allm': 6, 'mon_p_min': 10, 'e': 3, 'all_conj': 9, 'all_maj': 14, 'p_a_mon_conj': 7}
Row 6: {'time': '2000-03-11 05:35:44', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_allm': 4, 'p_a_min': 4, 'p_h_conj': 6, 'p_h_maj': 1, 'p_h_allm': 7, 'p_h_min': 4, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 2, 'mon_p_maj': 2, 'mon_p_allm': 4, 'mon_p_min': 4, 'e': 5, 'all_conj': 9, 'all_maj': 6, 'p_a_mon_conj': 3}
Row 7: {'time': '2000-03-11 07:46:39', 'p_a_conj': 1, 'p_a_maj': 7, 'p_a_allm': 8, 'p_a_min': 13, 'p_h_conj': 2, 'p_h_maj': 3, 'p_h_allm': 5, 'p_h_min': 8, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 6, 'mon_p_maj': 5, 'mon_p_allm': 11, 'mon_p_min': 9, 'e': 1, 'all_conj': 9, 'all_maj': 15, 'p_a_mon_conj': 7}
Row 8: {'time': '2000-03-11 06:30:16', 'p_a_conj': 2, 'p_a_maj': 4, 'p_a_allm': 6, 'p_a_min': 10, 'p_h_conj': 0, 'p_h_maj': 7, 'p_h_allm': 7, 'p_h_min': 1, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 2, 'mon_p_maj': 1, 'mon_p_allm': 3, 'mon_p_min': 10, 'e': 2, 'all_conj': 4, 'all_maj': 12, 'p_a_mon_conj': 4}
Row 9: {'time': '2000-03-11 05:47:36', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_allm': 3, 'p_a_min': 9, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_allm': 2, 'p_h_min': 4, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 2, 'mon_p_maj': 3, 'mon_p_allm': 5, 'mon_p_min': 6, 'e': 5, 'all_conj': 2, 'all_maj': 8, 'p_a_mon_conj': 2}
Row 10: {'time': '2000-03-11 06:56:39', 'p_a_conj': 3, 'p_a_maj': 6, 'p_a_allm': 9, 'p_a_min': 3, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_allm': 3, 'p_h_min': 3, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 2, 'mon_p_maj': 2, 'mon_p_allm': 4, 'mon_p_min': 10, 'e': 1, 'all_conj': 6, 'all_maj': 10, 'p_a_mon_conj': 5}
Row 11: {'time': '2000-03-11 07:38:39', 'p_a_conj': 7, 'p_a_maj': 6, 'p_a_allm': 13, 'p_a_min': 11, 'p_h_conj': 0, 'p_h_maj': 3, 'p_h_allm': 3, 'p_h_min': 2, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 6, 'mon_p_maj': 4, 'mon_p_allm': 10, 'mon_p_min': 9, 'e': 1, 'all_conj': 13, 'all_maj': 13, 'p_a_mon_conj': 13}
Row 12: {'time': '2000-03-11 07:05:51', 'p_a_conj': 3, 'p_a_maj': 10, 'p_a_allm': 13, 'p_a_min': 23, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_allm': 2, 'p_h_min': 4, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 3, 'mon_p_maj': 2, 'mon_p_allm': 5, 'mon_p_min': 9, 'e': 2, 'all_conj': 7, 'all_maj': 13, 'p_a_mon_conj': 6}
