Row 1: {'time': '2000-03-11 08:00:08', 'p_a_allm': 25, 'p_a_min': 21, 'e': 1, 'p_a_maj': 23, 'p_a_conj': 2}
Row 2: {'time': '2000-03-11 07:49:19', 'p_a_allm': 19, 'p_a_min': 23, 'e': 2, 'p_a_maj': 13, 'p_a_conj': 6}
Row 3: {'time': '2000-03-11 06:07:36', 'p_a_allm': 20, 'p_a_min': 23, 'e': 4, 'p_a_maj': 16, 'p_a_conj': 4}
Row 4: {'time': '2000-03-11 07:27:35', 'p_a_allm': 21, 'p_a_min': 25, 'e': 0, 'p_a_maj': 15, 'p_a_conj': 6}
Row 5: {'time': '2000-03-11 07:20:39', 'p_a_allm': 23, 'p_a_min': 24, 'e': 2, 'p_a_maj': 18, 'p_a_conj': 5}
Row 6: {'time': '2000-03-11 05:35:44', 'p_a_allm': 34, 'p_a_min': 26, 'e': 1, 'p_a_maj': 21, 'p_a_conj': 13}
Row 7: {'time': '2000-03-11 07:46:39', 'p_a_allm': 27, 'p_a_min': 29, 'e': 0, 'p_a_maj': 20, 'p_a_conj': 7}
Row 8: {'time': '2000-03-11 06:30:16', 'p_a_allm': 26, 'p_a_min': 21, 'e': 0, 'p_a_maj': 20, 'p_a_conj': 6}
Row 9: {'time': '2000-03-11 05:47:36', 'p_a_allm': 24, 'p_a_min': 19, 'e': 4, 'p_a_maj': 17, 'p_a_conj': 7}
Row 10: {'time': '2000-03-11 06:56:39', 'p_a_allm': 17, 'p_a_min': 26, 'e': 1, 'p_a_maj': 14, 'p_a_conj': 3}
Row 11: {'time': '2000-03-11 07:38:39', 'p_a_allm': 26, 'p_a_min': 26, 'e': 0, 'p_a_maj': 22, 'p_a_conj': 4}
Row 12: {'time': '2000-03-11 07:05:51', 'p_a_allm': 23, 'p_a_min': 24, 'e': 0, 'p_a_maj': 20, 'p_a_conj': 3}
Row 13: {'time': '2000-03-11 05:52:32', 'p_a_allm': 16, 'p_a_min': 22, 'e': 5, 'p_a_maj': 12, 'p_a_conj': 4}
Row 14: {'time': '2000-03-11 06:50:47', 'p_a_allm': 15, 'p_a_min': 27, 'e': 0, 'p_a_maj': 11, 'p_a_conj': 4}
Row 15: {'time': '2000-03-11 07:16:47', 'p_a_allm': 21, 'p_a_min': 23, 'e': 3, 'p_a_maj': 17, 'p_a_conj': 4}
Row 16: {'time': '2000-03-11 06:52:32', 'p_a_allm': 16, 'p_a_min': 24, 'e': 2, 'p_a_maj': 12, 'p_a_conj': 4}
Row 17: {'time': '2000-03-11 07:25:59', 'p_a_allm': 21, 'p_a_min': 24, 'e': 0, 'p_a_maj': 15, 'p_a_conj': 6}
Row 18: {'time': '2000-03-11 05:59:28', 'p_a_allm': 16, 'p_a_min': 27, 'e': 3, 'p_a_maj': 14, 'p_a_conj': 2}
Row 19: {'time': '2000-03-11 07:03:59', 'p_a_allm': 21, 'p_a_min': 26, 'e': 1, 'p_a_maj': 19, 'p_a_conj': 2}
Row 20: {'time': '2000-03-11 07:55:59', 'p_a_allm': 25, 'p_a_min': 29, 'e': 1, 'p_a_maj': 22, 'p_a_conj': 3}
Row 21: {'time': '2000-03-11 07:14:47', 'p_a_allm': 21, 'p_a_min': 26, 'e': 1, 'p_a_maj': 16, 'p_a_conj': 5}
Row 22: {'time': '2000-03-11 05:56:24', 'p_a_allm': 19, 'p_a_min': 23, 'e': 3, 'p_a_maj': 16, 'p_a_conj': 3}
Row 23: {'time': '2000-03-11 06:26:47', 'p_a_allm': 28, 'p_a_min': 23, 'e': 0, 'p_a_maj': 21, 'p_a_conj': 7}
Row 24: {'time': '2000-03-11 06:20:16', 'p_a_allm': 26, 'p_a_min': 22, 'e': 1, 'p_a_maj': 17, 'p_a_conj': 9}
Row 25: {'time': '2000-03-11 07:57:51', 'p_a_allm': 30, 'p_a_min': 23, 'e': 1, 'p_a_maj': 27, 'p_a_conj': 3}
Row 26: {'time': '2000-03-11 06:23:28', 'p_a_allm': 25, 'p_a_min': 25, 'e': 0, 'p_a_maj': 18, 'p_a_conj': 7}
Row 27: {'time': '2000-03-11 07:01:43', 'p_a_allm': 20, 'p_a_min': 29, 'e': 1, 'p_a_maj': 18, 'p_a_conj': 2}
Row 28: {'time': '2000-03-11 07:31:43', 'p_a_allm': 24, 'p_a_min': 25, 'e': 0, 'p_a_maj': 19, 'p_a_conj': 5}
Row 29: {'time': '2000-03-11 05:55:04', 'p_a_allm': 18, 'p_a_min': 24, 'e': 3, 'p_a_maj': 15, 'p_a_conj': 3}
Row 30: {'time': '2000-03-11 07:53:51', 'p_a_allm': 23, 'p_a_min': 27, 'e': 1, 'p_a_maj': 19, 'p_a_conj': 4}
Row 31: {'time': '2000-03-11 06:54:39', 'p_a_allm': 15, 'p_a_min': 25, 'e': 2, 'p_a_maj': 12, 'p_a_conj': 3}
Row 32: {'time': '2000-03-11 06:11:20', 'p_a_allm': 21, 'p_a_min': 17, 'e': 3, 'p_a_maj': 18, 'p_a_conj': 3}
Row 33: {'time': '2000-03-11 06:09:44', 'p_a_allm': 23, 'p_a_min': 20, 'e': 4, 'p_a_maj': 20, 'p_a_conj': 3}
Row 34: {'time': '2000-03-11 07:11:04', 'p_a_allm': 18, 'p_a_min': 23, 'e': 0, 'p_a_maj': 15, 'p_a_conj': 3}
Row 35: {'time': '2000-03-11 06:38:56', 'p_a_allm': 27, 'p_a_min': 27, 'e': 2, 'p_a_maj': 20, 'p_a_conj': 7}
Row 36: {'time': '2000-03-11 06:15:12', 'p_a_allm': 22, 'p_a_min': 18, 'e': 4, 'p_a_maj': 14, 'p_a_conj': 8}
Row 37: {'time': '2000-03-11 05:43:44', 'p_a_allm': 30, 'p_a_min': 20, 'e': 1, 'p_a_maj': 21, 'p_a_conj': 9}
Row 38: {'time': '2000-03-11 06:01:51', 'p_a_allm': 17, 'p_a_min': 28, 'e': 2, 'p_a_maj': 14, 'p_a_conj': 3}
Row 39: {'time': '2000-03-11 07:09:51', 'p_a_allm': 19, 'p_a_min': 27, 'e': 0, 'p_a_maj': 16, 'p_a_conj': 3}
Row 40: {'time': '2000-03-11 07:08:39', 'p_a_allm': 23, 'p_a_min': 28, 'e': 0, 'p_a_maj': 19, 'p_a_conj': 4}
