['Time', '0: 2017-01-31', '1: 2018-10-10', '2: 2018-04-15', '3: 2018-01-28', '4: 2016-10-05', '5: 2016-01-28', '6: 2015-11-04', '7: 2015-03-27', '8: 2015-03-16', '9: 2011-12-07', 'Count']
['2000-03-11 07:39:11', '0', "(H10,309.675,(r)) (Sun,9.495,(p)) (sextile,10.82')", "(Moon,55.267,(r)) (POF,235.291,(c)) (opposition,1.43')", "(Moon,291.703,(p)) (H1,51.581,(p)) (trine,7.33')", '4', "(Sun,351.041,(r)) (H3,111.147,(p)) (trine,6.38')\n(Moon,55.267,(r)) (H10,295.333,(c)) (trine,3.94')", "(Sun,351.041,(r)) (H3,110.943,(p)) (trine,5.90')\n(H1,37.433,(r)) (Moon,217.423,(c)) (opposition,0.64')\n(H3,97.424,(r)) (Moon,217.423,(c)) (trine,0.10')", '7', '8', "(POF,101.660,(r)) (Venus,341.829,(p)) (trine,10.15')\n(H1,37.433,(r)) (Moon,217.546,(p)) (opposition,6.75')\n(H9,277.424,(r)) (Moon,217.546,(p)) (sextile,7.29')\n(Venus,327.326,(r)) (H9,267.374,(c)) (sextile,2.92')", 12]
['2000-03-11 08:40:00', '0', '1', '2', "(H3,111.868,(r)) (Moon,292.203,(p)) (opposition,20.11')", '4', '5', "(Moon,217.954,(c)) (H1,37.992,(c)) (opposition,2.31')\n(Moon,217.954,(c)) (H3,98.020,(c)) (trine,3.97')", '7', '8', "(H10,325.079,(r)) (Moon,265.150,(c)) (sextile,4.30')", 4]
['2000-03-11 13:46:23', "(Uranus,319.510,(p)) (H1,139.635,(p)) (opposition,7.50')\n(H10,46.634,(r)) (Mercury,346.791,(c)) (sextile,9.47')", "(Moon,303.087,(p)) (H10,63.157,(p)) (trine,4.21')", "(POF,189.287,(r)) (Sun,9.265,(p)) (opposition,1.31')\n(POF,189.287,(r)) (Moon,189.079,(c)) (conjunction,12.48')", '3', "(H10,46.634,(r)) (Mercury,346.668,(c)) (sextile,2.07')", "(Mercury,346.352,(c)) (H1,106.259,(c)) (trine,5.58')\n(Jupiter,31.686,(c)) (H10,31.507,(c)) (conjunction,10.78')", "(Jupiter,31.729,(c)) (H10,31.737,(c)) (conjunction,0.50')", '7', '8', '9', 9]
['2000-03-11 10:27:19', "(Venus,327.470,(r)) (H1,87.603,(p)) (trine,8.01')", "(Mean_Node,121.337,(r)) (H3,121.246,(c)) (conjunction,5.48')", '2', '3', "(Venus,327.470,(r)) (H1,87.336,(p)) (trine,8.02')", '5', "(Moon,266.654,(p)) (H1,86.577,(p)) (opposition,4.59')", "(H3,139.324,(r)) (Moon,259.440,(p)) (trine,6.97')", "(H3,139.324,(r)) (Moon,259.081,(p)) (trine,14.54')", "(H9,319.324,(r)) (Uranus,319.275,(p)) (conjunction,2.90')", 7]
['2000-03-11 07:14:55', '0', "(Mercury,347.175,(c)) (H10,287.193,(c)) (sextile,1.03')", '2', '3', "(Uranus,318.698,(r)) (H10,318.726,(p)) (conjunction,1.71')\n(POF,96.115,(r)) (Moon,275.953,(p)) (opposition,9.73')\n(Uranus,317.802,(c)) (H3,77.664,(c)) (trine,8.25')", '5', "(H3,91.800,(r)) (Jupiter,31.679,(c)) (sextile,7.27')", "(H3,91.800,(r)) (Jupiter,31.789,(c)) (sextile,0.64')", "(Moon,257.494,(p)) (H10,317.291,(p)) (sextile,12.18')\n(H3,91.800,(r)) (Jupiter,31.795,(c)) (sextile,0.32')", "(Venus,341.808,(p)) (H9,281.764,(p)) (sextile,2.62')", 9]
['2000-03-11 12:09:04', '0', '1', "(Jupiter,38.637,(p)) (H10,38.658,(p)) (conjunction,1.28')", "(Jupiter,38.590,(p)) (H10,38.462,(p)) (conjunction,7.67')", "(H3,168.028,(r)) (Venus,348.024,(p)) (opposition,0.20')", "(Sun,351.228,(r)) (H1,111.226,(p)) (trine,0.10')\n(H1,96.954,(r)) (Moon,216.860,(c)) (trine,5.64')", '6', "(Jupiter,31.827,(c)) (H3,151.963,(c)) (trine,8.18')", "(H3,168.028,(r)) (Moon,227.680,(c)) (sextile,20.86')\n(Jupiter,31.832,(c)) (H3,151.995,(c)) (trine,9.78')", "(Mean_Node,120.712,(p)) (H9,0.579,(p)) (trine,7.94')\n(Moon,266.869,(c)) (H1,86.862,(c)) (opposition,0.46')", 10]
['2000-03-11 15:29:12', '0', "(H1,152.759,(r)) (Sun,332.728,(c)) (opposition,1.87')", '2', "(Sun,351.367,(r)) (POF,351.419,(c)) (conjunction,3.11')", "(POF,85.330,(p)) (H10,85.463,(p)) (conjunction,7.98')", '5', "(Moon,59.841,(r)) (H3,239.848,(p)) (opposition,0.44')\n(POF,221.233,(r)) (Moon,221.513,(c)) (conjunction,16.80')", "(Sun,351.367,(r)) (H1,171.246,(p)) (opposition,7.27')", "(Sun,351.367,(r)) (H1,171.208,(p)) (opposition,9.53')", "(POF,221.233,(r)) (Moon,221.668,(p)) (conjunction,26.14')\n(Mercury,333.323,(r)) (H9,33.368,(c)) (sextile,2.71')", 9]
['2000-03-11 11:49:12', "(H3,162.259,(r)) (Moon,282.013,(p)) (trine,14.76')", "(Moon,302.111,(p)) (H3,182.041,(p)) (trine,4.17')", "(Mercury,333.377,(r)) (H10,33.528,(p)) (sextile,9.11')\n(Moon,57.699,(r)) (H10,357.672,(c)) (sextile,1.64')", "(Mercury,333.377,(r)) (H10,33.329,(p)) (sextile,2.84')\n(Mean_Node,121.334,(r)) (H3,181.296,(p)) (sextile,2.31')", '4', '5', '6', '7', '8', "(Venus,327.540,(r)) (H10,27.483,(p)) (sextile,3.42')\n(Uranus,319.278,(p)) (POF,319.323,(p)) (conjunction,2.72')", 8]
['2000-03-11 09:58:56', '0', "(Venus,327.446,(r)) (H10,327.561,(c)) (conjunction,6.96')", '2', '3', "(H1,67.710,(r)) (Sun,7.601,(p)) (sextile,6.56')", "(Venus,327.446,(r)) (H3,147.382,(p)) (opposition,3.81')\n(Moon,56.626,(r)) (H3,116.723,(c)) (sextile,5.78')\n(H1,67.710,(r)) (Venus,307.821,(c)) (trine,6.65')", '6', "(H10,346.033,(r)) (Venus,346.026,(p)) (conjunction,0.38')\n(Moon,259.206,(p)) (H1,79.712,(p)) (opposition,30.39')\n(H10,346.033,(r)) (Moon,226.193,(c)) (trine,9.63')\n(H10,346.033,(r)) (Mercury,345.969,(c)) (conjunction,3.80')", "(H10,346.033,(r)) (Venus,345.989,(p)) (conjunction,2.61')\n(H10,346.033,(r)) (Moon,226.565,(c)) (trine,31.91')\n(H10,346.033,(r)) (Mercury,345.951,(c)) (conjunction,4.91')", '9', 12]
['2000-03-11 05:48:23', '0', "(Moon,299.114,(p)) (H10,299.151,(p)) (conjunction,2.22')\n(Venus,327.231,(r)) (H10,267.193,(c)) (sextile,2.25')", "(Venus,327.231,(r)) (H3,87.050,(p)) (trine,10.84')", "(Venus,327.231,(r)) (H1,27.377,(p)) (sextile,8.79')", '4', '5', '6', '7', '8', "(H1,12.866,(r)) (Venus,312.722,(c)) (sextile,8.60')\n(Mean_Node,121.969,(c)) (H9,241.999,(c)) (trine,1.80')", 6]
