['Time', '0: 2017-01-31', '1: 2018-10-10', '2: 2018-04-15', '3: 2018-01-28', '4: 2016-10-05', '5: 2016-01-28', '6: 2015-11-04', '7: 2015-03-27', '8: 2015-03-16', '9: 2011-12-07', 'Count']
['2000-03-11 07:39:11', "(H10,309.675,(r)) (Jupiter,250.102,(c)) (sextile,25.61')", '1', '2', '3', "(H1,37.433,(r)) (Venus,156.559,(c)) (trine,52.48')\n(H3,97.424,(r)) (Venus,156.559,(c)) (sextile,51.93')", '5', "(H10,309.675,(r)) (Uranus,249.951,(c)) (sextile,16.55')", '7', '8', '9', 4]
['2000-03-11 08:40:00', "(H1,50.652,(r)) (Mercury,290.154,(p)) (trine,29.83')", "(H1,50.652,(r)) (Venus,171.216,(c)) (trine,33.88')\n(H3,111.868,(r)) (Venus,171.216,(c)) (sextile,39.10')\n(H10,325.079,(r)) (Moon,265.943,(c)) (sextile,51.87')", "(H1,50.652,(r)) (Jupiter,231.160,(p)) (opposition,30.50')\n(H3,111.868,(r)) (Jupiter,231.160,(p)) (trine,42.48')\n(H10,325.079,(r)) (Sun,25.467,(p)) (sextile,23.34')\n(H3,111.868,(r)) (Mean_Node,111.320,(c)) (conjunction,32.88')", "(POF,115.427,(r)) (Mercury,295.170,(p)) (opposition,15.40')\n(H1,50.652,(r)) (Jupiter,230.869,(p)) (opposition,13.03')\n(H3,111.868,(r)) (Jupiter,230.869,(p)) (trine,59.95')\n(H10,325.079,(r)) (Moon,85.691,(p)) (trine,36.78')\n(H10,325.079,(r)) (Uranus,24.859,(p)) (sextile,13.15')\n(H10,325.079,(r)) (Moon,24.164,(c)) (sextile,54.89')", "(H1,50.652,(r)) (Mercury,169.925,(c)) (trine,43.56')", "(H3,111.868,(r)) (Jupiter,172.581,(p)) (sextile,42.76')", "(POF,115.427,(r)) (Sun,114.805,(c)) (conjunction,37.29')", "(H3,111.868,(r)) (Mean_Node,52.277,(c)) (sextile,24.55')\n(H10,325.079,(r)) (Moon,24.540,(c)) (sextile,32.29')", "(H3,111.868,(r)) (Mean_Node,51.695,(c)) (sextile,10.40')", "(H9,291.868,(r)) (Jupiter,52.497,(c)) (trine,37.77')", 21]
['2000-03-11 13:46:23', '0', "(H3,196.536,(r)) (Sun,197.131,(p)) (conjunction,35.70')", "(H3,196.536,(r)) (Sun,316.511,(c)) (trine,1.46')", "(H10,46.634,(r)) (Mercury,46.180,(c)) (conjunction,27.24')", "(H1,121.742,(r)) (Moon,241.761,(p)) (trine,1.09')\n(H1,121.742,(r)) (Jupiter,241.579,(c)) (trine,9.83')", "(H3,196.536,(r)) (Uranus,17.032,(p)) (opposition,29.79')", "(H3,196.536,(r)) (Uranus,17.593,(p)) (opposition,63.47')\n(H10,46.634,(r)) (Jupiter,167.311,(p)) (trine,40.63')\n(H10,46.634,(r)) (Moon,346.689,(c)) (sextile,3.34')", "(H3,196.536,(r)) (Uranus,15.880,(p)) (opposition,39.33')\n(H3,196.536,(r)) (Venus,17.085,(c)) (opposition,32.94')", "(H1,121.742,(r)) (Moon,301.065,(p)) (opposition,40.64')\n(H1,121.742,(r)) (Mercury,1.145,(c)) (trine,35.82')\n(H10,46.634,(r)) (Sun,347.012,(c)) (sextile,22.73')", '9', 14]
['2000-03-11 10:27:19', "(H10,353.753,(r)) (Moon,354.458,(p)) (conjunction,42.31')", "(H10,353.753,(r)) (Jupiter,233.901,(p)) (trine,8.92')\n(POF,139.644,(r)) (Sun,138.594,(c)) (conjunction,62.98')\n(POF,139.644,(r)) (Mercury,139.801,(c)) (conjunction,9.42')\n(H3,139.324,(r)) (Sun,138.594,(c)) (conjunction,43.76')\n(H3,139.324,(r)) (Mercury,139.801,(c)) (conjunction,28.65')", "(H10,353.753,(r)) (Venus,293.983,(c)) (sextile,13.80')", "(H1,73.899,(r)) (Venus,313.103,(p)) (trine,47.75')", '4', "(H1,73.899,(r)) (Uranus,253.025,(c)) (opposition,52.47')\n(H3,139.324,(r)) (Venus,19.129,(c)) (trine,11.68')", '6', "(H1,73.899,(r)) (Jupiter,132.825,(p)) (sextile,64.43')\n(H10,353.753,(r)) (Mercury,353.465,(p)) (conjunction,17.25')", "(H1,73.899,(r)) (Jupiter,133.433,(p)) (sextile,27.97')", '9', 13]
['2000-03-11 07:14:55', '0', "(H1,32.108,(r)) (Uranus,31.103,(p)) (conjunction,60.27')\n(H3,91.800,(r)) (Mercury,210.733,(p)) (trine,64.04')\n(H3,91.800,(r)) (Uranus,31.103,(p)) (sextile,41.83')", "(H10,303.719,(r)) (Mercury,4.778,(p)) (sextile,63.52')\n(H1,32.108,(r)) (Moon,92.544,(c)) (sextile,26.16')\n(H3,91.800,(r)) (Moon,92.544,(c)) (conjunction,44.60')\n(H10,303.719,(r)) (Uranus,244.147,(c)) (sextile,25.65')", "(H1,32.108,(r)) (Sun,32.617,(c)) (conjunction,30.59')\n(H3,91.800,(r)) (Sun,32.617,(c)) (sextile,49.04')\n(H10,303.719,(r)) (Uranus,243.826,(c)) (sextile,6.38')", '4', "(POF,96.115,(r)) (Venus,275.714,(p)) (opposition,24.06')\n(H1,32.108,(r)) (Sun,33.123,(c)) (conjunction,60.94')\n(H1,32.108,(r)) (Mercury,31.619,(c)) (conjunction,29.34')\n(H3,91.800,(r)) (Mercury,31.619,(c)) (sextile,10.89')\n(H10,303.719,(r)) (Moon,304.083,(c)) (conjunction,21.84')", "(POF,96.115,(r)) (Jupiter,275.918,(c)) (opposition,11.84')\n(H10,303.719,(r)) (Venus,123.279,(c)) (opposition,26.41')", "(H10,303.719,(r)) (Jupiter,303.907,(c)) (conjunction,11.25')", '8', "(H9,271.800,(r)) (Jupiter,30.951,(p)) (trine,50.95')", 19]
['2000-03-11 12:09:04', "(H10,21.391,(r)) (Uranus,21.026,(p)) (conjunction,21.88')", '1', "(H3,168.028,(r)) (Venus,48.781,(p)) (trine,45.21')", "(H3,168.028,(r)) (Venus,347.891,(c)) (opposition,8.20')\n(H3,168.028,(r)) (Mean_Node,107.226,(c)) (sextile,48.09')", "(H1,96.954,(r)) (Venus,156.382,(c)) (sextile,34.29')", '5', "(H3,168.028,(r)) (Jupiter,167.311,(p)) (conjunction,43.02')\n(H1,96.954,(r)) (Jupiter,275.871,(c)) (opposition,64.99')", '7', "(H10,21.391,(r)) (Venus,21.537,(c)) (conjunction,8.76')", "(POF,163.618,(r)) (Venus,283.604,(p)) (trine,0.87')\n(H9,348.028,(r)) (Mean_Node,348.404,(c)) (conjunction,22.56')\n(H10,21.391,(r)) (Mercury,81.604,(c)) (sextile,12.83')\n(H10,21.391,(r)) (Venus,81.258,(c)) (sextile,7.96')", 12]
['2000-03-11 15:29:12', "(H10,71.476,(r)) (Sun,311.805,(p)) (trine,19.72')", "(POF,221.233,(r)) (Venus,220.403,(p)) (conjunction,49.78')\n(H1,152.759,(r)) (Moon,272.873,(c)) (trine,6.83')", '2', "(H1,152.759,(r)) (Sun,33.287,(c)) (trine,31.68')\n(H1,152.759,(r)) (Moon,32.431,(c)) (trine,19.67')", "(H3,225.164,(r)) (Venus,224.474,(p)) (conjunction,41.37')", "(H3,225.164,(r)) (Mercury,285.333,(p)) (sextile,10.17')\n(H1,152.759,(r)) (Sun,33.792,(c)) (trine,62.00')\n(H10,71.476,(r)) (Moon,312.373,(c)) (trine,53.81')", "(POF,221.233,(r)) (Sun,221.742,(p)) (conjunction,30.54')\n(H1,152.759,(r)) (Mercury,213.649,(p)) (sextile,53.41')", "(POF,221.233,(r)) (Venus,42.098,(p)) (opposition,51.91')", '8', "(POF,221.233,(r)) (Moon,40.591,(p)) (opposition,38.49')", 13]
['2000-03-11 11:49:12', '0', "(H10,16.051,(r)) (Sun,197.131,(p)) (opposition,64.76')", "(H10,16.051,(r)) (Sun,316.346,(c)) (sextile,17.71')", "(H1,92.289,(r)) (Sun,32.989,(c)) (sextile,41.98')", '4', "(H10,16.051,(r)) (Uranus,17.032,(p)) (conjunction,58.85')\n(H1,92.289,(r)) (Mercury,31.355,(c)) (sextile,56.04')\n(H3,162.259,(r)) (Jupiter,282.900,(c)) (trine,38.47')", "(H3,162.259,(r)) (Sun,221.742,(p)) (sextile,31.02')", "(H3,162.259,(r)) (Venus,42.098,(p)) (trine,9.65')\n(H10,16.051,(r)) (Uranus,15.880,(p)) (conjunction,10.27')\n(H10,16.051,(r)) (Venus,16.993,(c)) (conjunction,56.50')", "(H10,16.051,(r)) (Uranus,15.267,(p)) (conjunction,47.05')", '9', 11]
['2000-03-11 09:58:56', "(H3,131.767,(r)) (Sun,311.805,(p)) (opposition,2.23')\n(H1,67.710,(r)) (Venus,68.048,(c)) (conjunction,20.23')\n(H1,67.710,(r)) (Uranus,248.548,(c)) (opposition,50.27')", "(H1,67.710,(r)) (Jupiter,187.828,(c)) (trine,7.03')", "(H3,131.767,(r)) (Mean_Node,131.362,(p)) (conjunction,24.30')\n(H1,67.710,(r)) (Mercury,307.063,(c)) (trine,38.82')", "(POF,133.199,(r)) (Venus,313.103,(p)) (opposition,5.73')\n(H1,67.710,(r)) (Sun,308.511,(p)) (trine,48.02')\n(H10,346.033,(r)) (Mercury,45.561,(c)) (sextile,28.30')", "(H3,131.767,(r)) (Sun,192.675,(p)) (sextile,54.45')", "(H1,67.710,(r)) (Sun,307.988,(p)) (trine,16.64')\n(H10,346.033,(r)) (Mercury,285.333,(p)) (sextile,41.98')\n(H1,67.710,(r)) (Moon,306.843,(c)) (trine,52.02')", '6', "(POF,133.199,(r)) (Jupiter,132.825,(p)) (conjunction,22.41')\n(H3,131.767,(r)) (Jupiter,132.825,(p)) (conjunction,63.47')", "(POF,133.199,(r)) (Jupiter,133.433,(p)) (conjunction,14.06')\n(H3,131.767,(r)) (Mean_Node,190.993,(p)) (sextile,46.44')\n(H10,346.033,(r)) (Sun,346.696,(c)) (conjunction,39.82')", "(H1,67.710,(r)) (Mercury,247.762,(p)) (opposition,3.08')", 19]
['2000-03-11 05:48:23', "(H1,12.866,(r)) (Sun,311.805,(p)) (sextile,63.67')\n(H3,72.002,(r)) (Sun,311.805,(p)) (trine,11.84')", '1', "(H3,72.002,(r)) (Mean_Node,131.362,(p)) (sextile,38.37')", "(H1,12.866,(r)) (Venus,313.103,(p)) (sextile,14.25')", "(H1,12.866,(r)) (Sun,192.675,(p)) (opposition,11.44')\n(H3,72.002,(r)) (Sun,192.675,(p)) (trine,40.38')", "(H1,12.866,(r)) (Uranus,253.036,(c)) (trine,10.19')\n(H3,72.002,(r)) (Uranus,253.036,(c)) (opposition,62.02')\n(H10,283.200,(r)) (Jupiter,282.889,(c)) (conjunction,18.66')", '6', "(H1,12.866,(r)) (Jupiter,132.825,(p)) (trine,2.43')\n(H3,72.002,(r)) (Jupiter,132.825,(p)) (sextile,49.40')", "(H1,12.866,(r)) (Jupiter,133.433,(p)) (trine,34.04')\n(H3,72.002,(r)) (Mean_Node,190.993,(p)) (trine,60.52')", "(H10,283.200,(r)) (Venus,283.604,(p)) (conjunction,24.19')", 14]
