['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2010-09-15', '3: 2012-03-06', '4: 2012-12-12', '5: 2013-12-12', '6: 2014-03-24', '7: 2015-05-27', '8: 2016-05-27', '9: 2017-09-15', '10: 2017-09-22', '11: 2018-02-19', '12: 2019-05-22', '13: 2021-04-06', '14: 2021-07-10', '15: 2022-05-25', 'Count']
['2000-03-11 07:49:19', "(H7,219.648,(r)) (Mean_Node,129.625,(d)) (square,1.40')", '1', '2', "(Sun,351.048,(r)) (H9,291.010,(d)) (sextile,2.29')\n(H1,39.648,(r)) (Venus,339.712,(d)) (sextile,3.83')\n(H9,279.792,(r)) (Venus,339.712,(d)) (sextile,4.83')", '4', '5', '6', "(Venus,327.334,(r)) (H4,147.452,(d)) (opposition,7.08')\n(Moon,55.366,(r)) (H8,235.476,(c)) (opposition,6.58')", '8', "(Moon,55.366,(r)) (H10,295.428,(c)) (trine,3.74')", '10', '11', '12', "(Mars,21.321,(r)) (H7,201.379,(c)) (opposition,3.45')", "(Mars,21.321,(r)) (H1,21.151,(c)) (conjunction,10.21')\n(H10,312.194,(r)) (Mercury,312.076,(c)) (conjunction,7.11')", "(Jupiter,34.712,(r)) (H10,334.688,(d)) (sextile,1.45')", 11]
['2000-03-11 05:35:44', '0', '1', "(H3,69.102,(r)) (Uranus,309.016,(c)) (trine,5.15')", '3', '4', '5', '6', '7', '8', '9', '10', "(H7,190.023,(r)) (Moon,70.105,(d)) (trine,4.93')\n(Moon,54.068,(r)) (H7,174.142,(c)) (trine,4.45')", '12', '13', "(H9,249.102,(r)) (Uranus,339.146,(d)) (square,2.65')", '15', 4]
['2000-03-11 07:46:39', '0', '1', '2', '3', "(Sun,351.046,(r)) (H9,291.097,(d)) (sextile,3.03')", '5', "(Sun,351.046,(r)) (H7,231.051,(d)) (trine,0.32')", '7', '8', '9', '10', '11', '12', '13', "(Mars,21.320,(r)) (H10,291.243,(c)) (square,4.59')", '15', 3]
['2000-03-11 05:37:04', '0', "(H7,190.322,(r)) (Uranus,310.385,(c)) (trine,3.80')", '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', 1]
['2000-03-11 06:07:36', "(Pluto,252.897,(r)) (POF,72.928,(c)) (opposition,1.85')", '1', '2', "(Venus,327.247,(r)) (H9,267.156,(d)) (sextile,5.44')", '4', '5', '6', '7', "(Mean_Node,121.347,(r)) (H1,31.317,(d)) (square,1.80')\n(Mean_Node,121.347,(r)) (H8,211.347,(c)) (square,0.05')", '9', "(Mercury,333.465,(r)) (H12,333.351,(c)) (conjunction,6.84')", "(Mean_Node,121.347,(r)) (H7,181.317,(c)) (sextile,1.76')\n(H3,76.388,(r)) (Mercury,316.376,(c)) (trine,0.70')", "(Neptune,305.681,(r)) (H10,305.706,(d)) (conjunction,1.48')", '13', "(Neptune,305.681,(r)) (H1,35.741,(d)) (square,3.56')", '15', 9]
['2000-03-11 07:25:59', '0', '1', '2', "(Moon,55.139,(r)) (H10,295.048,(c)) (trine,5.47')", "(H10,306.423,(r)) (Uranus,306.571,(c)) (conjunction,8.92')", "(Mars,21.309,(r)) (H12,21.244,(d)) (conjunction,3.94')", '6', "(Mars,21.309,(r)) (H1,21.315,(c)) (conjunction,0.36')", '8', '9', '10', "(Sun,351.032,(r)) (H3,111.032,(d)) (trine,0.01')", '12', '13', '14', "(Moon,55.139,(r)) (H9,295.118,(d)) (trine,1.24')", 6]
['2000-03-11 06:30:16', '0', "(Mean_Node,121.346,(r)) (H4,121.489,(d)) (conjunction,8.60')\n(H4,113.008,(r)) (Mean_Node,112.943,(c)) (conjunction,3.92')", '2', '3', '4', '5', "(H7,202.221,(r)) (Jupiter,22.144,(c)) (opposition,4.61')", '7', '8', '9', '10', '11', '12', '13', "(Saturn,43.318,(r)) (H10,313.395,(d)) (square,4.63')", '15', 4]
['2000-03-11 07:31:43', "(H7,215.798,(r)) (Saturn,35.655,(c)) (opposition,8.56')", '1', '2', '3', '4', '5', '6', '7', "(H1,35.798,(r)) (Mars,35.847,(d)) (conjunction,2.96')", '9', "(Mars,21.312,(r)) (H10,291.243,(c)) (square,4.16')", '11', '12', '13', '14', '15', 3]
['2000-03-11 06:04:56', "(POF,79.944,(r)) (Pluto,259.782,(d)) (opposition,9.76')", '1', '2', '3', "(Venus,327.245,(r)) (H9,267.239,(d)) (sextile,0.37')", '5', "(H4,107.052,(r)) (Jupiter,47.077,(d)) (sextile,1.49')", "(Mean_Node,121.347,(r)) (H4,121.246,(d)) (conjunction,6.02')", '8', '9', '10', '11', '12', '13', '14', '15', 4]
['2000-03-11 05:59:28', '0', '1', '2', '3', "(H1,15.345,(r)) (Venus,315.419,(c)) (sextile,4.41')", '5', '6', '7', '8', '9', '10', '11', '12', "(Neptune,305.681,(r)) (H4,125.520,(d)) (opposition,9.66')", "(Neptune,305.681,(r)) (H10,305.770,(d)) (conjunction,5.35')", "(Jupiter,34.697,(r)) (H1,34.710,(d)) (conjunction,0.80')\n(Moon,54.298,(r)) (H9,234.384,(c)) (opposition,5.18')\n(H9,254.531,(r)) (Jupiter,14.544,(c)) (trine,0.79')", 6]
['2000-03-11 05:47:36', '0', '1', "(Mercury,333.470,(r)) (H10,273.466,(c)) (sextile,0.28')", '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', "(H1,12.686,(r)) (Mercury,312.694,(c)) (sextile,0.46')", 2]
['2000-03-11 07:27:35', '0', '1', '2', "(Uranus,318.698,(r)) (H10,318.592,(d)) (conjunction,6.39')", '4', '5', '6', "(H1,34.892,(r)) (Mars,34.927,(d)) (conjunction,2.13')\n(H8,243.997,(r)) (Uranus,334.070,(d)) (square,4.38')", '8', "(Sun,351.033,(r)) (H3,111.010,(d)) (trine,1.36')", '10', '11', '12', '13', '14', "(H1,34.892,(r)) (Moon,34.901,(c)) (conjunction,0.54')", 5]
['2000-03-11 07:13:27', '0', '1', '2', '3', "(H9,271.462,(r)) (Uranus,331.486,(d)) (sextile,1.43')", '5', '6', '7', '8', '9', '10', '11', '12', '13', "(Mars,21.303,(r)) (H9,291.222,(d)) (square,4.86')", '15', 2]
['2000-03-11 07:03:59', '0', "(H3,89.284,(r)) (Mars,29.306,(d)) (sextile,1.36')", "(H10,301.069,(r)) (Sun,1.161,(d)) (sextile,5.50')", '3', '4', '5', '6', "(H1,29.698,(r)) (Saturn,29.679,(c)) (conjunction,1.10')", "(Pluto,252.897,(r)) (H8,252.959,(d)) (conjunction,3.73')", '9', '10', "(Uranus,318.697,(r)) (H4,138.547,(d)) (opposition,9.02')", '12', '13', '14', '15', 5]
