['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2010-09-15', '3: 2012-03-06', '4: 2012-12-12', '5: 2013-12-12', '6: 2014-03-24', '7: 2015-05-27', '8: 2016-05-27', '9: 2017-09-15', '10: 2017-09-22', '11: 2018-02-19', '12: 2019-05-22', '13: 2021-04-06', '14: 2021-07-10', '15: 2022-05-25', 'Count']
['2000-03-11 07:49:19', '0', '1', "(Mean_Node,121.343,(r)) (Sun,1.513,(p)) (trine,10.18')\n(Moon,201.803,(p)) (H10,321.899,(p)) (trine,5.78')\n(H1,39.648,(r)) (Moon,279.226,(c)) (trine,25.34')", "(Venus,312.522,(c)) (POF,312.677,(c)) (conjunction,9.30')", "(Moon,230.393,(p)) (H9,290.853,(p)) (sextile,27.61')\n(H10,312.194,(r)) (Moon,252.708,(c)) (sextile,30.84')", "(Mean_Node,121.343,(r)) (Mars,31.485,(p)) (square,8.52')\n(H10,312.194,(r)) (Saturn,42.133,(c)) (square,3.67')", '6', "(Neptune,305.683,(r)) (POF,305.631,(p)) (conjunction,3.15')\n(Saturn,43.323,(r)) (Moon,223.011,(c)) (opposition,18.71')", "(Moon,55.366,(r)) (H8,235.346,(c)) (opposition,1.17')", "(Mercury,333.438,(r)) (Sun,333.480,(c)) (conjunction,2.55')", "(Neptune,305.683,(r)) (Venus,305.671,(c)) (conjunction,0.73')", "(Moon,55.366,(r)) (H3,115.449,(p)) (sextile,4.97')", '12', '13', '14', "(H1,39.648,(r)) (Jupiter,39.521,(p)) (conjunction,7.63')\n(Moon,345.279,(p)) (Mercury,345.784,(p)) (conjunction,30.29')", 16]
['2000-03-11 05:35:44', '0', "(Mean_Node,121.348,(r)) (H3,61.421,(c)) (sextile,4.40')", "(Uranus,318.694,(r)) (H1,18.613,(p)) (sextile,4.89')\n(Mean_Node,121.348,(r)) (Sun,1.421,(p)) (trine,4.38')\n(H10,280.264,(r)) (Venus,340.208,(p)) (sextile,3.36')\n(H10,280.264,(r)) (Sun,340.426,(c)) (sextile,9.67')", '3', "(Moon,251.602,(c)) (Venus,311.457,(c)) (sextile,8.73')", "(Mars,21.252,(r)) (H1,21.237,(p)) (conjunction,0.91')\n(Mean_Node,121.348,(r)) (Mars,31.417,(p)) (square,4.16')\n(Moon,239.642,(c)) (H12,330.073,(c)) (square,25.85')", "(Sun,4.911,(p)) (Moon,244.928,(p)) (trine,1.01')", "(H1,10.023,(r)) (Mars,9.849,(c)) (conjunction,10.40')\n(Moon,221.855,(c)) (Saturn,42.015,(c)) (opposition,9.55')", '8', "(Moon,54.068,(r)) (H3,53.970,(c)) (conjunction,5.83')\n(Mercury,333.474,(r)) (Sun,333.387,(c)) (conjunction,5.21')", "(Neptune,305.681,(r)) (Venus,305.556,(c)) (conjunction,7.46')", '11', '12', '13', "(Uranus,318.694,(r)) (Moon,139.054,(c)) (opposition,21.59')", '15', 16]
['2000-03-11 07:46:39', '0', '1', "(Mean_Node,121.343,(r)) (Sun,1.511,(p)) (trine,10.06')\n(H1,39.066,(r)) (Moon,279.204,(c)) (trine,8.28')\n(H3,99.168,(r)) (Moon,279.204,(c)) (opposition,2.15')", "(H9,279.168,(r)) (Sun,339.038,(c)) (sextile,7.80')", "(Moon,230.370,(p)) (H9,290.208,(p)) (sextile,9.71')\n(H10,311.529,(r)) (Venus,311.569,(c)) (conjunction,2.39')", "(Mean_Node,121.343,(r)) (Mars,31.484,(p)) (square,8.44')", "(Sun,351.046,(r)) (POF,291.198,(p)) (sextile,9.10')", "(Saturn,43.323,(r)) (Moon,222.988,(c)) (opposition,20.08')", '8', "(Mercury,333.439,(r)) (Sun,333.479,(c)) (conjunction,2.39')", "(Neptune,305.683,(r)) (Venus,305.669,(c)) (conjunction,0.86')", "(Moon,55.340,(r)) (H4,115.246,(c)) (sextile,5.61')", '12', "(H4,131.529,(r)) (Saturn,41.605,(c)) (square,4.51')", "(Mars,21.320,(r)) (H1,21.436,(c)) (conjunction,6.98')\n(H10,311.529,(r)) (Saturn,41.587,(c)) (square,3.47')", "(Moon,345.255,(p)) (Mercury,345.782,(p)) (conjunction,31.61')", 16]
['2000-03-11 05:37:04', '0', "(H4,100.573,(r)) (Mercury,340.735,(c)) (trine,9.73')\n(Jupiter,32.903,(c)) (H4,92.879,(c)) (sextile,1.47')\n(Mean_Node,121.826,(c)) (H3,61.730,(c)) (sextile,5.76')", "(Mean_Node,121.348,(r)) (Sun,1.422,(p)) (trine,4.43')\n(H10,280.573,(r)) (Sun,340.426,(c)) (sextile,8.78')", "(Uranus,319.277,(p)) (H9,259.391,(p)) (sextile,6.83')", "(Moon,251.613,(c)) (Venus,311.458,(c)) (sextile,9.32')", "(Mean_Node,121.348,(r)) (Mars,31.418,(p)) (square,4.20')", "(Mars,21.253,(r)) (H3,81.088,(p)) (sextile,9.89')\n(Sun,4.912,(p)) (Moon,244.939,(p)) (trine,1.63')\n(Uranus,317.940,(c)) (POF,257.973,(c)) (sextile,2.00')", "(Moon,221.867,(c)) (Saturn,42.015,(c)) (opposition,8.87')", '8', "(H10,280.573,(r)) (Mercury,340.567,(p)) (sextile,0.37')\n(Mercury,333.473,(r)) (Sun,333.388,(c)) (conjunction,5.13')", "(Neptune,305.681,(r)) (Venus,305.558,(c)) (conjunction,7.39')", "(Moon,54.080,(r)) (H3,53.899,(c)) (conjunction,10.88')", '12', '13', "(Uranus,318.694,(r)) (Moon,139.067,(c)) (opposition,22.40')", '15', 17]
['2000-03-11 06:07:36', '0', '1', "(Mean_Node,121.347,(r)) (Sun,1.443,(p)) (trine,5.76')\n(Moon,278.387,(c)) (H10,278.632,(c)) (conjunction,14.68')", "(POF,80.565,(r)) (Moon,260.985,(c)) (opposition,25.20')", "(Neptune,305.681,(r)) (H9,245.549,(c)) (sextile,7.96')\n(Moon,251.866,(c)) (Venus,311.484,(c)) (sextile,22.92')", "(Mean_Node,121.347,(r)) (Mars,31.433,(p)) (square,5.20')", "(Sun,4.933,(p)) (Moon,245.195,(p)) (trine,15.73')", "(Moon,222.131,(c)) (Saturn,42.016,(c)) (opposition,6.90')", "(Mean_Node,122.205,(c)) (H8,212.128,(c)) (square,4.66')", "(Mercury,333.465,(r)) (Sun,333.409,(c)) (conjunction,3.35')\n(Mean_Node,121.347,(r)) (H3,61.395,(c)) (sextile,2.91')", "(Neptune,305.681,(r)) (Venus,305.584,(c)) (conjunction,5.85')", "(Mean_Node,122.297,(c)) (H7,182.124,(c)) (sextile,10.37')", '12', '13', "(Mercury,333.465,(r)) (Moon,333.109,(p)) (conjunction,21.37')\n(Neptune,306.204,(p)) (H10,306.233,(p)) (conjunction,1.74')", '15', 15]
['2000-03-11 07:25:59', "(Saturn,44.166,(p)) (H4,134.107,(p)) (square,3.54')", "(H3,94.358,(r)) (Mercury,334.176,(p)) (trine,10.92')\n(Sun,342.000,(c)) (POF,342.009,(c)) (conjunction,0.50')", "(Mean_Node,121.344,(r)) (Sun,1.497,(p)) (trine,9.16')\n(POF,98.648,(r)) (Moon,279.033,(c)) (opposition,23.13')", '3', "(Moon,55.139,(r)) (H10,295.000,(c)) (trine,8.36')", "(Mean_Node,121.344,(r)) (Mars,31.473,(p)) (square,7.76')", "(Uranus,319.373,(p)) (H4,139.201,(p)) (opposition,10.36')", "(Venus,346.102,(p)) (H8,256.013,(p)) (square,5.32')\n(Mean_Node,120.538,(p)) (POF,300.404,(p)) (opposition,8.08')\n(Saturn,43.321,(r)) (Moon,222.810,(c)) (opposition,30.72')", "(Mars,21.309,(r)) (H1,21.187,(c)) (conjunction,7.35')", "(Venus,327.314,(r)) (POF,327.213,(p)) (conjunction,6.08')\n(Mercury,333.444,(r)) (Sun,333.464,(c)) (conjunction,1.20')", "(Neptune,305.683,(r)) (Venus,305.651,(c)) (conjunction,1.90')", '11', "(Uranus,319.597,(p)) (H1,49.756,(p)) (square,9.56')", '13', "(Mercury,333.444,(r)) (Moon,333.800,(p)) (conjunction,21.36')", '15', 17]
['2000-03-11 06:30:16', '0', "(Mean_Node,120.868,(p)) (H4,120.873,(p)) (conjunction,0.31')", "(Mean_Node,121.346,(r)) (Sun,1.458,(p)) (trine,6.74')\n(H3,81.561,(r)) (Moon,201.085,(p)) (trine,28.56')", "(H9,261.561,(r)) (Moon,261.171,(c)) (conjunction,23.38')\n(Venus,312.454,(c)) (H1,12.287,(c)) (sextile,10.02')", "(Moon,252.054,(c)) (H1,11.638,(c)) (trine,24.92')\n(Venus,311.504,(c)) (H1,11.638,(c)) (sextile,8.09')", "(Mean_Node,121.346,(r)) (Mars,31.445,(p)) (square,5.94')\n(Pluto,252.897,(r)) (H12,342.900,(c)) (square,0.17')\n(Mars,10.974,(c)) (H1,10.794,(c)) (conjunction,10.83')\n(Mars,10.974,(c)) (H10,281.059,(c)) (square,5.09')\n(Pluto,252.810,(c)) (H12,342.900,(c)) (square,5.41')", "(Mercury,333.459,(r)) (H3,93.291,(p)) (trine,10.05')\n(Mercury,333.459,(r)) (H7,213.528,(p)) (trine,4.17')\n(Sun,4.949,(p)) (Moon,245.385,(p)) (trine,26.20')", "(Moon,222.328,(c)) (Saturn,42.018,(c)) (opposition,18.60')\n(Mars,9.878,(c)) (H4,99.789,(c)) (square,5.34')", '8', "(Sun,8.392,(p)) (H10,308.396,(p)) (sextile,0.22')\n(Mercury,333.459,(r)) (Sun,333.425,(c)) (conjunction,2.04')", "(Neptune,305.682,(r)) (Venus,305.603,(c)) (conjunction,4.71')", "(Uranus,319.542,(p)) (POF,319.676,(p)) (conjunction,8.00')\n(Moon,187.028,(c)) (H7,187.227,(c)) (conjunction,11.95')", '12', '13', "(Mercury,333.459,(r)) (Moon,333.309,(p)) (conjunction,9.02')", "(Moon,54.597,(r)) (Venus,354.692,(p)) (sextile,5.70')\n(Mercury,333.459,(r)) (H10,273.629,(c)) (sextile,10.19')\n(Mean_Node,122.522,(c)) (H9,242.483,(c)) (trine,2.33')", 26]
['2000-03-11 07:31:43', '0', '1', "(Mean_Node,121.344,(r)) (Sun,1.500,(p)) (trine,9.41')\n(Venus,327.319,(r)) (H1,27.224,(c)) (sextile,5.72')", "(Uranus,318.698,(r)) (H10,318.768,(p)) (conjunction,4.17')\n(H1,35.798,(r)) (Mercury,335.939,(p)) (sextile,8.43')", "(Uranus,319.316,(p)) (H10,319.479,(p)) (conjunction,9.79')", "(Mean_Node,121.344,(r)) (Mars,31.476,(p)) (square,7.95')", '6', "(Saturn,43.322,(r)) (Moon,222.859,(c)) (opposition,27.77')", "(H8,244.920,(r)) (Sun,334.780,(c)) (square,8.41')", "(Mercury,333.443,(r)) (Sun,333.468,(c)) (conjunction,1.53')", "(Uranus,319.527,(p)) (H1,49.690,(p)) (square,9.83')\n(Mars,21.312,(r)) (H1,21.345,(c)) (conjunction,1.97')\n(Neptune,305.683,(r)) (Venus,305.656,(c)) (conjunction,1.61')", "(Sun,351.036,(r)) (H3,111.152,(p)) (trine,6.96')\n(Mercury,333.443,(r)) (POF,333.511,(p)) (conjunction,4.10')\n(H4,127.832,(r)) (Moon,187.602,(c)) (sextile,13.78')", '12', '13', "(Mercury,333.443,(r)) (Moon,333.851,(p)) (conjunction,24.49')", "(H10,307.832,(r)) (Moon,127.547,(c)) (opposition,17.10')\n(Uranus,317.482,(c)) (H1,17.353,(c)) (sextile,7.74')", 18]
['2000-03-11 06:04:56', '0', '1', "(Mean_Node,121.347,(r)) (Sun,1.441,(p)) (trine,5.64')\n(Moon,278.365,(c)) (H10,278.016,(c)) (conjunction,20.95')", '3', "(Moon,251.844,(c)) (Venus,311.482,(c)) (sextile,21.73')", "(Mean_Node,121.347,(r)) (Mars,31.432,(p)) (square,5.11')", "(Sun,4.931,(p)) (Moon,245.173,(p)) (trine,14.50')", "(Moon,222.108,(c)) (Saturn,42.016,(c)) (opposition,5.52')", "(Mean_Node,121.347,(r)) (H8,211.508,(c)) (square,9.67')", "(H10,287.052,(r)) (Moon,286.544,(p)) (conjunction,30.47')\n(Mercury,333.466,(r)) (Sun,333.407,(c)) (conjunction,3.51')\n(H10,287.052,(r)) (Mercury,347.056,(c)) (sextile,0.21')", "(Mercury,333.466,(r)) (H12,333.554,(c)) (conjunction,5.28')\n(Neptune,305.681,(r)) (Venus,305.582,(c)) (conjunction,5.98')", "(Mean_Node,121.347,(r)) (H7,181.524,(c)) (sextile,10.62')\n(H4,107.052,(r)) (Mercury,347.127,(c)) (trine,4.52')", '12', '13', "(Mercury,333.466,(r)) (Moon,333.085,(p)) (conjunction,22.83')\n(Neptune,305.681,(r)) (H10,305.580,(p)) (conjunction,6.09')", '15', 16]
['2000-03-11 05:59:28', '0', "(H3,74.531,(r)) (Mars,14.519,(c)) (sextile,0.69')", "(Mean_Node,121.347,(r)) (Sun,1.437,(p)) (trine,5.41')", '3', "(Jupiter,34.697,(r)) (H10,274.817,(c)) (trine,7.20')\n(Moon,251.799,(c)) (Venus,311.477,(c)) (sextile,19.30')", "(Mean_Node,121.347,(r)) (Mars,31.429,(p)) (square,4.93')", "(Sun,4.928,(p)) (Moon,245.127,(p)) (trine,11.98')", "(Moon,222.061,(c)) (Saturn,42.016,(c)) (opposition,2.70')", '8', "(Mercury,333.467,(r)) (Sun,333.403,(c)) (conjunction,3.83')", "(Neptune,305.681,(r)) (Venus,305.577,(c)) (conjunction,6.26')", "(Mean_Node,121.347,(r)) (H4,121.259,(p)) (conjunction,5.30')", '12', '13', "(Mercury,333.467,(r)) (Moon,333.037,(p)) (conjunction,25.80')\n(H9,254.531,(r)) (Mercury,344.675,(p)) (square,8.65')", "(H10,285.776,(r)) (Mercury,345.694,(p)) (sextile,4.91')", 13]
