Row 1: {'time': '2000-03-11 07:39:11', 'p_a_conj': 8, 'p_a_maj': 6, 'p_a_allm': 14, 'p_a_min': 29, 'p_h_conj': 0, 'p_h_maj': 8, 'p_h_allm': 8, 'p_h_min': 6, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 5, 'mon_p_maj': 14, 'mon_p_allm': 19, 'mon_p_min': 13, 'e': 14, 'all_conj': 13, 'all_maj': 28, 'p_a_mon_conj': 13}
Row 2: {'time': '2000-03-11 08:40:00', 'p_a_conj': 2, 'p_a_maj': 7, 'p_a_allm': 9, 'p_a_min': 18, 'p_h_conj': 1, 'p_h_maj': 8, 'p_h_allm': 9, 'p_h_min': 1, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 5, 'mon_p_maj': 6, 'mon_p_allm': 11, 'mon_p_min': 9, 'e': 16, 'all_conj': 8, 'all_maj': 21, 'p_a_mon_conj': 7}
Row 3: {'time': '2000-03-11 13:46:23', 'p_a_conj': 1, 'p_a_maj': 16, 'p_a_allm': 17, 'p_a_min': 13, 'p_h_conj': 2, 'p_h_maj': 2, 'p_h_allm': 4, 'p_h_min': 12, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 2, 'mon_p_maj': 7, 'mon_p_allm': 9, 'mon_p_min': 9, 'e': 20, 'all_conj': 5, 'all_maj': 25, 'p_a_mon_conj': 3}
Row 4: {'time': '2000-03-11 10:27:19', 'p_a_conj': 4, 'p_a_maj': 13, 'p_a_allm': 17, 'p_a_min': 23, 'p_h_conj': 4, 'p_h_maj': 3, 'p_h_allm': 7, 'p_h_min': 4, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 7, 'mon_p_maj': 9, 'mon_p_allm': 16, 'mon_p_min': 10, 'e': 8, 'all_conj': 15, 'all_maj': 25, 'p_a_mon_conj': 11}
Row 5: {'time': '2000-03-11 07:14:55', 'p_a_conj': 3, 'p_a_maj': 11, 'p_a_allm': 14, 'p_a_min': 13, 'p_h_conj': 2, 'p_h_maj': 4, 'p_h_allm': 6, 'p_h_min': 6, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 5, 'mon_p_maj': 17, 'mon_p_allm': 22, 'mon_p_min': 11, 'e': 14, 'all_conj': 10, 'all_maj': 32, 'p_a_mon_conj': 8}
Row 6: {'time': '2000-03-11 12:09:04', 'p_a_conj': 6, 'p_a_maj': 9, 'p_a_allm': 15, 'p_a_min': 10, 'p_h_conj': 3, 'p_h_maj': 8, 'p_h_allm': 11, 'p_h_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 5, 'mon_p_maj': 10, 'mon_p_allm': 15, 'mon_p_min': 12, 'e': 12, 'all_conj': 14, 'all_maj': 27, 'p_a_mon_conj': 11}
Row 7: {'time': '2000-03-11 15:29:12', 'p_a_conj': 2, 'p_a_maj': 9, 'p_a_allm': 11, 'p_a_min': 20, 'p_h_conj': 0, 'p_h_maj': 8, 'p_h_allm': 8, 'p_h_min': 18, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 3, 'mon_p_maj': 11, 'mon_p_allm': 14, 'mon_p_min': 7, 'e': 13, 'all_conj': 5, 'all_maj': 28, 'p_a_mon_conj': 5}
Row 8: {'time': '2000-03-11 11:49:12', 'p_a_conj': 2, 'p_a_maj': 6, 'p_a_allm': 8, 'p_a_min': 18, 'p_h_conj': 3, 'p_h_maj': 4, 'p_h_allm': 7, 'p_h_min': 6, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 7, 'mon_p_maj': 8, 'mon_p_allm': 15, 'mon_p_min': 12, 'e': 11, 'all_conj': 12, 'all_maj': 18, 'p_a_mon_conj': 9}
Row 9: {'time': '2000-03-11 09:58:56', 'p_a_conj': 2, 'p_a_maj': 25, 'p_a_allm': 27, 'p_a_min': 19, 'p_h_conj': 0, 'p_h_maj': 5, 'p_h_allm': 5, 'p_h_min': 8, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 4, 'mon_p_maj': 9, 'mon_p_allm': 13, 'mon_p_min': 13, 'e': 10, 'all_conj': 6, 'all_maj': 39, 'p_a_mon_conj': 6}
Row 10: {'time': '2000-03-11 05:48:23', 'p_a_conj': 1, 'p_a_maj': 6, 'p_a_allm': 7, 'p_a_min': 29, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 4, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 2, 'mon_p_maj': 9, 'mon_p_allm': 11, 'mon_p_min': 11, 'e': 16, 'all_conj': 3, 'all_maj': 16, 'p_a_mon_conj': 3}
Row 11: {'time': '2000-03-11 14:06:56', 'p_a_conj': 2, 'p_a_maj': 10, 'p_a_allm': 12, 'p_a_min': 16, 'p_h_conj': 8, 'p_h_maj': 2, 'p_h_allm': 10, 'p_h_min': 3, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 2, 'mon_p_maj': 9, 'mon_p_allm': 11, 'mon_p_min': 9, 'e': 19, 'all_conj': 12, 'all_maj': 21, 'p_a_mon_conj': 4}
