Row 1: {'time': '2000-03-11 07:39:11', 'p_a_allm': 41, 'p_a_min': 51, 'e': 3, 'p_a_maj': 34, 'p_a_conj': 7}
Row 2: {'time': '2000-03-11 08:40:00', 'p_a_allm': 40, 'p_a_min': 51, 'e': 5, 'p_a_maj': 30, 'p_a_conj': 10}
Row 3: {'time': '2000-03-11 13:46:23', 'p_a_allm': 48, 'p_a_min': 42, 'e': 5, 'p_a_maj': 42, 'p_a_conj': 6}
Row 4: {'time': '2000-03-11 10:27:19', 'p_a_allm': 42, 'p_a_min': 48, 'e': 4, 'p_a_maj': 24, 'p_a_conj': 18}
Row 5: {'time': '2000-03-11 07:14:55', 'p_a_allm': 41, 'p_a_min': 43, 'e': 7, 'p_a_maj': 28, 'p_a_conj': 13}
Row 6: {'time': '2000-03-11 12:09:04', 'p_a_allm': 33, 'p_a_min': 40, 'e': 7, 'p_a_maj': 23, 'p_a_conj': 10}
Row 7: {'time': '2000-03-11 15:29:12', 'p_a_allm': 41, 'p_a_min': 43, 'e': 3, 'p_a_maj': 35, 'p_a_conj': 6}
Row 8: {'time': '2000-03-11 11:49:12', 'p_a_allm': 34, 'p_a_min': 47, 'e': 4, 'p_a_maj': 23, 'p_a_conj': 11}
Row 9: {'time': '2000-03-11 09:58:56', 'p_a_allm': 40, 'p_a_min': 39, 'e': 6, 'p_a_maj': 30, 'p_a_conj': 10}
Row 10: {'time': '2000-03-11 05:48:23', 'p_a_allm': 37, 'p_a_min': 42, 'e': 12, 'p_a_maj': 31, 'p_a_conj': 6}
Row 11: {'time': '2000-03-11 14:06:56', 'p_a_allm': 47, 'p_a_min': 40, 'e': 8, 'p_a_maj': 33, 'p_a_conj': 14}
Row 12: {'time': '2000-03-11 14:27:28', 'p_a_allm': 44, 'p_a_min': 32, 'e': 6, 'p_a_maj': 34, 'p_a_conj': 10}
Row 13: {'time': '2000-03-11 06:48:56', 'p_a_allm': 34, 'p_a_min': 44, 'e': 7, 'p_a_maj': 26, 'p_a_conj': 8}
Row 14: {'time': '2000-03-11 10:25:59', 'p_a_allm': 50, 'p_a_min': 46, 'e': 1, 'p_a_maj': 30, 'p_a_conj': 20}
Row 15: {'time': '2000-03-11 08:15:44', 'p_a_allm': 45, 'p_a_min': 38, 'e': 4, 'p_a_maj': 30, 'p_a_conj': 15}
Row 16: {'time': '2000-03-11 08:47:52', 'p_a_allm': 40, 'p_a_min': 37, 'e': 4, 'p_a_maj': 32, 'p_a_conj': 8}
Row 17: {'time': '2000-03-11 08:08:48', 'p_a_allm': 41, 'p_a_min': 47, 'e': 6, 'p_a_maj': 29, 'p_a_conj': 12}
Row 18: {'time': '2000-03-11 13:13:11', 'p_a_allm': 41, 'p_a_min': 46, 'e': 5, 'p_a_maj': 31, 'p_a_conj': 10}
Row 19: {'time': '2000-03-11 13:08:39', 'p_a_allm': 41, 'p_a_min': 37, 'e': 6, 'p_a_maj': 31, 'p_a_conj': 10}
Row 20: {'time': '2000-03-11 09:21:04', 'p_a_allm': 41, 'p_a_min': 40, 'e': 6, 'p_a_maj': 30, 'p_a_conj': 11}
Row 21: {'time': '2000-03-11 10:28:31', 'p_a_allm': 40, 'p_a_min': 45, 'e': 4, 'p_a_maj': 22, 'p_a_conj': 18}
Row 22: {'time': '2000-03-11 06:40:16', 'p_a_allm': 44, 'p_a_min': 59, 'e': 7, 'p_a_maj': 31, 'p_a_conj': 13}
Row 23: {'time': '2000-03-11 13:49:35', 'p_a_allm': 49, 'p_a_min': 38, 'e': 9, 'p_a_maj': 42, 'p_a_conj': 7}
Row 24: {'time': '2000-03-11 07:46:39', 'p_a_allm': 33, 'p_a_min': 54, 'e': 4, 'p_a_maj': 26, 'p_a_conj': 7}
Row 25: {'time': '2000-03-11 10:23:51', 'p_a_allm': 51, 'p_a_min': 44, 'e': 2, 'p_a_maj': 35, 'p_a_conj': 16}
Row 26: {'time': '2000-03-11 06:30:00', 'p_a_allm': 57, 'p_a_min': 47, 'e': 5, 'p_a_maj': 39, 'p_a_conj': 18}
Row 27: {'time': '2000-03-11 14:18:40', 'p_a_allm': 49, 'p_a_min': 49, 'e': 5, 'p_a_maj': 36, 'p_a_conj': 13}
Row 28: {'time': '2000-03-11 08:50:07', 'p_a_allm': 46, 'p_a_min': 30, 'e': 6, 'p_a_maj': 38, 'p_a_conj': 8}
Row 29: {'time': '2000-03-11 05:36:39', 'p_a_allm': 48, 'p_a_min': 47, 'e': 10, 'p_a_maj': 37, 'p_a_conj': 11}
Row 30: {'time': '2000-03-11 10:11:59', 'p_a_allm': 40, 'p_a_min': 52, 'e': 2, 'p_a_maj': 26, 'p_a_conj': 14}
Row 31: {'time': '2000-03-11 09:24:39', 'p_a_allm': 34, 'p_a_min': 49, 'e': 5, 'p_a_maj': 23, 'p_a_conj': 11}
Row 32: {'time': '2000-03-11 11:59:36', 'p_a_allm': 48, 'p_a_min': 45, 'e': 3, 'p_a_maj': 35, 'p_a_conj': 13}
Row 33: {'time': '2000-03-11 12:58:31', 'p_a_allm': 43, 'p_a_min': 38, 'e': 4, 'p_a_maj': 30, 'p_a_conj': 13}
Row 34: {'time': '2000-03-11 14:36:56', 'p_a_allm': 31, 'p_a_min': 44, 'e': 3, 'p_a_maj': 21, 'p_a_conj': 10}
Row 35: {'time': '2000-03-11 15:16:47', 'p_a_allm': 50, 'p_a_min': 25, 'e': 4, 'p_a_maj': 42, 'p_a_conj': 8}
Row 36: {'time': '2000-03-11 09:29:20', 'p_a_allm': 42, 'p_a_min': 55, 'e': 4, 'p_a_maj': 25, 'p_a_conj': 17}
Row 37: {'time': '2000-03-11 15:20:47', 'p_a_allm': 56, 'p_a_min': 40, 'e': 3, 'p_a_maj': 40, 'p_a_conj': 16}
Row 38: {'time': '2000-03-11 15:00:31', 'p_a_allm': 45, 'p_a_min': 48, 'e': 3, 'p_a_maj': 31, 'p_a_conj': 14}
Row 39: {'time': '2000-03-11 14:01:28', 'p_a_allm': 36, 'p_a_min': 52, 'e': 11, 'p_a_maj': 28, 'p_a_conj': 8}
Row 40: {'time': '2000-03-11 10:47:11', 'p_a_allm': 39, 'p_a_min': 47, 'e': 3, 'p_a_maj': 32, 'p_a_conj': 7}
Row 41: {'time': '2000-03-11 10:15:11', 'p_a_allm': 43, 'p_a_min': 44, 'e': 3, 'p_a_maj': 32, 'p_a_conj': 11}
Row 42: {'time': '2000-03-11 07:27:51', 'p_a_allm': 41, 'p_a_min': 39, 'e': 8, 'p_a_maj': 27, 'p_a_conj': 14}
Row 43: {'time': '2000-03-11 13:22:31', 'p_a_allm': 52, 'p_a_min': 49, 'e': 6, 'p_a_maj': 37, 'p_a_conj': 15}
Row 44: {'time': '2000-03-11 12:32:15', 'p_a_allm': 36, 'p_a_min': 43, 'e': 6, 'p_a_maj': 26, 'p_a_conj': 10}
Row 45: {'time': '2000-03-11 09:30:56', 'p_a_allm': 45, 'p_a_min': 46, 'e': 4, 'p_a_maj': 27, 'p_a_conj': 18}
Row 46: {'time': '2000-03-11 09:39:19', 'p_a_allm': 52, 'p_a_min': 43, 'e': 4, 'p_a_maj': 38, 'p_a_conj': 14}
Row 47: {'time': '2000-03-11 08:00:24', 'p_a_allm': 42, 'p_a_min': 31, 'e': 5, 'p_a_maj': 33, 'p_a_conj': 9}
Row 48: {'time': '2000-03-11 14:43:52', 'p_a_allm': 48, 'p_a_min': 49, 'e': 0, 'p_a_maj': 33, 'p_a_conj': 15}
Row 49: {'time': '2000-03-11 12:17:04', 'p_a_allm': 38, 'p_a_min': 58, 'e': 4, 'p_a_maj': 30, 'p_a_conj': 8}
Row 50: {'time': '2000-03-11 12:29:28', 'p_a_allm': 41, 'p_a_min': 33, 'e': 5, 'p_a_maj': 30, 'p_a_conj': 11}
Row 51: {'time': '2000-03-11 13:34:39', 'p_a_allm': 41, 'p_a_min': 46, 'e': 14, 'p_a_maj': 32, 'p_a_conj': 9}
Row 52: {'time': '2000-03-11 07:48:31', 'p_a_allm': 40, 'p_a_min': 42, 'e': 7, 'p_a_maj': 32, 'p_a_conj': 8}
Row 53: {'time': '2000-03-11 11:17:28', 'p_a_allm': 40, 'p_a_min': 46, 'e': 3, 'p_a_maj': 31, 'p_a_conj': 9}
Row 54: {'time': '2000-03-11 12:45:20', 'p_a_allm': 52, 'p_a_min': 42, 'e': 5, 'p_a_maj': 34, 'p_a_conj': 18}
Row 55: {'time': '2000-03-11 14:49:59', 'p_a_allm': 39, 'p_a_min': 45, 'e': 5, 'p_a_maj': 24, 'p_a_conj': 15}
Row 56: {'time': '2000-03-11 08:43:20', 'p_a_allm': 39, 'p_a_min': 43, 'e': 4, 'p_a_maj': 29, 'p_a_conj': 10}
Row 57: {'time': '2000-03-11 15:26:07', 'p_a_allm': 56, 'p_a_min': 50, 'e': 1, 'p_a_maj': 44, 'p_a_conj': 12}
Row 58: {'time': '2000-03-11 11:50:23', 'p_a_allm': 34, 'p_a_min': 44, 'e': 4, 'p_a_maj': 26, 'p_a_conj': 8}
Row 59: {'time': '2000-03-11 11:19:52', 'p_a_allm': 36, 'p_a_min': 46, 'e': 2, 'p_a_maj': 28, 'p_a_conj': 8}
Row 60: {'time': '2000-03-11 12:12:56', 'p_a_allm': 42, 'p_a_min': 51, 'e': 3, 'p_a_maj': 31, 'p_a_conj': 11}
Row 61: {'time': '2000-03-11 14:09:04', 'p_a_allm': 46, 'p_a_min': 38, 'e': 5, 'p_a_maj': 35, 'p_a_conj': 11}
Row 62: {'time': '2000-03-11 11:33:52', 'p_a_allm': 36, 'p_a_min': 42, 'e': 3, 'p_a_maj': 27, 'p_a_conj': 9}
Row 63: {'time': '2000-03-11 10:49:43', 'p_a_allm': 46, 'p_a_min': 54, 'e': 0, 'p_a_maj': 35, 'p_a_conj': 11}
Row 64: {'time': '2000-03-11 10:03:43', 'p_a_allm': 47, 'p_a_min': 37, 'e': 5, 'p_a_maj': 31, 'p_a_conj': 16}
Row 65: {'time': '2000-03-11 07:56:31', 'p_a_allm': 57, 'p_a_min': 29, 'e': 5, 'p_a_maj': 44, 'p_a_conj': 13}
Row 66: {'time': '2000-03-11 07:37:11', 'p_a_allm': 42, 'p_a_min': 45, 'e': 7, 'p_a_maj': 33, 'p_a_conj': 9}
