Row 1: {'time': '2000-03-11 16:46:22', 'p_a_conj': 2, 'p_a_maj': 15, 'p_a_min': 21, 'a_p_conj': 0, 'e': 3, 'total_count': 38}
Row 2: {'time': '2000-03-11 12:58:30', 'p_a_conj': 7, 'p_a_maj': 17, 'p_a_min': 20, 'a_p_conj': 0, 'e': 2, 'total_count': 44}
Row 3: {'time': '2000-03-11 15:49:34', 'p_a_conj': 7, 'p_a_maj': 17, 'p_a_min': 21, 'a_p_conj': 0, 'e': 0, 'total_count': 45}
Row 4: {'time': '2000-03-11 15:00:30', 'p_a_conj': 5, 'p_a_maj': 11, 'p_a_min': 31, 'a_p_conj': 0, 'e': 0, 'total_count': 47}
Row 5: {'time': '2000-03-11 09:23:36', 'p_a_conj': 5, 'p_a_maj': 21, 'p_a_min': 17, 'a_p_conj': 0, 'e': 1, 'total_count': 43}
Row 6: {'time': '2000-03-11 16:08:46', 'p_a_conj': 7, 'p_a_maj': 17, 'p_a_min': 23, 'a_p_conj': 0, 'e': 1, 'total_count': 47}
Row 7: {'time': '2000-03-11 09:44:22', 'p_a_conj': 6, 'p_a_maj': 11, 'p_a_min': 28, 'a_p_conj': 0, 'e': 2, 'total_count': 45}
Row 8: {'time': '2000-03-11 15:24:56', 'p_a_conj': 10, 'p_a_maj': 16, 'p_a_min': 28, 'a_p_conj': 0, 'e': 0, 'total_count': 54}
Row 9: {'time': '2000-03-11 13:18:56', 'p_a_conj': 3, 'p_a_maj': 23, 'p_a_min': 18, 'a_p_conj': 0, 'e': 2, 'total_count': 44}
Row 10: {'time': '2000-03-11 13:49:50', 'p_a_conj': 5, 'p_a_maj': 20, 'p_a_min': 27, 'a_p_conj': 0, 'e': 2, 'total_count': 52}
Row 11: {'time': '2000-03-11 06:31:28', 'p_a_conj': 6, 'p_a_maj': 23, 'p_a_min': 23, 'a_p_conj': 0, 'e': 0, 'total_count': 52}
Row 12: {'time': '2000-03-11 17:53:52', 'p_a_conj': 10, 'p_a_maj': 20, 'p_a_min': 20, 'a_p_conj': 0, 'e': 0, 'total_count': 50}
Row 13: {'time': '2000-03-11 15:44:38', 'p_a_conj': 6, 'p_a_maj': 12, 'p_a_min': 26, 'a_p_conj': 0, 'e': 1, 'total_count': 44}
Row 14: {'time': '2000-03-11 12:09:04', 'p_a_conj': 6, 'p_a_maj': 18, 'p_a_min': 20, 'a_p_conj': 0, 'e': 1, 'total_count': 44}
Row 15: {'time': '2000-03-11 06:30:16', 'p_a_conj': 7, 'p_a_maj': 21, 'p_a_min': 22, 'a_p_conj': 0, 'e': 0, 'total_count': 50}
Row 16: {'time': '2000-03-11 10:03:42', 'p_a_conj': 3, 'p_a_maj': 18, 'p_a_min': 25, 'a_p_conj': 0, 'e': 0, 'total_count': 46}
Row 17: {'time': '2000-03-11 08:37:44', 'p_a_conj': 9, 'p_a_maj': 15, 'p_a_min': 24, 'a_p_conj': 0, 'e': 1, 'total_count': 48}
