Row 1: {'time': '1929-07-28 10:51:04', 'p_a_conj': 5, 'p_a_maj': 18, 'p_a_allm': 23, 'p_a_min': 29, 'e': 2, 'all_conj': 5}
Row 2: {'time': '1929-07-28 09:48:15', 'p_a_conj': 5, 'p_a_maj': 28, 'p_a_allm': 33, 'p_a_min': 32, 'e': 1, 'all_conj': 5}
Row 3: {'time': '1929-07-28 19:28:23', 'p_a_conj': 13, 'p_a_maj': 22, 'p_a_allm': 35, 'p_a_min': 23, 'e': 0, 'all_conj': 13}
Row 4: {'time': '1929-07-28 18:30:47', 'p_a_conj': 8, 'p_a_maj': 26, 'p_a_allm': 34, 'p_a_min': 21, 'e': 0, 'all_conj': 8}
Row 5: {'time': '1929-07-27 23:02:31', 'p_a_conj': 6, 'p_a_maj': 32, 'p_a_allm': 38, 'p_a_min': 34, 'e': 1, 'all_conj': 6}
Row 6: {'time': '1929-07-28 18:18:32', 'p_a_conj': 9, 'p_a_maj': 14, 'p_a_allm': 23, 'p_a_min': 32, 'e': 0, 'all_conj': 9}
Row 7: {'time': '1929-07-28 11:46:00', 'p_a_conj': 7, 'p_a_maj': 22, 'p_a_allm': 29, 'p_a_min': 29, 'e': 0, 'all_conj': 7}
Row 8: {'time': '1929-07-28 15:22:39', 'p_a_conj': 6, 'p_a_maj': 28, 'p_a_allm': 34, 'p_a_min': 39, 'e': 1, 'all_conj': 6}
Row 9: {'time': '1929-07-27 22:00:15', 'p_a_conj': 6, 'p_a_maj': 21, 'p_a_allm': 27, 'p_a_min': 37, 'e': 0, 'all_conj': 6}
Row 10: {'time': '1929-07-28 16:02:23', 'p_a_conj': 13, 'p_a_maj': 23, 'p_a_allm': 36, 'p_a_min': 38, 'e': 1, 'all_conj': 13}
Row 11: {'time': '1929-07-28 19:41:52', 'p_a_conj': 2, 'p_a_maj': 25, 'p_a_allm': 27, 'p_a_min': 11, 'e': 4, 'all_conj': 2}
Row 12: {'time': '1929-07-28 16:20:15', 'p_a_conj': 8, 'p_a_maj': 23, 'p_a_allm': 31, 'p_a_min': 40, 'e': 1, 'all_conj': 8}
Row 13: {'time': '1929-07-28 13:29:28', 'p_a_conj': 10, 'p_a_maj': 25, 'p_a_allm': 35, 'p_a_min': 18, 'e': 0, 'all_conj': 10}
Row 14: {'time': '1929-07-28 01:30:47', 'p_a_conj': 16, 'p_a_maj': 22, 'p_a_allm': 38, 'p_a_min': 29, 'e': 0, 'all_conj': 16}
Row 15: {'time': '1929-07-28 02:00:47', 'p_a_conj': 6, 'p_a_maj': 28, 'p_a_allm': 34, 'p_a_min': 22, 'e': 0, 'all_conj': 6}
Row 16: {'time': '1929-07-28 08:02:15', 'p_a_conj': 8, 'p_a_maj': 20, 'p_a_allm': 28, 'p_a_min': 33, 'e': 1, 'all_conj': 8}
Row 17: {'time': '1929-07-28 01:39:51', 'p_a_conj': 13, 'p_a_maj': 18, 'p_a_allm': 31, 'p_a_min': 32, 'e': 0, 'all_conj': 13}
Row 18: {'time': '1929-07-28 01:24:39', 'p_a_conj': 10, 'p_a_maj': 20, 'p_a_allm': 30, 'p_a_min': 23, 'e': 0, 'all_conj': 10}
Row 19: {'time': '1929-07-28 10:21:28', 'p_a_conj': 13, 'p_a_maj': 30, 'p_a_allm': 43, 'p_a_min': 35, 'e': 0, 'all_conj': 13}
Row 20: {'time': '1929-07-28 08:06:08', 'p_a_conj': 11, 'p_a_maj': 17, 'p_a_allm': 28, 'p_a_min': 33, 'e': 0, 'all_conj': 11}
Row 21: {'time': '1929-07-28 15:00:31', 'p_a_conj': 6, 'p_a_maj': 24, 'p_a_allm': 30, 'p_a_min': 30, 'e': 2, 'all_conj': 6}
Row 22: {'time': '1929-07-28 13:17:20', 'p_a_conj': 8, 'p_a_maj': 17, 'p_a_allm': 25, 'p_a_min': 29, 'e': 0, 'all_conj': 8}
Row 23: {'time': '1929-07-28 06:59:20', 'p_a_conj': 12, 'p_a_maj': 25, 'p_a_allm': 37, 'p_a_min': 29, 'e': 0, 'all_conj': 12}
Row 24: {'time': '1929-07-27 23:45:12', 'p_a_conj': 5, 'p_a_maj': 24, 'p_a_allm': 29, 'p_a_min': 33, 'e': 0, 'all_conj': 5}
