['Time', '0: 1870-08-25', '1: 1883-02-13', '2: 1821-09-30', '3: 1836-07-07', '4: 1836-11-24', '5: 1848-01-09', '6: 1865-04-10', '7: 1866-01-25', '8: 1867-02-17', '9: 1869-06-06', 'Count']
['1813-05-22 02:48:23', "(H10,292.052,(r)) (Uranus,292.077,(d)) (conjunction,1')\n(Venus,59.669,(r)) (H10,239.589,(c)) (opposition,5')", "(Mean_Node,134.344,(r)) (H8,314.400,(d)) (opposition,3')\n(H10,292.052,(r)) (Neptune,157.061,(c)) (135-sesquisquare,1')", "(Mean_Node,134.344,(r)) (H10,284.353,(c)) (150-quincunx,1')", "(H5,134.233,(r)) (H10,314.150,(d)) (opposition,5')\n(Moon,315.890,(r)) (H10,270.944,(c)) (45-semisquare,3')\n(H7,229.781,(r)) (Mean_Node,109.778,(c)) (trine,0')", "(Sun,60.563,(r)) (H10,270.598,(c)) (150-quincunx,2')", "(Uranus,235.744,(r)) (H4,145.700,(d)) (square,3')\n(Mean_Node,134.344,(r)) (H12,44.421,(d)) (square,5')\n(Venus,59.669,(r)) (H12,299.615,(c)) (trine,3')\n(Neptune,254.573,(r)) (H12,299.615,(c)) (45-semisquare,3')\n(Pluto,350.507,(r)) (H4,80.524,(c)) (square,1')", '6', "(Neptune,254.573,(r)) (H4,164.525,(d)) (square,3')\n(Mars,303.867,(r)) (H4,63.905,(c)) (trine,2')\n(Saturn,288.923,(r)) (H4,63.905,(c)) (135-sesquisquare,1')", '8', "(Sun,60.563,(r)) (H4,60.742,(c)) (conjunction,11')", 269]
['1813-05-22 21:45:44', "(H7,95.797,(r)) (Mercury,335.761,(c)) (trine,2')", "(Sun,61.322,(r)) (H10,286.287,(d)) (135-sesquisquare,2')", "(H1,275.797,(r)) (Mars,320.833,(d)) (45-semisquare,2')", "(Jupiter,123.802,(r)) (H10,243.744,(d)) (trine,3')\n(H10,221.374,(r)) (Sun,41.206,(c)) (opposition,10')", "(Mars,304.172,(r)) (H10,244.103,(d)) (sextile,4')\n(Jupiter,123.802,(r)) (H7,123.802,(d)) (conjunction,0')\n(H7,95.797,(r)) (Moon,5.875,(d)) (square,5')", "(Neptune,254.552,(r)) (H4,74.402,(d)) (opposition,9')\n(H4,41.374,(r)) (Uranus,266.447,(d)) (135-sesquisquare,4')", "(Sun,61.322,(r)) (H5,16.389,(c)) (45-semisquare,4')", "(H4,41.374,(r)) (Mean_Node,221.537,(d)) (opposition,10')\n(Venus,60.640,(r)) (H5,15.671,(c)) (45-semisquare,2')", "(Pluto,350.515,(r)) (H5,110.594,(d)) (trine,5')\n(H1,275.797,(r)) (Uranus,185.831,(c)) (square,2')", "(Jupiter,123.802,(r)) (H4,93.830,(d)) (30-semisextile,2')", 237]
['1813-05-22 20:47:12', "(Mercury,36.405,(r)) (H10,261.459,(d)) (135-sesquisquare,3')\n(Moon,325.561,(r)) (H10,145.558,(c)) (opposition,0')", "(H1,262.466,(r)) (Mars,52.385,(d)) (150-quincunx,5')\n(H10,206.169,(r)) (Mean_Node,236.103,(d)) (30-semisextile,4')", '2', "(Mean_Node,134.304,(r)) (H7,104.322,(d)) (30-semisextile,1')", "(Sun,61.283,(r)) (H10,181.191,(c)) (trine,6')", "(Venus,60.590,(r)) (H4,60.563,(d)) (conjunction,2')", "(Mean_Node,134.304,(r)) (H1,224.356,(c)) (square,3')", "(Moon,325.561,(r)) (H12,295.500,(d)) (30-semisextile,4')\n(Uranus,235.713,(r)) (H12,205.797,(c)) (30-semisextile,5')", "(Mercury,36.405,(r)) (H5,96.328,(d)) (sextile,5')\n(H5,49.161,(r)) (Sun,109.147,(d)) (sextile,1')\n(Sun,61.283,(r)) (H5,1.195,(c)) (sextile,5')", '9', 153]
['1813-05-22 08:00:47', "(H10,13.197,(r)) (Jupiter,163.129,(d)) (150-quincunx,4')\n(Moon,318.670,(r)) (H7,258.695,(c)) (sextile,1')\n(Jupiter,123.717,(r)) (H7,258.695,(c)) (135-sesquisquare,1')\n(H10,13.197,(r)) (Mars,253.122,(c)) (trine,4')", "(Mars,303.952,(r)) (H1,64.032,(c)) (trine,5')\n(H10,13.197,(r)) (Uranus,148.204,(c)) (135-sesquisquare,0')", '2', '3', '4', "(Moon,318.670,(r)) (H4,228.740,(d)) (square,4')\n(Mars,303.952,(r)) (H8,349.022,(d)) (45-semisquare,4')", "(Moon,318.670,(r)) (H4,138.560,(c)) (opposition,7')", "(H4,193.197,(r)) (Saturn,238.223,(c)) (45-semisquare,2')\n(H8,321.944,(r)) (Moon,277.000,(c)) (45-semisquare,3')", '8', "(Mean_Node,134.333,(r)) (H4,134.430,(c)) (conjunction,6')", 163]
['1813-05-22 07:09:51', "(Sun,60.738,(r)) (H10,300.717,(c)) (trine,1')", "(Neptune,254.568,(r)) (H1,164.543,(d)) (square,1')\n(Saturn,288.916,(r)) (H10,289.061,(c)) (conjunction,9')\n(Mean_Node,134.334,(r)) (H1,44.329,(c)) (square,0')", "(Moon,318.216,(r)) (H8,318.378,(d)) (conjunction,10')\n(Pluto,350.509,(r)) (H10,350.347,(c)) (conjunction,10')", "(H7,295.990,(r)) (Mean_Node,116.004,(c)) (opposition,1')\n(H10,359.315,(r)) (Moon,299.399,(c)) (sextile,5')", "(Jupiter,123.711,(r)) (H5,243.720,(d)) (trine,1')", "(Mean_Node,134.334,(r)) (H8,284.380,(c)) (150-quincunx,3')", '6', "(Pluto,350.509,(r)) (H12,125.512,(d)) (135-sesquisquare,0')", "(H1,115.990,(r)) (Mars,341.016,(d)) (135-sesquisquare,2')\n(Mars,303.938,(r)) (H4,124.070,(c)) (opposition,8')", '9', 223]
['1813-05-22 04:57:51', "(Mars,303.902,(r)) (H5,243.903,(d)) (sextile,0')\n(Venus,59.779,(r)) (H10,269.855,(c)) (150-quincunx,5')", '1', '2', "(H10,323.962,(r)) (Jupiter,143.835,(d)) (opposition,8')\n(Uranus,235.740,(r)) (H5,145.721,(c)) (square,1')", "(H10,323.962,(r)) (Mars,324.059,(d)) (conjunction,6')\n(Jupiter,123.698,(r)) (H7,243.628,(c)) (trine,4')", "(Moon,317.040,(r)) (H1,46.952,(c)) (square,5')\n(Pluto,350.508,(r)) (H4,110.470,(c)) (trine,2')", "(H4,143.962,(r)) (Moon,9.045,(d)) (135-sesquisquare,5')", "(Saturn,288.920,(r)) (H12,318.851,(c)) (30-semisextile,4')\n(H7,269.196,(r)) (Saturn,239.132,(c)) (30-semisextile,4')", '8', '9', 153]
['1813-05-21 23:51:44', "(Mars,303.820,(r)) (H10,303.661,(d)) (conjunction,10')\n(Jupiter,123.666,(r)) (H10,303.661,(d)) (opposition,0')\n(Moon,314.324,(r)) (H10,194.233,(c)) (trine,5')\n(H10,251.105,(r)) (Mars,251.081,(c)) (conjunction,1')", '1', "(Mars,303.820,(r)) (H10,258.762,(d)) (45-semisquare,3')", '3', '4', "(H8,196.131,(r)) (Neptune,286.088,(d)) (square,3')", "(Sun,60.445,(r)) (H1,60.276,(d)) (conjunction,10')", '7', '8', "(Sun,60.445,(r)) (H4,15.528,(c)) (45-semisquare,5')\n(Moon,314.324,(r)) (H1,254.374,(c)) (sextile,3')\n(Mean_Node,134.351,(r)) (H1,254.374,(c)) (trine,1')", 180]
['1813-05-22 21:23:44', "(Mercury,36.434,(r)) (H5,6.446,(c)) (30-semisextile,1')", "(H1,270.530,(r)) (Saturn,45.560,(d)) (135-sesquisquare,2')", '2', '3', "(Moon,325.892,(r)) (H7,115.971,(d)) (150-quincunx,5')\n(H10,215.732,(r)) (Venus,80.662,(d)) (135-sesquisquare,4')", "(H1,270.530,(r)) (Venus,90.553,(d)) (opposition,1')\n(Mean_Node,134.303,(r)) (H4,359.222,(c)) (135-sesquisquare,5')", '6', "(Saturn,288.895,(r)) (H7,168.980,(d)) (trine,5')\n(Uranus,235.712,(r)) (H4,85.729,(d)) (150-quincunx,1')\n(H8,137.525,(r)) (Venus,107.609,(d)) (30-semisextile,5')", "(Mercury,36.434,(r)) (H1,351.438,(d)) (45-semisquare,0')\n(H4,35.732,(r)) (Mars,35.747,(d)) (conjunction,1')", "(Mercury,36.434,(r)) (H4,336.426,(c)) (sextile,0')\n(H5,57.204,(r)) (Venus,12.275,(c)) (45-semisquare,4')", 147]
['1813-05-22 14:46:31', '0', '1', "(H10,112.075,(r)) (Mean_Node,142.003,(d)) (30-semisextile,4')\n(Mean_Node,134.318,(r)) (H10,104.377,(c)) (30-semisextile,4')", "(Mean_Node,134.318,(r)) (H10,134.174,(d)) (conjunction,9')\n(Sun,61.042,(r)) (H10,90.968,(c)) (30-semisextile,4')", "(H7,16.833,(r)) (Mercury,16.837,(c)) (conjunction,0')", "(Moon,322.306,(r)) (H12,202.344,(d)) (trine,2')\n(Uranus,235.723,(r)) (H4,325.725,(d)) (square,0')\n(H1,196.833,(r)) (Mean_Node,166.839,(d)) (30-semisextile,0')\n(Pluto,350.512,(r)) (H4,260.548,(c)) (square,2')", "(H1,196.833,(r)) (Venus,16.827,(c)) (opposition,0')", "(Neptune,254.560,(r)) (H4,344.551,(d)) (square,1')\n(Neptune,254.560,(r)) (H5,14.533,(d)) (trine,2')\n(H7,16.833,(r)) (Venus,106.905,(d)) (square,4')\n(Saturn,288.905,(r)) (H4,243.930,(c)) (45-semisquare,2')", '8', "(Uranus,235.723,(r)) (H1,235.644,(d)) (conjunction,5')\n(H4,292.075,(r)) (Mercury,352.153,(c)) (sextile,5')", 239]
['1813-05-22 12:50:47', "(Mercury,36.024,(r)) (H7,36.061,(d)) (conjunction,2')\n(H10,85.263,(r)) (Mean_Node,85.375,(c)) (conjunction,7')", "(Neptune,254.562,(r)) (H8,74.615,(d)) (opposition,3')", "(H1,176.352,(r)) (Saturn,296.371,(d)) (trine,1')\n(Pluto,350.511,(r)) (H1,170.533,(c)) (opposition,1')\n(H1,176.352,(r)) (Mars,296.352,(c)) (trine,0')", "(Moon,321.266,(r)) (H5,321.382,(d)) (conjunction,7')\n(Mars,304.029,(r)) (H10,64.040,(c)) (trine,1')", "(H5,301.273,(r)) (Uranus,256.319,(d)) (45-semisquare,3')\n(Jupiter,123.747,(r)) (H10,63.681,(c)) (sextile,4')", "(Pluto,350.511,(r)) (H1,200.436,(d)) (150-quincunx,4')", "(Mercury,36.024,(r)) (H4,216.015,(c)) (opposition,1')\n(Pluto,350.511,(r)) (H1,140.423,(c)) (150-quincunx,5')", "(Mean_Node,134.322,(r)) (H4,314.291,(d)) (opposition,2')\n(H8,19.840,(r)) (Mars,349.812,(d)) (30-semisextile,2')", "(Jupiter,123.747,(r)) (H5,348.759,(d)) (135-sesquisquare,1')", '9', 267]
