Row 95: {'time': '1813-05-22 10:10:07', 'p_a_conj': 9, 'p_a_maj': 3, 'p_a_allm': 12, 'p_a_min': 4, 'p_h_conj': 1, 'p_h_maj': 4, 'p_h_allm': 5, 'p_h_min': 3, 'mon_p_conj': 3, 'mon_p_maj': 3, 'mon_p_allm': 6, 'mon_p_min': 1, 'e': 0, 'all_conj': 13, 'p_a_mon_conj': 12}
Row 39: {'time': '1813-05-22 20:52:48', 'p_a_conj': 5, 'p_a_maj': 0, 'p_a_allm': 5, 'p_a_min': 3, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_allm': 2, 'p_h_min': 1, 'mon_p_conj': 5, 'mon_p_maj': 5, 'mon_p_allm': 10, 'mon_p_min': 5, 'e': 0, 'all_conj': 11, 'p_a_mon_conj': 10}
Row 117: {'time': '1813-05-21 23:18:24', 'p_a_conj': 6, 'p_a_maj': 2, 'p_a_allm': 8, 'p_a_min': 4, 'p_h_conj': 2, 'p_h_maj': 3, 'p_h_allm': 5, 'p_h_min': 6, 'mon_p_conj': 4, 'mon_p_maj': 1, 'mon_p_allm': 5, 'mon_p_min': 1, 'e': 1, 'all_conj': 12, 'p_a_mon_conj': 10}
Row 3: {'time': '1813-05-22 20:47:12', 'p_a_conj': 4, 'p_a_maj': 3, 'p_a_allm': 7, 'p_a_min': 3, 'p_h_conj': 0, 'p_h_maj': 5, 'p_h_allm': 5, 'p_h_min': 4, 'mon_p_conj': 5, 'mon_p_maj': 5, 'mon_p_allm': 10, 'mon_p_min': 4, 'e': 0, 'all_conj': 9, 'p_a_mon_conj': 9}
Row 96: {'time': '1813-05-22 02:35:28', 'p_a_conj': 4, 'p_a_maj': 5, 'p_a_allm': 9, 'p_a_min': 4, 'p_h_conj': 3, 'p_h_maj': 7, 'p_h_allm': 10, 'p_h_min': 0, 'mon_p_conj': 5, 'mon_p_maj': 1, 'mon_p_allm': 6, 'mon_p_min': 5, 'e': 0, 'all_conj': 12, 'p_a_mon_conj': 9}
Row 129: {'time': '1813-05-22 08:11:44', 'p_a_conj': 5, 'p_a_maj': 2, 'p_a_allm': 7, 'p_a_min': 3, 'p_h_conj': 2, 'p_h_maj': 1, 'p_h_allm': 3, 'p_h_min': 1, 'mon_p_conj': 4, 'mon_p_maj': 1, 'mon_p_allm': 5, 'mon_p_min': 2, 'e': 1, 'all_conj': 11, 'p_a_mon_conj': 9}
Row 9: {'time': '1813-05-22 14:46:31', 'p_a_conj': 6, 'p_a_maj': 4, 'p_a_allm': 10, 'p_a_min': 8, 'p_h_conj': 0, 'p_h_maj': 5, 'p_h_allm': 5, 'p_h_min': 5, 'mon_p_conj': 2, 'mon_p_maj': 7, 'mon_p_allm': 9, 'mon_p_min': 3, 'e': 0, 'all_conj': 8, 'p_a_mon_conj': 8}
Row 89: {'time': '1813-05-22 01:04:07', 'p_a_conj': 4, 'p_a_maj': 8, 'p_a_allm': 12, 'p_a_min': 3, 'p_h_conj': 2, 'p_h_maj': 2, 'p_h_allm': 4, 'p_h_min': 4, 'mon_p_conj': 4, 'mon_p_maj': 4, 'mon_p_allm': 8, 'mon_p_min': 3, 'e': 1, 'all_conj': 10, 'p_a_mon_conj': 8}
Row 101: {'time': '1813-05-21 23:32:24', 'p_a_conj': 3, 'p_a_maj': 3, 'p_a_allm': 6, 'p_a_min': 5, 'p_h_conj': 2, 'p_h_maj': 5, 'p_h_allm': 7, 'p_h_min': 2, 'mon_p_conj': 5, 'mon_p_maj': 1, 'mon_p_allm': 6, 'mon_p_min': 1, 'e': 0, 'all_conj': 10, 'p_a_mon_conj': 8}
Row 110: {'time': '1813-05-22 20:42:08', 'p_a_conj': 3, 'p_a_maj': 3, 'p_a_allm': 6, 'p_a_min': 5, 'p_h_conj': 6, 'p_h_maj': 1, 'p_h_allm': 7, 'p_h_min': 4, 'mon_p_conj': 5, 'mon_p_maj': 4, 'mon_p_allm': 9, 'mon_p_min': 4, 'e': 1, 'all_conj': 14, 'p_a_mon_conj': 8}
Row 113: {'time': '1813-05-22 00:20:23', 'p_a_conj': 3, 'p_a_maj': 2, 'p_a_allm': 5, 'p_a_min': 14, 'p_h_conj': 0, 'p_h_maj': 5, 'p_h_allm': 5, 'p_h_min': 4, 'mon_p_conj': 5, 'mon_p_maj': 4, 'mon_p_allm': 9, 'mon_p_min': 5, 'e': 1, 'all_conj': 8, 'p_a_mon_conj': 8}
