['Time', '0: 2017-09-22', '1: 2024-10-25', '2: 2018-02-19', '3: 2021-04-06', '4: 2016-05-26', '5: 2022-01-01', 'Count']
['2014-03-24 01:13:03', "(Saturn,232.939,(r)) (Moon,323.347,(p)) (square,25')\n(Mars,203.343,(p)) (H10,233.329,(p)) (30-semisextile,1')", "(Venus,327.663,(p)) (H3,27.616,(p)) (sextile,3')\n(Venus,316.794,(r)) (Moon,136.320,(c)) (opposition,28')\n(Jupiter,100.522,(c)) (H10,220.501,(c)) (trine,1')", "(Venus,316.794,(r)) (H4,46.656,(c)) (square,8')", "(Mars,204.380,(r)) (H8,174.429,(p)) (30-semisextile,3')\n(Venus,316.794,(r)) (H1,316.870,(c)) (conjunction,5')\n(Mean_Node,209.923,(r)) (Moon,179.766,(c)) (30-semisextile,9')", "(Sun,3.319,(r)) (Moon,243.020,(c)) (trine,18')\n(Sun,3.319,(r)) (H10,228.232,(c)) (135-sesquisquare,5')\n(Moon,273.020,(r)) (Moon,243.020,(c)) (30-semisextile,0')", "(Mars,204.380,(r)) (Moon,24.589,(p)) (opposition,13')\n(Pluto,283.529,(p)) (H1,328.654,(p)) (45-semisquare,8')\n(Mean_Node,209.511,(p)) (H6,119.607,(p)) (square,6')", 15]
['2014-03-24 00:19:04', "(Saturn,232.940,(r)) (Moon,322.802,(p)) (square,8')\n(Pluto,283.456,(r)) (H1,313.461,(p)) (30-semisextile,0')\n(Pluto,283.492,(p)) (H1,313.461,(p)) (30-semisextile,2')\n(Mercury,333.079,(c)) (H10,213.249,(c)) (trine,10')", "(Moon,272.493,(r)) (H1,302.374,(c)) (30-semisextile,7')\n(H10,216.544,(r)) (Venus,306.608,(c)) (square,4')", "(Pluto,283.456,(r)) (Moon,328.791,(p)) (45-semisquare,20')\n(Mercury,337.596,(r)) (H7,127.633,(c)) (150-quincunx,2')\n(H7,130.706,(r)) (Jupiter,100.744,(c)) (30-semisextile,2')", "(Pluto,283.456,(r)) (Moon,13.784,(p)) (square,20')\n(Mean_Node,209.925,(r)) (H4,29.884,(c)) (opposition,2')\n(Moon,179.295,(c)) (H8,149.557,(c)) (30-semisextile,16')", "(Sun,3.282,(r)) (Moon,303.538,(p)) (sextile,15')\n(H8,155.546,(r)) (Sun,5.438,(p)) (150-quincunx,6')\n(Moon,272.493,(r)) (Moon,242.511,(c)) (30-semisextile,1')", "(Mars,204.390,(r)) (Moon,24.073,(p)) (opposition,19')\n(H1,310.706,(r)) (Sun,355.555,(c)) (45-semisquare,9')", 17]
['2014-03-24 00:07:28', "(Saturn,232.940,(r)) (Moon,322.685,(p)) (square,15')", "(H1,308.197,(r)) (Mercury,353.268,(p)) (45-semisquare,4')\n(H3,1.331,(r)) (Moon,61.346,(p)) (sextile,1')\n(Mean_Node,209.925,(r)) (H1,299.870,(c)) (square,3')\n(Venus,306.600,(c)) (H3,351.499,(c)) (45-semisquare,6')", "(Pluto,283.456,(r)) (Moon,328.674,(p)) (45-semisquare,13')\n(Sun,7.149,(p)) (H4,37.215,(p)) (30-semisextile,4')\n(Jupiter,101.178,(p)) (H7,131.270,(p)) (30-semisextile,6')\n(Mean_Node,209.925,(r)) (H4,29.827,(c)) (opposition,6')", "(Pluto,283.456,(r)) (Moon,13.671,(p)) (square,13')\n(Sun,10.241,(p)) (H4,40.127,(p)) (30-semisextile,7')\n(Moon,13.671,(p)) (H1,313.732,(p)) (sextile,4')\n(Uranus,11.938,(r)) (H8,146.861,(c)) (135-sesquisquare,5')", "(Sun,3.274,(r)) (Moon,303.421,(p)) (sextile,9')\n(H10,213.540,(r)) (Moon,303.421,(p)) (square,7')\n(Sun,5.430,(p)) (H10,215.589,(p)) (150-quincunx,9')\n(Moon,272.380,(r)) (Moon,242.402,(c)) (30-semisextile,1')\n(H8,152.825,(r)) (Moon,242.402,(c)) (square,25')\n(Sun,1.116,(c)) (H8,150.978,(c)) (150-quincunx,8')", "(Mars,204.392,(r)) (Moon,23.962,(p)) (opposition,26')\n(Sun,10.972,(p)) (H10,220.812,(p)) (150-quincunx,10')\n(Mars,206.196,(c)) (H10,206.114,(c)) (conjunction,5')", 22]
['2014-03-24 01:01:51', "(Saturn,232.939,(r)) (Moon,323.234,(p)) (square,18')\n(Saturn,232.939,(r)) (H1,322.783,(p)) (square,9')\n(Saturn,232.807,(p)) (H1,322.783,(p)) (square,1')\n(Mercury,333.115,(c)) (H12,287.957,(c)) (45-semisquare,9')", "(Uranus,11.940,(r)) (H10,236.889,(p)) (135-sesquisquare,3')\n(Mercury,337.636,(r)) (H10,217.634,(c)) (trine,0')\n(Sun,352.780,(c)) (H10,217.634,(c)) (135-sesquisquare,9')", "(Venus,316.786,(r)) (H7,136.909,(c)) (opposition,7')\n(Uranus,11.720,(c)) (H3,11.563,(c)) (conjunction,9')", "(Mean_Node,209.923,(r)) (Moon,179.669,(c)) (30-semisextile,15')\n(Moon,179.669,(c)) (H1,314.436,(c)) (135-sesquisquare,14')", "(Sun,3.312,(r)) (Moon,242.914,(c)) (trine,24')\n(Sun,3.312,(r)) (H1,318.283,(c)) (45-semisquare,2')\n(Moon,272.911,(r)) (Moon,242.914,(c)) (30-semisextile,0')", "(Mars,204.382,(r)) (Moon,24.482,(p)) (opposition,6')\n(Mars,204.382,(r)) (H10,234.392,(p)) (30-semisextile,1')\n(Sun,11.009,(p)) (H1,326.190,(p)) (45-semisquare,11')\n(H6,110.797,(r)) (Neptune,335.813,(c)) (135-sesquisquare,1')", 18]
['2014-03-24 01:19:28', "(Saturn,232.938,(r)) (Moon,323.412,(p)) (square,28')\n(Mercury,342.523,(p)) (H12,297.564,(p)) (45-semisquare,2')", "(Moon,61.982,(p)) (H1,332.328,(p)) (square,21')\n(Mean_Node,209.362,(p)) (H3,29.201,(p)) (opposition,10')\n(Venus,316.798,(r)) (Moon,136.373,(c)) (opposition,25')", "(Uranus,11.941,(r)) (H7,146.971,(p)) (135-sesquisquare,2')\n(Mean_Node,209.923,(r)) (Moon,329.401,(p)) (trine,31')\n(Sun,3.324,(r)) (H4,48.255,(c)) (45-semisquare,4')\n(Moon,273.082,(r)) (H4,48.255,(c)) (135-sesquisquare,10')", "(H1,323.854,(r)) (Venus,323.957,(p)) (conjunction,6')\n(Moon,14.371,(p)) (H1,329.473,(p)) (45-semisquare,6')\n(Mean_Node,209.550,(p)) (H1,329.473,(p)) (trine,5')\n(Sun,3.324,(r)) (H1,318.263,(c)) (45-semisquare,4')\n(Moon,273.082,(r)) (H1,318.263,(c)) (45-semisquare,11')\n(Mean_Node,209.923,(r)) (Moon,179.822,(c)) (30-semisextile,6')", "(H1,323.854,(r)) (Mars,203.749,(p)) (trine,6')\n(Mars,203.749,(p)) (H10,233.719,(p)) (30-semisextile,2')\n(Sun,3.324,(r)) (Moon,243.080,(c)) (trine,15')\n(Moon,273.082,(r)) (Moon,243.080,(c)) (30-semisextile,0')\n(Saturn,232.938,(r)) (H12,292.962,(c)) (sextile,1')\n(Saturn,233.011,(c)) (H12,292.962,(c)) (sextile,3')", "(Mars,204.378,(r)) (Moon,24.650,(p)) (opposition,16')\n(Mean_Node,209.923,(r)) (H1,330.066,(p)) (trine,9')\n(H10,231.777,(r)) (Mars,201.922,(p)) (30-semisextile,9')\n(Pluto,283.529,(p)) (H10,238.672,(p)) (45-semisquare,9')", 25]
['2014-03-24 00:03:35', "(Saturn,232.940,(r)) (Moon,322.645,(p)) (square,18')", "(Uranus,12.542,(p)) (H10,222.432,(p)) (150-quincunx,7')\n(H3,0.345,(r)) (Moon,135.741,(c)) (135-sesquisquare,24')", "(Pluto,283.456,(r)) (Moon,328.635,(p)) (45-semisquare,11')\n(H4,32.533,(r)) (Mercury,332.560,(c)) (sextile,2')", "(Pluto,283.456,(r)) (Moon,13.633,(p)) (square,11')\n(Pluto,283.456,(r)) (H12,283.484,(p)) (conjunction,2')\n(Moon,13.633,(p)) (H12,283.484,(p)) (square,9')\n(Pluto,283.523,(p)) (H12,283.484,(p)) (conjunction,2')\n(Venus,316.746,(r)) (H12,271.913,(c)) (45-semisquare,10')\n(Mars,206.056,(c)) (H8,145.965,(c)) (sextile,5')", "(Sun,3.272,(r)) (Moon,303.383,(p)) (sextile,7')\n(Moon,303.383,(p)) (H8,153.770,(p)) (150-quincunx,23')\n(Moon,272.342,(r)) (Moon,242.366,(c)) (30-semisextile,1')\n(Neptune,336.087,(r)) (H12,275.943,(c)) (sextile,9')\n(Mean_Node,209.926,(r)) (H8,150.076,(c)) (sextile,9')\n(H8,151.921,(r)) (Moon,242.366,(c)) (square,27')\n(H10,212.533,(r)) (Moon,242.366,(c)) (30-semisextile,10')\n(Neptune,336.011,(c)) (H12,275.943,(c)) (sextile,4')\n(Mean_Node,210.041,(c)) (H8,150.076,(c)) (sextile,2')", "(Mars,204.393,(r)) (Moon,23.925,(p)) (opposition,28')\n(Pluto,283.456,(r)) (H1,313.476,(p)) (30-semisextile,1')\n(H6,97.731,(r)) (Saturn,232.625,(p)) (135-sesquisquare,6')\n(Pluto,283.528,(p)) (H1,313.476,(p)) (30-semisextile,3')", 24]
['2014-03-24 01:14:55', "(Saturn,232.938,(r)) (Moon,323.366,(p)) (square,26')\n(H1,322.861,(r)) (Saturn,232.807,(p)) (square,3')", "(Mean_Node,209.923,(r)) (H10,240.049,(p)) (30-semisextile,8')\n(Venus,316.795,(r)) (Moon,136.335,(c)) (opposition,28')\n(Jupiter,100.941,(r)) (H10,220.977,(c)) (trine,2')\n(H1,322.861,(r)) (Sun,352.789,(c)) (30-semisextile,4')", "(Jupiter,100.941,(r)) (H7,145.975,(p)) (45-semisquare,2')\n(H4,50.657,(r)) (Venus,320.740,(p)) (square,5')", "(Uranus,11.941,(r)) (H4,56.922,(p)) (45-semisquare,1')\n(Pluto,283.456,(r)) (H1,328.474,(p)) (45-semisquare,1')\n(Pluto,283.523,(p)) (H1,328.474,(p)) (45-semisquare,3')\n(Mean_Node,209.550,(p)) (H12,299.423,(p)) (square,8')\n(Mean_Node,209.923,(r)) (Moon,179.783,(c)) (30-semisextile,8')\n(Moon,179.783,(c)) (H4,44.265,(c)) (135-sesquisquare,31')", "(H1,322.861,(r)) (Saturn,232.859,(p)) (square,0')\n(H8,168.774,(r)) (Moon,304.097,(p)) (135-sesquisquare,19')\n(H10,230.657,(r)) (Sun,5.477,(p)) (135-sesquisquare,11')\n(Sun,3.321,(r)) (Moon,243.038,(c)) (trine,17')\n(Moon,273.038,(r)) (Moon,243.038,(c)) (30-semisextile,0')", "(Mars,204.379,(r)) (Moon,24.607,(p)) (opposition,14')\n(Mean_Node,209.923,(r)) (H6,120.024,(p)) (square,6')\n(Pluto,283.456,(r)) (H10,223.585,(c)) (sextile,8')", 22]
['2014-03-24 01:38:31', "(Mars,205.278,(c)) (H1,325.246,(c)) (trine,2')", "(Venus,316.811,(r)) (Moon,136.532,(c)) (opposition,17')\n(Venus,316.811,(r)) (H10,226.934,(c)) (square,7')\n(Moon,136.532,(c)) (H10,226.934,(c)) (square,24')", "(Mean_Node,209.922,(r)) (Moon,329.594,(p)) (trine,20')\n(Mean_Node,209.922,(r)) (H4,59.883,(p)) (150-quincunx,2')\n(Moon,329.594,(p)) (H4,59.883,(p)) (square,17')\n(Mean_Node,209.715,(p)) (H4,59.883,(p)) (150-quincunx,10')", "(Mean_Node,209.922,(r)) (Moon,179.988,(c)) (30-semisextile,4')\n(H4,56.445,(r)) (Sun,356.346,(c)) (sextile,6')\n(Saturn,233.146,(c)) (H12,293.269,(c)) (sextile,7')", "(Pluto,283.457,(r)) (H10,238.361,(p)) (45-semisquare,6')\n(Mean_Node,209.922,(r)) (H1,329.782,(p)) (trine,8')\n(Pluto,283.480,(p)) (H10,238.361,(p)) (45-semisquare,7')\n(Mean_Node,209.807,(p)) (H1,329.782,(p)) (trine,1')\n(Sun,3.337,(r)) (Moon,243.260,(c)) (trine,5')\n(Moon,273.268,(r)) (Moon,243.260,(c)) (30-semisextile,1')\n(Mars,204.375,(r)) (H10,234.519,(c)) (30-semisextile,9')", "(Sun,3.337,(r)) (H10,243.251,(p)) (trine,5')\n(Mars,204.375,(r)) (Moon,24.832,(p)) (opposition,27')\n(Mercury,337.670,(r)) (H6,112.667,(c)) (135-sesquisquare,0')\n(H1,328.042,(r)) (Mercury,328.165,(c)) (conjunction,7')", 22]
['2014-03-24 00:15:19', "(Saturn,232.940,(r)) (Moon,322.764,(p)) (square,11')\n(Mercury,337.593,(r)) (H12,277.509,(c)) (sextile,5')", "(Sun,3.280,(r)) (H1,318.252,(p)) (45-semisquare,2')", "(Pluto,283.456,(r)) (Moon,328.753,(p)) (45-semisquare,18')\n(Mercury,343.051,(p)) (H7,132.975,(p)) (150-quincunx,5')", "(Pluto,283.456,(r)) (Moon,13.748,(p)) (square,17')\n(H1,309.899,(r)) (Venus,309.912,(c)) (conjunction,1')\n(Moon,179.263,(c)) (H4,28.903,(c)) (150-quincunx,22')", "(Sun,3.280,(r)) (Moon,303.500,(p)) (sextile,13')\n(H10,215.580,(r)) (Sun,5.436,(p)) (150-quincunx,9')\n(Uranus,12.062,(p)) (H12,282.154,(p)) (square,6')\n(Moon,272.457,(r)) (Moon,242.476,(c)) (30-semisextile,1')\n(Moon,242.476,(c)) (H8,152.817,(c)) (square,20')", "(Mars,204.391,(r)) (Moon,24.038,(p)) (opposition,21')\n(Mercury,328.102,(c)) (H10,208.193,(c)) (trine,5')", 15]
['2014-03-24 01:31:43', '0', "(Moon,62.091,(p)) (H3,32.226,(p)) (30-semisextile,8')\n(Moon,273.202,(r)) (H1,318.108,(c)) (45-semisquare,6')\n(Venus,316.807,(r)) (Moon,136.475,(c)) (opposition,20')\n(H3,22.677,(r)) (Sun,352.801,(c)) (30-semisextile,7')", "(Mean_Node,209.922,(r)) (Moon,329.525,(p)) (trine,24')\n(Moon,329.525,(p)) (H7,149.673,(p)) (opposition,9')\n(Mean_Node,209.715,(p)) (H7,149.673,(p)) (sextile,3')", "(Sun,3.332,(r)) (H12,303.186,(p)) (sextile,9')\n(Moon,273.202,(r)) (H12,303.186,(p)) (30-semisextile,1')\n(H8,172.782,(r)) (Saturn,232.656,(p)) (sextile,8')\n(Sun,3.332,(r)) (H4,48.475,(c)) (45-semisquare,9')\n(Venus,316.807,(r)) (H8,166.680,(c)) (150-quincunx,8')\n(Mean_Node,209.922,(r)) (Moon,179.929,(c)) (30-semisextile,0')\n(H1,326.546,(r)) (Uranus,11.546,(c)) (45-semisquare,0')", "(Pluto,283.457,(r)) (H1,328.284,(p)) (45-semisquare,10')\n(H8,172.782,(r)) (Saturn,232.859,(p)) (sextile,5')\n(Sun,3.332,(r)) (Moon,243.196,(c)) (trine,8')\n(Moon,273.202,(r)) (Moon,243.196,(c)) (30-semisextile,0')\n(Saturn,232.938,(r)) (H10,232.852,(c)) (conjunction,5')\n(H10,234.787,(r)) (Mars,204.954,(c)) (30-semisextile,10')\n(Mars,204.954,(c)) (H1,324.811,(c)) (trine,9')\n(Saturn,233.010,(c)) (H10,232.852,(c)) (conjunction,10')", "(Mars,204.376,(r)) (Moon,24.767,(p)) (opposition,23')\n(Mercury,348.917,(p)) (H6,123.789,(p)) (135-sesquisquare,8')\n(Neptune,336.089,(r)) (H6,111.150,(c)) (135-sesquisquare,4')", 25]
