Row 1: {'time': '1935-11-14 07:49:35', 'p_a_conj': 0, 'p_a_maj': 5, 'p_a_allm': 5, 'p_a_min': 3, 'a_p_conj': 1, 'a_p_maj': 7, 'a_p_allm': 8, 'a_p_min': 17, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 4, 'h_p_allm': 5, 'h_p_min': 10, 'mon_p_conj': 1, 'mon_p_maj': 3, 'mon_p_allm': 4, 'mon_p_min': 7, 'e': 1, 'all_maj': 19, 'all_conj': 3}
Row 2: {'time': '1935-11-14 08:03:20', 'p_a_conj': 5, 'p_a_maj': 4, 'p_a_allm': 9, 'p_a_min': 4, 'a_p_conj': 0, 'a_p_maj': 3, 'a_p_allm': 3, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 4, 'p_h_allm': 4, 'p_h_min': 2, 'h_p_conj': 3, 'h_p_maj': 4, 'h_p_allm': 7, 'h_p_min': 4, 'mon_p_conj': 1, 'mon_p_maj': 3, 'mon_p_allm': 4, 'mon_p_min': 6, 'e': 0, 'all_maj': 18, 'all_conj': 9}
Row 3: {'time': '1935-11-14 19:39:27', 'p_a_conj': 0, 'p_a_maj': 6, 'p_a_allm': 6, 'p_a_min': 8, 'a_p_conj': 2, 'a_p_maj': 13, 'a_p_allm': 15, 'a_p_min': 11, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 1, 'h_p_conj': 2, 'h_p_maj': 6, 'h_p_allm': 8, 'h_p_min': 7, 'mon_p_conj': 1, 'mon_p_maj': 2, 'mon_p_allm': 3, 'mon_p_min': 0, 'e': 0, 'all_maj': 27, 'all_conj': 6}
Row 4: {'time': '1935-11-14 04:16:23', 'p_a_conj': 1, 'p_a_maj': 4, 'p_a_allm': 5, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 11, 'a_p_allm': 13, 'a_p_min': 4, 'p_h_conj': 1, 'p_h_maj': 4, 'p_h_allm': 5, 'p_h_min': 2, 'h_p_conj': 1, 'h_p_maj': 10, 'h_p_allm': 11, 'h_p_min': 6, 'mon_p_conj': 1, 'mon_p_maj': 6, 'mon_p_allm': 7, 'mon_p_min': 5, 'e': 0, 'all_maj': 35, 'all_conj': 6}
Row 5: {'time': '1935-11-14 01:28:47', 'p_a_conj': 3, 'p_a_maj': 5, 'p_a_allm': 8, 'p_a_min': 6, 'a_p_conj': 3, 'a_p_maj': 9, 'a_p_allm': 12, 'a_p_min': 15, 'p_h_conj': 2, 'p_h_maj': 0, 'p_h_allm': 2, 'p_h_min': 1, 'h_p_conj': 5, 'h_p_maj': 1, 'h_p_allm': 6, 'h_p_min': 6, 'mon_p_conj': 2, 'mon_p_maj': 6, 'mon_p_allm': 8, 'mon_p_min': 5, 'e': 0, 'all_maj': 21, 'all_conj': 15}
Row 6: {'time': '1935-11-13 23:58:00', 'p_a_conj': 3, 'p_a_maj': 3, 'p_a_allm': 6, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 13, 'a_p_allm': 15, 'a_p_min': 13, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 2, 'h_p_conj': 2, 'h_p_maj': 6, 'h_p_allm': 8, 'h_p_min': 5, 'mon_p_conj': 2, 'mon_p_maj': 11, 'mon_p_allm': 13, 'mon_p_min': 8, 'e': 0, 'all_maj': 33, 'all_conj': 9}
Row 7: {'time': '1935-11-14 18:51:36', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_allm': 1, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 7, 'a_p_allm': 9, 'a_p_min': 10, 'p_h_conj': 0, 'p_h_maj': 3, 'p_h_allm': 3, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 5, 'h_p_allm': 6, 'h_p_min': 5, 'mon_p_conj': 1, 'mon_p_maj': 4, 'mon_p_allm': 5, 'mon_p_min': 4, 'e': 0, 'all_maj': 20, 'all_conj': 4}
Row 8: {'time': '1935-11-14 11:01:36', 'p_a_conj': 2, 'p_a_maj': 4, 'p_a_allm': 6, 'p_a_min': 3, 'a_p_conj': 5, 'a_p_maj': 8, 'a_p_allm': 13, 'a_p_min': 6, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 1, 'h_p_conj': 2, 'h_p_maj': 4, 'h_p_allm': 6, 'h_p_min': 3, 'mon_p_conj': 1, 'mon_p_maj': 9, 'mon_p_allm': 10, 'mon_p_min': 7, 'e': 0, 'all_maj': 26, 'all_conj': 10}
Row 9: {'time': '1935-11-14 15:54:56', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_allm': 3, 'p_a_min': 2, 'a_p_conj': 2, 'a_p_maj': 8, 'a_p_allm': 10, 'a_p_min': 6, 'p_h_conj': 0, 'p_h_maj': 6, 'p_h_allm': 6, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 3, 'h_p_allm': 4, 'h_p_min': 10, 'mon_p_conj': 1, 'mon_p_maj': 6, 'mon_p_allm': 7, 'mon_p_min': 7, 'e': 1, 'all_maj': 26, 'all_conj': 4}
Row 10: {'time': '1935-11-14 07:41:59', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_allm': 1, 'p_a_min': 2, 'a_p_conj': 2, 'a_p_maj': 6, 'a_p_allm': 8, 'a_p_min': 5, 'p_h_conj': 2, 'p_h_maj': 1, 'p_h_allm': 3, 'p_h_min': 1, 'h_p_conj': 5, 'h_p_maj': 4, 'h_p_allm': 9, 'h_p_min': 11, 'mon_p_conj': 1, 'mon_p_maj': 3, 'mon_p_allm': 4, 'mon_p_min': 6, 'e': 0, 'all_maj': 15, 'all_conj': 10}
Row 11: {'time': '1935-11-13 23:16:31', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_allm': 3, 'p_a_min': 4, 'a_p_conj': 0, 'a_p_maj': 9, 'a_p_allm': 9, 'a_p_min': 12, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 5, 'h_p_conj': 0, 'h_p_maj': 5, 'h_p_allm': 5, 'h_p_min': 12, 'mon_p_conj': 3, 'mon_p_maj': 6, 'mon_p_allm': 9, 'mon_p_min': 6, 'e': 0, 'all_maj': 22, 'all_conj': 4}
