Row 113: {'time': '2000-03-11 10:05:43', 'p_a_conj': 14, 'p_a_maj': 9, 'p_a_allm': 23, 'p_a_min': 7, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_allm': 3, 'p_h_min': 7, 'mon_p_conj': 4, 'mon_p_maj': 5, 'mon_p_allm': 9, 'mon_p_min': 5, 'e': 2, 'all_conj': 19, 'all_maj': 16, 'p_a_mon_conj': 18}
Row 63: {'time': '2000-03-11 10:25:51', 'p_a_conj': 7, 'p_a_maj': 2, 'p_a_allm': 9, 'p_a_min': 7, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 7, 'mon_p_conj': 6, 'mon_p_maj': 4, 'mon_p_allm': 10, 'mon_p_min': 6, 'e': 3, 'all_conj': 14, 'all_maj': 6, 'p_a_mon_conj': 13}
Row 8: {'time': '2000-03-11 08:49:51', 'p_a_conj': 8, 'p_a_maj': 14, 'p_a_allm': 22, 'p_a_min': 15, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_allm': 2, 'p_h_min': 13, 'mon_p_conj': 4, 'mon_p_maj': 5, 'mon_p_allm': 9, 'mon_p_min': 8, 'e': 1, 'all_conj': 12, 'all_maj': 21, 'p_a_mon_conj': 12}
Row 22: {'time': '2000-03-11 07:55:59', 'p_a_conj': 7, 'p_a_maj': 4, 'p_a_allm': 11, 'p_a_min': 9, 'p_h_conj': 2, 'p_h_maj': 6, 'p_h_allm': 8, 'p_h_min': 0, 'mon_p_conj': 5, 'mon_p_maj': 10, 'mon_p_allm': 15, 'mon_p_min': 12, 'e': 1, 'all_conj': 14, 'all_maj': 20, 'p_a_mon_conj': 12}
Row 53: {'time': '2000-03-11 15:49:35', 'p_a_conj': 10, 'p_a_maj': 10, 'p_a_allm': 20, 'p_a_min': 15, 'p_h_conj': 2, 'p_h_maj': 2, 'p_h_allm': 4, 'p_h_min': 4, 'mon_p_conj': 2, 'mon_p_maj': 13, 'mon_p_allm': 15, 'mon_p_min': 4, 'e': 1, 'all_conj': 14, 'all_maj': 25, 'p_a_mon_conj': 12}
Row 14: {'time': '2000-03-11 15:00:31', 'p_a_conj': 8, 'p_a_maj': 6, 'p_a_allm': 14, 'p_a_min': 7, 'p_h_conj': 3, 'p_h_maj': 7, 'p_h_allm': 10, 'p_h_min': 10, 'mon_p_conj': 3, 'mon_p_maj': 7, 'mon_p_allm': 10, 'mon_p_min': 9, 'e': 2, 'all_conj': 14, 'all_maj': 20, 'p_a_mon_conj': 11}
Row 32: {'time': '2000-03-11 07:41:20', 'p_a_conj': 6, 'p_a_maj': 4, 'p_a_allm': 10, 'p_a_min': 8, 'p_h_conj': 0, 'p_h_maj': 6, 'p_h_allm': 6, 'p_h_min': 7, 'mon_p_conj': 5, 'mon_p_maj': 9, 'mon_p_allm': 14, 'mon_p_min': 11, 'e': 2, 'all_conj': 11, 'all_maj': 19, 'p_a_mon_conj': 11}
Row 48: {'time': '2000-03-11 12:12:56', 'p_a_conj': 9, 'p_a_maj': 16, 'p_a_allm': 25, 'p_a_min': 14, 'p_h_conj': 2, 'p_h_maj': 3, 'p_h_allm': 5, 'p_h_min': 3, 'mon_p_conj': 2, 'mon_p_maj': 8, 'mon_p_allm': 10, 'mon_p_min': 5, 'e': 2, 'all_conj': 13, 'all_maj': 27, 'p_a_mon_conj': 11}
Row 71: {'time': '2000-03-11 11:45:36', 'p_a_conj': 7, 'p_a_maj': 9, 'p_a_allm': 16, 'p_a_min': 20, 'p_h_conj': 2, 'p_h_maj': 7, 'p_h_allm': 9, 'p_h_min': 7, 'mon_p_conj': 4, 'mon_p_maj': 6, 'mon_p_allm': 10, 'mon_p_min': 3, 'e': 1, 'all_conj': 13, 'all_maj': 22, 'p_a_mon_conj': 11}
Row 132: {'time': '2000-03-11 08:37:44', 'p_a_conj': 7, 'p_a_maj': 4, 'p_a_allm': 11, 'p_a_min': 6, 'p_h_conj': 1, 'p_h_maj': 4, 'p_h_allm': 5, 'p_h_min': 2, 'mon_p_conj': 4, 'mon_p_maj': 8, 'mon_p_allm': 12, 'mon_p_min': 9, 'e': 2, 'all_conj': 12, 'all_maj': 16, 'p_a_mon_conj': 11}
Row 52: {'time': '2000-03-11 15:44:39', 'p_a_conj': 8, 'p_a_maj': 18, 'p_a_allm': 26, 'p_a_min': 20, 'p_h_conj': 0, 'p_h_maj': 4, 'p_h_allm': 4, 'p_h_min': 0, 'mon_p_conj': 2, 'mon_p_maj': 12, 'mon_p_allm': 14, 'mon_p_min': 4, 'e': 0, 'all_conj': 10, 'all_maj': 34, 'p_a_mon_conj': 10}
