Row 49: {'time': '1916-09-06 07:27:43', 'p_a_conj': 6, 'p_a_maj': 20, 'p_a_allm': 26, 'p_a_min': 25, 'p_h_conj': 3, 'p_h_maj': 6, 'p_h_allm': 9, 'p_h_min': 5, 'mon_p_conj': 6, 'mon_p_maj': 3, 'mon_p_allm': 9, 'mon_p_min': 8, 'e': 0, 'all_conj': 15, 'all_maj': 29, 'p_a_mon_conj': 12}
Row 96: {'time': '1916-09-07 03:52:47', 'p_a_conj': 8, 'p_a_maj': 7, 'p_a_allm': 15, 'p_a_min': 6, 'p_h_conj': 0, 'p_h_maj': 11, 'p_h_allm': 11, 'p_h_min': 8, 'mon_p_conj': 4, 'mon_p_maj': 6, 'mon_p_allm': 10, 'mon_p_min': 8, 'e': 0, 'all_conj': 12, 'all_maj': 24, 'p_a_mon_conj': 12}
Row 107: {'time': '1916-09-07 00:12:23', 'p_a_conj': 9, 'p_a_maj': 6, 'p_a_allm': 15, 'p_a_min': 9, 'p_h_conj': 2, 'p_h_maj': 3, 'p_h_allm': 5, 'p_h_min': 3, 'mon_p_conj': 3, 'mon_p_maj': 5, 'mon_p_allm': 8, 'mon_p_min': 10, 'e': 0, 'all_conj': 14, 'all_maj': 14, 'p_a_mon_conj': 12}
Row 33: {'time': '1916-09-06 20:09:04', 'p_a_conj': 6, 'p_a_maj': 7, 'p_a_allm': 13, 'p_a_min': 15, 'p_h_conj': 4, 'p_h_maj': 4, 'p_h_allm': 8, 'p_h_min': 5, 'mon_p_conj': 5, 'mon_p_maj': 6, 'mon_p_allm': 11, 'mon_p_min': 6, 'e': 1, 'all_conj': 15, 'all_maj': 17, 'p_a_mon_conj': 11}
Row 66: {'time': '1916-09-06 12:41:36', 'p_a_conj': 7, 'p_a_maj': 9, 'p_a_allm': 16, 'p_a_min': 11, 'p_h_conj': 0, 'p_h_maj': 6, 'p_h_allm': 6, 'p_h_min': 16, 'mon_p_conj': 4, 'mon_p_maj': 5, 'mon_p_allm': 9, 'mon_p_min': 7, 'e': 2, 'all_conj': 11, 'all_maj': 20, 'p_a_mon_conj': 11}
Row 132: {'time': '1916-09-06 23:40:08', 'p_a_conj': 8, 'p_a_maj': 3, 'p_a_allm': 11, 'p_a_min': 12, 'p_h_conj': 2, 'p_h_maj': 9, 'p_h_allm': 11, 'p_h_min': 2, 'mon_p_conj': 3, 'mon_p_maj': 6, 'mon_p_allm': 9, 'mon_p_min': 11, 'e': 0, 'all_conj': 13, 'all_maj': 18, 'p_a_mon_conj': 11}
Row 15: {'time': '1916-09-06 05:12:47', 'p_a_conj': 7, 'p_a_maj': 7, 'p_a_allm': 14, 'p_a_min': 10, 'p_h_conj': 1, 'p_h_maj': 5, 'p_h_allm': 6, 'p_h_min': 2, 'mon_p_conj': 3, 'mon_p_maj': 10, 'mon_p_allm': 13, 'mon_p_min': 2, 'e': 2, 'all_conj': 11, 'all_maj': 22, 'p_a_mon_conj': 10}
Row 31: {'time': '1916-09-06 12:40:16', 'p_a_conj': 6, 'p_a_maj': 6, 'p_a_allm': 12, 'p_a_min': 8, 'p_h_conj': 0, 'p_h_maj': 9, 'p_h_allm': 9, 'p_h_min': 10, 'mon_p_conj': 4, 'mon_p_maj': 5, 'mon_p_allm': 9, 'mon_p_min': 7, 'e': 2, 'all_conj': 10, 'all_maj': 20, 'p_a_mon_conj': 10}
Row 40: {'time': '1916-09-06 22:51:28', 'p_a_conj': 7, 'p_a_maj': 9, 'p_a_allm': 16, 'p_a_min': 5, 'p_h_conj': 1, 'p_h_maj': 4, 'p_h_allm': 5, 'p_h_min': 5, 'mon_p_conj': 3, 'mon_p_maj': 7, 'mon_p_allm': 10, 'mon_p_min': 9, 'e': 1, 'all_conj': 11, 'all_maj': 20, 'p_a_mon_conj': 10}
Row 106: {'time': '1916-09-06 07:23:43', 'p_a_conj': 5, 'p_a_maj': 9, 'p_a_allm': 14, 'p_a_min': 13, 'p_h_conj': 3, 'p_h_maj': 10, 'p_h_allm': 13, 'p_h_min': 7, 'mon_p_conj': 5, 'mon_p_maj': 3, 'mon_p_allm': 8, 'mon_p_min': 9, 'e': 2, 'all_conj': 13, 'all_maj': 22, 'p_a_mon_conj': 10}
Row 45: {'time': '1916-09-06 22:50:23', 'p_a_conj': 6, 'p_a_maj': 7, 'p_a_allm': 13, 'p_a_min': 6, 'p_h_conj': 1, 'p_h_maj': 4, 'p_h_allm': 5, 'p_h_min': 5, 'mon_p_conj': 3, 'mon_p_maj': 8, 'mon_p_allm': 11, 'mon_p_min': 10, 'e': 1, 'all_conj': 10, 'all_maj': 19, 'p_a_mon_conj': 9}
