['Time', '0: 1949-08-15', '1: 1952-01-21', '2: 1953-04-18', '3: 1953-06-25', '4: 1953-09-12', '5: 1956-08-23', '6: 1957-08-03', '7: 1957-11-27', '8: 1958-11-04', '9: 1960-11-25', '10: 1963-08-07', '11: 1963-08-09', '12: 1963-11-22', '13: 1964-06-15', '14: 1957-11-15', '15: 1968-03-15', '16: 1968-06-05', '17: 1968-10-20', '18: 1975-03-15', '19: 1994-05-20', 'Count']
['1929-07-27 20:00:00', "(Moon,13.290,(r)) (H10,193.450,(d)) (opposition,9.64')", "(Mercury,120.423,(r)) (H5,0.435,(c)) (trine,0.70')", '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 2]
['1929-07-27 20:00:08', '0', "(Mercury,120.423,(r)) (H5,0.467,(c)) (trine,2.63')", '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 1]
['1929-07-27 20:00:16', '0', "(Mercury,120.423,(r)) (H5,0.500,(c)) (trine,4.56')", '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 1]
['1929-07-27 20:00:24', '0', '1', '2', '3', "(Mars,164.246,(r)) (H5,44.178,(d)) (trine,4.10')", '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 1]
['1929-07-27 20:00:32', '0', '1', '2', '3', "(Mars,164.246,(r)) (H5,44.209,(d)) (trine,2.25')", '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 1]
['1929-07-27 20:00:39', '0', '1', '2', '3', "(Mars,164.246,(r)) (H5,44.239,(d)) (trine,0.41')", '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 1]
['1929-07-27 20:00:47', '0', '1', '2', '3', "(Mars,164.246,(r)) (H5,44.270,(d)) (trine,1.43')", '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 1]
['1929-07-27 20:00:56', '0', '1', '2', '3', "(Mars,164.246,(r)) (H5,44.301,(d)) (trine,3.27')", '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 1]
['1929-07-27 20:01:04', '0', '1', '2', '3', "(Mars,164.246,(r)) (H5,44.332,(d)) (trine,5.11')", '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 1]
['1929-07-27 20:01:12', '0', '1', '2', "(Mars,164.246,(r)) (H5,44.166,(d)) (trine,4.81')", '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 1]
['1929-07-27 20:01:20', '0', '1', '2', "(Mars,164.247,(r)) (H5,44.197,(d)) (trine,2.97')", '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 1]
['1929-07-27 20:01:28', '0', '1', '2', "(Mars,164.247,(r)) (H5,44.228,(d)) (trine,1.13')", '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 1]
['1929-07-27 20:01:36', '0', '1', '2', "(Mars,164.247,(r)) (H5,44.258,(d)) (trine,0.71')", '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 1]
['1929-07-27 20:01:44', '0', '1', '2', "(Mars,164.247,(r)) (H5,44.289,(d)) (trine,2.55')", '4', '5', '6', "(Pluto,108.354,(r)) (H5,48.287,(d)) (sextile,4.02')", '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 2]
['1929-07-27 20:01:52', '0', '1', '2', "(Mars,164.247,(r)) (H5,44.320,(d)) (trine,4.39')", '4', '5', '6', "(Pluto,108.354,(r)) (H5,48.318,(d)) (sextile,2.19')", '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 2]
['1929-07-27 20:02:00', '0', '1', "(Mars,164.247,(r)) (H5,44.182,(d)) (trine,3.89')", '3', '4', '5', '6', "(Pluto,108.354,(r)) (H5,48.348,(d)) (sextile,0.36')", '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 2]
['1929-07-27 20:02:08', '0', '1', "(Mars,164.247,(r)) (H5,44.213,(d)) (trine,2.05')", '3', '4', '5', '6', "(Pluto,108.354,(r)) (H5,48.379,(d)) (sextile,1.48')", '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 2]
