Row 1: {'time': '1916-09-07 03:34:15', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 1, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 3, 'h_p_allm': 4, 'h_p_min': 0, 'e': 10, 'all_conj': 4, 'all_maj': 4, 'a_p_p_a_conj': 3, 'a_p_h_p_all_m': 8}
Row 2: {'time': '1916-09-07 03:58:15', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 3, 'h_p_allm': 4, 'h_p_min': 0, 'e': 11, 'all_conj': 3, 'all_maj': 5, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 8}
Row 3: {'time': '1916-09-06 23:15:44', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 3, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 5, 'h_p_allm': 7, 'h_p_min': 0, 'e': 6, 'all_conj': 4, 'all_maj': 8, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 12}
Row 4: {'time': '1916-09-06 13:09:59', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 2, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 3, 'h_p_maj': 0, 'h_p_allm': 3, 'h_p_min': 0, 'e': 10, 'all_conj': 6, 'all_maj': 2, 'a_p_p_a_conj': 3, 'a_p_h_p_all_m': 8}
Row 5: {'time': '1916-09-06 19:28:55', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 4, 'a_p_maj': 1, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 5, 'h_p_maj': 2, 'h_p_allm': 7, 'h_p_min': 0, 'e': 11, 'all_conj': 9, 'all_maj': 3, 'a_p_p_a_conj': 4, 'a_p_h_p_all_m': 12}
Row 6: {'time': '1916-09-07 03:01:12', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 4, 'a_p_maj': 4, 'a_p_allm': 8, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 2, 'h_p_allm': 4, 'h_p_min': 0, 'e': 9, 'all_conj': 6, 'all_maj': 6, 'a_p_p_a_conj': 4, 'a_p_h_p_all_m': 12}
Row 7: {'time': '1916-09-06 09:09:44', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 2, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 0, 'e': 12, 'all_conj': 4, 'all_maj': 3, 'a_p_p_a_conj': 3, 'a_p_h_p_all_m': 7}
Row 8: {'time': '1916-09-06 16:47:19', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 5, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 0, 'e': 11, 'all_conj': 1, 'all_maj': 6, 'a_p_p_a_conj': 0, 'a_p_h_p_all_m': 7}
Row 9: {'time': '1916-09-06 23:24:56', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 4, 'a_p_maj': 2, 'a_p_allm': 6, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 5, 'h_p_maj': 1, 'h_p_allm': 6, 'h_p_min': 0, 'e': 8, 'all_conj': 9, 'all_maj': 3, 'a_p_p_a_conj': 4, 'a_p_h_p_all_m': 12}
Row 10: {'time': '1916-09-06 12:57:44', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 3, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 2, 'h_p_allm': 3, 'h_p_min': 0, 'e': 12, 'all_conj': 1, 'all_maj': 5, 'a_p_p_a_conj': 0, 'a_p_h_p_all_m': 6}
Row 11: {'time': '1916-09-07 02:46:39', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 1, 'h_p_allm': 3, 'h_p_min': 0, 'e': 11, 'all_conj': 3, 'all_maj': 3, 'a_p_p_a_conj': 1, 'a_p_h_p_all_m': 6}
Row 12: {'time': '1916-09-06 05:04:47', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 4, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'e': 12, 'all_conj': 1, 'all_maj': 4, 'a_p_p_a_conj': 1, 'a_p_h_p_all_m': 5}
Row 13: {'time': '1916-09-06 10:59:19', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 5, 'a_p_allm': 8, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'e': 10, 'all_conj': 3, 'all_maj': 5, 'a_p_p_a_conj': 3, 'a_p_h_p_all_m': 8}
Row 14: {'time': '1916-09-07 01:52:39', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_allm': 2, 'h_p_min': 0, 'e': 14, 'all_conj': 2, 'all_maj': 4, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 6}
Row 15: {'time': '1916-09-06 05:12:47', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 3, 'a_p_allm': 6, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_allm': 2, 'h_p_min': 0, 'e': 11, 'all_conj': 3, 'all_maj': 5, 'a_p_p_a_conj': 3, 'a_p_h_p_all_m': 8}
Row 16: {'time': '1916-09-06 21:10:15', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 6, 'a_p_allm': 8, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 4, 'h_p_maj': 4, 'h_p_allm': 8, 'h_p_min': 0, 'e': 6, 'all_conj': 6, 'all_maj': 10, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 16}
Row 17: {'time': '1916-09-06 15:13:51', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 4, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 5, 'h_p_maj': 2, 'h_p_allm': 7, 'h_p_min': 0, 'e': 8, 'all_conj': 6, 'all_maj': 6, 'a_p_p_a_conj': 1, 'a_p_h_p_all_m': 12}
Row 18: {'time': '1916-09-06 15:06:32', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 10, 'h_p_allm': 10, 'h_p_min': 0, 'e': 10, 'all_conj': 2, 'all_maj': 12, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 14}
Row 19: {'time': '1916-09-06 14:47:12', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 4, 'h_p_allm': 5, 'h_p_min': 0, 'e': 10, 'all_conj': 2, 'all_maj': 7, 'a_p_p_a_conj': 1, 'a_p_h_p_all_m': 9}
Row 20: {'time': '1916-09-06 13:39:19', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 0, 'e': 12, 'all_conj': 3, 'all_maj': 3, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 6}
Row 21: {'time': '1916-09-06 15:02:07', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'e': 13, 'all_conj': 2, 'all_maj': 3, 'a_p_p_a_conj': 1, 'a_p_h_p_all_m': 5}
Row 22: {'time': '1916-09-07 04:44:56', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 5, 'h_p_allm': 5, 'h_p_min': 0, 'e': 9, 'all_conj': 1, 'all_maj': 7, 'a_p_p_a_conj': 1, 'a_p_h_p_all_m': 8}
Row 23: {'time': '1916-09-06 20:46:16', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 4, 'a_p_maj': 8, 'a_p_allm': 12, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 3, 'h_p_maj': 4, 'h_p_allm': 7, 'h_p_min': 0, 'e': 7, 'all_conj': 7, 'all_maj': 12, 'a_p_p_a_conj': 4, 'a_p_h_p_all_m': 19}
Row 24: {'time': '1916-09-06 14:23:20', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 3, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 1, 'h_p_allm': 3, 'h_p_min': 0, 'e': 10, 'all_conj': 4, 'all_maj': 4, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 8}
Row 25: {'time': '1916-09-06 08:54:16', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 4, 'a_p_maj': 0, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_allm': 2, 'h_p_min': 0, 'e': 12, 'all_conj': 4, 'all_maj': 2, 'a_p_p_a_conj': 4, 'a_p_h_p_all_m': 6}
Row 26: {'time': '1916-09-06 11:26:39', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 2, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 5, 'h_p_allm': 6, 'h_p_min': 0, 'e': 10, 'all_conj': 4, 'all_maj': 7, 'a_p_p_a_conj': 3, 'a_p_h_p_all_m': 11}
Row 27: {'time': '1916-09-06 15:10:15', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 5, 'h_p_maj': 5, 'h_p_allm': 10, 'h_p_min': 0, 'e': 9, 'all_conj': 7, 'all_maj': 7, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 14}
Row 28: {'time': '1916-09-06 08:31:04', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 3, 'h_p_maj': 1, 'h_p_allm': 4, 'h_p_min': 0, 'e': 12, 'all_conj': 3, 'all_maj': 2, 'a_p_p_a_conj': 0, 'a_p_h_p_all_m': 5}
Row 29: {'time': '1916-09-07 00:59:43', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 3, 'h_p_maj': 2, 'h_p_allm': 5, 'h_p_min': 0, 'e': 9, 'all_conj': 4, 'all_maj': 5, 'a_p_p_a_conj': 1, 'a_p_h_p_all_m': 9}
Row 30: {'time': '1916-09-07 03:00:00', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 2, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 1, 'h_p_allm': 3, 'h_p_min': 0, 'e': 11, 'all_conj': 5, 'all_maj': 3, 'a_p_p_a_conj': 3, 'a_p_h_p_all_m': 8}
Row 31: {'time': '1916-09-06 12:40:16', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 3, 'h_p_allm': 4, 'h_p_min': 0, 'e': 12, 'all_conj': 2, 'all_maj': 3, 'a_p_p_a_conj': 1, 'a_p_h_p_all_m': 5}
Row 32: {'time': '1916-09-06 09:23:12', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'e': 14, 'all_conj': 1, 'all_maj': 2, 'a_p_p_a_conj': 1, 'a_p_h_p_all_m': 3}
