['Time', '0: 2009-03-19', '1: 2011-12-07', '2: 2012-03-06', '3: 2012-12-12', '4: 2013-12-12', '5: 2014-03-24', '6: 2015-05-27', '7: 2016-01-26', '8: 2016-05-27', '9: 2017-09-15', '10: 2017-09-22', '11: 2018-02-19', '12: 2019-05-22', '13: 2021-04-06', '14: 2021-07-10', '15: 2022-01-03', '16: 2022-05-25', '17: 2024-01-11', '18: 2024-03-08', '19: 2025-06-23', '20: 2025-07-24', '21: 2025-07-25', 'Count']
['2000-03-11 07:39:11', "(Mean_Node,121.343,(r)) (H4,121.516,(c)) (conjunction,10.33')", "(POF,101.660,(r)) (Venus,341.829,(p)) (trine,10.15')\n(H1,37.433,(r)) (Moon,217.546,(p)) (opposition,6.75')\n(H9,277.424,(r)) (Moon,217.546,(p)) (sextile,7.29')\n(Venus,327.326,(r)) (H9,267.374,(c)) (sextile,2.92')", "(Venus,327.326,(r)) (H9,267.162,(c)) (sextile,9.80')", "(H1,37.433,(r)) (Jupiter,37.415,(p)) (conjunction,1.10')\n(H9,277.424,(r)) (Jupiter,37.415,(p)) (trine,0.56')", '4', "(H3,97.424,(r)) (Mercury,337.492,(p)) (trine,4.05')\n(H7,217.433,(r)) (Mercury,337.492,(p)) (trine,3.50')", '6', "(Sun,351.041,(r)) (H3,111.142,(p)) (trine,6.09')\n(Moon,55.267,(r)) (H10,295.338,(c)) (trine,4.24')", '8', '9', '10', '11', '12', '13', '14', "(Uranus,318.699,(r)) (H3,78.626,(c)) (trine,4.33')", '16', "(H3,97.424,(r)) (Moon,6.990,(p)) (square,26.07')", "(POF,101.660,(r)) (Moon,101.543,(c)) (conjunction,7.01')\n(Uranus,317.380,(c)) (H1,17.477,(c)) (sextile,5.84')", '19', '20', "(Mercury,333.441,(r)) (H10,333.338,(p)) (conjunction,6.14')", 17]
['2000-03-11 08:40:00', "(Sun,0.066,(p)) (POF,240.090,(p)) (trine,1.41')\n(Sun,0.066,(p)) (H3,119.982,(p)) (trine,5.05')", "(H10,325.079,(r)) (Moon,265.150,(c)) (sextile,4.30')", '2', "(H1,50.652,(r)) (Moon,230.828,(p)) (opposition,10.59')\n(Jupiter,37.424,(p)) (H10,337.307,(p)) (sextile,7.04')\n(Moon,253.127,(c)) (H10,313.028,(c)) (sextile,5.96')", "(Saturn,42.136,(c)) (H10,312.088,(c)) (square,2.83')", '5', "(H8,260.195,(r)) (Moon,260.542,(p)) (conjunction,20.85')", '7', '8', '9', '10', "(Moon,188.239,(c)) (H4,128.154,(c)) (sextile,5.09')", "(Neptune,305.069,(c)) (H1,35.038,(c)) (square,1.87')", '13', "(Neptune,304.995,(c)) (H10,304.974,(c)) (conjunction,1.24')", '15', '16', "(Saturn,45.870,(p)) (H12,45.958,(p)) (conjunction,5.28')", "(Moon,9.701,(p)) (H1,69.530,(p)) (sextile,10.25')", "(Mercury,349.647,(p)) (H10,349.584,(p)) (conjunction,3.82')\n(Jupiter,30.028,(c)) (H1,29.871,(c)) (conjunction,9.44')", "(Mean_Node,121.341,(r)) (H10,301.179,(c)) (opposition,9.74')", "(Mercury,349.761,(p)) (H10,349.671,(p)) (conjunction,5.41')", 17]
['2000-03-11 13:46:23', "(H3,196.536,(r)) (Venus,316.493,(c)) (trine,2.57')", '1', "(POF,35.438,(c)) (H10,35.325,(c)) (conjunction,6.79')", '3', "(H1,121.742,(r)) (Mars,31.666,(p)) (square,4.57')", "(Mercury,333.348,(r)) (H4,213.327,(c)) (trine,1.22')\n(Mean_Node,121.330,(r)) (H3,181.294,(c)) (sextile,2.18')", "(Mean_Node,122.135,(c)) (H4,212.172,(c)) (square,2.21')", "(Mercury,346.349,(c)) (H1,106.264,(c)) (trine,5.10')\n(Jupiter,31.687,(c)) (H10,31.512,(c)) (conjunction,10.51')", "(Mean_Node,121.330,(r)) (H10,31.181,(c)) (square,8.92')\n(POF,189.287,(r)) (Mars,9.351,(c)) (opposition,3.85')", "(Jupiter,34.763,(r)) (H3,214.593,(p)) (opposition,10.21')\n(Venus,327.641,(r)) (POF,327.758,(c)) (conjunction,7.06')\n(H3,196.536,(r)) (Moon,196.770,(c)) (conjunction,14.06')", '10', '11', "(Neptune,306.167,(p)) (H9,36.273,(p)) (square,6.32')\n(Neptune,305.077,(c)) (POF,305.239,(c)) (conjunction,9.75')", '13', '14', "(H3,196.536,(r)) (Moon,136.985,(c)) (sextile,26.97')\n(H10,46.634,(r)) (Mercury,346.530,(c)) (sextile,6.23')", '16', "(Mercury,345.276,(c)) (H12,75.145,(c)) (square,7.84')", "(Venus,327.641,(r)) (H1,147.738,(p)) (opposition,5.81')", "(H3,196.536,(r)) (Sun,16.357,(p)) (opposition,10.73')", "(H3,196.536,(r)) (Sun,16.440,(p)) (opposition,5.72')", "(H3,196.536,(r)) (Sun,16.443,(p)) (opposition,5.55')", 22]
['2000-03-11 10:27:19', '0', "(H9,319.324,(r)) (Uranus,319.275,(p)) (conjunction,2.90')", "(H9,319.324,(r)) (Uranus,319.287,(p)) (conjunction,2.22')", "(H9,319.324,(r)) (Uranus,319.322,(p)) (conjunction,0.12')\n(H1,73.899,(r)) (Moon,254.015,(c)) (opposition,6.94')", '4', "(Mercury,333.397,(r)) (H3,153.463,(p)) (opposition,3.94')", '6', '7', '8', "(Mean_Node,122.265,(c)) (H3,122.271,(c)) (conjunction,0.35')", '10', "(H4,173.753,(r)) (Moon,293.804,(p)) (trine,3.07')", "(POF,139.644,(r)) (Uranus,319.602,(p)) (opposition,2.52')", '13', "(POF,139.644,(r)) (Uranus,319.690,(p)) (opposition,2.75')", "(Moon,341.643,(p)) (H3,161.541,(p)) (opposition,6.11')", '16', '17', "(Mercury,333.397,(r)) (H1,93.556,(p)) (trine,9.55')", "(Jupiter,34.735,(r)) (H1,94.660,(p)) (sextile,4.49')\n(Uranus,318.705,(r)) (H10,18.787,(p)) (sextile,4.92')", '20', "(Jupiter,34.735,(r)) (H1,94.735,(p)) (sextile,0.02')\n(Uranus,318.705,(r)) (H10,18.872,(p)) (sextile,10.07')", 15]
['2000-03-11 07:14:55', '0', "(Venus,341.808,(p)) (H9,281.764,(p)) (sextile,2.62')", "(Venus,342.112,(p)) (H9,281.975,(p)) (sextile,8.24')\n(Moon,261.539,(c)) (H9,261.612,(c)) (conjunction,4.37')", "(H1,32.108,(r)) (Jupiter,32.210,(c)) (conjunction,6.16')", '4', "(H3,91.800,(r)) (Mars,31.672,(p)) (sextile,7.68')", "(H1,32.108,(r)) (Mean_Node,122.150,(c)) (square,2.53')", '7', "(Saturn,44.995,(p)) (H1,45.009,(p)) (conjunction,0.80')", "(Moon,287.118,(p)) (H3,106.735,(p)) (opposition,23.01')\n(Uranus,319.525,(p)) (H10,319.600,(p)) (conjunction,4.47')\n(Uranus,317.749,(c)) (H1,17.613,(c)) (sextile,8.14')", "(Uranus,319.526,(p)) (H10,319.618,(p)) (conjunction,5.48')", '11', '12', '13', '14', "(Moon,133.031,(c)) (H3,73.085,(c)) (sextile,3.26')", '16', '17', "(Sun,351.024,(r)) (H1,51.137,(p)) (sextile,6.78')", "(Moon,26.837,(p)) (H10,326.885,(p)) (sextile,2.88')", '20', '21', 14]
['2000-03-11 12:09:04', '0', "(Mean_Node,120.712,(p)) (H9,0.579,(p)) (trine,7.94')\n(Moon,266.869,(c)) (H1,86.862,(c)) (opposition,0.46')", "(Venus,327.557,(r)) (POF,327.500,(p)) (conjunction,3.41')\n(Mean_Node,120.698,(p)) (H9,0.842,(p)) (trine,8.63')\n(POF,163.618,(r)) (Mercury,343.466,(c)) (opposition,9.11')", '3', '4', "(Jupiter,34.749,(r)) (H4,214.859,(p)) (opposition,6.58')", "(Neptune,306.080,(p)) (H4,215.962,(p)) (square,7.10')", "(Sun,351.228,(r)) (H1,111.221,(p)) (trine,0.40')\n(H1,96.954,(r)) (Moon,216.929,(c)) (trine,1.51')", "(Mars,21.455,(r)) (H1,111.534,(p)) (square,4.70')", '9', '10', '11', "(H1,96.954,(r)) (Mars,7.043,(c)) (square,5.34')", '13', '14', "(Moon,342.557,(p)) (H10,42.108,(p)) (sextile,26.96')", "(H9,348.028,(r)) (Moon,347.635,(p)) (conjunction,23.54')", "(H3,168.028,(r)) (Mercury,347.990,(p)) (opposition,2.25')", "(H3,168.028,(r)) (Mercury,348.186,(p)) (opposition,9.47')", '19', '20', '21', 15]
['2000-03-11 15:29:12', "(Uranus,319.159,(p)) (H4,259.138,(p)) (sextile,1.26')", "(POF,221.233,(r)) (Moon,221.668,(p)) (conjunction,26.14')\n(Mercury,333.323,(r)) (H9,33.368,(c)) (sextile,2.71')", "(H9,45.164,(r)) (Moon,224.768,(p)) (opposition,23.74')\n(Uranus,318.715,(r)) (H1,138.686,(c)) (opposition,1.75')", "(Jupiter,32.274,(c)) (H9,32.310,(c)) (conjunction,2.15')", '4', "(H3,225.164,(r)) (Venus,345.065,(p)) (trine,5.94')\n(H3,225.164,(r)) (Mercury,345.115,(c)) (trine,2.90')", "(Moon,263.908,(p)) (H4,264.325,(p)) (conjunction,25.06')", '7', '8', '9', '10', "(Moon,192.038,(c)) (H7,311.945,(c)) (trine,5.59')", '12', '13', '14', "(Moon,59.841,(r)) (H1,179.773,(p)) (trine,4.08')", '16', '17', "(H3,225.164,(r)) (Mercury,345.210,(c)) (trine,2.80')", "(Uranus,318.715,(r)) (H3,198.747,(c)) (trine,1.91')", "(POF,221.233,(r)) (Saturn,41.351,(c)) (opposition,7.09')", "(H1,152.759,(r)) (Moon,32.901,(p)) (trine,8.52')\n(Moon,32.901,(p)) (H10,92.831,(p)) (sextile,4.20')\n(Uranus,318.715,(r)) (H3,198.649,(c)) (trine,3.98')", 17]
['2000-03-11 11:49:12', "(H3,162.259,(r)) (Sun,342.184,(c)) (opposition,4.47')", "(Venus,327.540,(r)) (H10,27.483,(p)) (sextile,3.42')\n(Uranus,319.278,(p)) (POF,319.323,(p)) (conjunction,2.72')", "(Venus,327.540,(r)) (H10,27.719,(p)) (sextile,10.74')\n(H9,342.259,(r)) (Venus,342.347,(p)) (conjunction,5.30')\n(Moon,222.854,(p)) (H1,102.693,(p)) (trine,9.62')\n(H1,92.289,(r)) (Jupiter,32.390,(c)) (sextile,6.03')", "(Venus,343.297,(p)) (H1,103.378,(p)) (trine,4.86')\n(H1,92.289,(r)) (Jupiter,32.246,(c)) (sextile,2.60')", "(Moon,57.699,(r)) (H12,57.551,(c)) (conjunction,8.88')", "(Venus,327.540,(r)) (H3,147.469,(c)) (opposition,4.27')", "(Mars,21.445,(r)) (H8,291.372,(c)) (square,4.41')", '7', '8', "(H10,16.051,(r)) (Moon,195.697,(c)) (opposition,21.29')", '10', "(Mercury,333.377,(r)) (H4,213.386,(p)) (trine,0.57')\n(Mean_Node,121.334,(r)) (H3,181.360,(p)) (sextile,1.55')\n(Moon,57.699,(r)) (H4,177.828,(c)) (trine,7.76')", '12', "(Neptune,306.203,(p)) (H4,216.330,(p)) (square,7.61')", '14', "(H3,162.259,(r)) (Moon,342.379,(p)) (opposition,7.21')\n(H10,16.051,(r)) (Moon,135.802,(c)) (trine,14.94')", '16', "(Mars,38.961,(p)) (H10,38.919,(p)) (conjunction,2.55')\n(Uranus,318.707,(r)) (H12,48.884,(c)) (square,10.57')\n(Uranus,317.399,(c)) (H3,137.254,(c)) (opposition,8.67')", '18', "(Jupiter,40.260,(p)) (H10,40.269,(p)) (conjunction,0.56')", "(H1,92.289,(r)) (Mars,2.346,(c)) (square,3.39')", "(Jupiter,40.280,(p)) (H10,40.350,(p)) (conjunction,4.25')", 25]
['2000-03-11 09:58:56', '0', '1', '2', "(Mercury,333.404,(r)) (H10,333.356,(c)) (conjunction,2.90')\n(H9,311.767,(r)) (Venus,311.683,(c)) (conjunction,5.06')", '4', "(Moon,238.484,(c)) (H3,118.454,(c)) (trine,1.75')\n(Jupiter,31.995,(c)) (H4,152.085,(c)) (trine,5.38')\n(Uranus,317.950,(c)) (POF,317.851,(c)) (conjunction,5.94')", '6', "(Venus,327.446,(r)) (H3,147.376,(p)) (opposition,4.14')\n(Moon,56.626,(r)) (H3,116.728,(c)) (sextile,6.09')\n(H1,67.710,(r)) (Venus,307.828,(c)) (trine,7.06')", '8', '9', '10', '11', "(Mars,21.388,(r)) (POF,21.473,(p)) (conjunction,5.11')\n(H9,311.767,(r)) (Saturn,41.739,(c)) (square,1.71')", '13', '14', "(Mercury,333.404,(r)) (H3,153.425,(p)) (opposition,1.22')\n(Sun,351.138,(r)) (H3,111.179,(c)) (trine,2.45')", "(H10,346.033,(r)) (Moon,346.453,(p)) (conjunction,25.24')\n(H10,346.033,(r)) (Mercury,345.890,(p)) (conjunction,8.54')", '17', '18', "(Moon,28.435,(p)) (H1,88.089,(p)) (sextile,20.80')", '20', '21', 15]
['2000-03-11 05:48:23', "(Sun,350.964,(r)) (H4,110.897,(p)) (trine,4.03')", "(H1,12.866,(r)) (Venus,312.722,(c)) (sextile,8.60')\n(Mean_Node,121.969,(c)) (H9,241.999,(c)) (trine,1.80')", '2', "(Moon,54.191,(r)) (H10,294.102,(p)) (trine,5.30')\n(H9,252.002,(r)) (Moon,251.707,(c)) (conjunction,17.69')\n(Jupiter,32.199,(c)) (H10,272.269,(c)) (trine,4.20')", '4', '5', "(Moon,54.191,(r)) (H8,234.185,(p)) (opposition,0.33')\n(H8,221.624,(r)) (Moon,221.965,(c)) (conjunction,20.44')", '7', '8', "(Venus,327.231,(r)) (H1,27.080,(p)) (sextile,9.03')\n(H1,12.866,(r)) (Moon,192.375,(c)) (opposition,29.42')\n(H3,72.002,(r)) (Moon,192.375,(c)) (trine,22.40')", '10', '11', '12', "(Mean_Node,121.347,(r)) (H4,121.330,(p)) (conjunction,1.04')", '14', "(H3,72.002,(r)) (Moon,132.156,(c)) (sextile,9.22')", "(Moon,54.191,(r)) (H1,354.123,(c)) (sextile,4.03')", "(Moon,5.943,(p)) (H12,5.807,(p)) (conjunction,8.22')\n(Moon,54.191,(r)) (H12,324.076,(c)) (square,6.88')", "(Sun,350.964,(r)) (H3,51.097,(c)) (sextile,7.97')", "(Mercury,333.470,(r)) (H1,33.316,(p)) (sextile,9.25')\n(Moon,81.708,(c)) (H10,261.239,(c)) (opposition,28.17')", '20', "(Mercury,333.470,(r)) (H1,33.386,(p)) (sextile,5.03')", 20]
