['Time', '0: 1949-08-15', '1: 1952-01-21', '2: 1953-04-18', '3: 1953-06-25', '4: 1953-09-12', '5: 1956-08-23', '6: 1957-08-03', '7: 1957-11-27', '8: 1958-11-04', '9: 1960-11-25', '10: 1963-08-07', '11: 1963-08-09', '12: 1963-11-22', '13: 1964-06-15', '14: 1957-11-15', '15: 1968-03-15', '16: 1968-06-05', '17: 1968-10-20', '18: 1975-03-15', '19: 1994-05-20', 'Count']
['1929-07-28 03:42:56', "(Venus,81.099,(r)) (H10,306.046,(d)) (135-sesquisquare,3')", "(H7,211.380,(r)) (Jupiter,91.333,(d)) (trine,3')\n(Pluto,108.362,(r)) (H5,108.216,(c)) (conjunction,9')", "(Pluto,108.362,(r)) (H7,243.305,(d)) (135-sesquisquare,3')\n(H5,130.990,(r)) (Pluto,130.829,(d)) (conjunction,10')", "(H5,130.990,(r)) (Pluto,131.011,(d)) (conjunction,1')\n(H10,287.215,(r)) (Uranus,47.268,(d)) (trine,3')", "(Venus,81.099,(r)) (H7,171.091,(c)) (square,0')", '5', "(Mars,164.445,(r)) (H1,344.513,(c)) (opposition,4')", '7', "(Jupiter,69.461,(r)) (H1,69.540,(d)) (conjunction,5')\n(H10,287.215,(r)) (Moon,62.200,(d)) (135-sesquisquare,1')", "(H1,31.380,(r)) (Moon,331.399,(c)) (sextile,1')\n(H1,31.380,(r)) (Mean_Node,1.306,(c)) (30-semisextile,4')", "(Sun,124.570,(r)) (H1,334.659,(c)) (150-quincunx,5')\n(H1,31.380,(r)) (Jupiter,31.470,(c)) (conjunction,5')", "(H7,211.380,(r)) (H12,31.379,(d)) (opposition,0')\n(Sun,124.570,(r)) (H7,154.650,(c)) (30-semisextile,5')", '12', "(H9,266.177,(r)) (Saturn,296.175,(d)) (30-semisextile,0')\n(H10,287.215,(r)) (Neptune,197.200,(d)) (square,1')\n(Pluto,108.362,(r)) (H1,333.292,(c)) (135-sesquisquare,4')", '14', "(H10,287.215,(r)) (Sun,167.190,(d)) (trine,2')", "(Sun,124.570,(r)) (H1,79.481,(d)) (45-semisquare,5')\n(Saturn,264.682,(r)) (H10,324.667,(d)) (sextile,1')\n(H10,287.215,(r)) (Neptune,107.178,(c)) (opposition,2')", '17', "(Sun,124.570,(r)) (H5,184.531,(d)) (sextile,2')", "(Mean_Node,47.243,(r)) (H10,227.246,(c)) (opposition,0')", 391]
['1929-07-28 12:52:24', '0', "(H5,282.328,(r)) (Venus,102.310,(d)) (opposition,1')\n(H10,68.163,(r)) (Pluto,128.195,(d)) (sextile,2')\n(H5,282.328,(r)) (Mercury,102.210,(c)) (opposition,7')", '2', '3', '4', '5', "(Moon,22.500,(r)) (H12,157.438,(d)) (135-sesquisquare,4')\n(H8,5.582,(r)) (Uranus,35.536,(d)) (30-semisextile,3')", '7', '8', "(H4,248.163,(r)) (Jupiter,98.166,(d)) (150-quincunx,0')\n(Mean_Node,47.223,(r)) (H1,137.157,(c)) (square,4')\n(H4,248.163,(r)) (Sun,98.082,(c)) (150-quincunx,5')", "(H1,161.339,(r)) (Mars,191.295,(d)) (30-semisextile,3')\n(H1,161.339,(r)) (Uranus,341.479,(c)) (opposition,8')", "(H7,341.339,(r)) (Mars,191.300,(d)) (150-quincunx,2')\n(H7,341.339,(r)) (Uranus,341.474,(c)) (conjunction,8')", "(Sun,124.935,(r)) (H4,214.857,(c)) (square,5')\n(Neptune,150.132,(r)) (H12,105.174,(c)) (45-semisquare,3')\n(H7,341.339,(r)) (Uranus,341.224,(c)) (conjunction,7')", "(H1,161.339,(r)) (Saturn,296.387,(d)) (135-sesquisquare,3')\n(H1,161.339,(r)) (Uranus,41.392,(d)) (trine,3')\n(Mercury,121.907,(r)) (H9,1.958,(c)) (trine,3')\n(Mars,164.681,(r)) (H12,104.692,(c)) (sextile,1')", '14', "(Jupiter,69.529,(r)) (H9,69.498,(d)) (conjunction,2')\n(Uranus,11.331,(r)) (H1,191.467,(d)) (opposition,8')\n(H10,68.163,(r)) (Sun,158.170,(d)) (square,0')", "(Uranus,11.331,(r)) (H1,131.366,(c)) (trine,2')\n(Uranus,11.331,(r)) (H12,101.280,(c)) (square,3')\n(Neptune,150.132,(r)) (H10,30.206,(c)) (trine,4')", "(Mean_Node,47.223,(r)) (H5,317.265,(d)) (square,3')", "(H8,5.582,(r)) (Uranus,50.496,(d)) (45-semisquare,5')", "(Neptune,150.132,(r)) (H8,60.200,(d)) (square,4')", 396]
['1929-07-27 22:00:15', '0', "(Mean_Node,47.256,(r)) (H10,227.390,(d)) (opposition,8')\n(Mercury,120.599,(r)) (H10,180.652,(c)) (sextile,3')\n(Mars,164.298,(r)) (H5,29.368,(c)) (135-sesquisquare,4')", '2', "(H7,90.645,(r)) (Pluto,135.694,(d)) (45-semisquare,3')", "(Uranus,11.336,(r)) (H5,71.344,(d)) (sextile,0')", '5', "(H1,270.645,(r)) (Moon,45.558,(d)) (135-sesquisquare,5')\n(Saturn,264.693,(r)) (H10,174.709,(c)) (square,1')\n(Mean_Node,47.256,(r)) (H12,227.422,(c)) (opposition,10')\n(H1,270.645,(r)) (Saturn,240.599,(c)) (30-semisextile,3')", '7', '8', "(H1,270.645,(r)) (Uranus,45.638,(d)) (135-sesquisquare,0')\n(Sun,124.343,(r)) (H1,244.409,(c)) (trine,4')\n(H1,270.645,(r)) (Mercury,90.691,(c)) (opposition,3')", "(Pluto,108.356,(r)) (H4,348.276,(c)) (trine,5')", "(Saturn,264.693,(r)) (H8,174.633,(d)) (square,4')\n(Sun,124.343,(r)) (H8,94.376,(c)) (30-semisextile,2')\n(Pluto,108.356,(r)) (H4,348.270,(c)) (trine,5')", "(Pluto,108.356,(r)) (H5,18.272,(c)) (square,5')", '13', '14', '15', '16', '17', "(Uranus,11.336,(r)) (H8,191.209,(d)) (opposition,8')\n(H7,90.645,(r)) (H5,90.501,(d)) (conjunction,9')", "(Moon,14.376,(r)) (H12,314.302,(d)) (sextile,4')\n(Mars,164.298,(r)) (H12,314.302,(d)) (150-quincunx,0')", 280]
['1929-07-27 22:58:47', '0', '1', '2', "(H5,63.178,(r)) (H10,243.047,(d)) (opposition,8')\n(H10,219.842,(r)) (Uranus,39.673,(d)) (opposition,10')\n(Moon,14.906,(r)) (H10,195.059,(c)) (opposition,9')", "(H5,63.178,(r)) (H10,243.251,(d)) (opposition,4')\n(H10,219.842,(r)) (Uranus,39.912,(d)) (opposition,4')\n(H10,219.842,(r)) (Mean_Node,69.751,(d)) (150-quincunx,5')\n(Moon,14.906,(r)) (H10,194.829,(c)) (opposition,5')\n(H7,105.023,(r)) (Mars,135.104,(c)) (30-semisextile,5')\n(H10,219.842,(r)) (Pluto,84.845,(c)) (135-sesquisquare,0')", '5', "(H10,219.842,(r)) (Neptune,189.835,(d)) (30-semisextile,0')", "(H5,63.178,(r)) (Mercury,93.224,(c)) (30-semisextile,3')", "(Venus,80.884,(r)) (H1,320.933,(d)) (trine,3')\n(Jupiter,69.426,(r)) (H10,189.341,(c)) (trine,5')\n(H3,9.245,(r)) (H10,189.341,(c)) (opposition,6')", "(H4,39.842,(r)) (Moon,339.814,(c)) (sextile,2')", '10', "(H5,63.178,(r)) (Neptune,198.221,(d)) (135-sesquisquare,3')\n(H8,148.140,(r)) (H7,148.061,(d)) (conjunction,5')\n(H8,148.140,(r)) (Mercury,88.050,(c)) (sextile,5')", "(Pluto,108.357,(r)) (H8,108.464,(c)) (conjunction,6')\n(H8,148.140,(r)) (Mean_Node,13.056,(c)) (135-sesquisquare,5')", "(H1,285.023,(r)) (Uranus,330.111,(c)) (45-semisquare,5')", '14', '15', '16', "(Mean_Node,47.254,(r)) (H10,257.212,(d)) (150-quincunx,3')\n(H10,219.842,(r)) (Sun,84.843,(c)) (135-sesquisquare,0')", "(Mars,164.323,(r)) (H5,104.258,(d)) (sextile,4')\n(H4,39.842,(r)) (Saturn,309.792,(d)) (square,3')", "(Pluto,108.357,(r)) (H12,333.390,(d)) (135-sesquisquare,2')", 358]
['1929-07-28 01:39:51', '0', "(Mean_Node,47.248,(r)) (H7,197.212,(d)) (150-quincunx,2')\n(Sun,124.488,(r)) (H5,79.520,(c)) (45-semisquare,2')", "(Sun,124.488,(r)) (H7,124.624,(c)) (conjunction,8')\n(Pluto,108.360,(r)) (H5,78.420,(c)) (30-semisextile,4')\n(H5,99.877,(r)) (Sun,99.856,(c)) (conjunction,1')", "(Sun,124.488,(r)) (H7,124.390,(c)) (conjunction,6')\n(H10,258.791,(r)) (Mean_Node,18.782,(c)) (trine,1')", "(Uranus,11.335,(r)) (H10,236.344,(c)) (135-sesquisquare,1')", "(Saturn,264.686,(r)) (H1,24.721,(d)) (trine,2')\n(Mean_Node,47.248,(r)) (H8,167.159,(c)) (trine,5')\n(H8,205.415,(r)) (Neptune,115.456,(c)) (square,2')", "(H1,339.075,(r)) (H12,339.080,(d)) (conjunction,0')\n(Mars,164.392,(r)) (H1,299.369,(c)) (135-sesquisquare,1')", "(Mars,164.392,(r)) (H5,74.338,(c)) (square,3')\n(H1,339.075,(r)) (Moon,338.973,(c)) (conjunction,6')\n(H5,99.877,(r)) (Venus,54.876,(c)) (45-semisquare,0')", '8', "(Mean_Node,47.248,(r)) (H4,107.244,(d)) (sextile,0')", "(H5,99.877,(r)) (Pluto,144.848,(d)) (45-semisquare,2')\n(Jupiter,69.446,(r)) (H5,69.310,(c)) (conjunction,8')", "(H5,99.877,(r)) (Pluto,144.854,(d)) (45-semisquare,1')", '12', "(H9,235.920,(r)) (Pluto,145.871,(d)) (square,3')", "(Jupiter,69.446,(r)) (H9,204.491,(c)) (135-sesquisquare,3')\n(H1,339.075,(r)) (Moon,339.019,(c)) (conjunction,3')", '15', "(Uranus,11.335,(r)) (H8,251.245,(d)) (trine,5')\n(H8,205.415,(r)) (Sun,175.404,(d)) (30-semisextile,1')\n(Mean_Node,47.248,(r)) (H1,287.224,(c)) (trine,1')\n(H10,258.791,(r)) (Saturn,228.854,(c)) (30-semisextile,4')", '17', "(H7,159.075,(r)) (Pluto,159.074,(d)) (conjunction,0')\n(H8,205.415,(r)) (Uranus,70.449,(d)) (135-sesquisquare,2')\n(Sun,124.488,(r)) (H12,259.545,(c)) (135-sesquisquare,3')", "(Mars,164.392,(r)) (H8,119.459,(c)) (45-semisquare,4')\n(Neptune,150.116,(r)) (H10,195.127,(c)) (45-semisquare,1')\n(Pluto,108.360,(r)) (H12,243.283,(c)) (135-sesquisquare,5')", 441]
['1929-07-28 09:06:00', "(Mercury,121.575,(r)) (H10,31.570,(d)) (square,0')", '1', "(Uranus,11.332,(r)) (H5,251.328,(d)) (trine,0')", '3', "(H5,227.169,(r)) (Moon,47.057,(d)) (opposition,7')\n(H7,296.815,(r)) (Mean_Node,71.772,(d)) (135-sesquisquare,3')\n(Mars,164.583,(r)) (H10,344.655,(c)) (opposition,4')", "(Pluto,108.368,(r)) (H12,108.414,(d)) (conjunction,3')", "(Saturn,264.672,(r)) (H10,39.669,(d)) (135-sesquisquare,0')", "(Mars,164.583,(r)) (H5,194.537,(c)) (30-semisextile,3')", "(H3,160.370,(r)) (Uranus,340.213,(c)) (opposition,9')", '9', "(H1,116.815,(r)) (Moon,56.903,(d)) (sextile,5')\n(H5,227.169,(r)) (Venus,47.298,(c)) (opposition,8')", "(Pluto,108.368,(r)) (H8,288.217,(c)) (opposition,9')", "(H5,227.169,(r)) (Uranus,47.126,(d)) (opposition,3')", "(Pluto,108.368,(r)) (H10,333.337,(c)) (135-sesquisquare,2')", "(H9,340.370,(r)) (H10,340.234,(c)) (conjunction,8')", "(H1,116.815,(r)) (Venus,116.846,(d)) (conjunction,2')\n(Sun,124.785,(r)) (H9,304.937,(c)) (opposition,9')", "(Moon,20.428,(r)) (H10,50.391,(d)) (30-semisextile,2')", "(H5,227.169,(r)) (Sun,92.177,(c)) (135-sesquisquare,0')", "(H8,316.631,(r)) (Mean_Node,91.715,(d)) (135-sesquisquare,5')\n(Mean_Node,47.231,(r)) (H7,257.160,(c)) (150-quincunx,4')", "(H1,116.815,(r)) (Sun,176.761,(d)) (sextile,3')\n(H8,316.631,(r)) (Mars,226.620,(d)) (square,1')", 323]
['1929-07-28 12:39:27', '0', "(Venus,81.505,(r)) (H7,321.430,(c)) (trine,4')", '2', "(H5,279.409,(r)) (Pluto,129.354,(d)) (150-quincunx,3')", "(H5,279.409,(r)) (Mean_Node,69.384,(d)) (150-quincunx,1')", "(Pluto,108.372,(r)) (H12,108.538,(c)) (conjunction,10')", "(H10,65.101,(r)) (Saturn,290.148,(d)) (135-sesquisquare,3')\n(Mean_Node,47.224,(r)) (H1,137.175,(c)) (square,3')\n(H1,158.787,(r)) (H8,338.757,(c)) (opposition,2')\n(H10,65.101,(r)) (Mean_Node,20.135,(c)) (45-semisquare,2')", '7', "(Mercury,121.888,(r)) (H10,91.847,(d)) (30-semisextile,2')", "(H5,279.409,(r)) (Mars,189.445,(d)) (square,2')\n(Mars,164.675,(r)) (H1,134.627,(c)) (30-semisextile,3')", "(Jupiter,69.528,(r)) (H5,309.593,(d)) (trine,4')", "(Saturn,264.665,(r)) (H5,309.598,(d)) (45-semisquare,4')", "(Pluto,108.372,(r)) (H8,333.408,(c)) (135-sesquisquare,2')\n(H8,2.757,(r)) (Neptune,122.764,(c)) (trine,0')", "(Pluto,108.372,(r)) (H9,63.279,(d)) (45-semisquare,6')", '14', "(H9,31.783,(r)) (Sun,91.717,(c)) (sextile,4')\n(H9,31.783,(r)) (Moon,346.871,(c)) (45-semisquare,5')\n(H9,31.783,(r)) (Jupiter,31.687,(c)) (conjunction,6')", '16', '17', "(Uranus,11.331,(r)) (H5,236.314,(c)) (135-sesquisquare,1')\n(H7,338.787,(r)) (Neptune,113.695,(c)) (135-sesquisquare,5')", "(Pluto,108.372,(r)) (H1,108.419,(c)) (conjunction,3')", 266]
['1929-07-28 10:23:12', "(Moon,21.133,(r)) (H10,51.196,(d)) (30-semisextile,4')\n(H10,31.143,(r)) (Uranus,31.204,(d)) (conjunction,4')\n(H10,31.143,(r)) (Moon,1.161,(c)) (30-semisextile,1')", "(Jupiter,69.511,(r)) (H7,294.563,(c)) (135-sesquisquare,3')", '2', "(H7,312.067,(r)) (Moon,357.150,(c)) (45-semisquare,5')", '4', "(Sun,124.836,(r)) (H12,124.843,(d)) (conjunction,0')\n(H8,333.122,(r)) (Mean_Node,18.148,(c)) (45-semisquare,2')", "(Saturn,264.669,(r)) (H8,309.651,(c)) (45-semisquare,1')", "(H1,132.067,(r)) (Pluto,131.951,(d)) (conjunction,7')", '8', "(Moon,21.133,(r)) (H1,156.208,(d)) (135-sesquisquare,4')\n(H1,132.067,(r)) (Uranus,41.983,(d)) (square,5')", "(H4,211.143,(r)) (H5,211.074,(c)) (conjunction,4')", "(Mean_Node,47.229,(r)) (H8,2.220,(d)) (45-semisquare,1')\n(H4,211.143,(r)) (H5,211.068,(c)) (conjunction,5')", "(Sun,124.836,(r)) (H4,244.785,(d)) (trine,3')\n(Saturn,264.669,(r)) (H4,174.743,(c)) (square,4')\n(H5,247.354,(r)) (Uranus,337.329,(c)) (square,2')", "(Uranus,11.332,(r)) (H12,131.337,(d)) (trine,0')\n(Mars,164.616,(r)) (H1,104.554,(c)) (sextile,4')\n(H10,31.143,(r)) (Neptune,121.193,(c)) (square,3')", '14', '15', "(Mars,164.616,(r)) (H12,134.644,(d)) (30-semisextile,2')\n(Sun,124.836,(r)) (H10,349.883,(c)) (135-sesquisquare,3')\n(Uranus,11.332,(r)) (H1,101.251,(c)) (square,5')", "(Jupiter,69.511,(r)) (H10,69.353,(d)) (conjunction,9')", "(Mean_Node,47.229,(r)) (H7,347.315,(d)) (sextile,5')\n(H5,247.354,(r)) (Neptune,112.282,(c)) (135-sesquisquare,4')\n(H7,312.067,(r)) (Mean_Node,357.135,(c)) (45-semisquare,4')", "(Mean_Node,47.229,(r)) (H1,182.285,(d)) (135-sesquisquare,3')\n(H1,132.067,(r)) (Pluto,162.115,(d)) (30-semisextile,3')\n(H8,333.122,(r)) (Mars,108.122,(c)) (135-sesquisquare,0')", 387]
['1929-07-28 16:02:23', "(Uranus,11.330,(r)) (H10,131.337,(d)) (trine,0')\n(H1,199.007,(r)) (Mean_Node,63.936,(d)) (135-sesquisquare,4')", "(Sun,125.061,(r)) (H5,305.210,(c)) (opposition,9')", '2', "(H10,112.250,(r)) (Mean_Node,67.175,(d)) (45-semisquare,5')\n(H5,325.589,(r)) (Mercury,100.516,(c)) (135-sesquisquare,4')", "(H5,325.589,(r)) (Mercury,145.571,(d)) (opposition,1')", '5', "(H8,46.484,(r)) (Moon,1.418,(c)) (45-semisquare,4')", '7', "(H3,258.067,(r)) (Venus,107.978,(d)) (150-quincunx,5')", '9', '10', '11', "(H5,325.589,(r)) (H4,325.597,(d)) (conjunction,0')\n(Saturn,264.658,(r)) (H5,294.705,(c)) (30-semisextile,3')", "(Saturn,264.658,(r)) (H12,204.660,(d)) (sextile,0')", '14', '15', "(Neptune,150.136,(r)) (H10,150.253,(d)) (conjunction,7')", "(Pluto,108.375,(r)) (H7,348.413,(c)) (trine,2')", "(Mars,164.762,(r)) (H5,284.713,(c)) (trine,3')", "(Moon,24.245,(r)) (H1,249.287,(d)) (135-sesquisquare,3')\n(Neptune,150.136,(r)) (H12,120.172,(c)) (30-semisextile,2')", 189]
['1929-07-27 23:02:31', "(Jupiter,69.426,(r)) (H1,309.463,(d)) (trine,2')\n(H1,286.008,(r)) (Sun,150.946,(d)) (135-sesquisquare,4')", '1', "(Mars,164.324,(r)) (H7,134.414,(d)) (30-semisextile,5')", "(H5,64.019,(r)) (H10,243.938,(d)) (opposition,5')", "(Moon,14.940,(r)) (H7,134.970,(d)) (trine,2')\n(H5,64.019,(r)) (H10,244.141,(d)) (opposition,7')", "(H1,286.008,(r)) (Saturn,240.977,(c)) (45-semisquare,2')", '6', "(Venus,80.886,(r)) (H1,320.952,(d)) (trine,4')\n(Uranus,11.336,(r)) (H4,11.357,(c)) (conjunction,1')\n(H5,64.019,(r)) (Mean_Node,19.075,(c)) (45-semisquare,3')", "(H3,10.404,(r)) (H10,190.357,(c)) (opposition,3')", "(H1,286.008,(r)) (Mercury,165.956,(d)) (trine,3')\n(Venus,80.886,(r)) (H5,35.834,(c)) (45-semisquare,3')\n(Mean_Node,47.254,(r)) (H1,257.217,(c)) (150-quincunx,2')\n(H1,286.008,(r)) (Mean_Node,15.999,(c)) (square,1')\n(H5,64.019,(r)) (Uranus,334.072,(c)) (square,3')", "(Sun,124.384,(r)) (H5,94.353,(d)) (30-semisextile,2')\n(Moon,14.940,(r)) (H1,254.986,(c)) (trine,3')\n(H1,286.008,(r)) (Uranus,330.932,(c)) (45-semisquare,5')", "(Sun,124.384,(r)) (H5,94.358,(d)) (30-semisextile,2')\n(Mean_Node,47.254,(r)) (H8,197.176,(d)) (150-quincunx,5')\n(H8,149.393,(r)) (H7,149.528,(d)) (conjunction,8')\n(H7,106.008,(r)) (Uranus,330.926,(c)) (135-sesquisquare,5')\n(H8,149.393,(r)) (Sun,89.427,(c)) (sextile,2')", "(Neptune,150.112,(r)) (H7,149.974,(d)) (conjunction,8')", "(Mars,164.324,(r)) (H1,254.282,(c)) (square,3')", "(Venus,80.886,(r)) (H1,320.904,(d)) (trine,1')\n(Uranus,11.336,(r)) (H10,191.392,(c)) (opposition,3')", '15', "(H8,149.393,(r)) (Moon,59.433,(d)) (square,2')\n(Moon,14.940,(r)) (H8,104.883,(c)) (square,3')\n(Neptune,150.112,(r)) (H10,180.076,(c)) (30-semisextile,2')\n(H1,286.008,(r)) (Moon,331.050,(c)) (45-semisquare,3')\n(H1,286.008,(r)) (Neptune,106.085,(c)) (opposition,5')", '17', "(Neptune,150.112,(r)) (H5,105.158,(d)) (45-semisquare,3')\n(Pluto,108.357,(r)) (H7,168.445,(d)) (sextile,5')\n(H5,64.019,(r)) (Neptune,214.008,(d)) (150-quincunx,1')", "(Uranus,11.336,(r)) (H8,236.244,(d)) (135-sesquisquare,6')\n(Uranus,11.336,(r)) (H10,281.268,(d)) (square,4')\n(H8,149.393,(r)) (Saturn,209.427,(c)) (sextile,2')", 518]
