['Time', '0: 1954-07-30', '1: 1955-05-01', '2: 1956-01-28', '3: 1956-09-09', '4: 1958-03-24', '5: 1958-08-14', '6: 1958-10-01', '7: 1959-06-01', '8: 1960-03-05', '9: 1967-05-01', '10: 1968-02-01', '11: 1972-08-15', '12: 1977-08-16', '13: 1979-06-26', 'Count']
['1935-01-08 10:35:29', "(Venus,299.365,(r)) (H1,269.369,(d)) (30-semisextile,0')\n(H3,321.504,(r)) (Venus,321.589,(d)) (conjunction,5')\n(H1,252.465,(r)) (Mean_Node,282.497,(c)) (30-semisextile,2')", '1', "(Venus,299.365,(r)) (H3,299.490,(c)) (conjunction,7')", "(H10,176.960,(r)) (Sun,267.021,(c)) (square,4')", "(H3,321.504,(r)) (Pluto,141.573,(d)) (opposition,4')\n(H10,176.960,(r)) (Moon,356.866,(d)) (opposition,6')", "(Moon,332.029,(r)) (H4,331.952,(c)) (conjunction,5')", "(Mercury,292.308,(r)) (H10,202.279,(d)) (square,2')\n(Mean_Node,301.857,(r)) (H10,151.816,(c)) (150-quincunx,2')", "(H3,321.504,(r)) (Venus,276.454,(c)) (45-semisquare,3')", "(Venus,299.365,(r)) (H12,209.304,(c)) (square,4')", "(H5,26.775,(r)) (Moon,296.833,(c)) (square,3')", "(Moon,332.029,(r)) (H4,31.977,(d)) (sextile,3')\n(Uranus,27.499,(r)) (H5,57.446,(d)) (30-semisextile,3')\n(Mercury,292.308,(r)) (H4,322.257,(c)) (30-semisextile,3')", '11', "(Mars,192.831,(r)) (H10,132.751,(c)) (sextile,5')", "(H8,105.035,(r)) (Pluto,74.983,(c)) (30-semisextile,3')", 261]
['1935-01-08 13:12:31', "(H10,218.967,(r)) (Sun,309.010,(d)) (square,3')", "(H1,288.951,(r)) (Uranus,48.894,(d)) (trine,3')\n(Venus,299.502,(r)) (H1,269.434,(c)) (30-semisextile,4')", "(Venus,299.502,(r)) (H10,239.531,(d)) (sextile,2')\n(H3,7.941,(r)) (Jupiter,247.959,(d)) (trine,1')", '3', '4', "(Mean_Node,301.852,(r)) (H4,61.934,(d)) (trine,5')\n(Neptune,164.448,(r)) (H4,14.468,(c)) (150-quincunx,1')", "(H9,187.941,(r)) (Mercury,322.955,(d)) (135-sesquisquare,1')", "(H3,7.941,(r)) (Uranus,52.969,(d)) (45-semisquare,2')", "(Jupiter,228.087,(r)) (H1,318.118,(d)) (square,2')", '9', "(H1,288.951,(r)) (Jupiter,258.874,(d)) (30-semisextile,5')", "(Mean_Node,301.852,(r)) (H12,302.016,(d)) (conjunction,10')\n(Venus,299.502,(r)) (H1,254.426,(c)) (45-semisquare,5')\n(Venus,299.502,(r)) (H4,359.470,(c)) (sextile,2')\n(Venus,299.502,(r)) (H7,74.426,(c)) (135-sesquisquare,5')\n(Neptune,164.448,(r)) (H1,254.426,(c)) (square,1')\n(Neptune,164.448,(r)) (H7,74.426,(c)) (square,1')\n(H1,288.951,(r)) (Moon,288.847,(c)) (conjunction,6')\n(H7,108.951,(r)) (Moon,288.847,(c)) (opposition,6')", "(Uranus,27.499,(r)) (H1,342.493,(d)) (45-semisquare,0')\n(H8,148.984,(r)) (Moon,283.963,(c)) (135-sesquisquare,1')\n(H10,218.967,(r)) (Sun,248.939,(c)) (30-semisextile,2')", "(Saturn,325.754,(r)) (H8,100.696,(c)) (135-sesquisquare,4')\n(H1,288.951,(r)) (Mean_Node,258.930,(c)) (30-semisextile,1')", 299]
['1935-01-08 14:38:23', '0', '1', '2', "(H3,33.232,(r)) (Mercury,273.254,(c)) (trine,1')", "(Mars,192.899,(r)) (H3,57.899,(d)) (135-sesquisquare,0')", "(H8,177.424,(r)) (Sun,312.475,(d)) (135-sesquisquare,3')", "(Mean_Node,301.849,(r)) (H1,346.910,(d)) (45-semisquare,4')", '7', '8', "(H7,133.868,(r)) (Venus,268.919,(c)) (135-sesquisquare,3')", "(H1,313.868,(r)) (Mean_Node,343.957,(d)) (30-semisextile,5')\n(Uranus,27.500,(r)) (H4,27.482,(c)) (conjunction,1')\n(H5,83.114,(r)) (Mercury,263.028,(c)) (opposition,5')", '11', "(H8,177.424,(r)) (Neptune,222.424,(d)) (45-semisquare,0')\n(Sun,287.405,(r)) (H10,197.474,(c)) (square,4')", "(H10,240.274,(r)) (Mean_Node,0.315,(d)) (trine,2')", 134]
['1935-01-08 05:21:44', '0', "(Sun,287.010,(r)) (H9,47.041,(c)) (trine,2')", '2', "(H1,187.196,(r)) (Sun,307.121,(d)) (trine,4')", '4', "(Pluto,115.139,(r)) (H8,55.141,(d)) (sextile,0')\n(Moon,328.813,(r)) (H8,13.904,(c)) (45-semisquare,5')\n(H4,277.857,(r)) (Moon,307.806,(c)) (30-semisextile,3')\n(H4,277.857,(r)) (Venus,277.845,(c)) (conjunction,1')", "(H9,65.420,(r)) (Neptune,185.427,(d)) (trine,0')\n(H10,97.857,(r)) (Venus,277.727,(c)) (opposition,8')", "(Sun,287.010,(r)) (H1,166.980,(c)) (trine,2')\n(H1,187.196,(r)) (Moon,307.107,(c)) (trine,5')\n(H1,187.196,(r)) (Venus,277.129,(c)) (square,4')", "(Jupiter,228.035,(r)) (H12,183.050,(d)) (45-semisquare,1')\n(H3,245.420,(r)) (Uranus,5.482,(c)) (trine,4')", '9', "(H5,310.253,(r)) (Pluto,85.334,(c)) (135-sesquisquare,5')", '11', "(Sun,287.010,(r)) (H1,152.002,(c)) (135-sesquisquare,0')\n(Moon,328.813,(r)) (H10,58.791,(c)) (square,1')", "(Pluto,115.139,(r)) (H8,355.200,(c)) (trine,4')\n(Mean_Node,301.869,(r)) (H12,121.855,(c)) (opposition,1')", 263]
['1935-01-08 20:52:48', "(H1,79.703,(r)) (Sun,304.634,(d)) (135-sesquisquare,4')\n(H1,79.703,(r)) (Mean_Node,319.618,(d)) (trine,5')", '1', "(H10,329.861,(r)) (Moon,359.787,(d)) (30-semisextile,4')\n(Uranus,27.500,(r)) (H1,57.525,(c)) (30-semisextile,2')", '3', "(Saturn,325.787,(r)) (H1,100.705,(d)) (135-sesquisquare,5')", '5', "(H1,79.703,(r)) (Jupiter,199.633,(c)) (trine,4')", '7', "(Uranus,27.500,(r)) (H3,147.408,(d)) (trine,6')", '9', "(H4,149.861,(r)) (Venus,329.930,(d)) (opposition,4')\n(H5,182.367,(r)) (Mean_Node,272.354,(c)) (square,1')", "(Mercury,293.017,(r)) (H4,113.064,(c)) (opposition,3')\n(Mercury,293.017,(r)) (H12,353.082,(c)) (sextile,4')", "(Mean_Node,301.835,(r)) (H8,241.861,(c)) (sextile,2')", "(Uranus,27.500,(r)) (H1,27.381,(c)) (conjunction,7')", 187]
['1935-01-08 13:31:59', "(Sun,287.358,(r)) (H1,317.277,(d)) (30-semisextile,5')", '1', '2', "(H3,13.797,(r)) (Mean_Node,328.841,(d)) (45-semisquare,3')\n(Jupiter,228.089,(r)) (H3,348.062,(c)) (trine,2')", '4', '5', "(H9,193.797,(r)) (Sun,313.776,(d)) (trine,1')", "(Moon,333.834,(r)) (H10,198.872,(c)) (135-sesquisquare,2')", "(H1,294.175,(r)) (Uranus,54.095,(d)) (trine,5')\n(H1,294.175,(r)) (H12,294.168,(d)) (conjunction,0')\n(Venus,299.519,(r)) (H1,269.529,(c)) (30-semisextile,1')\n(Jupiter,228.089,(r)) (H10,198.068,(c)) (30-semisextile,1')", "(H10,223.917,(r)) (Moon,13.837,(d)) (150-quincunx,5')", "(H1,294.175,(r)) (Pluto,159.225,(d)) (135-sesquisquare,3')\n(H4,43.917,(r)) (Venus,343.849,(d)) (sextile,4')\n(Mercury,292.510,(r)) (H1,262.531,(c)) (30-semisextile,1')\n(H5,68.051,(r)) (Moon,293.002,(c)) (135-sesquisquare,3')", "(Uranus,27.499,(r)) (H1,342.418,(d)) (45-semisquare,5')\n(Uranus,27.499,(r)) (H7,162.418,(d)) (135-sesquisquare,5')", "(H1,294.175,(r)) (Saturn,24.241,(d)) (square,4')\n(H10,223.917,(r)) (Mean_Node,358.962,(d)) (135-sesquisquare,3')\n(Sun,287.358,(r)) (H8,107.267,(c)) (opposition,5')\n(Neptune,164.448,(r)) (H1,254.383,(c)) (square,4')", "(Saturn,325.756,(r)) (H10,265.670,(d)) (sextile,5')\n(Mars,192.880,(r)) (H1,252.823,(c)) (sextile,3')\n(Uranus,27.499,(r)) (H10,177.418,(c)) (150-quincunx,5')\n(H1,294.175,(r)) (Neptune,114.209,(c)) (opposition,2')", 300]
['1935-01-09 02:12:31', "(H3,201.816,(r)) (Jupiter,246.886,(d)) (45-semisquare,4')", "(H1,148.315,(r)) (Jupiter,208.239,(c)) (sextile,5')", '2', "(H1,148.315,(r)) (Mean_Node,283.243,(c)) (135-sesquisquare,4')", '4', "(Mean_Node,301.823,(r)) (H8,331.828,(c)) (30-semisextile,0')\n(H4,234.476,(r)) (Venus,279.504,(c)) (45-semisquare,2')", "(Sun,287.896,(r)) (H1,167.809,(d)) (trine,5')\n(H9,21.816,(r)) (Moon,321.725,(c)) (sextile,5')\n(H10,54.476,(r)) (Venus,279.389,(c)) (135-sesquisquare,5')", "(Venus,300.182,(r)) (H10,30.166,(c)) (square,1')", '8', "(H5,267.941,(r)) (Uranus,57.916,(d)) (150-quincunx,2')", "(Uranus,27.501,(r)) (H5,297.536,(d)) (square,2')\n(Pluto,115.120,(r)) (H4,265.135,(d)) (150-quincunx,1')\n(H1,148.315,(r)) (Venus,328.395,(d)) (opposition,5')", '11', "(H10,54.476,(r)) (Mean_Node,264.551,(c)) (150-quincunx,4')", "(H10,54.476,(r)) (Mars,234.342,(d)) (opposition,8')\n(H8,352.818,(r)) (Mean_Node,262.823,(c)) (square,0')", 200]
['1935-01-08 20:29:12', '0', "(Venus,299.883,(r)) (H10,344.860,(d)) (45-semisquare,1')\n(H10,323.719,(r)) (Jupiter,203.739,(c)) (trine,1')", '2', '3', "(Moon,338.082,(r)) (H3,98.040,(c)) (trine,3')", "(H4,143.719,(r)) (Mean_Node,323.703,(d)) (opposition,1')\n(Venus,299.883,(r)) (H8,254.959,(c)) (45-semisquare,5')\n(H4,143.719,(r)) (Venus,278.757,(c)) (135-sesquisquare,2')", "(H1,73.766,(r)) (Mercury,313.851,(d)) (trine,5')\n(H10,323.719,(r)) (Mean_Node,323.827,(d)) (conjunction,6')\n(H10,323.719,(r)) (Venus,278.639,(c)) (45-semisquare,5')", "(Venus,299.883,(r)) (H10,299.823,(c)) (conjunction,4')", '8', "(Jupiter,228.134,(r)) (H5,138.176,(c)) (square,3')", '10', '11', "(H10,323.719,(r)) (Moon,23.781,(d)) (sextile,4')\n(Mars,192.997,(r)) (H10,282.930,(c)) (square,4')", "(Saturn,325.786,(r)) (H10,10.735,(d)) (45-semisquare,3')\n(H1,73.766,(r)) (Mean_Node,343.840,(d)) (square,4')", 224]
['1935-01-08 21:21:52', '0', "(Neptune,164.444,(r)) (H1,104.528,(d)) (sextile,5')", "(Venus,299.929,(r)) (H10,359.996,(d)) (sextile,4')", '3', '4', "(Moon,338.617,(r)) (H8,308.614,(d)) (30-semisextile,0')\n(H1,86.685,(r)) (Mars,221.738,(d)) (135-sesquisquare,3')\n(Uranus,27.500,(r)) (H8,267.549,(c)) (trine,3')\n(H1,86.685,(r)) (Sun,266.825,(c)) (opposition,8')", "(H9,310.894,(r)) (Neptune,190.934,(d)) (trine,2')\n(H1,86.685,(r)) (Sun,266.704,(c)) (opposition,1')\n(H9,310.894,(r)) (Mean_Node,280.931,(c)) (30-semisextile,2')", '7', "(H1,86.685,(r)) (Moon,311.752,(c)) (135-sesquisquare,4')\n(H10,337.555,(r)) (Venus,277.641,(c)) (sextile,5')", "(Mercury,293.051,(r)) (H7,232.988,(c)) (sextile,4')", "(Mars,193.012,(r)) (H4,192.866,(d)) (conjunction,9')\n(Pluto,115.124,(r)) (H1,115.129,(d)) (conjunction,0')", "(Venus,299.929,(r)) (H4,120.000,(c)) (opposition,4')", "(Pluto,115.124,(r)) (H8,325.054,(d)) (150-quincunx,4')\n(Pluto,115.124,(r)) (H10,295.294,(c)) (opposition,10')", "(H8,288.383,(r)) (Mars,243.409,(d)) (45-semisquare,2')\n(Moon,338.617,(r)) (H10,293.558,(c)) (45-semisquare,4')", 264]
['1935-01-08 14:36:00', '0', '1', '2', '3', '4', "(Uranus,27.500,(r)) (H8,207.626,(d)) (opposition,8')\n(H1,313.100,(r)) (Mars,223.059,(d)) (square,2')\n(H4,59.696,(r)) (Venus,329.687,(d)) (square,1')\n(H4,59.696,(r)) (Uranus,359.764,(c)) (sextile,4')", "(H10,239.696,(r)) (Uranus,359.604,(c)) (trine,5')", '7', "(Jupiter,228.096,(r)) (H1,348.136,(d)) (trine,2')", "(H5,82.568,(r)) (Mars,232.616,(d)) (150-quincunx,3')\n(Uranus,27.500,(r)) (H10,207.633,(c)) (opposition,8')\n(H10,239.696,(r)) (Mean_Node,269.658,(c)) (30-semisextile,2')", '10', '11', '12', "(Sun,287.403,(r)) (H1,17.349,(d)) (square,3')", 166]
