Row 1: {'time': '1935-01-08 10:35:29', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_min': 3, 'p_h_conj': 2, 'p_h_maj': 1, 'p_h_min': 2, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 1, 'e': 2, 'total_count': 261}
Row 2: {'time': '1935-01-08 13:12:31', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_min': 3, 'a_p_conj': 0, 'a_p_maj': 6, 'a_p_min': 5, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 3, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 1, 'e': 3, 'total_count': 299}
Row 3: {'time': '1935-01-08 14:38:23', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_min': 1, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_min': 2, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 1, 'e': 6, 'total_count': 134}
Row 4: {'time': '1935-01-08 05:21:44', 'p_a_conj': 2, 'p_a_maj': 3, 'p_a_min': 1, 'a_p_conj': 0, 'a_p_maj': 2, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 3, 'h_p_min': 2, 'e': 5, 'total_count': 263}
Row 5: {'time': '1935-01-08 20:52:48', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_min': 2, 'a_p_conj': 2, 'a_p_maj': 0, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 3, 'h_p_min': 0, 'e': 5, 'total_count': 187}
Row 6: {'time': '1935-01-08 13:31:59', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 3, 'a_p_conj': 0, 'a_p_maj': 3, 'a_p_min': 8, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 2, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 0, 'e': 4, 'total_count': 300}
Row 7: {'time': '1935-01-09 02:12:31', 'p_a_conj': 2, 'p_a_maj': 1, 'p_a_min': 4, 'a_p_conj': 0, 'a_p_maj': 2, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 2, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 1, 'e': 4, 'total_count': 200}
Row 8: {'time': '1935-01-08 20:29:12', 'p_a_conj': 2, 'p_a_maj': 4, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 1, 'e': 6, 'total_count': 224}
Row 9: {'time': '1935-01-08 21:21:52', 'p_a_conj': 2, 'p_a_maj': 1, 'p_a_min': 2, 'a_p_conj': 4, 'a_p_maj': 3, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 2, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 2, 'e': 4, 'total_count': 264}
Row 10: {'time': '1935-01-08 14:36:00', 'p_a_conj': 0, 'p_a_maj': 4, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 0, 'e': 9, 'total_count': 166}
Row 11: {'time': '1935-01-08 10:30:15', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 4, 'a_p_min': 3, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 2, 'e': 4, 'total_count': 166}
Row 12: {'time': '1935-01-08 15:13:59', 'p_a_conj': 4, 'p_a_maj': 2, 'p_a_min': 1, 'a_p_conj': 4, 'a_p_maj': 2, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 1, 'e': 5, 'total_count': 315}
Row 13: {'time': '1935-01-08 22:16:47', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_min': 4, 'a_p_conj': 2, 'a_p_maj': 6, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 1, 'e': 3, 'total_count': 285}
Row 14: {'time': '1935-01-08 20:24:00', 'p_a_conj': 5, 'p_a_maj': 2, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 0, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 2, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 0, 'e': 3, 'total_count': 285}
Row 15: {'time': '1935-01-08 10:21:20', 'p_a_conj': 4, 'p_a_maj': 2, 'p_a_min': 3, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 0, 'h_p_min': 2, 'e': 2, 'total_count': 317}
Row 16: {'time': '1935-01-08 10:00:39', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_min': 2, 'a_p_conj': 3, 'a_p_maj': 0, 'a_p_min': 2, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 2, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 0, 'e': 2, 'total_count': 248}
