Row 1: {'time': '1935-01-08 10:35:29', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_allm': 4, 'p_a_min': 5, 'a_p_conj': 4, 'a_p_maj': 2, 'a_p_allm': 6, 'a_p_min': 12, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_allm': 2, 'p_h_min': 1, 'h_p_conj': 2, 'h_p_maj': 5, 'h_p_allm': 7, 'h_p_min': 6, 'mon_p_conj': 0, 'mon_p_maj': 5, 'mon_p_allm': 5, 'mon_p_min': 2, 'e': 0}
Row 2: {'time': '1935-01-08 13:12:31', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_allm': 2, 'p_a_min': 5, 'a_p_conj': 0, 'a_p_maj': 5, 'a_p_allm': 5, 'a_p_min': 7, 'p_h_conj': 1, 'p_h_maj': 5, 'p_h_allm': 6, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 4, 'h_p_allm': 4, 'h_p_min': 2, 'mon_p_conj': 3, 'mon_p_maj': 3, 'mon_p_allm': 6, 'mon_p_min': 6, 'e': 1}
Row 3: {'time': '1935-01-08 14:38:23', 'p_a_conj': 1, 'p_a_maj': 6, 'p_a_allm': 7, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 7, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_allm': 2, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 6, 'h_p_allm': 6, 'h_p_min': 5, 'mon_p_conj': 2, 'mon_p_maj': 4, 'mon_p_allm': 6, 'mon_p_min': 3, 'e': 1}
Row 4: {'time': '1935-01-08 05:21:44', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 5, 'a_p_conj': 1, 'a_p_maj': 6, 'a_p_allm': 7, 'a_p_min': 9, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 6, 'h_p_allm': 8, 'h_p_min': 7, 'mon_p_conj': 0, 'mon_p_maj': 4, 'mon_p_allm': 4, 'mon_p_min': 5, 'e': 0}
Row 5: {'time': '1935-01-08 20:52:48', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 3, 'a_p_conj': 3, 'a_p_maj': 3, 'a_p_allm': 6, 'a_p_min': 7, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_allm': 3, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 3, 'h_p_allm': 3, 'h_p_min': 5, 'mon_p_conj': 4, 'mon_p_maj': 2, 'mon_p_allm': 6, 'mon_p_min': 10, 'e': 1}
Row 6: {'time': '1935-01-08 13:31:59', 'p_a_conj': 3, 'p_a_maj': 2, 'p_a_allm': 5, 'p_a_min': 4, 'a_p_conj': 0, 'a_p_maj': 5, 'a_p_allm': 5, 'a_p_min': 8, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 4, 'h_p_conj': 1, 'h_p_maj': 3, 'h_p_allm': 4, 'h_p_min': 6, 'mon_p_conj': 3, 'mon_p_maj': 3, 'mon_p_allm': 6, 'mon_p_min': 4, 'e': 0}
Row 7: {'time': '1935-01-09 02:12:31', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_allm': 2, 'p_a_min': 4, 'a_p_conj': 2, 'a_p_maj': 6, 'a_p_allm': 8, 'a_p_min': 7, 'p_h_conj': 2, 'p_h_maj': 1, 'p_h_allm': 3, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 4, 'h_p_allm': 4, 'h_p_min': 1, 'mon_p_conj': 0, 'mon_p_maj': 8, 'mon_p_allm': 8, 'mon_p_min': 10, 'e': 0}
Row 8: {'time': '1935-01-08 20:29:12', 'p_a_conj': 2, 'p_a_maj': 3, 'p_a_allm': 5, 'p_a_min': 4, 'a_p_conj': 3, 'a_p_maj': 8, 'a_p_allm': 11, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 4, 'h_p_allm': 4, 'h_p_min': 2, 'mon_p_conj': 4, 'mon_p_maj': 3, 'mon_p_allm': 7, 'mon_p_min': 12, 'e': 0}
Row 9: {'time': '1935-01-08 21:21:52', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 4, 'a_p_conj': 3, 'a_p_maj': 7, 'a_p_allm': 10, 'a_p_min': 7, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 1, 'h_p_conj': 2, 'h_p_maj': 3, 'h_p_allm': 5, 'h_p_min': 4, 'mon_p_conj': 3, 'mon_p_maj': 3, 'mon_p_allm': 6, 'mon_p_min': 8, 'e': 1}
Row 10: {'time': '1935-01-08 14:36:00', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_allm': 2, 'p_a_min': 4, 'a_p_conj': 1, 'a_p_maj': 8, 'a_p_allm': 9, 'a_p_min': 6, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 6, 'h_p_allm': 7, 'h_p_min': 3, 'mon_p_conj': 2, 'mon_p_maj': 4, 'mon_p_allm': 6, 'mon_p_min': 3, 'e': 0}
Row 11: {'time': '1935-01-08 10:30:15', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_allm': 2, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 10, 'a_p_allm': 11, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 7, 'mon_p_conj': 0, 'mon_p_maj': 5, 'mon_p_allm': 5, 'mon_p_min': 2, 'e': 1}
Row 12: {'time': '1935-01-08 15:13:59', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_allm': 4, 'p_a_min': 4, 'a_p_conj': 3, 'a_p_maj': 6, 'a_p_allm': 9, 'a_p_min': 8, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 4, 'h_p_allm': 5, 'h_p_min': 3, 'mon_p_conj': 0, 'mon_p_maj': 5, 'mon_p_allm': 5, 'mon_p_min': 4, 'e': 1}
Row 13: {'time': '1935-01-08 22:16:47', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_allm': 2, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 10, 'a_p_allm': 12, 'a_p_min': 13, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 2, 'h_p_conj': 2, 'h_p_maj': 4, 'h_p_allm': 6, 'h_p_min': 6, 'mon_p_conj': 1, 'mon_p_maj': 1, 'mon_p_allm': 2, 'mon_p_min': 8, 'e': 0}
Row 14: {'time': '1935-01-08 20:24:00', 'p_a_conj': 3, 'p_a_maj': 2, 'p_a_allm': 5, 'p_a_min': 4, 'a_p_conj': 2, 'a_p_maj': 3, 'a_p_allm': 5, 'a_p_min': 6, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 3, 'h_p_conj': 0, 'h_p_maj': 8, 'h_p_allm': 8, 'h_p_min': 3, 'mon_p_conj': 4, 'mon_p_maj': 3, 'mon_p_allm': 7, 'mon_p_min': 12, 'e': 0}
Row 15: {'time': '1935-01-08 10:21:20', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_allm': 3, 'p_a_min': 7, 'a_p_conj': 1, 'a_p_maj': 7, 'a_p_allm': 8, 'a_p_min': 6, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 2, 'h_p_conj': 1, 'h_p_maj': 4, 'h_p_allm': 5, 'h_p_min': 5, 'mon_p_conj': 0, 'mon_p_maj': 5, 'mon_p_allm': 5, 'mon_p_min': 2, 'e': 0}
Row 16: {'time': '1935-01-08 10:00:39', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 6, 'a_p_allm': 6, 'a_p_min': 8, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_allm': 2, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 2, 'h_p_allm': 4, 'h_p_min': 8, 'mon_p_conj': 1, 'mon_p_maj': 5, 'mon_p_allm': 6, 'mon_p_min': 3, 'e': 0}
Row 17: {'time': '1935-01-08 08:15:44', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_allm': 2, 'p_a_min': 5, 'a_p_conj': 2, 'a_p_maj': 6, 'a_p_allm': 8, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 3, 'mon_p_conj': 2, 'mon_p_maj': 3, 'mon_p_allm': 5, 'mon_p_min': 6, 'e': 0}
Row 18: {'time': '1935-01-08 14:01:20', 'p_a_conj': 4, 'p_a_maj': 1, 'p_a_allm': 5, 'p_a_min': 5, 'a_p_conj': 2, 'a_p_maj': 4, 'a_p_allm': 6, 'a_p_min': 9, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 1, 'h_p_allm': 3, 'h_p_min': 4, 'mon_p_conj': 2, 'mon_p_maj': 5, 'mon_p_allm': 7, 'mon_p_min': 4, 'e': 1}
