Row 1: {'time': '1935-01-08 10:35:29', 'p_a_conj': 8, 'p_a_maj': 21, 'p_a_min': 23, 'a_p_conj': 0, 'e': 1, 'total_count': 52}
Row 2: {'time': '1935-01-08 13:12:31', 'p_a_conj': 5, 'p_a_maj': 16, 'p_a_min': 25, 'a_p_conj': 0, 'e': 0, 'total_count': 46}
Row 3: {'time': '1935-01-08 14:38:23', 'p_a_conj': 6, 'p_a_maj': 19, 'p_a_min': 13, 'a_p_conj': 0, 'e': 1, 'total_count': 38}
Row 4: {'time': '1935-01-08 05:21:44', 'p_a_conj': 7, 'p_a_maj': 20, 'p_a_min': 23, 'a_p_conj': 0, 'e': 1, 'total_count': 50}
Row 5: {'time': '1935-01-08 20:52:48', 'p_a_conj': 9, 'p_a_maj': 16, 'p_a_min': 22, 'a_p_conj': 0, 'e': 0, 'total_count': 47}
Row 6: {'time': '1935-01-08 13:31:59', 'p_a_conj': 7, 'p_a_maj': 16, 'p_a_min': 20, 'a_p_conj': 0, 'e': 1, 'total_count': 43}
Row 7: {'time': '1935-01-09 02:12:31', 'p_a_conj': 4, 'p_a_maj': 17, 'p_a_min': 18, 'a_p_conj': 0, 'e': 0, 'total_count': 39}
Row 8: {'time': '1935-01-08 20:29:12', 'p_a_conj': 7, 'p_a_maj': 11, 'p_a_min': 23, 'a_p_conj': 0, 'e': 1, 'total_count': 41}
Row 9: {'time': '1935-01-08 21:21:52', 'p_a_conj': 2, 'p_a_maj': 16, 'p_a_min': 32, 'a_p_conj': 0, 'e': 0, 'total_count': 50}
Row 10: {'time': '1935-01-08 14:36:00', 'p_a_conj': 8, 'p_a_maj': 19, 'p_a_min': 19, 'a_p_conj': 0, 'e': 0, 'total_count': 46}
Row 11: {'time': '1935-01-08 10:30:15', 'p_a_conj': 5, 'p_a_maj': 17, 'p_a_min': 29, 'a_p_conj': 0, 'e': 1, 'total_count': 51}
Row 12: {'time': '1935-01-08 15:13:59', 'p_a_conj': 6, 'p_a_maj': 20, 'p_a_min': 17, 'a_p_conj': 0, 'e': 1, 'total_count': 43}
Row 13: {'time': '1935-01-08 22:16:47', 'p_a_conj': 3, 'p_a_maj': 14, 'p_a_min': 26, 'a_p_conj': 0, 'e': 1, 'total_count': 43}
Row 14: {'time': '1935-01-08 20:24:00', 'p_a_conj': 3, 'p_a_maj': 18, 'p_a_min': 24, 'a_p_conj': 0, 'e': 1, 'total_count': 45}
Row 15: {'time': '1935-01-08 10:21:20', 'p_a_conj': 8, 'p_a_maj': 14, 'p_a_min': 27, 'a_p_conj': 0, 'e': 1, 'total_count': 49}
Row 16: {'time': '1935-01-08 10:00:39', 'p_a_conj': 6, 'p_a_maj': 20, 'p_a_min': 16, 'a_p_conj': 0, 'e': 0, 'total_count': 42}
Row 17: {'time': '1935-01-08 08:15:44', 'p_a_conj': 5, 'p_a_maj': 17, 'p_a_min': 16, 'a_p_conj': 0, 'e': 0, 'total_count': 38}
Row 18: {'time': '1935-01-08 14:01:20', 'p_a_conj': 0, 'p_a_maj': 14, 'p_a_min': 14, 'a_p_conj': 0, 'e': 3, 'total_count': 28}
Row 19: {'time': '1935-01-08 21:03:59', 'p_a_conj': 5, 'p_a_maj': 15, 'p_a_min': 21, 'a_p_conj': 0, 'e': 0, 'total_count': 41}
Row 20: {'time': '1935-01-08 20:10:00', 'p_a_conj': 6, 'p_a_maj': 22, 'p_a_min': 21, 'a_p_conj': 0, 'e': 0, 'total_count': 49}
Row 21: {'time': '1935-01-08 12:36:31', 'p_a_conj': 1, 'p_a_maj': 18, 'p_a_min': 22, 'a_p_conj': 0, 'e': 0, 'total_count': 41}
Row 22: {'time': '1935-01-08 13:28:23', 'p_a_conj': 6, 'p_a_maj': 20, 'p_a_min': 27, 'a_p_conj': 0, 'e': 0, 'total_count': 53}
Row 23: {'time': '1935-01-08 13:30:31', 'p_a_conj': 8, 'p_a_maj': 20, 'p_a_min': 20, 'a_p_conj': 0, 'e': 0, 'total_count': 48}
Row 24: {'time': '1935-01-08 07:20:07', 'p_a_conj': 8, 'p_a_maj': 9, 'p_a_min': 17, 'a_p_conj': 0, 'e': 1, 'total_count': 34}
Row 25: {'time': '1935-01-09 02:13:52', 'p_a_conj': 3, 'p_a_maj': 16, 'p_a_min': 15, 'a_p_conj': 0, 'e': 1, 'total_count': 34}
Row 26: {'time': '1935-01-08 22:45:59', 'p_a_conj': 4, 'p_a_maj': 14, 'p_a_min': 22, 'a_p_conj': 0, 'e': 1, 'total_count': 40}
Row 27: {'time': '1935-01-09 03:08:31', 'p_a_conj': 7, 'p_a_maj': 18, 'p_a_min': 27, 'a_p_conj': 0, 'e': 0, 'total_count': 52}
Row 28: {'time': '1935-01-08 17:54:48', 'p_a_conj': 7, 'p_a_maj': 13, 'p_a_min': 25, 'a_p_conj': 0, 'e': 1, 'total_count': 45}
Row 29: {'time': '1935-01-08 05:41:12', 'p_a_conj': 3, 'p_a_maj': 20, 'p_a_min': 23, 'a_p_conj': 0, 'e': 2, 'total_count': 46}
Row 30: {'time': '1935-01-08 13:18:07', 'p_a_conj': 7, 'p_a_maj': 9, 'p_a_min': 22, 'a_p_conj': 0, 'e': 0, 'total_count': 38}
Row 31: {'time': '1935-01-09 03:02:39', 'p_a_conj': 6, 'p_a_maj': 17, 'p_a_min': 24, 'a_p_conj': 0, 'e': 0, 'total_count': 47}
