['Time', '0: 1870-08-25', '1: 1883-02-13', '2: 1821-09-30', '3: 1836-07-07', '4: 1836-11-24', '5: 1848-01-09', '6: 1865-04-10', '7: 1866-01-25', '8: 1867-02-17', '9: 1869-06-06', 'Count']
['1813-05-21 23:30:32', "(Sun,60.431,(r)) (H7,240.252,(d)) (opposition,11')\n(H7,127.068,(r)) (Mercury,97.097,(d)) (30-semisextile,2')", "(Mars,303.814,(r)) (H8,273.761,(d)) (30-semisextile,3')\n(Sun,60.431,(r)) (H1,240.254,(c)) (opposition,11')\n(Moon,314.136,(r)) (H12,224.064,(c)) (square,4')\n(H1,307.068,(r)) (Uranus,157.041,(c)) (150-quincunx,2')", "(H8,187.198,(r)) (Sun,52.184,(c)) (135-sesquisquare,1')", "(H7,127.068,(r)) (Sun,36.976,(c)) (square,6')", "(Mars,303.814,(r)) (H5,63.879,(c)) (trine,4')\n(H7,127.068,(r)) (Jupiter,97.054,(c)) (30-semisextile,1')", '5', "(Moon,314.136,(r)) (H4,14.214,(c)) (sextile,5')", '7', '8', "(H4,66.107,(r)) (Mercury,96.021,(d)) (30-semisextile,5')\n(Pluto,350.505,(r)) (H5,35.595,(c)) (45-semisquare,5')", 143]
['1813-05-22 05:54:00', '0', "(Mars,303.918,(r)) (H12,123.758,(d)) (opposition,10')\n(Mars,303.918,(r)) (H1,3.859,(c)) (sextile,3')", "(Moon,317.540,(r)) (H10,347.595,(d)) (30-semisextile,3')", "(Mercury,35.695,(r)) (H7,260.653,(c)) (135-sesquisquare,3')", "(Mars,303.918,(r)) (H10,3.843,(d)) (sextile,4')\n(H10,338.735,(r)) (Moon,338.721,(d)) (conjunction,1')", "(Sun,60.687,(r)) (H4,195.735,(d)) (135-sesquisquare,3')\n(Mars,303.918,(r)) (H4,123.891,(c)) (opposition,2')", "(Jupiter,123.703,(r)) (H4,213.739,(d)) (square,2')", '7', "(Mercury,35.695,(r)) (H4,215.631,(d)) (opposition,4')", "(H4,158.735,(r)) (Moon,8.778,(d)) (150-quincunx,3')\n(Mars,303.918,(r)) (H1,33.902,(c)) (square,1')\n(H5,193.712,(r)) (Mars,253.709,(c)) (sextile,0')", 188]
['1813-05-21 23:54:24', '0', '1', "(Sun,60.447,(r)) (H8,210.441,(d)) (150-quincunx,0')\n(Saturn,288.927,(r)) (H10,243.968,(c)) (45-semisquare,2')", '3', "(Moon,314.347,(r)) (H7,104.293,(c)) (150-quincunx,3')\n(Mean_Node,134.350,(r)) (H7,104.293,(c)) (30-semisextile,3')\n(H5,89.808,(r)) (Uranus,209.725,(c)) (trine,5')", "(Saturn,288.927,(r)) (H12,333.931,(d)) (45-semisquare,0')", "(H1,317.192,(r)) (Moon,257.217,(c)) (sextile,2')\n(H1,317.192,(r)) (Mean_Node,77.117,(c)) (trine,5')", '7', "(Jupiter,123.666,(r)) (H1,63.725,(d)) (sextile,4')\n(H5,89.808,(r)) (Mean_Node,239.811,(d)) (150-quincunx,0')\n(H4,71.730,(r)) (Jupiter,71.644,(c)) (conjunction,5')\n(H5,89.808,(r)) (Pluto,299.800,(c)) (150-quincunx,0')", '9', 143]
['1813-05-22 10:10:07', '0', "(Mars,303.986,(r)) (H10,333.930,(c)) (30-semisextile,3')\n(Saturn,288.912,(r)) (H10,333.930,(c)) (45-semisquare,1')\n(H10,47.032,(r)) (Mean_Node,77.081,(c)) (30-semisextile,3')", '2', "(Sun,60.858,(r)) (H5,285.943,(d)) (135-sesquisquare,5')", "(Mean_Node,134.328,(r)) (H7,344.284,(d)) (150-quincunx,3')", "(Mars,303.986,(r)) (H1,124.007,(c)) (opposition,1')\n(Pluto,350.510,(r)) (H8,320.593,(c)) (30-semisextile,5')", "(Mars,303.986,(r)) (H1,184.030,(d)) (trine,3')\n(H5,265.353,(r)) (Pluto,25.417,(d)) (trine,4')", "(H8,347.651,(r)) (Neptune,302.574,(d)) (45-semisquare,5')\n(Neptune,254.565,(r)) (H5,209.483,(c)) (45-semisquare,5')", "(Mercury,35.896,(r)) (H4,170.844,(c)) (135-sesquisquare,3')", "(Mean_Node,134.328,(r)) (H5,314.426,(d)) (opposition,6')", 139]
['1813-05-21 23:51:44', "(Mars,303.820,(r)) (H10,303.661,(d)) (conjunction,10')\n(Jupiter,123.666,(r)) (H10,303.661,(d)) (opposition,0')\n(Moon,314.324,(r)) (H10,194.233,(c)) (trine,5')\n(H10,251.105,(r)) (Mars,251.081,(c)) (conjunction,1')", '1', "(Mars,303.820,(r)) (H10,258.762,(d)) (45-semisquare,3')", '3', '4', "(H8,196.131,(r)) (Neptune,286.088,(d)) (square,3')", "(Sun,60.445,(r)) (H1,60.276,(d)) (conjunction,10')", '7', '8', "(Sun,60.445,(r)) (H4,15.528,(c)) (45-semisquare,5')\n(Moon,314.324,(r)) (H1,254.374,(c)) (sextile,3')\n(Mean_Node,134.351,(r)) (H1,254.374,(c)) (trine,1')", 180]
['1813-05-22 02:35:28', "(H5,130.528,(r)) (Jupiter,70.609,(c)) (sextile,5')\n(H10,289.009,(r)) (Moon,258.959,(c)) (30-semisextile,3')", "(Mean_Node,134.345,(r)) (H10,359.254,(d)) (135-sesquisquare,5')\n(H1,44.225,(r)) (Mean_Node,224.202,(d)) (opposition,1')\n(Mean_Node,134.345,(r)) (H10,224.318,(c)) (square,2')\n(H1,44.225,(r)) (Saturn,224.154,(c)) (opposition,4')\n(H1,44.225,(r)) (H10,224.318,(c)) (opposition,6')", "(Pluto,350.507,(r)) (H8,260.502,(d)) (square,0')", '3', "(H10,289.009,(r)) (Mean_Node,109.012,(c)) (opposition,0')", "(Uranus,235.744,(r)) (H12,295.798,(c)) (sextile,3')", "(Sun,60.555,(r)) (H5,195.510,(d)) (135-sesquisquare,3')", '7', "(H4,109.009,(r)) (Uranus,289.172,(d)) (opposition,10')\n(Venus,59.658,(r)) (H4,59.805,(c)) (conjunction,9')", "(Moon,315.775,(r)) (H1,105.721,(d)) (150-quincunx,3')\n(H1,44.225,(r)) (Uranus,134.165,(c)) (square,4')\n(H4,109.009,(r)) (Mean_Node,78.975,(c)) (30-semisextile,2')", 254]
['1813-05-22 12:56:23', '0', "(Saturn,288.908,(r)) (H10,18.981,(c)) (square,4')\n(H1,177.344,(r)) (Saturn,222.390,(c)) (45-semisquare,3')", "(Mars,304.031,(r)) (H10,94.111,(d)) (150-quincunx,5')\n(Mars,304.031,(r)) (H10,78.970,(c)) (135-sesquisquare,4')\n(Saturn,288.908,(r)) (H10,78.970,(c)) (150-quincunx,4')\n(Mean_Node,134.322,(r)) (H8,14.396,(c)) (trine,4')", '3', '4', '5', "(Moon,321.316,(r)) (H1,141.405,(c)) (opposition,5')\n(H5,302.502,(r)) (Mars,257.555,(c)) (45-semisquare,3')", "(Mars,304.031,(r)) (H5,349.087,(d)) (45-semisquare,3')\n(Neptune,254.562,(r)) (H12,194.525,(d)) (sextile,2')", "(Pluto,350.511,(r)) (H4,215.576,(c)) (135-sesquisquare,4')", "(Mercury,36.028,(r)) (H1,216.203,(d)) (opposition,10')\n(H4,266.552,(r)) (Mean_Node,86.378,(c)) (opposition,10')\n(H5,302.502,(r)) (Pluto,302.408,(c)) (conjunction,6')", 181]
['1813-05-22 16:42:56', "(H5,353.568,(r)) (Mercury,353.577,(c)) (conjunction,1')\n(H10,140.629,(r)) (Mean_Node,80.651,(c)) (sextile,1')", "(Mars,304.092,(r)) (H10,214.015,(d)) (square,5')\n(H1,217.288,(r)) (Sun,127.370,(d)) (square,5')\n(Saturn,288.902,(r)) (H1,168.911,(c)) (trine,1')", "(H10,140.629,(r)) (Neptune,260.635,(d)) (trine,0')\n(H8,65.948,(r)) (Mean_Node,125.993,(c)) (sextile,3')", "(Moon,323.354,(r)) (H7,53.317,(d)) (square,2')", '4', '5', "(Venus,60.381,(r)) (H4,15.390,(d)) (45-semisquare,1')\n(Mean_Node,134.313,(r)) (H1,254.274,(d)) (trine,2')\n(H5,353.568,(r)) (Pluto,38.494,(d)) (45-semisquare,4')", '7', '8', "(Jupiter,123.771,(r)) (H5,303.861,(c)) (opposition,5')", 200]
['1813-05-22 17:53:36', "(Venus,60.442,(r)) (H5,60.496,(d)) (conjunction,3')\n(Mars,304.110,(r)) (H7,94.079,(d)) (150-quincunx,2')\n(H7,49.720,(r)) (Mercury,79.690,(d)) (30-semisextile,2')", "(H1,229.720,(r)) (Neptune,199.760,(c)) (30-semisextile,2')", "(Uranus,235.718,(r)) (H1,235.569,(d)) (conjunction,9')", "(Jupiter,123.778,(r)) (H10,183.858,(d)) (sextile,5')\n(Jupiter,123.778,(r)) (H7,33.735,(c)) (square,3')", '4', "(Sun,61.167,(r)) (H4,16.156,(d)) (45-semisquare,1')\n(Moon,323.991,(r)) (H8,114.007,(d)) (150-quincunx,1')\n(Mars,304.110,(r)) (H4,304.273,(c)) (conjunction,10')\n(Uranus,235.718,(r)) (H1,205.794,(c)) (30-semisextile,5')", "(Mars,304.110,(r)) (H4,34.144,(d)) (square,2')\n(Uranus,235.718,(r)) (H5,55.857,(d)) (opposition,8')", '7', '8', "(Mean_Node,134.311,(r)) (H4,284.280,(c)) (150-quincunx,2')", 189]
['1813-05-22 16:39:11', '0', "(Uranus,235.720,(r)) (H8,10.692,(c)) (135-sesquisquare,2')\n(Neptune,254.557,(r)) (H10,74.672,(c)) (opposition,7')", "(H1,216.634,(r)) (Neptune,246.695,(c)) (30-semisextile,4')", "(H10,139.675,(r)) (Sun,79.761,(d)) (sextile,5')", '4', "(Neptune,254.557,(r)) (H12,224.647,(d)) (30-semisextile,5')\n(Pluto,350.513,(r)) (H12,170.364,(c)) (opposition,9')\n(H4,319.675,(r)) (Pluto,319.756,(c)) (conjunction,5')", "(Mean_Node,134.314,(r)) (H4,14.381,(d)) (trine,4')", '7', "(Mean_Node,134.314,(r)) (H1,179.381,(c)) (45-semisquare,4')", '9', 134]
['1813-05-22 00:13:28', '0', "(Neptune,254.575,(r)) (H8,104.646,(c)) (150-quincunx,4')", "(Mars,303.826,(r)) (H12,303.951,(d)) (conjunction,8')", '3', '4', "(H4,76.178,(r)) (Neptune,286.259,(d)) (150-quincunx,5')", "(Mars,303.826,(r)) (H4,123.807,(d)) (opposition,1')\n(Jupiter,123.668,(r)) (H4,123.807,(d)) (conjunction,8')\n(H1,326.303,(r)) (Pluto,86.348,(d)) (trine,3')\n(Uranus,235.748,(r)) (H4,25.725,(c)) (150-quincunx,1')", "(Mars,303.826,(r)) (H8,123.744,(c)) (opposition,5')\n(H8,205.005,(r)) (H4,24.896,(c)) (opposition,6')", "(Pluto,350.505,(r)) (H4,125.588,(d)) (135-sesquisquare,5')\n(Pluto,350.505,(r)) (H1,260.584,(c)) (square,5')\n(H4,76.178,(r)) (Mean_Node,76.314,(c)) (conjunction,8')", "(Jupiter,123.668,(r)) (H1,258.724,(c)) (135-sesquisquare,3')", 203]
['1813-05-22 04:43:12', '0', '1', "(Saturn,288.920,(r)) (H8,289.048,(d)) (conjunction,8')\n(H1,85.713,(r)) (Neptune,265.693,(d)) (opposition,1')\n(H8,282.156,(r)) (Saturn,282.070,(c)) (conjunction,5')", "(H7,265.713,(r)) (Sun,85.673,(d)) (opposition,2')\n(H7,265.713,(r)) (Venus,85.570,(d)) (opposition,9')\n(H7,265.713,(r)) (Sun,25.702,(c)) (trine,1')", "(Sun,60.640,(r)) (H7,285.686,(d)) (135-sesquisquare,3')", '5', '6', '7', "(Moon,316.910,(r)) (H4,196.903,(d)) (trine,0')", '9', 152]
