Row 1: {'time': '1813-05-21 23:30:32', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_min': 3, 'a_p_conj': 6, 'a_p_maj': 11, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 3, 'mon_p_conj': 0, 'mon_p_maj': 4, 'mon_p_min': 3, 'e': 0, 'total_count': 40}
Row 2: {'time': '1813-05-22 05:54:00', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_min': 7, 'a_p_conj': 2, 'a_p_maj': 5, 'a_p_min': 5, 'p_h_conj': 0, 'p_h_maj': 3, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 8, 'mon_p_conj': 1, 'mon_p_maj': 3, 'mon_p_min': 5, 'e': 0, 'total_count': 42}
Row 3: {'time': '1813-05-21 23:54:24', 'p_a_conj': 2, 'p_a_maj': 3, 'p_a_min': 1, 'a_p_conj': 0, 'a_p_maj': 4, 'a_p_min': 14, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 8, 'mon_p_conj': 0, 'mon_p_maj': 6, 'mon_p_min': 3, 'e': 0, 'total_count': 43}
Row 4: {'time': '1813-05-22 10:10:07', 'p_a_conj': 0, 'p_a_maj': 4, 'p_a_min': 1, 'a_p_conj': 3, 'a_p_maj': 5, 'a_p_min': 6, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_min': 2, 'h_p_conj': 3, 'h_p_maj': 2, 'h_p_min': 1, 'mon_p_conj': 1, 'mon_p_maj': 2, 'mon_p_min': 5, 'e': 0, 'total_count': 38}
Row 5: {'time': '1813-05-21 23:51:44', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_min': 4, 'a_p_conj': 0, 'a_p_maj': 3, 'a_p_min': 11, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 3, 'h_p_conj': 0, 'h_p_maj': 5, 'h_p_min': 3, 'mon_p_conj': 0, 'mon_p_maj': 6, 'mon_p_min': 2, 'e': 1, 'total_count': 39}
Row 6: {'time': '1813-05-22 02:35:28', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_min': 3, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 3, 'h_p_conj': 0, 'h_p_maj': 5, 'h_p_min': 4, 'mon_p_conj': 0, 'mon_p_maj': 3, 'mon_p_min': 3, 'e': 1, 'total_count': 30}
Row 7: {'time': '1813-05-22 12:56:23', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_min': 10, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_min': 13, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 2, 'h_p_maj': 4, 'h_p_min': 5, 'mon_p_conj': 0, 'mon_p_maj': 3, 'mon_p_min': 5, 'e': 0, 'total_count': 47}
Row 8: {'time': '1813-05-22 16:42:56', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_min': 6, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_min': 5, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 5, 'mon_p_conj': 2, 'mon_p_maj': 8, 'mon_p_min': 2, 'e': 0, 'total_count': 36}
Row 9: {'time': '1813-05-22 17:53:36', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 5, 'a_p_min': 6, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 3, 'h_p_maj': 2, 'h_p_min': 11, 'mon_p_conj': 2, 'mon_p_maj': 8, 'mon_p_min': 3, 'e': 0, 'total_count': 49}
Row 10: {'time': '1813-05-22 16:39:11', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_min': 5, 'a_p_conj': 1, 'a_p_maj': 5, 'a_p_min': 14, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 3, 'h_p_conj': 3, 'h_p_maj': 8, 'h_p_min': 7, 'mon_p_conj': 2, 'mon_p_maj': 8, 'mon_p_min': 2, 'e': 0, 'total_count': 61}
Row 11: {'time': '1813-05-22 00:13:28', 'p_a_conj': 1, 'p_a_maj': 5, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 5, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 2, 'h_p_conj': 0, 'h_p_maj': 3, 'h_p_min': 2, 'mon_p_conj': 1, 'mon_p_maj': 7, 'mon_p_min': 3, 'e': 0, 'total_count': 36}
