Row 1: {'time': '1813-05-21 23:30:32', 'p_a_conj': 1, 'p_a_maj': 7, 'p_a_min': 19, 'a_p_conj': 0, 'e': 2, 'total_count': 27}
Row 2: {'time': '1813-05-22 05:54:00', 'p_a_conj': 5, 'p_a_maj': 10, 'p_a_min': 18, 'a_p_conj': 0, 'e': 0, 'total_count': 33}
Row 3: {'time': '1813-05-21 23:54:24', 'p_a_conj': 2, 'p_a_maj': 9, 'p_a_min': 11, 'a_p_conj': 0, 'e': 1, 'total_count': 22}
Row 4: {'time': '1813-05-22 10:10:07', 'p_a_conj': 7, 'p_a_maj': 8, 'p_a_min': 15, 'a_p_conj': 0, 'e': 0, 'total_count': 30}
Row 5: {'time': '1813-05-21 23:51:44', 'p_a_conj': 1, 'p_a_maj': 15, 'p_a_min': 16, 'a_p_conj': 0, 'e': 2, 'total_count': 32}
Row 6: {'time': '1813-05-22 02:35:28', 'p_a_conj': 6, 'p_a_maj': 9, 'p_a_min': 18, 'a_p_conj': 0, 'e': 0, 'total_count': 33}
Row 7: {'time': '1813-05-22 12:56:23', 'p_a_conj': 2, 'p_a_maj': 11, 'p_a_min': 19, 'a_p_conj': 0, 'e': 2, 'total_count': 32}
Row 8: {'time': '1813-05-22 16:42:56', 'p_a_conj': 6, 'p_a_maj': 13, 'p_a_min': 13, 'a_p_conj': 0, 'e': 0, 'total_count': 32}
Row 9: {'time': '1813-05-22 17:53:36', 'p_a_conj': 6, 'p_a_maj': 7, 'p_a_min': 17, 'a_p_conj': 0, 'e': 0, 'total_count': 30}
Row 10: {'time': '1813-05-22 16:39:11', 'p_a_conj': 4, 'p_a_maj': 11, 'p_a_min': 12, 'a_p_conj': 0, 'e': 0, 'total_count': 27}
Row 11: {'time': '1813-05-22 00:13:28', 'p_a_conj': 4, 'p_a_maj': 7, 'p_a_min': 21, 'a_p_conj': 0, 'e': 0, 'total_count': 32}
Row 12: {'time': '1813-05-22 04:43:12', 'p_a_conj': 6, 'p_a_maj': 14, 'p_a_min': 17, 'a_p_conj': 0, 'e': 0, 'total_count': 37}
Row 13: {'time': '1813-05-22 00:53:04', 'p_a_conj': 2, 'p_a_maj': 12, 'p_a_min': 17, 'a_p_conj': 0, 'e': 0, 'total_count': 31}
Row 14: {'time': '1813-05-22 00:57:28', 'p_a_conj': 2, 'p_a_maj': 14, 'p_a_min': 22, 'a_p_conj': 0, 'e': 0, 'total_count': 38}
Row 15: {'time': '1813-05-22 13:26:39', 'p_a_conj': 4, 'p_a_maj': 12, 'p_a_min': 20, 'a_p_conj': 0, 'e': 1, 'total_count': 36}
Row 16: {'time': '1813-05-22 12:37:43', 'p_a_conj': 7, 'p_a_maj': 17, 'p_a_min': 14, 'a_p_conj': 0, 'e': 0, 'total_count': 38}
Row 17: {'time': '1813-05-22 11:43:20', 'p_a_conj': 1, 'p_a_maj': 11, 'p_a_min': 15, 'a_p_conj': 0, 'e': 1, 'total_count': 27}
Row 18: {'time': '1813-05-22 19:08:47', 'p_a_conj': 7, 'p_a_maj': 13, 'p_a_min': 12, 'a_p_conj': 0, 'e': 1, 'total_count': 32}
Row 19: {'time': '1813-05-22 22:57:59', 'p_a_conj': 4, 'p_a_maj': 15, 'p_a_min': 12, 'a_p_conj': 0, 'e': 0, 'total_count': 31}
Row 20: {'time': '1813-05-22 02:27:12', 'p_a_conj': 3, 'p_a_maj': 13, 'p_a_min': 15, 'a_p_conj': 0, 'e': 0, 'total_count': 31}
Row 21: {'time': '1813-05-22 02:48:23', 'p_a_conj': 4, 'p_a_maj': 10, 'p_a_min': 17, 'a_p_conj': 0, 'e': 0, 'total_count': 31}
