Row 1: {'time': '1813-05-21 23:30:32', 'p_a_conj': 1, 'p_a_maj': 6, 'p_a_allm': 7, 'p_a_min': 6, 'p_h_conj': 0, 'p_h_maj': 3, 'p_h_allm': 3, 'p_h_min': 8, 'mon_p_conj': 5, 'mon_p_maj': 1, 'mon_p_allm': 6, 'mon_p_min': 1, 'e': 1}
Row 2: {'time': '1813-05-22 05:54:00', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_allm': 4, 'p_a_min': 5, 'p_h_conj': 2, 'p_h_maj': 4, 'p_h_allm': 6, 'p_h_min': 4, 'mon_p_conj': 2, 'mon_p_maj': 4, 'mon_p_allm': 6, 'mon_p_min': 6, 'e': 1}
Row 3: {'time': '1813-05-21 23:54:24', 'p_a_conj': 1, 'p_a_maj': 5, 'p_a_allm': 6, 'p_a_min': 9, 'p_h_conj': 2, 'p_h_maj': 2, 'p_h_allm': 4, 'p_h_min': 2, 'mon_p_conj': 5, 'mon_p_maj': 4, 'mon_p_allm': 9, 'mon_p_min': 4, 'e': 1}
Row 4: {'time': '1813-05-22 10:10:07', 'p_a_conj': 9, 'p_a_maj': 3, 'p_a_allm': 12, 'p_a_min': 4, 'p_h_conj': 1, 'p_h_maj': 4, 'p_h_allm': 5, 'p_h_min': 3, 'mon_p_conj': 3, 'mon_p_maj': 3, 'mon_p_allm': 6, 'mon_p_min': 1, 'e': 0}
Row 5: {'time': '1813-05-21 23:51:44', 'p_a_conj': 2, 'p_a_maj': 5, 'p_a_allm': 7, 'p_a_min': 7, 'p_h_conj': 3, 'p_h_maj': 1, 'p_h_allm': 4, 'p_h_min': 3, 'mon_p_conj': 5, 'mon_p_maj': 4, 'mon_p_allm': 9, 'mon_p_min': 4, 'e': 1}
Row 6: {'time': '1813-05-22 02:35:28', 'p_a_conj': 4, 'p_a_maj': 5, 'p_a_allm': 9, 'p_a_min': 4, 'p_h_conj': 3, 'p_h_maj': 7, 'p_h_allm': 10, 'p_h_min': 0, 'mon_p_conj': 5, 'mon_p_maj': 1, 'mon_p_allm': 6, 'mon_p_min': 5, 'e': 0}
Row 7: {'time': '1813-05-22 12:56:23', 'p_a_conj': 1, 'p_a_maj': 4, 'p_a_allm': 5, 'p_a_min': 9, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_allm': 2, 'p_h_min': 0, 'mon_p_conj': 2, 'mon_p_maj': 1, 'mon_p_allm': 3, 'mon_p_min': 2, 'e': 3}
Row 8: {'time': '1813-05-22 16:42:56', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_allm': 3, 'p_a_min': 2, 'p_h_conj': 0, 'p_h_maj': 4, 'p_h_allm': 4, 'p_h_min': 0, 'mon_p_conj': 0, 'mon_p_maj': 4, 'mon_p_allm': 4, 'mon_p_min': 8, 'e': 2}
Row 9: {'time': '1813-05-22 17:53:36', 'p_a_conj': 1, 'p_a_maj': 4, 'p_a_allm': 5, 'p_a_min': 5, 'p_h_conj': 2, 'p_h_maj': 0, 'p_h_allm': 2, 'p_h_min': 6, 'mon_p_conj': 0, 'mon_p_maj': 2, 'mon_p_allm': 2, 'mon_p_min': 3, 'e': 2}
Row 10: {'time': '1813-05-22 16:39:11', 'p_a_conj': 2, 'p_a_maj': 8, 'p_a_allm': 10, 'p_a_min': 3, 'p_h_conj': 2, 'p_h_maj': 4, 'p_h_allm': 6, 'p_h_min': 4, 'mon_p_conj': 0, 'mon_p_maj': 3, 'mon_p_allm': 3, 'mon_p_min': 9, 'e': 0}
Row 11: {'time': '1813-05-22 00:13:28', 'p_a_conj': 2, 'p_a_maj': 4, 'p_a_allm': 6, 'p_a_min': 6, 'p_h_conj': 0, 'p_h_maj': 6, 'p_h_allm': 6, 'p_h_min': 4, 'mon_p_conj': 5, 'mon_p_maj': 4, 'mon_p_allm': 9, 'mon_p_min': 5, 'e': 1}
Row 12: {'time': '1813-05-22 04:43:12', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_allm': 3, 'p_a_min': 4, 'p_h_conj': 0, 'p_h_maj': 7, 'p_h_allm': 7, 'p_h_min': 4, 'mon_p_conj': 1, 'mon_p_maj': 1, 'mon_p_allm': 2, 'mon_p_min': 3, 'e': 1}
Row 13: {'time': '1813-05-22 00:53:04', 'p_a_conj': 0, 'p_a_maj': 8, 'p_a_allm': 8, 'p_a_min': 6, 'p_h_conj': 2, 'p_h_maj': 2, 'p_h_allm': 4, 'p_h_min': 1, 'mon_p_conj': 5, 'mon_p_maj': 6, 'mon_p_allm': 11, 'mon_p_min': 3, 'e': 1}
Row 14: {'time': '1813-05-22 00:57:28', 'p_a_conj': 0, 'p_a_maj': 8, 'p_a_allm': 8, 'p_a_min': 6, 'p_h_conj': 6, 'p_h_maj': 4, 'p_h_allm': 10, 'p_h_min': 4, 'mon_p_conj': 4, 'mon_p_maj': 5, 'mon_p_allm': 9, 'mon_p_min': 3, 'e': 2}
Row 15: {'time': '1813-05-22 13:26:39', 'p_a_conj': 2, 'p_a_maj': 3, 'p_a_allm': 5, 'p_a_min': 11, 'p_h_conj': 0, 'p_h_maj': 8, 'p_h_allm': 8, 'p_h_min': 7, 'mon_p_conj': 2, 'mon_p_maj': 3, 'mon_p_allm': 5, 'mon_p_min': 1, 'e': 0}
Row 16: {'time': '1813-05-22 12:37:43', 'p_a_conj': 2, 'p_a_maj': 4, 'p_a_allm': 6, 'p_a_min': 4, 'p_h_conj': 2, 'p_h_maj': 3, 'p_h_allm': 5, 'p_h_min': 4, 'mon_p_conj': 2, 'mon_p_maj': 1, 'mon_p_allm': 3, 'mon_p_min': 4, 'e': 2}
