['Time', '0: 1870-08-25', '1: 1883-02-13', '2: 1821-09-30', '3: 1836-07-07', '4: 1836-11-24', '5: 1848-01-09', '6: 1865-04-10', '7: 1866-01-25', '8: 1867-02-17', '9: 1869-06-06', 'Count']
['1813-05-21 23:30:32', "(H7,127.068,(r)) (Jupiter,82.570,(p)) (45-semisquare,30')\n(H10,246.107,(r)) (Venus,125.614,(p)) (trine,30')\n(H10,246.107,(r)) (Mars,110.935,(p)) (135-sesquisquare,10')\n(H7,127.068,(r)) (Venus,352.478,(c)) (135-sesquisquare,25')", "(H1,307.068,(r)) (Mars,308.141,(p)) (conjunction,64')\n(H1,307.068,(r)) (Uranus,172.422,(p)) (135-sesquisquare,21')", "(H1,307.068,(r)) (Sun,186.983,(p)) (trine,5')\n(H10,246.107,(r)) (Sun,186.983,(p)) (sextile,53')\n(H1,307.068,(r)) (Pluto,337.972,(c)) (30-semisextile,54')\n(H10,246.107,(r)) (Uranus,200.847,(c)) (45-semisquare,16')", "(H10,246.107,(r)) (Moon,35.649,(p)) (150-quincunx,28')\n(H7,127.068,(r)) (Mercury,352.177,(c)) (135-sesquisquare,7')\n(H10,246.107,(r)) (Uranus,125.463,(c)) (trine,39')", "(H10,246.107,(r)) (Venus,201.537,(p)) (45-semisquare,26')\n(H7,127.068,(r)) (Mercury,216.429,(c)) (square,38')\n(H10,246.107,(r)) (Mercury,216.429,(c)) (30-semisextile,19')\n(H10,246.107,(r)) (Venus,275.201,(c)) (30-semisextile,54')", '5', "(H4,66.107,(r)) (Sun,20.625,(p)) (45-semisquare,29')\n(H4,66.107,(r)) (Mars,95.433,(p)) (30-semisextile,40')\n(H1,307.068,(r)) (Venus,67.573,(c)) (trine,30')", '7', "(H1,307.068,(r)) (Pluto,262.629,(c)) (45-semisquare,34')", "(H1,307.068,(r)) (Mercury,96.963,(p)) (150-quincunx,6')\n(H1,307.068,(r)) (Mars,156.899,(p)) (150-quincunx,10')\n(H4,66.107,(r)) (Mercury,96.963,(p)) (30-semisextile,51')\n(H4,66.107,(r)) (Mars,156.899,(p)) (square,48')\n(H1,307.068,(r)) (Uranus,352.108,(c)) (45-semisquare,2')\n(H4,66.107,(r)) (Venus,35.683,(c)) (30-semisextile,25')", 27]
['1813-05-22 05:54:00', "(H10,338.735,(r)) (Uranus,114.646,(p)) (135-sesquisquare,55')\n(H7,281.354,(r)) (Sun,326.812,(c)) (45-semisquare,27')\n(H7,281.354,(r)) (Moon,145.401,(c)) (135-sesquisquare,57')\n(H7,281.354,(r)) (Mercury,342.168,(c)) (sextile,49')\n(H7,281.354,(r)) (Mean_Node,161.833,(c)) (trine,29')", "(H10,338.735,(r)) (Mars,308.141,(p)) (30-semisextile,36')\n(H10,338.735,(r)) (Saturn,158.411,(c)) (opposition,19')\n(H10,338.735,(r)) (Uranus,293.635,(c)) (45-semisquare,6')", "(H10,338.735,(r)) (Saturn,24.528,(p)) (45-semisquare,48')\n(H10,338.735,(r)) (Pluto,337.983,(c)) (conjunction,45')", "(H7,281.354,(r)) (Venus,130.980,(p)) (150-quincunx,22')\n(H10,338.735,(r)) (Jupiter,114.519,(p)) (135-sesquisquare,47')\n(H7,281.354,(r)) (Mean_Node,221.660,(c)) (sextile,18')", "(H10,338.735,(r)) (Mean_Node,39.608,(p)) (sextile,52')\n(H10,338.735,(r)) (Moon,218.844,(c)) (trine,7')\n(H10,338.735,(r)) (Uranus,129.565,(c)) (150-quincunx,50')", "(H1,101.354,(r)) (Moon,326.446,(p)) (135-sesquisquare,5')\n(H4,158.735,(r)) (Mars,38.510,(p)) (trine,13')\n(H4,158.735,(r)) (Saturn,339.179,(p)) (opposition,27')\n(H4,158.735,(r)) (Sun,188.853,(c)) (30-semisextile,7')", "(H1,101.354,(r)) (Pluto,42.235,(p)) (sextile,53')\n(H4,158.735,(r)) (Uranus,9.065,(c)) (150-quincunx,20')", "(H4,158.735,(r)) (Neptune,8.182,(p)) (150-quincunx,33')\n(H7,281.354,(r)) (Moon,56.672,(p)) (135-sesquisquare,19')\n(H7,281.354,(r)) (Saturn,221.773,(p)) (sextile,25')\n(H7,281.354,(r)) (Pluto,42.254,(p)) (trine,54')\n(H7,281.354,(r)) (Moon,235.565,(c)) (45-semisquare,47')", "(H1,101.354,(r)) (Moon,131.039,(p)) (30-semisextile,19')\n(H1,101.354,(r)) (Venus,281.726,(p)) (opposition,22')\n(H1,101.354,(r)) (Mars,101.177,(p)) (conjunction,11')", "(H1,101.354,(r)) (Mean_Node,130.409,(p)) (30-semisextile,57')\n(H4,158.735,(r)) (Jupiter,38.900,(p)) (trine,10')\n(H1,101.354,(r)) (Moon,251.822,(c)) (150-quincunx,28')", 33]
['1813-05-21 23:54:24', "(H7,137.192,(r)) (Mean_Node,106.844,(p)) (30-semisextile,21')\n(H10,251.730,(r)) (Mercury,341.341,(c)) (square,23')\n(H10,251.730,(r)) (Mean_Node,161.860,(c)) (square,8')", "(H1,317.192,(r)) (Neptune,46.124,(p)) (square,64')\n(H10,251.730,(r)) (Moon,42.755,(p)) (150-quincunx,62')", "(H10,251.730,(r)) (Mean_Node,296.054,(c)) (45-semisquare,41')", "(H7,137.192,(r)) (Mean_Node,47.022,(p)) (square,10')\n(H10,251.730,(r)) (Venus,130.980,(p)) (trine,45')\n(H10,251.730,(r)) (Mean_Node,221.686,(c)) (30-semisextile,3')", "(H7,137.192,(r)) (Moon,76.480,(p)) (sextile,43')\n(H7,137.192,(r)) (Jupiter,137.967,(p)) (conjunction,47')", '5', "(H4,71.730,(r)) (Pluto,42.235,(p)) (30-semisextile,30')\n(H1,317.192,(r)) (Jupiter,3.099,(c)) (45-semisquare,54')", "(H4,71.730,(r)) (Venus,297.711,(p)) (135-sesquisquare,59')\n(H4,71.730,(r)) (Saturn,221.773,(p)) (150-quincunx,3')\n(H4,71.730,(r)) (Pluto,42.254,(p)) (30-semisextile,31')\n(H7,137.192,(r)) (Mars,227.059,(c)) (square,8')", "(H1,317.192,(r)) (Jupiter,317.772,(p)) (conjunction,35')\n(H4,71.730,(r)) (Moon,131.039,(p)) (sextile,41')\n(H4,71.730,(r)) (Venus,281.726,(p)) (150-quincunx,0')\n(H4,71.730,(r)) (Mars,101.177,(p)) (30-semisextile,33')", "(H1,317.192,(r)) (Pluto,47.175,(p)) (square,1')", 22]
['1813-05-22 10:10:07', "(H10,47.032,(r)) (Mean_Node,106.844,(p)) (sextile,11')\n(H7,328.022,(r)) (Sun,327.170,(c)) (conjunction,51')", "(H1,148.022,(r)) (Pluto,58.298,(p)) (square,17')\n(H10,47.032,(r)) (Neptune,46.124,(p)) (conjunction,54')\n(H1,148.022,(r)) (Neptune,103.628,(c)) (45-semisquare,36')", "(H1,148.022,(r)) (Pluto,358.637,(p)) (150-quincunx,37')\n(H1,148.022,(r)) (Neptune,237.501,(c)) (square,31')\n(H10,47.032,(r)) (Saturn,195.988,(c)) (150-quincunx,63')", "(H10,47.032,(r)) (Mercury,91.062,(p)) (45-semisquare,58')\n(H10,47.032,(r)) (Mean_Node,47.022,(p)) (conjunction,1')\n(H10,47.032,(r)) (Moon,272.724,(c)) (135-sesquisquare,42')", "(H10,47.032,(r)) (Moon,76.480,(p)) (30-semisextile,33')\n(H10,47.032,(r)) (Jupiter,137.967,(p)) (square,56')", "(H1,148.022,(r)) (Neptune,328.600,(p)) (opposition,35')", "(H1,148.022,(r)) (Moon,193.165,(p)) (45-semisquare,9')\n(H1,148.022,(r)) (Jupiter,268.974,(p)) (trine,57')\n(H1,148.022,(r)) (Pluto,267.959,(c)) (trine,4')\n(H1,148.022,(r)) (Mean_Node,57.863,(c)) (square,10')", "(H7,328.022,(r)) (Venus,297.711,(p)) (30-semisextile,19')\n(H7,328.022,(r)) (Mars,283.952,(p)) (45-semisquare,56')\n(H4,227.032,(r)) (Venus,181.225,(c)) (45-semisquare,48')\n(H4,227.032,(r)) (Mars,227.643,(c)) (conjunction,37')", "(H1,148.022,(r)) (Sun,328.405,(p)) (opposition,23')\n(H4,227.032,(r)) (Jupiter,317.772,(p)) (square,44')\n(H1,148.022,(r)) (Mercury,177.999,(c)) (30-semisextile,1')\n(H1,148.022,(r)) (Jupiter,283.048,(c)) (135-sesquisquare,2')\n(H4,227.032,(r)) (Venus,196.704,(c)) (30-semisextile,20')", "(H4,227.032,(r)) (Pluto,47.175,(p)) (opposition,9')\n(H1,148.022,(r)) (Mars,13.982,(c)) (135-sesquisquare,58')\n(H4,227.032,(r)) (Moon,257.009,(c)) (30-semisextile,1')", 30]
['1813-05-21 23:51:44', "(H7,135.992,(r)) (Mean_Node,106.844,(p)) (30-semisextile,51')\n(H7,135.992,(r)) (Mars,90.212,(c)) (45-semisquare,47')\n(H10,251.105,(r)) (Mercury,341.335,(c)) (square,14')\n(H10,251.105,(r)) (Mean_Node,161.860,(c)) (square,45')", "(H1,315.992,(r)) (Neptune,46.124,(p)) (square,8')\n(H1,315.992,(r)) (Mean_Node,225.647,(p)) (square,21')\n(H10,251.105,(r)) (Mars,205.205,(c)) (45-semisquare,54')", "(H1,315.992,(r)) (Neptune,270.388,(p)) (45-semisquare,36')\n(H1,315.992,(r)) (Mars,136.079,(c)) (opposition,5')\n(H1,315.992,(r)) (Saturn,195.966,(c)) (trine,2')\n(H10,251.105,(r)) (Mean_Node,296.054,(c)) (45-semisquare,3')", "(H7,135.992,(r)) (Sun,105.304,(p)) (30-semisextile,41')\n(H7,135.992,(r)) (Mercury,91.062,(p)) (45-semisquare,4')\n(H7,135.992,(r)) (Mean_Node,47.022,(p)) (square,62')\n(H10,251.105,(r)) (Venus,130.980,(p)) (trine,7')\n(H10,251.105,(r)) (Mean_Node,221.687,(c)) (30-semisextile,35')", "(H7,135.992,(r)) (Moon,76.480,(p)) (sextile,29')", '5', '6', "(H4,71.105,(r)) (Saturn,221.773,(p)) (150-quincunx,40')\n(H7,135.992,(r)) (Uranus,90.574,(p)) (45-semisquare,25')\n(H7,135.992,(r)) (Mean_Node,195.442,(p)) (sextile,33')\n(H7,135.992,(r)) (Venus,180.157,(c)) (45-semisquare,50')\n(H7,135.992,(r)) (Mars,227.056,(c)) (square,64')", "(H4,71.105,(r)) (Moon,131.039,(p)) (sextile,4')\n(H4,71.105,(r)) (Venus,281.726,(p)) (150-quincunx,37')\n(H4,71.105,(r)) (Mars,101.177,(p)) (30-semisextile,4')\n(H1,315.992,(r)) (Venus,195.900,(c)) (trine,6')\n(H1,315.992,(r)) (Mars,105.358,(c)) (150-quincunx,38')\n(H1,315.992,(r)) (Uranus,0.299,(c)) (45-semisquare,42')", "(H1,315.992,(r)) (Sun,75.751,(p)) (trine,14')\n(H1,315.992,(r)) (Uranus,105.692,(p)) (150-quincunx,18')\n(H4,71.105,(r)) (Mean_Node,130.409,(p)) (sextile,42')\n(H1,315.992,(r)) (Sun,45.071,(c)) (square,55')", 32]
['1813-05-22 02:35:28', "(H7,224.225,(r)) (Moon,133.979,(p)) (square,15')\n(H7,224.225,(r)) (Mars,90.236,(c)) (135-sesquisquare,61')\n(H7,224.225,(r)) (Uranus,344.186,(c)) (trine,2')\n(H10,289.009,(r)) (Jupiter,198.287,(c)) (square,43')", "(H10,289.009,(r)) (Saturn,49.794,(p)) (trine,47')\n(H1,44.225,(r)) (Neptune,103.611,(c)) (sextile,37')\n(H1,44.225,(r)) (Pluto,224.087,(c)) (opposition,8')\n(H10,289.009,(r)) (Sun,153.901,(c)) (135-sesquisquare,6')", "(H1,44.225,(r)) (Uranus,269.350,(p)) (135-sesquisquare,7')\n(H1,44.225,(r)) (Pluto,358.637,(p)) (45-semisquare,35')", "(H7,224.225,(r)) (Sun,105.304,(p)) (trine,65')\n(H10,289.009,(r)) (Uranus,334.201,(p)) (45-semisquare,12')\n(H7,224.225,(r)) (Sun,15.102,(c)) (150-quincunx,53')\n(H7,224.225,(r)) (Mars,133.340,(c)) (square,53')", "(H10,289.009,(r)) (Jupiter,137.967,(p)) (150-quincunx,62')\n(H10,289.009,(r)) (Mean_Node,229.088,(c)) (sextile,5')", "(H1,44.225,(r)) (Uranus,14.416,(p)) (30-semisextile,11')\n(H4,109.009,(r)) (Sun,288.430,(p)) (opposition,35')\n(H4,109.009,(r)) (Venus,243.382,(p)) (135-sesquisquare,38')\n(H1,44.225,(r)) (Saturn,223.426,(c)) (opposition,48')\n(H1,44.225,(r)) (Neptune,179.397,(c)) (135-sesquisquare,10')\n(H4,109.009,(r)) (Uranus,79.650,(c)) (30-semisextile,38')", "(H1,44.225,(r)) (Moon,193.165,(p)) (150-quincunx,64')\n(H1,44.225,(r)) (Jupiter,268.974,(p)) (135-sesquisquare,15')", "(H7,224.225,(r)) (Mars,283.952,(p)) (sextile,16')\n(H7,224.225,(r)) (Mean_Node,73.253,(c)) (150-quincunx,58')", "(H1,44.225,(r)) (Pluto,43.279,(p)) (conjunction,57')\n(H4,109.009,(r)) (Mercury,333.146,(p)) (135-sesquisquare,52')\n(H1,44.225,(r)) (Uranus,0.291,(c)) (45-semisquare,64')", "(H1,44.225,(r)) (Sun,45.291,(c)) (conjunction,64')\n(H1,44.225,(r)) (Mars,13.500,(c)) (30-semisextile,43')\n(H1,44.225,(r)) (Jupiter,223.554,(c)) (opposition,40')\n(H4,109.009,(r)) (Mean_Node,138.281,(c)) (30-semisextile,44')", 33]
['1813-05-22 12:56:23', "(H10,86.552,(r)) (Mercury,175.540,(p)) (square,61')\n(H7,357.344,(r)) (Sun,327.403,(c)) (30-semisextile,4')\n(H10,86.552,(r)) (Sun,327.403,(c)) (trine,51')", "(H1,177.344,(r)) (Moon,42.755,(p)) (135-sesquisquare,25')\n(H1,177.344,(r)) (Pluto,58.298,(p)) (trine,57')\n(H1,177.344,(r)) (Mean_Node,43.006,(c)) (135-sesquisquare,40')\n(H10,86.552,(r)) (Mars,205.918,(c)) (trine,38')", "(H1,177.344,(r)) (Neptune,237.507,(c)) (sextile,10')\n(H10,86.552,(r)) (Neptune,237.507,(c)) (150-quincunx,57')\n(H10,86.552,(r)) (Mean_Node,295.996,(c)) (150-quincunx,33')", "(H10,86.552,(r)) (Venus,130.980,(p)) (45-semisquare,34')\n(H7,357.344,(r)) (Mean_Node,221.629,(c)) (135-sesquisquare,43')\n(H10,86.552,(r)) (Mean_Node,221.629,(c)) (135-sesquisquare,5')", '4', "(H1,177.344,(r)) (Moon,326.446,(p)) (150-quincunx,54')\n(H4,266.552,(r)) (Moon,326.446,(p)) (sextile,6')", "(H1,177.344,(r)) (Pluto,42.235,(p)) (135-sesquisquare,7')\n(H4,266.552,(r)) (Uranus,86.031,(p)) (opposition,31')\n(H4,266.552,(r)) (Pluto,42.235,(p)) (135-sesquisquare,41')\n(H1,177.344,(r)) (Pluto,267.953,(c)) (square,37')\n(H1,177.344,(r)) (Mean_Node,57.851,(c)) (trine,30')", "(H4,266.552,(r)) (Moon,56.672,(p)) (150-quincunx,7')\n(H4,266.552,(r)) (Saturn,221.773,(p)) (45-semisquare,13')\n(H4,266.552,(r)) (Pluto,42.254,(p)) (135-sesquisquare,42')\n(H7,357.344,(r)) (Moon,56.672,(p)) (sextile,40')\n(H7,357.344,(r)) (Venus,297.711,(p)) (sextile,22')\n(H7,357.344,(r)) (Saturn,221.773,(p)) (135-sesquisquare,34')\n(H7,357.344,(r)) (Pluto,42.254,(p)) (45-semisquare,5')\n(H4,266.552,(r)) (Saturn,355.473,(c)) (square,65')", "(H1,177.344,(r)) (Sun,328.405,(p)) (150-quincunx,64')\n(H1,177.344,(r)) (Pluto,43.279,(p)) (135-sesquisquare,56')\n(H4,266.552,(r)) (Moon,131.039,(p)) (135-sesquisquare,31')\n(H1,177.344,(r)) (Mercury,178.217,(c)) (conjunction,52')", '9', 32]
['1813-05-22 16:42:56', "(H7,37.288,(r)) (Jupiter,82.570,(p)) (45-semisquare,17')\n(H10,140.629,(r)) (Mars,110.935,(p)) (30-semisextile,18')\n(H7,37.288,(r)) (Moon,157.479,(c)) (trine,11')", "(H1,217.288,(r)) (Mars,308.141,(p)) (square,51')\n(H1,217.288,(r)) (Uranus,172.422,(p)) (45-semisquare,8')\n(H10,140.629,(r)) (Saturn,49.794,(p)) (square,50')", "(H1,217.288,(r)) (Sun,186.983,(p)) (30-semisextile,18')\n(H1,217.288,(r)) (Pluto,338.000,(c)) (trine,43')\n(H10,140.629,(r)) (Sun,291.325,(c)) (150-quincunx,42')\n(H10,140.629,(r)) (Uranus,200.866,(c)) (sextile,14')", "(H10,140.629,(r)) (Venus,350.343,(c)) (150-quincunx,17')\n(H10,140.629,(r)) (Jupiter,141.447,(c)) (conjunction,49')", "(H10,140.629,(r)) (Mercury,230.497,(p)) (square,8')\n(H10,140.629,(r)) (Venus,201.537,(p)) (sextile,54')\n(H10,140.629,(r)) (Mars,140.886,(p)) (conjunction,15')\n(H7,37.288,(r)) (Mercury,216.785,(c)) (opposition,30')\n(H7,37.288,(r)) (Venus,276.898,(c)) (trine,23')\n(H10,140.629,(r)) (Mars,141.437,(c)) (conjunction,49')", "(H4,320.629,(r)) (Uranus,79.643,(c)) (trine,59')", "(H4,320.629,(r)) (Sun,20.625,(p)) (sextile,0')\n(H4,320.629,(r)) (Mars,95.433,(p)) (135-sesquisquare,12')\n(H1,217.288,(r)) (Venus,67.806,(c)) (150-quincunx,31')", "(H7,37.288,(r)) (Neptune,8.182,(p)) (30-semisextile,54')\n(H4,320.629,(r)) (Neptune,140.749,(c)) (opposition,7')\n(H7,37.288,(r)) (Moon,246.215,(c)) (150-quincunx,64')", "(H1,217.288,(r)) (Pluto,262.621,(c)) (45-semisquare,20')", "(H1,217.288,(r)) (Mercury,96.963,(p)) (trine,20')\n(H1,217.288,(r)) (Venus,83.322,(p)) (135-sesquisquare,62')\n(H1,217.288,(r)) (Mars,156.899,(p)) (sextile,23')\n(H1,217.288,(r)) (Venus,37.446,(c)) (opposition,9')\n(H1,217.288,(r)) (Uranus,352.163,(c)) (135-sesquisquare,7')\n(H4,320.629,(r)) (Pluto,260.306,(c)) (sextile,19')", 32]
['1813-05-22 17:53:36', "(H10,159.154,(r)) (Uranus,114.646,(p)) (45-semisquare,30')\n(H10,159.154,(r)) (Moon,158.807,(c)) (conjunction,21')", "(H1,229.720,(r)) (Saturn,49.794,(p)) (opposition,4')\n(H10,159.154,(r)) (Mars,308.141,(p)) (150-quincunx,61')\n(H10,159.154,(r)) (Saturn,158.537,(c)) (conjunction,37')\n(H10,159.154,(r)) (Uranus,293.608,(c)) (135-sesquisquare,33')", "(H10,159.154,(r)) (Saturn,24.528,(p)) (135-sesquisquare,22')", "(H10,159.154,(r)) (Jupiter,114.519,(p)) (45-semisquare,22')\n(H7,49.720,(r)) (Venus,350.332,(c)) (sextile,37')", "(H7,49.720,(r)) (Mercury,230.497,(p)) (opposition,47')\n(H10,159.154,(r)) (Mean_Node,39.608,(p)) (trine,27')\n(H7,49.720,(r)) (Mean_Node,229.021,(c)) (opposition,42')\n(H10,159.154,(r)) (Uranus,129.563,(c)) (30-semisextile,25')", "(H1,229.720,(r)) (Mean_Node,184.461,(p)) (45-semisquare,16')\n(H4,339.154,(r)) (Mars,38.510,(p)) (sextile,39')\n(H4,339.154,(r)) (Saturn,339.179,(p)) (conjunction,2')\n(H4,339.154,(r)) (Pluto,24.935,(p)) (45-semisquare,47')\n(H1,229.720,(r)) (Uranus,79.642,(c)) (150-quincunx,5')\n(H4,339.154,(r)) (Sun,189.839,(c)) (150-quincunx,41')", "(H1,229.720,(r)) (Sun,20.625,(p)) (150-quincunx,54')\n(H1,229.720,(r)) (Mars,95.433,(p)) (135-sesquisquare,43')\n(H4,339.154,(r)) (Mercury,39.895,(p)) (sextile,44')\n(H1,229.720,(r)) (Moon,110.204,(c)) (trine,29')\n(H4,339.154,(r)) (Uranus,9.074,(c)) (30-semisextile,5')", "(H4,339.154,(r)) (Neptune,8.182,(p)) (30-semisextile,58')\n(H7,49.720,(r)) (Neptune,140.752,(c)) (square,62')", "(H1,229.720,(r)) (Uranus,94.541,(p)) (135-sesquisquare,11')\n(H1,229.720,(r)) (Mean_Node,93.731,(c)) (135-sesquisquare,59')", "(H4,339.154,(r)) (Jupiter,38.900,(p)) (sextile,15')\n(H1,229.720,(r)) (Pluto,260.304,(c)) (30-semisextile,35')", 30]
['1813-05-22 16:39:11', "(H7,36.634,(r)) (Venus,125.614,(p)) (square,61')\n(H7,36.634,(r)) (Jupiter,82.570,(p)) (45-semisquare,56')\n(H7,36.634,(r)) (Moon,157.409,(c)) (trine,47')", "(H1,216.634,(r)) (Uranus,172.422,(p)) (45-semisquare,47')\n(H10,139.675,(r)) (Saturn,49.794,(p)) (square,7')", "(H1,216.634,(r)) (Sun,186.983,(p)) (30-semisextile,21')", "(H7,36.634,(r)) (Moon,35.649,(p)) (conjunction,59')\n(H10,139.675,(r)) (Venus,350.344,(c)) (150-quincunx,40')", "(H10,139.675,(r)) (Mercury,230.497,(p)) (square,49')\n(H7,36.634,(r)) (Mercury,216.783,(c)) (opposition,9')\n(H7,36.634,(r)) (Venus,276.892,(c)) (trine,15')\n(H10,139.675,(r)) (Mean_Node,229.026,(c)) (square,39')", "(H4,319.675,(r)) (Mean_Node,184.461,(p)) (135-sesquisquare,13')\n(H4,319.675,(r)) (Uranus,79.643,(c)) (trine,2')", "(H4,319.675,(r)) (Sun,20.625,(p)) (sextile,57')\n(H4,319.675,(r)) (Mars,95.433,(p)) (135-sesquisquare,45')\n(H4,319.675,(r)) (Moon,108.629,(c)) (150-quincunx,63')", "(H4,319.675,(r)) (Neptune,140.749,(c)) (opposition,64')\n(H7,36.634,(r)) (Moon,246.154,(c)) (150-quincunx,29')", "(H4,319.675,(r)) (Uranus,94.541,(p)) (135-sesquisquare,8')\n(H1,216.634,(r)) (Pluto,262.621,(c)) (45-semisquare,59')\n(H4,319.675,(r)) (Mean_Node,93.737,(c)) (135-sesquisquare,56')", "(H1,216.634,(r)) (Mercury,96.963,(p)) (trine,20')\n(H1,216.634,(r)) (Mars,156.899,(p)) (sextile,16')\n(H1,216.634,(r)) (Venus,37.439,(c)) (opposition,48')\n(H1,216.634,(r)) (Uranus,352.163,(c)) (135-sesquisquare,32')\n(H4,319.675,(r)) (Pluto,260.306,(c)) (sextile,38')", 27]
