Row 4: {'time': '1813-05-22 10:10:07', 'p_a_conj': 9, 'p_a_maj': 3, 'p_a_allm': 12, 'p_a_min': 4, 'p_h_conj': 1, 'p_h_maj': 4, 'p_h_allm': 5, 'p_h_min': 3, 'mon_p_conj': 3, 'mon_p_maj': 3, 'mon_p_allm': 6, 'mon_p_min': 1, 'e': 0, 'all_conj': 13}
Row 5: {'time': '1813-05-21 23:51:44', 'p_a_conj': 2, 'p_a_maj': 5, 'p_a_allm': 7, 'p_a_min': 7, 'p_h_conj': 3, 'p_h_maj': 1, 'p_h_allm': 4, 'p_h_min': 3, 'mon_p_conj': 5, 'mon_p_maj': 4, 'mon_p_allm': 9, 'mon_p_min': 4, 'e': 1, 'all_conj': 10}
Row 6: {'time': '1813-05-22 02:35:28', 'p_a_conj': 4, 'p_a_maj': 5, 'p_a_allm': 9, 'p_a_min': 4, 'p_h_conj': 3, 'p_h_maj': 7, 'p_h_allm': 10, 'p_h_min': 0, 'mon_p_conj': 5, 'mon_p_maj': 1, 'mon_p_allm': 6, 'mon_p_min': 5, 'e': 0, 'all_conj': 12}
Row 14: {'time': '1813-05-22 00:57:28', 'p_a_conj': 0, 'p_a_maj': 8, 'p_a_allm': 8, 'p_a_min': 6, 'p_h_conj': 6, 'p_h_maj': 4, 'p_h_allm': 10, 'p_h_min': 4, 'mon_p_conj': 4, 'mon_p_maj': 5, 'mon_p_allm': 9, 'mon_p_min': 3, 'e': 2, 'all_conj': 10}
Row 18: {'time': '1813-05-22 19:08:47', 'p_a_conj': 5, 'p_a_maj': 6, 'p_a_allm': 11, 'p_a_min': 2, 'p_h_conj': 5, 'p_h_maj': 3, 'p_h_allm': 8, 'p_h_min': 3, 'mon_p_conj': 0, 'mon_p_maj': 3, 'mon_p_allm': 3, 'mon_p_min': 3, 'e': 0, 'all_conj': 10}
Row 23: {'time': '1813-05-21 23:18:24', 'p_a_conj': 6, 'p_a_maj': 2, 'p_a_allm': 8, 'p_a_min': 4, 'p_h_conj': 2, 'p_h_maj': 3, 'p_h_allm': 5, 'p_h_min': 6, 'mon_p_conj': 4, 'mon_p_maj': 1, 'mon_p_allm': 5, 'mon_p_min': 1, 'e': 1, 'all_conj': 12}
Row 60: {'time': '1813-05-21 23:32:24', 'p_a_conj': 3, 'p_a_maj': 3, 'p_a_allm': 6, 'p_a_min': 5, 'p_h_conj': 2, 'p_h_maj': 5, 'p_h_allm': 7, 'p_h_min': 2, 'mon_p_conj': 5, 'mon_p_maj': 1, 'mon_p_allm': 6, 'mon_p_min': 1, 'e': 0, 'all_conj': 10}
Row 90: {'time': '1813-05-22 02:19:44', 'p_a_conj': 2, 'p_a_maj': 6, 'p_a_allm': 8, 'p_a_min': 6, 'p_h_conj': 4, 'p_h_maj': 2, 'p_h_allm': 6, 'p_h_min': 5, 'mon_p_conj': 5, 'mon_p_maj': 2, 'mon_p_allm': 7, 'mon_p_min': 5, 'e': 0, 'all_conj': 11}
Row 107: {'time': '1813-05-22 20:33:28', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_allm': 4, 'p_a_min': 9, 'p_h_conj': 3, 'p_h_maj': 1, 'p_h_allm': 4, 'p_h_min': 2, 'mon_p_conj': 5, 'mon_p_maj': 4, 'mon_p_allm': 9, 'mon_p_min': 3, 'e': 1, 'all_conj': 10}
Row 127: {'time': '1813-05-22 20:42:08', 'p_a_conj': 3, 'p_a_maj': 3, 'p_a_allm': 6, 'p_a_min': 5, 'p_h_conj': 6, 'p_h_maj': 1, 'p_h_allm': 7, 'p_h_min': 4, 'mon_p_conj': 5, 'mon_p_maj': 4, 'mon_p_allm': 9, 'mon_p_min': 4, 'e': 1, 'all_conj': 14}
Row 131: {'time': '1813-05-22 01:04:07', 'p_a_conj': 4, 'p_a_maj': 8, 'p_a_allm': 12, 'p_a_min': 3, 'p_h_conj': 2, 'p_h_maj': 2, 'p_h_allm': 4, 'p_h_min': 4, 'mon_p_conj': 4, 'mon_p_maj': 4, 'mon_p_allm': 8, 'mon_p_min': 3, 'e': 1, 'all_conj': 10}
Row 137: {'time': '1813-05-22 08:11:44', 'p_a_conj': 5, 'p_a_maj': 2, 'p_a_allm': 7, 'p_a_min': 3, 'p_h_conj': 2, 'p_h_maj': 1, 'p_h_allm': 3, 'p_h_min': 1, 'mon_p_conj': 4, 'mon_p_maj': 1, 'mon_p_allm': 5, 'mon_p_min': 2, 'e': 1, 'all_conj': 11}
Row 149: {'time': '1813-05-22 20:52:48', 'p_a_conj': 5, 'p_a_maj': 0, 'p_a_allm': 5, 'p_a_min': 3, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_allm': 2, 'p_h_min': 1, 'mon_p_conj': 5, 'mon_p_maj': 5, 'mon_p_allm': 10, 'mon_p_min': 5, 'e': 0, 'all_conj': 11}
