Row 2: {'time': '2000-03-11 10:39:19', 'p_a_conj': 3, 'p_a_maj': 7, 'p_a_allm': 10, 'p_a_min': 6, 'p_h_conj': 1, 'p_h_maj': 4, 'p_h_allm': 5, 'p_h_min': 15, 'mon_p_conj': 6, 'mon_p_maj': 4, 'mon_p_allm': 10, 'mon_p_min': 4, 'e': 2, 'all_conj': 10}
Row 7: {'time': '2000-03-11 15:00:31', 'p_a_conj': 8, 'p_a_maj': 6, 'p_a_allm': 14, 'p_a_min': 0, 'p_h_conj': 1, 'p_h_maj': 7, 'p_h_allm': 8, 'p_h_min': 10, 'mon_p_conj': 3, 'mon_p_maj': 5, 'mon_p_allm': 8, 'mon_p_min': 8, 'e': 0, 'all_conj': 12}
Row 13: {'time': '2000-03-11 09:23:36', 'p_a_conj': 7, 'p_a_maj': 9, 'p_a_allm': 16, 'p_a_min': 22, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_allm': 2, 'p_h_min': 6, 'mon_p_conj': 3, 'mon_p_maj': 4, 'mon_p_allm': 7, 'mon_p_min': 6, 'e': 2, 'all_conj': 10}
Row 23: {'time': '2000-03-11 02:21:28', 'p_a_conj': 2, 'p_a_maj': 6, 'p_a_allm': 8, 'p_a_min': 8, 'p_h_conj': 6, 'p_h_maj': 4, 'p_h_allm': 10, 'p_h_min': 2, 'mon_p_conj': 2, 'mon_p_maj': 3, 'mon_p_allm': 5, 'mon_p_min': 5, 'e': 2, 'all_conj': 10}
Row 26: {'time': '2000-03-11 17:53:52', 'p_a_conj': 6, 'p_a_maj': 9, 'p_a_allm': 15, 'p_a_min': 13, 'p_h_conj': 3, 'p_h_maj': 1, 'p_h_allm': 4, 'p_h_min': 5, 'mon_p_conj': 3, 'mon_p_maj': 2, 'mon_p_allm': 5, 'mon_p_min': 7, 'e': 1, 'all_conj': 12}
Row 48: {'time': '2000-03-11 10:27:27', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_allm': 4, 'p_a_min': 16, 'p_h_conj': 3, 'p_h_maj': 3, 'p_h_allm': 6, 'p_h_min': 0, 'mon_p_conj': 6, 'mon_p_maj': 4, 'mon_p_allm': 10, 'mon_p_min': 5, 'e': 1, 'all_conj': 10}
Row 64: {'time': '2000-03-11 03:20:39', 'p_a_conj': 10, 'p_a_maj': 4, 'p_a_allm': 14, 'p_a_min': 11, 'p_h_conj': 2, 'p_h_maj': 3, 'p_h_allm': 5, 'p_h_min': 6, 'mon_p_conj': 2, 'mon_p_maj': 3, 'mon_p_allm': 5, 'mon_p_min': 5, 'e': 0, 'all_conj': 14}
Row 65: {'time': '2000-03-11 10:15:35', 'p_a_conj': 4, 'p_a_maj': 8, 'p_a_allm': 12, 'p_a_min': 20, 'p_h_conj': 0, 'p_h_maj': 3, 'p_h_allm': 3, 'p_h_min': 4, 'mon_p_conj': 6, 'mon_p_maj': 5, 'mon_p_allm': 11, 'mon_p_min': 4, 'e': 1, 'all_conj': 10}
Row 71: {'time': '2000-03-11 11:06:16', 'p_a_conj': 2, 'p_a_maj': 10, 'p_a_allm': 12, 'p_a_min': 10, 'p_h_conj': 3, 'p_h_maj': 10, 'p_h_allm': 13, 'p_h_min': 8, 'mon_p_conj': 6, 'mon_p_maj': 5, 'mon_p_allm': 11, 'mon_p_min': 3, 'e': 0, 'all_conj': 11}
Row 79: {'time': '2000-03-11 10:05:43', 'p_a_conj': 7, 'p_a_maj': 8, 'p_a_allm': 15, 'p_a_min': 3, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 1, 'mon_p_conj': 4, 'mon_p_maj': 5, 'mon_p_allm': 9, 'mon_p_min': 5, 'e': 2, 'all_conj': 12}
Row 81: {'time': '2000-03-11 10:06:47', 'p_a_conj': 3, 'p_a_maj': 10, 'p_a_allm': 13, 'p_a_min': 2, 'p_h_conj': 2, 'p_h_maj': 1, 'p_h_allm': 3, 'p_h_min': 2, 'mon_p_conj': 6, 'mon_p_maj': 5, 'mon_p_allm': 11, 'mon_p_min': 5, 'e': 2, 'all_conj': 11}
