['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2013-12-12', '3: 2014-03-24', '4: 2015-05-27', '5: 2017-09-15', '6: 2018-02-19', '7: 2019-05-22', '8: 2019-08-13', '9: 2021-04-06', '10: 2021-07-10', '11: 2022-01-03', '12: 2022-05-25', '13: 2024-02-28', '14: 2024-03-08', 'Count']
['2000-03-11 10:39:18', "(H4,177.024,(r)) (Neptune,296.999,(c)) (trine,1')", "(H3,142.578,(r)) (Mercury,322.613,(c)) (opposition,2')", "(H3,142.578,(r)) (Mars,7.587,(c)) (135-sesquisquare,1')", "(Moon,57.019,(r)) (H4,192.072,(d)) (135-sesquisquare,3')", "(Saturn,43.334,(r)) (H4,193.325,(d)) (150-quincunx,1')\n(Uranus,318.705,(r)) (H8,273.791,(c)) (45-semisquare,5')\n(H4,177.024,(r)) (Venus,311.988,(c)) (135-sesquisquare,2')", '5', '6', "(H1,76.531,(r)) (Neptune,286.622,(c)) (150-quincunx,6')\n(H10,357.024,(r)) (Mercury,312.065,(c)) (45-semisquare,2')", "(Mars,21.409,(r)) (H10,336.365,(c)) (45-semisquare,3')", "(H4,177.024,(r)) (Mars,42.077,(d)) (135-sesquisquare,3')", '10', '11', "(H10,357.024,(r)) (Mercury,357.052,(d)) (conjunction,2')\n(Mercury,333.394,(r)) (H10,333.462,(c)) (conjunction,4')\n(Venus,327.480,(r)) (H1,57.565,(c)) (square,5')", "(H4,177.024,(r)) (Jupiter,57.059,(d)) (trine,2')\n(H4,177.024,(r)) (Mean_Node,147.103,(d)) (30-semisextile,5')", "(H10,357.024,(r)) (Jupiter,57.081,(d)) (sextile,3')", 220]
['2000-03-11 15:00:30', "(Saturn,43.352,(r)) (H1,133.378,(c)) (square,2')\n(Saturn,43.352,(r)) (H7,313.378,(c)) (square,2')", "(Pluto,252.898,(r)) (H4,253.064,(d)) (conjunction,10')", "(H3,217.440,(r)) (Mars,37.338,(d)) (opposition,6')\n(Mars,21.544,(r)) (H10,51.613,(c)) (30-semisextile,4')", "(Sun,351.347,(r)) (H4,231.342,(c)) (trine,0')\n(H4,244.705,(r)) (Jupiter,19.703,(c)) (135-sesquisquare,0')", "(Uranus,318.714,(r)) (H4,258.723,(d)) (sextile,1')\n(Neptune,305.692,(r)) (H1,125.734,(c)) (opposition,3')\n(H8,3.490,(r)) (Mars,3.599,(c)) (conjunction,7')", '5', "(H3,217.440,(r)) (Venus,307.484,(c)) (square,3')", '7', "(Uranus,318.714,(r)) (H1,168.806,(d)) (150-quincunx,6')\n(H1,143.557,(r)) (Saturn,23.556,(c)) (trine,0')", '9', "(Mercury,333.330,(r)) (H12,93.277,(c)) (trine,3')", '11', "(H10,64.705,(r)) (Sun,19.691,(d)) (45-semisquare,1')\n(Venus,327.704,(r)) (H9,12.705,(c)) (45-semisquare,0')", '13', "(Uranus,318.714,(r)) (H6,318.871,(d)) (conjunction,9')", 249]
['2000-03-11 09:23:36', '0', '1', '2', "(H4,156.539,(r)) (Sun,336.669,(c)) (opposition,8')", "(Pluto,252.897,(r)) (H1,73.038,(d)) (opposition,8')", "(Uranus,318.702,(r)) (H10,318.593,(c)) (conjunction,7')", "(Sun,351.113,(r)) (H3,141.171,(d)) (150-quincunx,3')\n(H3,122.670,(r)) (Sun,332.705,(c)) (150-quincunx,2')", "(H1,60.067,(r)) (Saturn,60.018,(d)) (conjunction,3')\n(Mercury,333.413,(r)) (H12,18.417,(c)) (45-semisquare,0')", "(H1,60.067,(r)) (Saturn,60.216,(d)) (conjunction,9')\n(H9,302.670,(r)) (Mars,2.593,(c)) (sextile,5')", "(H4,156.539,(r)) (Venus,306.560,(c)) (150-quincunx,1')", "(H1,60.067,(r)) (Neptune,285.010,(c)) (135-sesquisquare,3')", "(Uranus,318.702,(r)) (H1,78.752,(d)) (trine,3')\n(H10,336.539,(r)) (Moon,36.455,(c)) (sextile,5')", '12', '13', "(Venus,327.415,(r)) (H6,237.508,(d)) (square,6')", 220]
['2000-03-11 02:21:28', '0', "(H7,146.575,(r)) (Uranus,326.480,(d)) (opposition,6')\n(Uranus,318.687,(r)) (H7,138.811,(c)) (opposition,7')", '2', "(H3,22.710,(r)) (Sun,337.781,(c)) (45-semisquare,4')", "(Moon,52.181,(r)) (H8,187.113,(d)) (135-sesquisquare,4')", '5', '6', "(Saturn,43.301,(r)) (H1,343.317,(d)) (sextile,1')\n(Pluto,252.897,(r)) (H10,252.828,(d)) (conjunction,4')\n(H9,202.710,(r)) (Neptune,322.654,(d)) (trine,3')\n(Mercury,333.527,(r)) (H9,183.606,(c)) (150-quincunx,5')\n(Uranus,318.687,(r)) (H9,183.606,(c)) (135-sesquisquare,5')", "(Pluto,252.897,(r)) (H10,253.037,(d)) (conjunction,8')\n(Neptune,305.677,(r)) (H10,215.622,(c)) (square,3')", '9', "(Saturn,43.301,(r)) (H9,223.283,(d)) (opposition,1')\n(H9,202.710,(r)) (Mercury,352.699,(d)) (150-quincunx,1')", "(H3,22.710,(r)) (Uranus,337.778,(d)) (45-semisquare,4')", "(H1,326.575,(r)) (Sun,11.591,(d)) (45-semisquare,1')", '13', "(Uranus,318.687,(r)) (H6,138.791,(d)) (opposition,6')", 232]
['2000-03-11 17:53:52', "(H1,202.150,(r)) (Mercury,322.104,(c)) (trine,3')\n(H7,22.150,(r)) (Mercury,322.104,(c)) (sextile,3')", '1', "(H10,104.929,(r)) (Saturn,59.973,(d)) (45-semisquare,3')", "(Venus,327.853,(r)) (H4,297.945,(d)) (30-semisextile,6')\n(Uranus,318.720,(r)) (H3,273.762,(d)) (45-semisquare,3')\n(Pluto,252.898,(r)) (H4,297.945,(d)) (45-semisquare,3')\n(H4,284.929,(r)) (Venus,344.973,(d)) (sextile,3')\n(Mercury,333.289,(r)) (H7,3.284,(c)) (30-semisextile,0')", '4', "(Moon,61.250,(r)) (H10,121.236,(d)) (sextile,1')\n(Mean_Node,121.321,(r)) (H10,121.236,(d)) (conjunction,5')", "(H4,284.929,(r)) (Moon,44.954,(c)) (trine,1')", "(H1,202.150,(r)) (Saturn,22.269,(c)) (opposition,7')", "(H1,202.150,(r)) (Saturn,21.986,(c)) (opposition,10')", '9', "(H10,104.929,(r)) (Neptune,285.091,(c)) (opposition,10')", '11', '12', "(Sun,351.467,(r)) (H1,231.520,(d)) (trine,3')\n(Jupiter,34.798,(r)) (H1,169.752,(c)) (135-sesquisquare,3')\n(H1,202.150,(r)) (Sun,322.114,(c)) (trine,2')", "(Sun,351.467,(r)) (H1,231.548,(d)) (trine,5')\n(Jupiter,34.798,(r)) (H1,169.719,(c)) (135-sesquisquare,5')\n(H1,202.150,(r)) (Sun,322.085,(c)) (trine,4')", 299]
['2000-03-11 10:27:26', '0', "(Mercury,333.397,(r)) (H4,183.472,(d)) (150-quincunx,4')", '2', "(Jupiter,34.735,(r)) (H3,154.647,(d)) (trine,5')\n(H7,253.925,(r)) (Moon,43.910,(c)) (150-quincunx,1')", '4', "(Mean_Node,121.337,(r)) (H3,121.404,(c)) (conjunction,4')\n(H1,73.925,(r)) (Mercury,313.924,(c)) (trine,0')", "(Jupiter,34.735,(r)) (H4,154.756,(c)) (trine,1')\n(H7,253.925,(r)) (Mean_Node,103.868,(c)) (150-quincunx,3')", "(Mercury,333.397,(r)) (H10,333.453,(c)) (conjunction,3')\n(Mercury,333.397,(r)) (H12,33.385,(c)) (sextile,1')", "(H10,353.785,(r)) (Mercury,353.802,(d)) (conjunction,1')", "(H4,173.785,(r)) (Mean_Node,143.719,(d)) (30-semisextile,4')\n(H4,173.785,(r)) (Saturn,23.870,(c)) (150-quincunx,5')", "(Pluto,252.897,(r)) (H9,342.871,(d)) (square,2')", "(H1,73.925,(r)) (Jupiter,13.950,(c)) (sextile,2')", '12', '13', '14', 202]
['2000-03-11 03:20:38', "(H4,69.005,(r)) (Mean_Node,128.952,(d)) (sextile,3')", '1', '2', "(H7,159.678,(r)) (Venus,339.572,(d)) (opposition,6')", "(Mars,21.182,(r)) (H8,201.176,(d)) (opposition,0')\n(Moon,52.755,(r)) (H8,172.665,(c)) (trine,5')\n(H4,69.005,(r)) (Moon,38.950,(c)) (30-semisextile,3')", '5', '6', "(Uranus,318.689,(r)) (H9,198.621,(c)) (trine,4')", "(H1,339.678,(r)) (Saturn,24.765,(c)) (45-semisquare,5')", "(Saturn,43.305,(r)) (H1,358.267,(d)) (45-semisquare,2')\n(Saturn,43.305,(r)) (H4,88.230,(d)) (45-semisquare,4')\n(Saturn,43.305,(r)) (H7,178.267,(d)) (135-sesquisquare,2')", "(Mars,21.182,(r)) (H1,321.165,(c)) (sextile,1')\n(Uranus,318.689,(r)) (H10,228.733,(c)) (square,3')", '11', '12', '13', '14', 170]
['2000-03-11 10:15:34', "(Uranus,318.704,(r)) (H1,78.658,(d)) (trine,3')\n(Uranus,318.704,(r)) (H7,258.658,(d)) (sextile,3')\n(H4,170.552,(r)) (Saturn,35.605,(c)) (135-sesquisquare,3')", "(H7,251.332,(r)) (Jupiter,26.322,(c)) (135-sesquisquare,1')", '2', "(Mean_Node,121.338,(r)) (H3,151.295,(d)) (30-semisextile,3')", "(Mean_Node,121.338,(r)) (H12,61.414,(d)) (sextile,5')\n(Saturn,43.333,(r)) (H8,268.316,(c)) (135-sesquisquare,1')\n(H4,170.552,(r)) (Neptune,290.541,(c)) (trine,1')", "(H1,71.332,(r)) (Moon,71.299,(d)) (conjunction,2')", '6', '7', "(Saturn,43.333,(r)) (H1,88.316,(d)) (45-semisquare,1')", '9', "(Saturn,43.333,(r)) (H10,13.416,(d)) (30-semisextile,5')", "(Venus,327.460,(r)) (H10,327.628,(c)) (conjunction,10')\n(H10,350.552,(r)) (Venus,305.479,(c)) (45-semisquare,4')", '12', '13', '14', 162]
['2000-03-11 11:06:16', "(H4,184.385,(r)) (Moon,64.365,(d)) (trine,1')\n(H4,184.385,(r)) (Moon,49.322,(c)) (135-sesquisquare,4')", '1', '2', "(H4,184.385,(r)) (Uranus,304.400,(c)) (trine,1')", "(Pluto,252.897,(r)) (H12,72.731,(d)) (opposition,10')", "(Jupiter,34.740,(r)) (H3,169.799,(d)) (135-sesquisquare,3')", "(H7,262.511,(r)) (Mercury,352.449,(d)) (square,4')", '7', "(Neptune,305.687,(r)) (H1,65.752,(c)) (trine,4')", '9', '10', "(Venus,327.503,(r)) (H1,102.488,(d)) (135-sesquisquare,1')\n(Venus,327.503,(r)) (H10,27.498,(d)) (sextile,0')", "(Mercury,333.387,(r)) (H1,63.385,(c)) (square,0')", "(Moon,57.281,(r)) (H3,177.241,(d)) (trine,2')\n(Jupiter,34.740,(r)) (H3,124.810,(c)) (square,4')", "(H6,239.375,(r)) (Mercury,359.403,(d)) (trine,2')", 196]
['2000-03-11 10:05:42', '0', "(Venus,327.451,(r)) (H4,177.535,(d)) (150-quincunx,5')", "(Mercury,333.403,(r)) (H10,333.362,(c)) (conjunction,2')", '3', "(H1,69.184,(r)) (Moon,69.100,(d)) (conjunction,5')", '5', "(H4,167.871,(r)) (Jupiter,17.868,(c)) (150-quincunx,0')", '7', '8', "(Venus,327.451,(r)) (H1,87.544,(d)) (trine,6')\n(Venus,327.451,(r)) (H7,267.544,(d)) (sextile,6')\n(Moon,56.692,(r)) (H12,26.601,(c)) (30-semisextile,5')", '10', '11', "(Moon,56.692,(r)) (H10,11.671,(d)) (45-semisquare,1')", '13', "(Uranus,318.704,(r)) (H1,48.786,(c)) (square,5')", 110]
