Row 5: {'time': '1997-11-16 07:14:07', 'p_a_conj': 9, 'p_a_maj': 2, 'p_a_allm': 11, 'p_a_min': 6, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 6, 'mon_p_conj': 4, 'mon_p_maj': 7, 'mon_p_allm': 11, 'mon_p_min': 10, 'e': 0, 'all_conj': 13}
Row 6: {'time': '1997-11-16 13:25:35', 'p_a_conj': 4, 'p_a_maj': 5, 'p_a_allm': 9, 'p_a_min': 11, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 6, 'mon_p_conj': 5, 'mon_p_maj': 3, 'mon_p_allm': 8, 'mon_p_min': 7, 'e': 1, 'all_conj': 10}
Row 9: {'time': '1997-11-16 11:37:28', 'p_a_conj': 9, 'p_a_maj': 13, 'p_a_allm': 22, 'p_a_min': 6, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'mon_p_conj': 2, 'mon_p_maj': 4, 'mon_p_allm': 6, 'mon_p_min': 1, 'e': 6, 'all_conj': 11}
Row 11: {'time': '1997-11-16 14:02:00', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_allm': 3, 'p_a_min': 3, 'p_h_conj': 4, 'p_h_maj': 2, 'p_h_allm': 6, 'p_h_min': 0, 'mon_p_conj': 5, 'mon_p_maj': 3, 'mon_p_allm': 8, 'mon_p_min': 7, 'e': 1, 'all_conj': 10}
Row 30: {'time': '1997-11-16 09:14:47', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_allm': 4, 'p_a_min': 4, 'p_h_conj': 7, 'p_h_maj': 4, 'p_h_allm': 11, 'p_h_min': 1, 'mon_p_conj': 3, 'mon_p_maj': 2, 'mon_p_allm': 5, 'mon_p_min': 2, 'e': 2, 'all_conj': 12}
Row 33: {'time': '1997-11-16 09:31:04', 'p_a_conj': 7, 'p_a_maj': 6, 'p_a_allm': 13, 'p_a_min': 6, 'p_h_conj': 0, 'p_h_maj': 5, 'p_h_allm': 5, 'p_h_min': 7, 'mon_p_conj': 4, 'mon_p_maj': 3, 'mon_p_allm': 7, 'mon_p_min': 2, 'e': 3, 'all_conj': 11}
Row 51: {'time': '1997-11-16 03:25:51', 'p_a_conj': 7, 'p_a_maj': 2, 'p_a_allm': 9, 'p_a_min': 3, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_allm': 3, 'p_h_min': 6, 'mon_p_conj': 3, 'mon_p_maj': 5, 'mon_p_allm': 8, 'mon_p_min': 4, 'e': 1, 'all_conj': 11}
Row 54: {'time': '1997-11-16 09:30:00', 'p_a_conj': 7, 'p_a_maj': 5, 'p_a_allm': 12, 'p_a_min': 11, 'p_h_conj': 1, 'p_h_maj': 5, 'p_h_allm': 6, 'p_h_min': 3, 'mon_p_conj': 4, 'mon_p_maj': 3, 'mon_p_allm': 7, 'mon_p_min': 1, 'e': 4, 'all_conj': 12}
Row 56: {'time': '1997-11-16 03:23:51', 'p_a_conj': 11, 'p_a_maj': 5, 'p_a_allm': 16, 'p_a_min': 14, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 2, 'mon_p_conj': 3, 'mon_p_maj': 4, 'mon_p_allm': 7, 'mon_p_min': 4, 'e': 3, 'all_conj': 14}
Row 65: {'time': '1997-11-16 05:30:48', 'p_a_conj': 6, 'p_a_maj': 7, 'p_a_allm': 13, 'p_a_min': 7, 'p_h_conj': 2, 'p_h_maj': 0, 'p_h_allm': 2, 'p_h_min': 2, 'mon_p_conj': 3, 'mon_p_maj': 3, 'mon_p_allm': 6, 'mon_p_min': 1, 'e': 5, 'all_conj': 11}
Row 67: {'time': '1997-11-16 11:55:52', 'p_a_conj': 7, 'p_a_maj': 5, 'p_a_allm': 12, 'p_a_min': 9, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_allm': 2, 'p_h_min': 3, 'mon_p_conj': 2, 'mon_p_maj': 4, 'mon_p_allm': 6, 'mon_p_min': 3, 'e': 3, 'all_conj': 10}
