['Time', '0: 2008-09-05', '1: 2008-12-11', '2: 2009-01-14', '3: 2009-03-19', '4: 2013-12-12', '5: 2014-03-24', '6: 2015-05-27', '7: 2018-02-19', '8: 2021-04-06', '9: 2022-01-01', '10: 2022-01-03', '11: 2000-03-11', '12: 2023-10-04', '13: 2018-12-04', '14: 2016-12-29', 'Count']
['1997-11-16 07:14:06', "(Pluto,245.024,(r)) (H12,274.960,(d)) (30-semisextile,4')\n(H4,25.451,(r)) (Mars,265.539,(c)) (trine,5')", "(Mars,275.338,(r)) (H12,275.200,(d)) (conjunction,8')\n(Uranus,305.192,(r)) (H12,275.200,(d)) (30-semisextile,0')", "(Mars,275.338,(r)) (H12,275.284,(d)) (conjunction,3')\n(Uranus,305.192,(r)) (H12,275.284,(d)) (30-semisextile,6')", "(Uranus,305.192,(r)) (H3,5.138,(d)) (sextile,3')", '4', '5', '6', "(Mercury,252.394,(r)) (H7,132.341,(d)) (trine,3')\n(Jupiter,314.526,(r)) (H3,14.581,(d)) (sextile,3')", "(H4,25.451,(r)) (Moon,55.362,(c)) (30-semisextile,5')", "(Mean_Node,166.146,(r)) (H1,316.074,(d)) (150-quincunx,4')", '10', '11', '12', '13', "(Uranus,305.192,(r)) (H10,185.168,(c)) (trine,1')\n(H1,293.331,(r)) (Venus,263.346,(c)) (30-semisextile,1')", 154]
['1997-11-16 13:25:34', "(Pluto,245.034,(r)) (H4,125.008,(d)) (trine,2')", "(Moon,80.226,(r)) (H10,305.263,(d)) (135-sesquisquare,2')\n(Uranus,305.199,(r)) (H10,305.263,(d)) (conjunction,4')\n(H10,294.780,(r)) (Uranus,294.882,(c)) (conjunction,6')", "(Uranus,305.199,(r)) (H4,125.352,(d)) (opposition,9')\n(H1,27.933,(r)) (Mean_Node,177.881,(d)) (150-quincunx,3')\n(H7,207.933,(r)) (Mean_Node,177.881,(d)) (30-semisextile,3')\n(H4,114.780,(r)) (Uranus,294.795,(c)) (opposition,1')", "(Mean_Node,166.132,(r)) (H3,76.160,(c)) (square,2')\n(H4,114.780,(r)) (Uranus,294.632,(c)) (opposition,9')", '4', "(H3,86.444,(r)) (Venus,266.359,(c)) (opposition,5')", "(H8,237.999,(r)) (Mean_Node,148.062,(c)) (square,4')", '7', "(H1,27.933,(r)) (Pluto,267.878,(d)) (trine,3')\n(H7,207.933,(r)) (Pluto,267.878,(d)) (sextile,3')", "(H1,27.933,(r)) (Mars,297.853,(d)) (square,5')", '10', "(H3,86.444,(r)) (Sun,236.419,(d)) (150-quincunx,2')", '12', "(H10,294.780,(r)) (Mars,294.957,(d)) (conjunction,11')\n(Mars,275.534,(r)) (H10,275.474,(c)) (conjunction,4')", "(H3,86.444,(r)) (Jupiter,296.499,(c)) (150-quincunx,3')\n(H3,86.444,(r)) (Mean_Node,146.453,(c)) (sextile,1')\n(H10,294.780,(r)) (Mercury,234.727,(c)) (sextile,3')", 328]
['1997-11-16 11:37:28', "(Venus,280.764,(r)) (H1,10.826,(d)) (square,4')\n(Venus,280.764,(r)) (H7,190.826,(d)) (square,4')", "(H1,359.584,(r)) (Moon,89.564,(d)) (square,1')\n(H10,269.639,(r)) (Moon,89.564,(d)) (opposition,4')", "(H1,359.584,(r)) (Moon,89.648,(d)) (square,4')\n(H4,89.639,(r)) (Moon,89.648,(d)) (conjunction,1')\n(H7,179.584,(r)) (Moon,89.648,(d)) (square,4')", "(H4,89.639,(r)) (Moon,89.807,(d)) (conjunction,10')\n(Moon,79.184,(r)) (H4,79.363,(c)) (conjunction,11')", '4', "(Jupiter,314.548,(r)) (H4,104.482,(d)) (150-quincunx,4')\n(Mercury,252.650,(r)) (H7,162.617,(c)) (square,2')", "(Mean_Node,166.136,(r)) (H12,346.028,(d)) (opposition,6')\n(Venus,280.764,(r)) (H12,310.733,(c)) (30-semisextile,2')", '7', "(Mars,275.477,(r)) (H1,335.421,(c)) (sextile,3')\n(Mars,275.477,(r)) (H7,155.421,(c)) (trine,3')\n(Uranus,305.197,(r)) (H12,305.130,(c)) (conjunction,4')\n(H1,359.584,(r)) (Pluto,224.522,(c)) (135-sesquisquare,4')\n(H7,179.584,(r)) (Pluto,224.522,(c)) (45-semisquare,4')", '9', '10', '11', '12', '13', "(H10,269.639,(r)) (Mercury,269.754,(d)) (conjunction,7')", 287]
['1997-11-16 14:02:00', '0', "(Saturn,14.319,(r)) (H10,314.283,(d)) (sextile,2')", "(Saturn,14.319,(r)) (H4,134.375,(d)) (trine,3')\n(H4,123.531,(r)) (Saturn,3.615,(c)) (trine,5')", "(Jupiter,314.560,(r)) (H4,134.548,(d)) (opposition,1')\n(H3,94.824,(r)) (Sun,244.859,(d)) (150-quincunx,2')", '4', '5', "(Sun,234.251,(r)) (H1,54.106,(d)) (opposition,9')\n(H8,246.629,(r)) (Moon,96.597,(d)) (150-quincunx,2')\n(H8,246.629,(r)) (Mars,291.709,(d)) (45-semisquare,5')\n(H1,37.181,(r)) (Sun,217.261,(c)) (opposition,5')", "(Jupiter,314.560,(r)) (H4,104.618,(c)) (150-quincunx,3')", '8', "(Mean_Node,166.131,(r)) (H6,211.191,(d)) (45-semisquare,4')\n(Mercury,252.791,(r)) (H1,12.722,(c)) (trine,4')", "(Mercury,252.791,(r)) (H1,12.717,(c)) (trine,4')", "(H4,123.531,(r)) (Mean_Node,168.566,(d)) (45-semisquare,2')", '12', "(Sun,234.251,(r)) (H10,324.281,(d)) (square,2')", '14', 215]
['1997-11-16 09:14:46', '0', "(H3,25.466,(r)) (Mars,265.394,(c)) (trine,4')", '2', "(H7,142.495,(r)) (Mercury,262.534,(d)) (trine,2')", '4', '5', "(Neptune,297.585,(r)) (H4,72.572,(d)) (135-sesquisquare,1')\n(Uranus,305.194,(r)) (H8,155.194,(c)) (150-quincunx,0')", "(H3,25.466,(r)) (Mean_Node,145.416,(c)) (trine,3')\n(H7,142.495,(r)) (Venus,262.475,(c)) (trine,1')", "(Moon,77.806,(r)) (H4,77.939,(d)) (conjunction,8')\n(Mean_Node,166.141,(r)) (H1,346.174,(d)) (opposition,2')\n(Mean_Node,166.141,(r)) (H7,166.174,(d)) (conjunction,2')", '9', '10', "(H4,56.155,(r)) (Sun,236.273,(d)) (opposition,7')\n(Sun,234.050,(r)) (H4,53.931,(c)) (opposition,7')", "(Uranus,305.194,(r)) (H10,260.209,(d)) (45-semisquare,1')\n(H1,322.495,(r)) (Neptune,322.386,(d)) (conjunction,7')", "(Mars,275.401,(r)) (H10,215.385,(c)) (sextile,1')", '14', 238]
['1997-11-16 09:31:04', "(H1,326.602,(r)) (Saturn,26.560,(d)) (sextile,2')\n(H7,146.602,(r)) (Saturn,26.560,(d)) (trine,2')", '1', "(H1,326.602,(r)) (Pluto,236.606,(c)) (square,0')\n(H7,146.602,(r)) (Pluto,236.606,(c)) (square,0')", "(Venus,280.683,(r)) (H4,70.687,(d)) (150-quincunx,0')\n(Moon,77.963,(r)) (H3,17.976,(c)) (sextile,1')", '4', "(Mean_Node,166.141,(r)) (H3,46.099,(d)) (trine,2')\n(Venus,280.683,(r)) (H7,130.634,(c)) (150-quincunx,3')", "(Saturn,14.328,(r)) (H1,344.398,(d)) (30-semisextile,4')\n(Mean_Node,166.141,(r)) (H8,196.165,(d)) (30-semisextile,1')\n(Venus,280.683,(r)) (H12,280.843,(c)) (conjunction,10')", "(H3,29.725,(r)) (Moon,59.656,(c)) (30-semisextile,4')", "(Mars,275.410,(r)) (H12,275.538,(c)) (conjunction,8')\n(H1,326.602,(r)) (Moon,56.670,(c)) (square,4')\n(H7,146.602,(r)) (Moon,56.670,(c)) (square,4')", "(H10,240.097,(r)) (Sun,210.036,(c)) (30-semisextile,4')", "(H10,240.097,(r)) (Sun,210.030,(c)) (30-semisextile,4')", '11', '12', '13', "(Moon,77.963,(r)) (H10,257.823,(d)) (opposition,8')\n(Mean_Node,166.141,(r)) (H1,346.043,(d)) (opposition,6')\n(H1,326.602,(r)) (Jupiter,296.648,(c)) (30-semisextile,3')\n(H1,326.602,(r)) (Mean_Node,146.584,(c)) (opposition,1')", 271]
['1997-11-16 03:25:50', "(Mars,275.218,(r)) (H4,335.189,(d)) (sextile,2')\n(Uranus,305.188,(r)) (H4,335.189,(d)) (30-semisextile,0')\n(H1,240.032,(r)) (Mars,285.010,(d)) (45-semisquare,1')\n(H7,60.032,(r)) (Mars,285.010,(d)) (135-sesquisquare,1')", "(H3,294.949,(r)) (Uranus,294.881,(c)) (conjunction,4')", "(Venus,280.449,(r)) (H12,220.509,(d)) (sextile,4')", "(Moon,74.418,(r)) (H3,284.510,(c)) (150-quincunx,6')\n(Jupiter,314.507,(r)) (H3,284.510,(c)) (30-semisextile,0')", "(H1,240.032,(r)) (Moon,89.943,(d)) (150-quincunx,5')\n(H1,240.032,(r)) (Moon,60.209,(c)) (opposition,11')", "(Venus,280.449,(r)) (H3,310.461,(d)) (30-semisextile,1')\n(H7,60.032,(r)) (Moon,59.941,(c)) (conjunction,5')", "(H4,324.055,(r)) (Pluto,264.017,(d)) (sextile,2')\n(H8,87.738,(r)) (Mean_Node,147.681,(c)) (sextile,3')", "(H3,294.949,(r)) (Mean_Node,144.869,(c)) (150-quincunx,5')", "(Mean_Node,166.154,(r)) (H4,301.089,(c)) (135-sesquisquare,4')", "(H1,240.032,(r)) (Pluto,270.000,(d)) (30-semisextile,2')", '10', "(Mercury,252.172,(r)) (H3,297.110,(d)) (45-semisquare,4')\n(H3,294.949,(r)) (Pluto,250.028,(d)) (45-semisquare,5')", "(H2,267.738,(r)) (Saturn,42.690,(d)) (135-sesquisquare,3')", "(Mean_Node,166.154,(r)) (H10,165.998,(d)) (conjunction,9')\n(H10,144.055,(r)) (Mean_Node,144.062,(c)) (conjunction,0')", "(H10,144.055,(r)) (Uranus,324.138,(d)) (opposition,5')\n(Uranus,305.188,(r)) (H10,125.166,(c)) (opposition,1')", 312]
['1997-11-16 09:30:00', '0', "(Moon,77.953,(r)) (H3,17.973,(c)) (sextile,1')", '2', '3', "(Saturn,14.328,(r)) (H10,224.272,(c)) (150-quincunx,3')", "(H3,29.447,(r)) (Mean_Node,149.365,(c)) (trine,5')", "(Mean_Node,166.141,(r)) (H4,76.120,(d)) (square,1')\n(Venus,280.682,(r)) (H12,280.597,(c)) (conjunction,5')", "(H3,29.447,(r)) (Venus,299.492,(d)) (square,3')", "(Uranus,305.194,(r)) (H1,350.183,(d)) (45-semisquare,1')\n(Uranus,305.194,(r)) (H7,170.183,(d)) (135-sesquisquare,1')\n(Mars,275.409,(r)) (H12,275.292,(c)) (conjunction,7')", "(H1,326.331,(r)) (Mean_Node,191.388,(d)) (135-sesquisquare,3')", "(Moon,77.953,(r)) (H1,303.008,(c)) (135-sesquisquare,3')", "(H7,146.331,(r)) (Sun,236.281,(d)) (square,3')\n(Sun,234.060,(r)) (H7,144.030,(c)) (square,2')", "(H1,326.331,(r)) (Uranus,281.413,(c)) (45-semisquare,5')", "(H1,326.331,(r)) (Pluto,266.404,(d)) (sextile,4')", '14', 189]
['1997-11-16 03:23:51', '0', "(Pluto,245.018,(r)) (H10,154.935,(d)) (square,5')\n(Saturn,14.341,(r)) (H3,284.291,(c)) (square,3')", "(Pluto,245.018,(r)) (H4,335.032,(d)) (square,1')", "(Uranus,305.188,(r)) (H3,305.150,(d)) (conjunction,2')\n(Uranus,305.188,(r)) (H4,335.215,(d)) (30-semisextile,2')\n(Mercury,252.170,(r)) (H4,312.226,(c)) (sextile,3')\n(H3,294.476,(r)) (Uranus,294.630,(c)) (conjunction,9')", '4', "(Venus,280.447,(r)) (H4,340.479,(d)) (sextile,2')\n(H3,294.476,(r)) (Sun,249.453,(d)) (45-semisquare,1')", '6', '7', '8', '9', '10', "(H3,294.476,(r)) (Mercury,249.541,(c)) (45-semisquare,4')\n(H4,323.539,(r)) (Venus,278.493,(c)) (45-semisquare,3')", '12', '13', "(Venus,280.447,(r)) (H1,220.521,(c)) (sextile,4')\n(H10,143.539,(r)) (Mercury,233.475,(c)) (square,4')", 188]
['1997-11-16 05:30:48', "(Mars,275.284,(r)) (H12,230.349,(c)) (45-semisquare,4')\n(H4,357.481,(r)) (Pluto,237.438,(c)) (trine,3')", "(Moon,75.634,(r)) (H10,165.636,(c)) (square,0')", '2', "(Jupiter,314.518,(r)) (H3,314.447,(c)) (conjunction,4')", "(Mercury,252.294,(r)) (H3,342.316,(d)) (square,1')", "(Jupiter,314.518,(r)) (H7,74.567,(c)) (trine,3')\n(H3,325.742,(r)) (Venus,265.789,(c)) (sextile,3')", "(Mean_Node,166.149,(r)) (H4,16.241,(d)) (150-quincunx,5')\n(H8,116.686,(r)) (Venus,296.597,(d)) (opposition,5')\n(Venus,280.529,(r)) (H8,100.630,(c)) (opposition,6')\n(H8,116.686,(r)) (Saturn,356.633,(c)) (trine,3')", "(H4,357.481,(r)) (Moon,57.405,(c)) (sextile,5')", '8', "(H1,269.490,(r)) (Sun,209.466,(c)) (sextile,1')", "(H1,269.490,(r)) (Sun,209.461,(c)) (sextile,2')", "(H4,357.481,(r)) (Jupiter,312.503,(c)) (45-semisquare,1')", "(H2,296.686,(r)) (Mars,251.639,(c)) (45-semisquare,3')\n(H10,177.481,(r)) (Pluto,222.514,(c)) (45-semisquare,2')", "(Pluto,245.021,(r)) (H10,199.968,(d)) (45-semisquare,3')\n(Pluto,245.021,(r)) (H10,155.110,(c)) (square,5')", "(H1,269.490,(r)) (Mercury,269.312,(d)) (conjunction,11')", 291]
