Row 5: {'time': '1935-11-14 11:01:36', 'p_a_conj': 2, 'p_a_maj': 6, 'p_a_allm': 8, 'p_a_min': 9, 'p_h_conj': 8, 'p_h_maj': 6, 'p_h_allm': 14, 'p_h_min': 9, 'mon_p_conj': 5, 'mon_p_maj': 8, 'mon_p_allm': 13, 'mon_p_min': 6, 'e': 0, 'all_conj': 15}
Row 6: {'time': '1935-11-14 07:49:35', 'p_a_conj': 7, 'p_a_maj': 15, 'p_a_allm': 22, 'p_a_min': 12, 'p_h_conj': 4, 'p_h_maj': 1, 'p_h_allm': 5, 'p_h_min': 4, 'mon_p_conj': 4, 'mon_p_maj': 5, 'mon_p_allm': 9, 'mon_p_min': 9, 'e': 0, 'all_conj': 15}
Row 12: {'time': '1935-11-14 07:21:28', 'p_a_conj': 6, 'p_a_maj': 5, 'p_a_allm': 11, 'p_a_min': 13, 'p_h_conj': 2, 'p_h_maj': 4, 'p_h_allm': 6, 'p_h_min': 4, 'mon_p_conj': 4, 'mon_p_maj': 4, 'mon_p_allm': 8, 'mon_p_min': 6, 'e': 1, 'all_conj': 12}
Row 35: {'time': '1935-11-14 01:42:23', 'p_a_conj': 7, 'p_a_maj': 5, 'p_a_allm': 12, 'p_a_min': 15, 'p_h_conj': 0, 'p_h_maj': 3, 'p_h_allm': 3, 'p_h_min': 2, 'mon_p_conj': 5, 'mon_p_maj': 8, 'mon_p_allm': 13, 'mon_p_min': 6, 'e': 1, 'all_conj': 12}
Row 37: {'time': '1935-11-14 02:16:56', 'p_a_conj': 6, 'p_a_maj': 15, 'p_a_allm': 21, 'p_a_min': 11, 'p_h_conj': 3, 'p_h_maj': 6, 'p_h_allm': 9, 'p_h_min': 6, 'mon_p_conj': 3, 'mon_p_maj': 5, 'mon_p_allm': 8, 'mon_p_min': 5, 'e': 2, 'all_conj': 12}
Row 55: {'time': '1935-11-14 09:07:28', 'p_a_conj': 10, 'p_a_maj': 2, 'p_a_allm': 12, 'p_a_min': 11, 'p_h_conj': 2, 'p_h_maj': 8, 'p_h_allm': 10, 'p_h_min': 4, 'mon_p_conj': 0, 'mon_p_maj': 5, 'mon_p_allm': 5, 'mon_p_min': 9, 'e': 0, 'all_conj': 12}
Row 61: {'time': '1935-11-14 07:41:59', 'p_a_conj': 7, 'p_a_maj': 5, 'p_a_allm': 12, 'p_a_min': 8, 'p_h_conj': 1, 'p_h_maj': 6, 'p_h_allm': 7, 'p_h_min': 7, 'mon_p_conj': 4, 'mon_p_maj': 5, 'mon_p_allm': 9, 'mon_p_min': 7, 'e': 1, 'all_conj': 12}
Row 63: {'time': '1935-11-14 10:25:27', 'p_a_conj': 8, 'p_a_maj': 5, 'p_a_allm': 13, 'p_a_min': 10, 'p_h_conj': 3, 'p_h_maj': 6, 'p_h_allm': 9, 'p_h_min': 7, 'mon_p_conj': 5, 'mon_p_maj': 4, 'mon_p_allm': 9, 'mon_p_min': 9, 'e': 0, 'all_conj': 16}
Row 64: {'time': '1935-11-14 14:51:20', 'p_a_conj': 8, 'p_a_maj': 6, 'p_a_allm': 14, 'p_a_min': 10, 'p_h_conj': 2, 'p_h_maj': 14, 'p_h_allm': 16, 'p_h_min': 7, 'mon_p_conj': 2, 'mon_p_maj': 5, 'mon_p_allm': 7, 'mon_p_min': 9, 'e': 1, 'all_conj': 12}
Row 79: {'time': '1935-11-13 23:58:00', 'p_a_conj': 8, 'p_a_maj': 13, 'p_a_allm': 21, 'p_a_min': 19, 'p_h_conj': 7, 'p_h_maj': 7, 'p_h_allm': 14, 'p_h_min': 5, 'mon_p_conj': 4, 'mon_p_maj': 3, 'mon_p_allm': 7, 'mon_p_min': 1, 'e': 1, 'all_conj': 19}
Row 93: {'time': '1935-11-14 16:46:39', 'p_a_conj': 5, 'p_a_maj': 3, 'p_a_allm': 8, 'p_a_min': 6, 'p_h_conj': 3, 'p_h_maj': 6, 'p_h_allm': 9, 'p_h_min': 10, 'mon_p_conj': 6, 'mon_p_maj': 3, 'mon_p_allm': 9, 'mon_p_min': 6, 'e': 0, 'all_conj': 14}
Row 98: {'time': '1935-11-14 13:01:11', 'p_a_conj': 6, 'p_a_maj': 5, 'p_a_allm': 11, 'p_a_min': 14, 'p_h_conj': 4, 'p_h_maj': 4, 'p_h_allm': 8, 'p_h_min': 6, 'mon_p_conj': 3, 'mon_p_maj': 3, 'mon_p_allm': 6, 'mon_p_min': 9, 'e': 1, 'all_conj': 13}
Row 119: {'time': '1935-11-14 20:53:28', 'p_a_conj': 3, 'p_a_maj': 9, 'p_a_allm': 12, 'p_a_min': 3, 'p_h_conj': 5, 'p_h_maj': 5, 'p_h_allm': 10, 'p_h_min': 1, 'mon_p_conj': 5, 'mon_p_maj': 5, 'mon_p_allm': 10, 'mon_p_min': 10, 'e': 3, 'all_conj': 13}
Row 145: {'time': '1935-11-14 15:49:43', 'p_a_conj': 8, 'p_a_maj': 7, 'p_a_allm': 15, 'p_a_min': 11, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_allm': 3, 'p_h_min': 6, 'mon_p_conj': 3, 'mon_p_maj': 5, 'mon_p_allm': 8, 'mon_p_min': 9, 'e': 2, 'all_conj': 12}
