['Time', '0: 1953-05-02', '1: 1955-02-27', '2: 1955-04-19', '3: 1955-05-05', '4: 1956-02-13', '5: 1961-05-25', '6: 1962-01-30', '7: 1967-06-09', '8: 1972-07-08', '9: 1972-12-24', '10: 1977-02-09', '11: 1978-06-15', '12: 1980-03-14', '13: 1992-08-20', '14: 1994-04-26', '15: 1995-11-04', 'Count']
['1935-11-14 11:01:36', '0', "(Venus,184.544,(r)) (H7,184.429,(d)) (conjunction,7')\n(Uranus,32.801,(r)) (H10,272.721,(d)) (trine,5')\n(H10,255.219,(r)) (Mercury,195.167,(c)) (sextile,3')", "(Venus,184.544,(r)) (H7,184.634,(d)) (conjunction,5')\n(Uranus,32.801,(r)) (H10,272.848,(d)) (trine,3')\n(H10,255.219,(r)) (Sun,210.270,(c)) (45-semisquare,3')", "(Venus,184.544,(r)) (H1,4.699,(d)) (opposition,9')\n(Uranus,32.801,(r)) (H4,92.887,(d)) (sextile,5')\n(H4,75.219,(r)) (Sun,210.221,(c)) (135-sesquisquare,0')", "(Pluto,117.359,(r)) (H5,117.344,(d)) (conjunction,1')", "(H4,75.219,(r)) (H3,75.345,(d)) (conjunction,8')\n(Sun,231.147,(r)) (H4,51.223,(c)) (opposition,5')", '6', '7', "(Saturn,333.545,(r)) (H10,288.538,(d)) (45-semisquare,0')\n(H1,336.428,(r)) (Saturn,291.483,(c)) (45-semisquare,3')", "(Sun,231.147,(r)) (H7,111.231,(c)) (trine,5')", "(Moon,100.487,(r)) (H8,145.522,(c)) (45-semisquare,2')\n(H5,98.122,(r)) (Mean_Node,248.147,(c)) (150-quincunx,1')\n(H8,198.400,(r)) (Moon,63.480,(c)) (135-sesquisquare,5')", '11', '12', "(H1,336.428,(r)) (Pluto,66.372,(c)) (square,3')", "(H4,75.219,(r)) (Mars,345.292,(d)) (square,4')", '15', 294]
['1935-11-14 07:49:34', "(Mean_Node,285.448,(r)) (H3,15.539,(d)) (square,5')\n(Mean_Node,285.448,(r)) (H10,225.501,(d)) (sextile,3')", "(Mercury,216.415,(r)) (H5,36.244,(c)) (opposition,10')", "(H10,207.806,(r)) (Venus,162.838,(c)) (45-semisquare,2')", "(H1,279.547,(r)) (Pluto,99.582,(c)) (opposition,2')\n(H4,27.806,(r)) (Venus,162.788,(c)) (135-sesquisquare,1')", "(Mars,282.434,(r)) (H5,72.367,(d)) (150-quincunx,4')\n(Pluto,117.360,(r)) (H5,72.367,(d)) (45-semisquare,0')\n(H4,27.806,(r)) (Venus,207.908,(d)) (opposition,6')\n(Mercury,216.415,(r)) (H4,6.382,(c)) (150-quincunx,2')", "(Mercury,216.415,(r)) (H7,126.427,(d)) (square,1')\n(H4,27.806,(r)) (Uranus,57.893,(d)) (30-semisextile,5')", "(H5,54.132,(r)) (H4,54.032,(d)) (conjunction,6')", '7', "(Moon,98.747,(r)) (H8,98.680,(c)) (conjunction,4')", "(Venus,184.414,(r)) (H10,244.376,(d)) (sextile,2')", "(Venus,184.414,(r)) (H8,94.421,(c)) (square,0')\n(Saturn,333.543,(r)) (H7,63.452,(c)) (square,6')", "(Mars,282.434,(r)) (H10,162.475,(c)) (trine,2')", '12', "(Pluto,117.360,(r)) (H12,207.391,(c)) (square,2')", "(H4,27.806,(r)) (Mean_Node,357.828,(d)) (30-semisextile,1')", "(Mean_Node,285.448,(r)) (H12,315.538,(d)) (30-semisextile,5')\n(H10,207.806,(r)) (Mars,357.754,(d)) (150-quincunx,3')", 283]
['1935-11-14 07:21:28', '0', "(H5,47.573,(r)) (Mercury,197.629,(c)) (150-quincunx,3')", "(H5,47.573,(r)) (Mercury,197.488,(c)) (150-quincunx,5')", '3', '4', '5', '6', "(H10,200.327,(r)) (Mean_Node,320.344,(d)) (trine,1')\n(Neptune,166.420,(r)) (H10,166.582,(c)) (conjunction,10')\n(H3,346.595,(r)) (Mean_Node,256.653,(c)) (square,4')\n(H3,346.595,(r)) (H10,166.582,(c)) (opposition,1')", '8', "(Sun,230.993,(r)) (H5,81.043,(d)) (150-quincunx,3')", "(H7,92.844,(r)) (Mean_Node,332.764,(d)) (trine,5')\n(H7,92.844,(r)) (Moon,62.765,(c)) (30-semisextile,5')", "(Uranus,32.807,(r)) (H10,242.802,(d)) (150-quincunx,0')", "(Venus,184.395,(r)) (H4,64.440,(d)) (trine,3')\n(H5,47.573,(r)) (Uranus,347.642,(c)) (sextile,4')", '13', '14', '15', 159]
['1935-11-14 01:42:22', "(Moon,95.400,(r)) (H3,275.358,(d)) (opposition,3')\n(H3,259.607,(r)) (Venus,199.526,(d)) (sextile,5')\n(Mercury,216.022,(r)) (H10,96.015,(c)) (trine,0')\n(H3,259.607,(r)) (Moon,79.735,(c)) (opposition,8')", "(Venus,184.166,(r)) (H7,4.078,(c)) (opposition,5')", "(Venus,184.166,(r)) (H10,94.237,(c)) (square,4')", "(Venus,184.166,(r)) (H4,274.197,(c)) (square,2')", "(H4,291.999,(r)) (Venus,201.966,(d)) (square,2')\n(H5,324.306,(r)) (Moon,114.322,(d)) (150-quincunx,1')", '5', '6', "(Saturn,333.541,(r)) (H3,288.487,(d)) (45-semisquare,3')\n(H10,111.999,(r)) (Moon,66.957,(c)) (45-semisquare,3')", "(Sun,230.756,(r)) (H1,230.688,(d)) (conjunction,4')\n(Pluto,117.362,(r)) (H12,207.415,(d)) (square,3')\n(H1,200.330,(r)) (Neptune,200.422,(d)) (conjunction,6')", '9', "(Neptune,166.416,(r)) (H12,211.503,(d)) (45-semisquare,5')\n(Mean_Node,285.461,(r)) (H7,345.538,(c)) (sextile,5')", "(Sun,230.756,(r)) (H5,5.739,(d)) (135-sesquisquare,1')\n(Mean_Node,285.461,(r)) (H5,285.431,(c)) (conjunction,2')", "(H5,324.306,(r)) (Uranus,354.281,(c)) (30-semisextile,1')", "(H1,200.330,(r)) (Mars,230.390,(c)) (30-semisextile,4')", "(H8,48.737,(r)) (Mars,228.778,(c)) (opposition,2')", "(H1,200.330,(r)) (Mean_Node,230.329,(c)) (30-semisextile,0')", 335]
['1935-11-14 02:16:56', '0', "(Mars,282.259,(r)) (H10,102.343,(c)) (opposition,5')", "(Venus,184.189,(r)) (H10,139.154,(d)) (45-semisquare,2')\n(Mars,282.259,(r)) (H10,102.216,(c)) (opposition,3')\n(H7,27.674,(r)) (Mean_Node,267.734,(c)) (trine,4')", "(Venus,184.189,(r)) (H4,319.198,(d)) (135-sesquisquare,0')\n(Mean_Node,285.460,(r)) (H9,105.358,(d)) (opposition,6')\n(Mars,282.259,(r)) (H4,282.176,(c)) (conjunction,5')\n(H1,207.674,(r)) (Mean_Node,267.694,(c)) (sextile,1')", '4', "(H7,27.674,(r)) (Sun,252.673,(d)) (135-sesquisquare,0')", "(H1,207.674,(r)) (Mercury,237.664,(d)) (30-semisextile,1')\n(H1,207.674,(r)) (Venus,207.731,(d)) (conjunction,3')\n(Moon,95.716,(r)) (H1,185.653,(c)) (square,4')\n(Mercury,216.059,(r)) (H4,276.051,(c)) (sextile,0')", "(Saturn,333.541,(r)) (H12,153.676,(c)) (opposition,8')", '8', '9', "(H7,27.674,(r)) (Uranus,357.625,(c)) (30-semisextile,3')", "(Uranus,32.815,(r)) (H7,62.809,(d)) (30-semisextile,0')\n(H7,27.674,(r)) (Sun,267.642,(d)) (trine,2')\n(H7,27.674,(r)) (Mean_Node,327.611,(d)) (sextile,4')", "(Venus,184.189,(r)) (H1,244.255,(d)) (sextile,4')\n(Jupiter,241.095,(r)) (H5,16.072,(d)) (135-sesquisquare,1')", '13', "(H1,207.674,(r)) (Pluto,177.628,(d)) (30-semisextile,3')", '15', 303]
['1935-11-14 09:07:28', "(Venus,184.467,(r)) (H10,244.526,(d)) (sextile,4')", "(H5,71.972,(r)) (Uranus,11.909,(c)) (sextile,4')", "(Moon,99.454,(r)) (H5,54.478,(c)) (45-semisquare,1')", "(Moon,99.454,(r)) (H5,54.438,(c)) (45-semisquare,1')", "(Moon,99.454,(r)) (H1,324.479,(d)) (135-sesquisquare,2')\n(H1,299.915,(r)) (Moon,119.923,(d)) (opposition,0')\n(Pluto,117.360,(r)) (H4,27.347,(c)) (square,1')", "(H7,119.915,(r)) (Sun,254.945,(d)) (135-sesquisquare,2')", "(Sun,231.067,(r)) (H4,21.112,(c)) (150-quincunx,3')", "(Mean_Node,285.445,(r)) (H10,195.449,(c)) (square,0')\n(H1,299.915,(r)) (Mars,254.910,(c)) (45-semisquare,0')", '8', "(Moon,99.454,(r)) (H10,189.538,(c)) (square,5')\n(H5,71.972,(r)) (Mean_Node,251.893,(c)) (opposition,5')", "(Saturn,333.544,(r)) (H8,213.617,(d)) (trine,4')", "(Uranus,32.804,(r)) (H5,32.940,(c)) (conjunction,8')", '12', "(H10,227.807,(r)) (Saturn,47.761,(d)) (opposition,3')", '14', "(Moon,99.454,(r)) (H12,339.544,(d)) (trine,5')\n(H10,227.807,(r)) (Moon,167.815,(d)) (sextile,0')", 258]
['1935-11-14 07:41:59', '0', "(Mean_Node,285.448,(r)) (H10,225.393,(d)) (sextile,3')\n(Venus,184.409,(r)) (H5,34.416,(c)) (150-quincunx,0')\n(H10,205.796,(r)) (Mars,265.709,(c)) (sextile,5')", "(Mean_Node,285.448,(r)) (H10,225.531,(d)) (sextile,5')", "(Pluto,117.360,(r)) (H1,297.420,(d)) (opposition,4')", "(H1,277.707,(r)) (Uranus,52.781,(d)) (135-sesquisquare,4')\n(H5,52.367,(r)) (Pluto,142.322,(d)) (square,3')\n(Venus,184.409,(r)) (H4,4.309,(c)) (opposition,6')", '5', '6', "(Pluto,117.360,(r)) (H10,237.312,(d)) (trine,3')", "(H10,205.796,(r)) (Mars,250.739,(c)) (45-semisquare,3')", '9', '10', '11', "(Moon,98.678,(r)) (H4,338.592,(c)) (trine,5')", "(H10,205.796,(r)) (H12,205.664,(c)) (conjunction,8')", '14', "(H8,134.358,(r)) (Uranus,89.298,(d)) (45-semisquare,4')\n(Neptune,166.421,(r)) (H1,226.443,(c)) (sextile,1')\n(H1,277.707,(r)) (Mean_Node,232.800,(c)) (45-semisquare,6')", 219]
['1935-11-14 10:25:26', '0', "(Mars,282.516,(r)) (H5,72.459,(c)) (150-quincunx,3')", "(Sun,231.122,(r)) (H7,171.118,(d)) (sextile,0')", "(Sun,231.122,(r)) (H1,351.182,(d)) (trine,4')\n(Pluto,117.360,(r)) (H5,72.296,(c)) (45-semisquare,4')", "(H1,323.931,(r)) (Pluto,98.874,(c)) (135-sesquisquare,3')", "(Mercury,216.582,(r)) (H3,66.585,(d)) (150-quincunx,0')\n(H4,66.737,(r)) (H3,66.585,(d)) (conjunction,9')", "(Jupiter,241.170,(r)) (H1,1.089,(d)) (trine,5')", "(Pluto,117.360,(r)) (H3,72.371,(d)) (45-semisquare,1')", "(Sun,231.122,(r)) (H8,231.246,(d)) (conjunction,7')\n(Moon,100.160,(r)) (H10,280.126,(d)) (opposition,2')\n(H1,323.931,(r)) (Mean_Node,324.090,(d)) (conjunction,10')\n(H10,246.737,(r)) (Neptune,216.762,(d)) (30-semisextile,2')\n(Mars,282.516,(r)) (H1,282.440,(c)) (conjunction,5')\n(H1,323.931,(r)) (Pluto,83.946,(c)) (trine,1')", "(H7,143.931,(r)) (Jupiter,203.856,(c)) (sextile,5')", "(Mean_Node,285.442,(r)) (H12,255.491,(c)) (30-semisextile,3')", "(Mean_Node,285.442,(r)) (H10,285.544,(d)) (conjunction,6')", "(Mars,282.516,(r)) (H5,132.462,(d)) (150-quincunx,3')", '13', '14', "(Sun,231.122,(r)) (H1,261.101,(c)) (30-semisextile,1')", 293]
['1935-11-14 14:51:20', '0', '1', "(H7,236.530,(r)) (Sun,206.621,(c)) (30-semisextile,5')\n(H10,309.109,(r)) (Jupiter,219.044,(c)) (square,4')", "(H1,56.530,(r)) (Uranus,56.362,(d)) (conjunction,10')\n(H1,56.530,(r)) (Sun,206.562,(c)) (150-quincunx,2')", "(Uranus,32.795,(r)) (H1,77.829,(d)) (45-semisquare,2')\n(H4,129.109,(r)) (Mars,264.193,(c)) (135-sesquisquare,5')\n(H4,129.109,(r)) (Pluto,99.141,(c)) (30-semisextile,2')", "(H3,105.207,(r)) (H4,105.095,(c)) (conjunction,7')", "(H4,129.109,(r)) (Mean_Node,309.075,(d)) (opposition,2')", "(H10,309.109,(r)) (Sun,264.174,(d)) (45-semisquare,4')\n(H10,309.109,(r)) (Uranus,69.128,(d)) (trine,1')\n(Mean_Node,285.432,(r)) (H1,15.470,(c)) (square,2')", "(Neptune,166.426,(r)) (H10,346.597,(d)) (opposition,10')", '9', '10', '11', "(Sun,231.307,(r)) (H5,111.363,(c)) (trine,3')", '13', '14', "(H1,56.530,(r)) (Pluto,176.483,(d)) (trine,3')\n(Neptune,166.426,(r)) (H8,196.421,(c)) (30-semisextile,0')", 230]
['1935-11-14 23:58:00', '0', "(Jupiter,241.295,(r)) (H10,106.223,(d)) (135-sesquisquare,4')\n(H5,300.715,(r)) (Mars,300.572,(d)) (conjunction,9')", "(Jupiter,241.295,(r)) (H10,106.351,(d)) (135-sesquisquare,3')\n(H5,300.715,(r)) (Mars,300.701,(d)) (conjunction,1')", "(H5,300.715,(r)) (Mars,300.742,(d)) (conjunction,2')\n(Pluto,117.356,(r)) (H1,162.362,(c)) (45-semisquare,0')", '4', "(H3,236.685,(r)) (Venus,206.758,(d)) (30-semisextile,4')", "(H5,300.715,(r)) (Mercury,240.735,(d)) (sextile,1')", "(H3,236.685,(r)) (Pluto,146.672,(d)) (square,1')\n(Saturn,333.551,(r)) (H12,123.563,(c)) (150-quincunx,1')", "(Mars,282.945,(r)) (H1,148.016,(c)) (135-sesquisquare,4')", "(H7,358.787,(r)) (Uranus,358.747,(c)) (conjunction,2')\n(H10,88.702,(r)) (Uranus,358.747,(c)) (square,3')", '10', "(Mercury,217.455,(r)) (H5,262.406,(c)) (45-semisquare,3')", "(Pluto,117.356,(r)) (H5,342.351,(d)) (135-sesquisquare,0')\n(Sun,231.690,(r)) (H1,141.656,(c)) (square,2')\n(Moon,107.446,(r)) (H4,227.357,(c)) (trine,5')", '13', "(Saturn,333.551,(r)) (H8,333.372,(c)) (conjunction,11')\n(H8,26.232,(r)) (Sun,176.248,(c)) (150-quincunx,1')", '15', 224]
