['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2013-12-12', '3: 2014-03-24', '4: 2015-05-27', '5: 2017-09-15', '6: 2018-02-19', '7: 2019-05-22', '8: 2019-08-13', '9: 2021-04-06', '10: 2021-07-10', '11: 2022-01-03', '12: 2022-05-25', '13: 2024-02-28', '14: 2024-03-08', 'Count']
['1999-06-18 00:41:44', '0', "(Sun,86.376,(r)) (H4,131.452,(d)) (45-semisquare,5')\n(Venus,131.569,(r)) (H4,131.452,(d)) (conjunction,7')\n(H7,210.582,(r)) (Pluto,255.656,(d)) (45-semisquare,4')", "(Saturn,42.945,(r)) (H1,43.055,(d)) (conjunction,7')", "(Uranus,316.504,(r)) (H4,136.395,(d)) (opposition,7')", "(Mean_Node,135.498,(r)) (H8,225.487,(c)) (square,1')", '5', "(H7,210.582,(r)) (Venus,150.495,(d)) (sextile,5')", '7', "(Mercury,108.920,(r)) (H9,288.787,(d)) (opposition,8')\n(H9,270.205,(r)) (Saturn,60.163,(d)) (150-quincunx,2')\n(Saturn,42.945,(r)) (H1,12.947,(c)) (30-semisextile,0')", "(Moon,143.562,(r)) (H4,143.458,(d)) (conjunction,6')\n(H1,30.582,(r)) (Moon,165.517,(d)) (135-sesquisquare,4')\n(H7,210.582,(r)) (Moon,165.517,(d)) (45-semisquare,4')\n(Venus,131.569,(r)) (H1,11.493,(c)) (trine,5')\n(Venus,131.569,(r)) (H7,191.493,(c)) (sextile,5')", '10', '11', "(H10,302.038,(r)) (Moon,121.953,(c)) (opposition,5')", "(Sun,86.376,(r)) (H4,146.408,(d)) (sextile,2')", "(Sun,86.376,(r)) (H10,326.433,(d)) (trine,3')\n(H6,184.100,(r)) (Sun,64.184,(c)) (trine,5')", 275]
['1999-06-18 00:49:43', "(Saturn,42.946,(r)) (H4,132.924,(d)) (square,1')", '1', "(Mercury,108.928,(r)) (H3,79.000,(c)) (30-semisextile,4')", '3', "(Mean_Node,135.498,(r)) (H8,255.408,(d)) (trine,5')\n(H8,241.407,(r)) (Mean_Node,151.323,(d)) (square,5')\n(H8,241.407,(r)) (Uranus,301.460,(c)) (sextile,3')", "(Mercury,108.928,(r)) (H3,108.906,(d)) (conjunction,1')\n(Uranus,316.504,(r)) (H1,16.419,(c)) (sextile,5')", "(Uranus,316.504,(r)) (H4,106.501,(c)) (150-quincunx,0')\n(H3,92.048,(r)) (Mercury,92.202,(c)) (conjunction,9')", '7', '8', "(Mean_Node,135.498,(r)) (H12,345.538,(c)) (150-quincunx,2')", '10', "(Sun,86.381,(r)) (H10,326.288,(d)) (trine,6')\n(H1,32.344,(r)) (Moon,122.335,(c)) (square,1')", "(H9,272.048,(r)) (Moon,121.973,(c)) (150-quincunx,4')", '13', '14', 181]
['1999-06-18 00:39:19', '0', "(Moon,143.539,(r)) (H3,98.534,(d)) (45-semisquare,0')", "(Saturn,42.945,(r)) (H3,102.906,(d)) (sextile,2')\n(H1,30.052,(r)) (Saturn,29.943,(c)) (conjunction,7')", "(H7,210.052,(r)) (Mean_Node,150.069,(d)) (sextile,1')\n(H4,121.457,(r)) (Mean_Node,121.455,(c)) (conjunction,0')", "(Uranus,316.504,(r)) (H4,106.583,(c)) (150-quincunx,5')\n(H4,121.457,(r)) (Uranus,301.505,(c)) (opposition,3')", "(Uranus,316.504,(r)) (H3,106.415,(d)) (150-quincunx,5')\n(H1,30.052,(r)) (Venus,150.033,(d)) (trine,1')\n(Jupiter,28.251,(r)) (H3,73.251,(c)) (45-semisquare,0')", '6', "(H1,30.052,(r)) (Saturn,59.987,(d)) (30-semisextile,4')\n(Saturn,42.945,(r)) (H10,282.934,(c)) (trine,1')", '8', '9', "(Mercury,108.917,(r)) (H1,48.997,(d)) (sextile,5')", "(Moon,143.539,(r)) (H10,323.595,(d)) (opposition,3')", '12', "(Moon,143.539,(r)) (H4,98.590,(c)) (45-semisquare,3')", "(Moon,143.539,(r)) (H10,278.568,(c)) (135-sesquisquare,2')", 230]
['1999-06-18 00:23:04', "(Moon,143.386,(r)) (H12,8.301,(d)) (135-sesquisquare,5')\n(Mercury,108.901,(r)) (H4,108.961,(c)) (conjunction,4')", '1', "(Saturn,42.944,(r)) (H3,72.911,(c)) (30-semisextile,2')", "(Venus,131.557,(r)) (H4,131.712,(d)) (conjunction,9')\n(H3,85.922,(r)) (Jupiter,40.925,(d)) (45-semisquare,0')\n(H7,206.456,(r)) (Venus,146.378,(d)) (sextile,5')", "(Saturn,42.944,(r)) (H4,132.865,(d)) (square,5')\n(H4,117.545,(r)) (Venus,147.548,(d)) (30-semisextile,0')", "(H1,26.456,(r)) (Moon,161.548,(d)) (135-sesquisquare,6')", "(Mean_Node,135.499,(r)) (H4,135.564,(d)) (conjunction,4')", '7', "(H10,297.545,(r)) (Uranus,297.676,(c)) (conjunction,8')", '9', "(Mercury,108.901,(r)) (H10,318.937,(d)) (150-quincunx,2')\n(H9,265.922,(r)) (Uranus,295.920,(c)) (30-semisextile,0')", "(Uranus,316.505,(r)) (H3,106.569,(d)) (150-quincunx,4')", '12', '13', '14', 176]
['1999-06-18 00:21:52', '0', "(H7,206.190,(r)) (Uranus,326.149,(d)) (trine,2')", "(Saturn,42.944,(r)) (H12,12.952,(d)) (30-semisextile,0')\n(Pluto,248.651,(r)) (H1,38.724,(d)) (150-quincunx,4')", "(Sun,86.363,(r)) (H4,131.413,(d)) (45-semisquare,3')\n(Venus,131.556,(r)) (H4,131.413,(d)) (conjunction,9')", '4', '5', '6', "(Uranus,316.505,(r)) (H10,316.503,(d)) (conjunction,0')\n(Mars,205.637,(r)) (H12,340.679,(c)) (135-sesquisquare,3')\n(Pluto,248.651,(r)) (H1,8.686,(c)) (trine,2')", "(Pluto,248.651,(r)) (H10,278.683,(c)) (30-semisextile,2')", "(H1,26.190,(r)) (Uranus,296.166,(c)) (square,1')\n(H7,206.190,(r)) (Uranus,296.166,(c)) (square,1')", "(Pluto,248.651,(r)) (H12,338.696,(c)) (square,3')", '11', '12', "(H1,26.190,(r)) (Uranus,341.110,(d)) (45-semisquare,5')", "(H1,26.190,(r)) (Uranus,341.135,(d)) (45-semisquare,3')", 167]
['1999-06-18 00:33:12', "(Moon,143.482,(r)) (H12,353.389,(c)) (150-quincunx,6')", '1', "(H10,299.978,(r)) (Saturn,29.927,(c)) (square,3')", "(Sun,86.370,(r)) (H7,221.436,(d)) (135-sesquisquare,4')\n(H4,119.978,(r)) (Mean_Node,150.030,(d)) (30-semisextile,3')", "(Mean_Node,135.498,(r)) (H4,135.408,(d)) (conjunction,5')\n(H8,237.706,(r)) (Venus,147.648,(d)) (square,4')\n(H1,28.698,(r)) (Saturn,28.630,(c)) (conjunction,4')", "(H10,299.978,(r)) (Venus,149.966,(d)) (150-quincunx,1')\n(H3,88.244,(r)) (Mean_Node,118.250,(c)) (30-semisextile,0')", '6', "(Uranus,316.504,(r)) (H9,286.529,(d)) (30-semisextile,1')\n(H10,299.978,(r)) (Saturn,60.037,(d)) (trine,4')", "(H9,268.244,(r)) (Mars,223.204,(d)) (45-semisquare,2')", "(Venus,131.563,(r)) (H12,341.616,(c)) (150-quincunx,3')", '10', "(Mercury,108.911,(r)) (H3,108.997,(d)) (conjunction,5')\n(H1,28.698,(r)) (Mercury,88.673,(c)) (sextile,1')", "(Moon,143.482,(r)) (H1,8.575,(c)) (135-sesquisquare,6')\n(H9,268.244,(r)) (Mercury,88.322,(c)) (opposition,5')", '13', '14', 214]
['1999-06-18 00:59:04', '0', "(H4,126.261,(r)) (Mean_Node,126.099,(c)) (conjunction,10')", '2', '3', '4', "(Mercury,108.938,(r)) (H10,289.081,(c)) (opposition,9')\n(H10,306.261,(r)) (Moon,126.388,(c)) (opposition,8')", "(H3,94.205,(r)) (Mean_Node,154.179,(d)) (sextile,2')", "(H9,274.205,(r)) (Pluto,229.136,(c)) (45-semisquare,4')", '8', '9', '10', "(Moon,143.725,(r)) (H1,53.676,(d)) (square,3')\n(H10,306.261,(r)) (Sun,66.204,(c)) (trine,3')", '12', "(H3,94.205,(r)) (Sun,64.271,(c)) (30-semisextile,4')", '14', 132]
['1999-06-18 00:45:28', "(H4,122.943,(r)) (Moon,152.905,(d)) (30-semisextile,2')", '1', "(H10,302.943,(r)) (Mercury,123.102,(d)) (opposition,10')", "(Mercury,108.924,(r)) (H4,109.100,(c)) (conjunction,11')\n(H7,211.405,(r)) (Mean_Node,121.425,(c)) (square,1')", "(H1,31.405,(r)) (Uranus,301.478,(c)) (square,4')", "(Mean_Node,135.498,(r)) (H1,15.464,(c)) (trine,2')", "(Mean_Node,135.498,(r)) (H4,105.505,(c)) (30-semisextile,0')", "(Pluto,248.651,(r)) (H12,23.601,(d)) (135-sesquisquare,3')\n(H9,271.064,(r)) (Mercury,91.062,(c)) (opposition,0')", "(Saturn,42.946,(r)) (H9,252.938,(c)) (150-quincunx,0')", "(H4,122.943,(r)) (Moon,123.015,(c)) (conjunction,4')", "(Mars,205.640,(r)) (H12,25.574,(d)) (opposition,4')", "(H1,31.405,(r)) (Moon,166.356,(d)) (135-sesquisquare,3')", "(Venus,131.571,(r)) (H10,281.613,(c)) (150-quincunx,2')", '13', '14', 193]
['1999-06-18 00:55:28', "(Venus,131.577,(r)) (H1,41.536,(d)) (square,3')\n(Venus,131.577,(r)) (H7,221.536,(d)) (square,3')\n(Mars,205.641,(r)) (H1,25.602,(c)) (opposition,2')\n(Mars,205.641,(r)) (H7,205.602,(c)) (conjunction,2')", "(H7,213.605,(r)) (Moon,153.591,(d)) (sextile,1')", "(Moon,143.691,(r)) (H12,353.761,(c)) (150-quincunx,4')", "(H3,93.372,(r)) (Mercury,123.446,(d)) (30-semisextile,4')", '4', '5', "(Moon,143.691,(r)) (H4,143.830,(d)) (conjunction,8')\n(H4,125.380,(r)) (Uranus,335.345,(d)) (150-quincunx,2')\n(Uranus,316.504,(r)) (H3,76.549,(c)) (trine,3')", '7', "(Uranus,316.504,(r)) (H10,286.482,(c)) (30-semisextile,1')", '9', '10', '11', "(Jupiter,28.253,(r)) (H10,328.180,(d)) (sextile,4')", '13', '14', 170]
['1999-06-18 00:26:47', '0', "(H4,118.440,(r)) (Mercury,118.429,(d)) (conjunction,1')", '2', '3', "(Mean_Node,135.499,(r)) (H12,15.484,(d)) (trine,1')\n(Mean_Node,135.499,(r)) (H12,345.565,(c)) (150-quincunx,4')", "(Venus,131.559,(r)) (H10,281.560,(c)) (150-quincunx,0')\n(H10,298.440,(r)) (Mean_Node,118.286,(c)) (opposition,9')", "(Uranus,316.505,(r)) (H4,136.506,(d)) (opposition,0')", '7', "(Pluto,248.651,(r)) (H9,248.665,(c)) (conjunction,1')", '9', "(H9,266.777,(r)) (Pluto,266.875,(d)) (conjunction,6')", '11', '12', "(H3,86.777,(r)) (Mercury,86.718,(c)) (conjunction,4')", '14', 151]
