Row 1: {'time': '1999-06-18 00:41:44', 'p_a_conj': 1, 'p_a_maj': 5, 'p_a_allm': 6, 'p_a_min': 3, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 5, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 2, 'h_p_conj': 4, 'h_p_maj': 2, 'h_p_allm': 6, 'h_p_min': 4, 'mon_p_conj': 0, 'mon_p_maj': 7, 'mon_p_allm': 7, 'mon_p_min': 9, 'e': 0, 'all_conj': 6}
Row 2: {'time': '1999-06-18 00:49:43', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_allm': 3, 'p_a_min': 3, 'a_p_conj': 0, 'a_p_maj': 6, 'a_p_allm': 6, 'a_p_min': 5, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 3, 'h_p_maj': 5, 'h_p_allm': 8, 'h_p_min': 7, 'mon_p_conj': 0, 'mon_p_maj': 7, 'mon_p_allm': 7, 'mon_p_min': 10, 'e': 0, 'all_conj': 4}
Row 3: {'time': '1999-06-18 00:39:19', 'p_a_conj': 0, 'p_a_maj': 5, 'p_a_allm': 5, 'p_a_min': 2, 'a_p_conj': 2, 'a_p_maj': 5, 'a_p_allm': 7, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 6, 'mon_p_conj': 0, 'mon_p_maj': 7, 'mon_p_allm': 7, 'mon_p_min': 9, 'e': 1, 'all_conj': 3}
Row 4: {'time': '1999-06-18 00:23:04', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_allm': 4, 'p_a_min': 4, 'a_p_conj': 4, 'a_p_maj': 8, 'a_p_allm': 12, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 1, 'h_p_conj': 5, 'h_p_maj': 4, 'h_p_allm': 9, 'h_p_min': 5, 'mon_p_conj': 1, 'mon_p_maj': 7, 'mon_p_allm': 8, 'mon_p_min': 8, 'e': 1, 'all_conj': 11}
Row 5: {'time': '1999-06-18 00:21:52', 'p_a_conj': 1, 'p_a_maj': 4, 'p_a_allm': 5, 'p_a_min': 4, 'a_p_conj': 1, 'a_p_maj': 9, 'a_p_allm': 10, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 3, 'h_p_conj': 0, 'h_p_maj': 8, 'h_p_allm': 8, 'h_p_min': 6, 'mon_p_conj': 1, 'mon_p_maj': 7, 'mon_p_allm': 8, 'mon_p_min': 8, 'e': 1, 'all_conj': 3}
Row 6: {'time': '1999-06-18 00:33:12', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_allm': 3, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 6, 'a_p_allm': 8, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 1, 'h_p_conj': 2, 'h_p_maj': 4, 'h_p_allm': 6, 'h_p_min': 6, 'mon_p_conj': 0, 'mon_p_maj': 8, 'mon_p_allm': 8, 'mon_p_min': 9, 'e': 0, 'all_conj': 5}
Row 7: {'time': '1999-06-18 00:59:04', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 1, 'a_p_conj': 3, 'a_p_maj': 3, 'a_p_allm': 6, 'a_p_min': 6, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 2, 'h_p_conj': 0, 'h_p_maj': 4, 'h_p_allm': 4, 'h_p_min': 5, 'mon_p_conj': 0, 'mon_p_maj': 6, 'mon_p_allm': 6, 'mon_p_min': 10, 'e': 0, 'all_conj': 3}
Row 8: {'time': '1999-06-18 00:45:28', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 10, 'a_p_allm': 11, 'a_p_min': 5, 'p_h_conj': 0, 'p_h_maj': 4, 'p_h_allm': 4, 'p_h_min': 3, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 3, 'mon_p_conj': 0, 'mon_p_maj': 7, 'mon_p_allm': 7, 'mon_p_min': 10, 'e': 0, 'all_conj': 3}
Row 9: {'time': '1999-06-18 00:55:28', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_allm': 3, 'p_a_min': 1, 'a_p_conj': 3, 'a_p_maj': 4, 'a_p_allm': 7, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 3, 'h_p_allm': 3, 'h_p_min': 2, 'mon_p_conj': 0, 'mon_p_maj': 7, 'mon_p_allm': 7, 'mon_p_min': 10, 'e': 2, 'all_conj': 4}
Row 10: {'time': '1999-06-18 00:26:47', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_allm': 1, 'p_a_min': 4, 'a_p_conj': 2, 'a_p_maj': 9, 'a_p_allm': 11, 'a_p_min': 6, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_allm': 2, 'p_h_min': 0, 'h_p_conj': 4, 'h_p_maj': 5, 'h_p_allm': 9, 'h_p_min': 6, 'mon_p_conj': 0, 'mon_p_maj': 8, 'mon_p_allm': 8, 'mon_p_min': 9, 'e': 1, 'all_conj': 6}
Row 11: {'time': '1999-06-18 00:57:12', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_allm': 1, 'p_a_min': 2, 'a_p_conj': 2, 'a_p_maj': 4, 'a_p_allm': 6, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 4, 'h_p_allm': 4, 'h_p_min': 6, 'mon_p_conj': 0, 'mon_p_maj': 6, 'mon_p_allm': 6, 'mon_p_min': 10, 'e': 0, 'all_conj': 2}
