['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2013-12-12', '3: 2014-03-24', '4: 2015-05-27', '5: 2017-09-15', '6: 2018-02-19', '7: 2019-05-22', '8: 2019-08-13', '9: 2021-04-06', '10: 2021-07-10', '11: 2022-01-03', '12: 2022-05-25', '13: 2024-02-28', '14: 2024-03-08', 'Count']
['1999-06-18 00:41:44', '0', "(H4,122.038,(r)) (Uranus,271.350,(c)) (150-quincunx,41')\n(H7,210.582,(r)) (Uranus,271.350,(c)) (sextile,46')", "(H10,302.038,(r)) (Mars,182.362,(p)) (trine,19')\n(H1,30.582,(r)) (Mercury,255.330,(c)) (135-sesquisquare,15')\n(H10,302.038,(r)) (Moon,257.869,(c)) (45-semisquare,50')", "(H7,210.582,(r)) (Mean_Node,209.899,(p)) (conjunction,41')\n(H4,122.038,(r)) (Sun,168.004,(c)) (45-semisquare,58')\n(H4,122.038,(r)) (Mean_Node,61.102,(c)) (sextile,56')\n(H7,210.582,(r)) (Mercury,150.886,(c)) (sextile,18')\n(H7,210.582,(r)) (Pluto,210.391,(c)) (conjunction,11')\n(H7,210.582,(r)) (Mean_Node,61.102,(c)) (150-quincunx,31')", "(H1,30.582,(r)) (Saturn,241.307,(p)) (150-quincunx,44')\n(H4,122.038,(r)) (Saturn,241.307,(p)) (trine,44')\n(H1,30.582,(r)) (Venus,149.541,(c)) (trine,62')", "(H1,30.582,(r)) (Moon,166.641,(c)) (135-sesquisquare,64')\n(H1,30.582,(r)) (Mercury,331.529,(c)) (sextile,57')\n(H1,30.582,(r)) (Uranus,240.019,(c)) (150-quincunx,34')\n(H10,302.038,(r)) (Moon,166.641,(c)) (135-sesquisquare,24')\n(H10,302.038,(r)) (Mercury,331.529,(c)) (30-semisextile,31')", "(H4,122.038,(r)) (Mercury,332.406,(p)) (150-quincunx,22')\n(H7,210.582,(r)) (Sun,330.786,(p)) (trine,12')", "(H10,302.038,(r)) (Mercury,62.296,(p)) (trine,15')", "(H10,302.038,(r)) (Mercury,122.025,(p)) (opposition,1')\n(H10,302.038,(r)) (Neptune,348.039,(p)) (45-semisquare,60')", "(H4,122.038,(r)) (Moon,331.508,(c)) (150-quincunx,32')\n(H7,210.582,(r)) (Moon,331.508,(c)) (trine,56')\n(H7,210.582,(r)) (Venus,119.913,(c)) (square,40')", "(H1,30.582,(r)) (Neptune,255.068,(c)) (135-sesquisquare,31')", "(H1,30.582,(r)) (Mercury,301.618,(p)) (square,62')\n(H1,30.582,(r)) (Jupiter,331.039,(p)) (sextile,27')\n(H10,302.038,(r)) (Mercury,301.618,(p)) (conjunction,25')\n(H10,302.038,(r)) (Jupiter,331.039,(p)) (30-semisextile,60')", "(H10,302.038,(r)) (Jupiter,2.665,(p)) (sextile,38')\n(H10,302.038,(r)) (Uranus,213.034,(c)) (square,60')", "(H1,30.582,(r)) (Moon,60.763,(c)) (30-semisextile,11')", "(H10,302.038,(r)) (Sun,183.004,(c)) (trine,58')", 36]
['1999-06-18 00:49:43', '0', "(H4,123.981,(r)) (Mercury,348.165,(p)) (135-sesquisquare,49')\n(H4,123.981,(r)) (Pluto,273.230,(p)) (150-quincunx,45')\n(H7,212.344,(r)) (Mercury,348.165,(p)) (135-sesquisquare,49')\n(H7,212.344,(r)) (Pluto,273.230,(p)) (sextile,53')\n(H4,123.981,(r)) (Venus,213.555,(c)) (square,26')\n(H7,212.344,(r)) (Uranus,271.350,(c)) (sextile,60')", "(H1,32.344,(r)) (Mars,182.362,(p)) (150-quincunx,1')\n(H1,32.344,(r)) (Moon,258.024,(c)) (135-sesquisquare,41')\n(H10,303.981,(r)) (Moon,258.024,(c)) (45-semisquare,57')\n(H10,303.981,(r)) (Pluto,214.113,(c)) (square,8')", "(H4,123.981,(r)) (Sun,3.765,(p)) (trine,13')\n(H4,123.981,(r)) (Sun,168.014,(c)) (45-semisquare,58')\n(H4,123.981,(r)) (Jupiter,273.339,(c)) (150-quincunx,38')\n(H7,212.344,(r)) (Sun,168.014,(c)) (45-semisquare,40')\n(H7,212.344,(r)) (Jupiter,273.339,(c)) (sextile,60')", "(H1,32.344,(r)) (Saturn,241.307,(p)) (150-quincunx,62')\n(H4,123.981,(r)) (Moon,93.586,(c)) (30-semisextile,24')", "(H1,32.344,(r)) (Moon,166.778,(c)) (135-sesquisquare,34')\n(H1,32.344,(r)) (Mercury,331.541,(c)) (sextile,48')", "(H7,212.344,(r)) (Mercury,332.406,(p)) (trine,4')", "(H1,32.344,(r)) (Mercury,62.296,(p)) (30-semisextile,3')\n(H10,303.981,(r)) (Mars,94.109,(p)) (150-quincunx,8')\n(H10,303.981,(r)) (Uranus,34.177,(p)) (square,12')\n(H10,303.981,(r)) (Neptune,348.480,(p)) (45-semisquare,30')\n(H1,32.344,(r)) (Neptune,258.268,(c)) (135-sesquisquare,55')\n(H10,303.981,(r)) (Neptune,258.268,(c)) (45-semisquare,43')", "(H1,32.344,(r)) (Mercury,122.025,(p)) (square,19')\n(H1,32.344,(r)) (Neptune,348.039,(p)) (45-semisquare,42')\n(H10,303.981,(r)) (Neptune,348.039,(p)) (45-semisquare,57')\n(H10,303.981,(r)) (Mercury,4.565,(c)) (sextile,35')", "(H4,123.981,(r)) (Mercury,4.254,(p)) (trine,16')\n(H4,123.981,(r)) (Mars,79.741,(p)) (45-semisquare,46')\n(H4,123.981,(r)) (Mercury,169.037,(c)) (45-semisquare,3')\n(H7,212.344,(r)) (Moon,331.661,(c)) (trine,41')", '10', "(H1,32.344,(r)) (Mercury,301.618,(p)) (square,44')\n(H10,303.981,(r)) (Moon,349.193,(c)) (45-semisquare,13')\n(H10,303.981,(r)) (Mercury,259.709,(c)) (45-semisquare,44')", "(H1,32.344,(r)) (Jupiter,2.665,(p)) (30-semisextile,19')\n(H10,303.981,(r)) (Sun,64.272,(p)) (trine,17')\n(H1,32.344,(r)) (Uranus,213.034,(c)) (opposition,41')\n(H10,303.981,(r)) (Uranus,213.034,(c)) (square,57')", "(H4,123.981,(r)) (Venus,183.701,(c)) (sextile,17')", "(H10,303.981,(r)) (Sun,348.481,(p)) (45-semisquare,30')\n(H1,32.344,(r)) (Sun,183.014,(c)) (150-quincunx,40')\n(H10,303.981,(r)) (Sun,183.014,(c)) (trine,58')", 45]
['1999-06-18 00:39:19', '0', "(H7,210.052,(r)) (Sun,359.017,(p)) (150-quincunx,62')\n(H4,121.457,(r)) (Uranus,271.350,(c)) (150-quincunx,6')", "(H10,301.457,(r)) (Mars,182.362,(p)) (trine,54')\n(H1,30.052,(r)) (Mercury,255.332,(c)) (135-sesquisquare,17')", "(H7,210.052,(r)) (Mean_Node,209.899,(p)) (conjunction,9')\n(H4,121.457,(r)) (Mercury,150.884,(c)) (30-semisextile,34')\n(H4,121.457,(r)) (Pluto,210.391,(c)) (square,64')\n(H4,121.457,(r)) (Mean_Node,61.102,(c)) (sextile,21')\n(H7,210.052,(r)) (Mercury,150.884,(c)) (sextile,50')\n(H7,210.052,(r)) (Pluto,210.391,(c)) (conjunction,20')\n(H7,210.052,(r)) (Mean_Node,61.102,(c)) (150-quincunx,63')", "(H4,121.457,(r)) (Saturn,241.307,(p)) (trine,9')\n(H1,30.052,(r)) (Venus,149.539,(c)) (trine,31')", "(H1,30.052,(r)) (Uranus,240.019,(c)) (150-quincunx,2')\n(H10,301.457,(r)) (Moon,166.600,(c)) (135-sesquisquare,9')\n(H10,301.457,(r)) (Mercury,331.525,(c)) (30-semisextile,4')", "(H4,121.457,(r)) (Sun,330.786,(p)) (150-quincunx,40')\n(H4,121.457,(r)) (Mercury,332.406,(p)) (150-quincunx,57')\n(H7,210.052,(r)) (Sun,330.786,(p)) (trine,44')", "(H10,301.457,(r)) (Mercury,62.296,(p)) (trine,50')", "(H10,301.457,(r)) (Mercury,122.025,(p)) (opposition,34')", "(H4,121.457,(r)) (Moon,331.461,(c)) (150-quincunx,0')\n(H7,210.052,(r)) (Venus,119.909,(c)) (square,9')", "(H1,30.052,(r)) (Neptune,255.068,(c)) (135-sesquisquare,1')", "(H1,30.052,(r)) (Jupiter,331.039,(p)) (sextile,59')\n(H10,301.457,(r)) (Mercury,301.618,(p)) (conjunction,10')\n(H10,301.457,(r)) (Jupiter,331.039,(p)) (30-semisextile,25')", '12', "(H1,30.052,(r)) (Moon,60.719,(c)) (30-semisextile,40')\n(H4,121.457,(r)) (Moon,60.719,(c)) (sextile,44')", '14', 29]
['1999-06-18 00:23:04', "(H4,117.545,(r)) (Saturn,162.097,(p)) (45-semisquare,27')\n(H4,117.545,(r)) (Pluto,268.499,(p)) (150-quincunx,57')\n(H7,206.456,(r)) (Saturn,162.097,(p)) (45-semisquare,38')", '1', "(H1,26.456,(r)) (Moon,25.417,(p)) (conjunction,62')\n(H1,26.456,(r)) (Mercury,251.377,(p)) (135-sesquisquare,5')\n(H1,26.456,(r)) (Mars,327.138,(c)) (sextile,41')\n(H10,297.545,(r)) (Mars,327.138,(c)) (30-semisextile,24')", '3', "(H1,26.456,(r)) (Mars,70.789,(p)) (45-semisquare,40')\n(H1,26.456,(r)) (Neptune,267.335,(c)) (trine,53')\n(H1,26.456,(r)) (Pluto,206.712,(c)) (opposition,15')\n(H4,117.545,(r)) (Saturn,207.776,(c)) (square,14')\n(H4,117.545,(r)) (Neptune,267.335,(c)) (150-quincunx,13')\n(H4,117.545,(r)) (Pluto,206.712,(c)) (square,50')", "(H10,297.545,(r)) (Uranus,27.808,(p)) (square,16')", "(H7,206.456,(r)) (Venus,340.676,(p)) (135-sesquisquare,47')\n(H7,206.456,(r)) (Uranus,25.529,(p)) (opposition,56')\n(H4,117.545,(r)) (Jupiter,177.190,(c)) (sextile,21')\n(H7,206.456,(r)) (Jupiter,177.190,(c)) (30-semisextile,44')", "(H1,26.456,(r)) (Saturn,160.538,(c)) (135-sesquisquare,55')\n(H10,297.545,(r)) (Mars,72.986,(c)) (135-sesquisquare,26')", "(H1,26.456,(r)) (Mars,147.002,(p)) (trine,33')\n(H10,297.545,(r)) (Mars,147.002,(p)) (150-quincunx,33')", "(H4,117.545,(r)) (Pluto,296.698,(p)) (opposition,51')\n(H7,206.456,(r)) (Pluto,296.698,(p)) (square,15')\n(H4,117.545,(r)) (Mars,87.832,(c)) (30-semisextile,17')\n(H4,117.545,(r)) (Neptune,253.373,(c)) (135-sesquisquare,50')", "(H1,26.456,(r)) (Pluto,295.739,(p)) (square,43')\n(H10,297.545,(r)) (Mercury,88.129,(p)) (150-quincunx,35')", '11', "(H1,26.456,(r)) (Venus,26.357,(p)) (conjunction,6')", "(H1,26.456,(r)) (Uranus,207.117,(c)) (opposition,40')\n(H4,117.545,(r)) (Uranus,207.117,(c)) (square,26')\n(H4,117.545,(r)) (Mean_Node,253.228,(c)) (135-sesquisquare,41')", "(H1,26.456,(r)) (Mercury,356.922,(p)) (30-semisextile,28')\n(H1,26.456,(r)) (Venus,325.873,(p)) (sextile,35')\n(H10,297.545,(r)) (Mercury,356.922,(p)) (sextile,37')\n(H1,26.456,(r)) (Uranus,206.572,(c)) (opposition,7')\n(H10,297.545,(r)) (Mercury,208.236,(c)) (square,41')\n(H10,297.545,(r)) (Uranus,206.572,(c)) (square,58')", 38]
['1999-06-18 00:21:52', "(H4,117.258,(r)) (Saturn,162.097,(p)) (45-semisquare,10')\n(H7,206.190,(r)) (Saturn,162.097,(p)) (45-semisquare,54')", '1', "(H1,26.190,(r)) (Moon,25.417,(p)) (conjunction,46')\n(H1,26.190,(r)) (Mercury,251.377,(p)) (135-sesquisquare,11')\n(H10,297.258,(r)) (Mercury,251.377,(p)) (45-semisquare,53')\n(H1,26.190,(r)) (Mars,327.137,(c)) (sextile,57')\n(H10,297.258,(r)) (Mars,327.137,(c)) (30-semisextile,7')", '3', "(H1,26.190,(r)) (Moon,175.218,(p)) (150-quincunx,58')\n(H1,26.190,(r)) (Mars,70.789,(p)) (45-semisquare,24')\n(H1,26.190,(r)) (Pluto,206.712,(c)) (opposition,31')\n(H4,117.258,(r)) (Saturn,207.776,(c)) (square,31')\n(H4,117.258,(r)) (Neptune,267.336,(c)) (150-quincunx,5')\n(H4,117.258,(r)) (Pluto,206.712,(c)) (square,33')", "(H10,297.258,(r)) (Uranus,27.808,(p)) (square,33')", "(H7,206.190,(r)) (Venus,340.676,(p)) (135-sesquisquare,31')\n(H7,206.190,(r)) (Uranus,25.529,(p)) (opposition,40')\n(H4,117.258,(r)) (Jupiter,177.190,(c)) (sextile,4')\n(H7,206.190,(r)) (Jupiter,177.190,(c)) (30-semisextile,60')", "(H1,26.190,(r)) (Saturn,160.538,(c)) (135-sesquisquare,39')\n(H10,297.258,(r)) (Mars,72.985,(c)) (135-sesquisquare,44')", "(H1,26.190,(r)) (Mars,147.002,(p)) (trine,49')\n(H10,297.258,(r)) (Mars,147.002,(p)) (150-quincunx,15')", "(H4,117.258,(r)) (Pluto,296.698,(p)) (opposition,34')\n(H7,206.190,(r)) (Pluto,296.698,(p)) (square,30')\n(H4,117.258,(r)) (Mars,87.831,(c)) (30-semisextile,34')", "(H1,26.190,(r)) (Pluto,295.739,(p)) (square,27')\n(H10,297.258,(r)) (Mercury,88.129,(p)) (150-quincunx,52')", '11', "(H1,26.190,(r)) (Venus,26.357,(p)) (conjunction,10')\n(H10,297.258,(r)) (Venus,26.357,(p)) (square,54')", "(H1,26.190,(r)) (Uranus,207.117,(c)) (opposition,56')\n(H4,117.258,(r)) (Uranus,207.117,(c)) (square,8')\n(H4,117.258,(r)) (Mean_Node,253.228,(c)) (135-sesquisquare,58')", "(H1,26.190,(r)) (Mercury,356.922,(p)) (30-semisextile,44')\n(H1,26.190,(r)) (Venus,325.873,(p)) (sextile,19')\n(H10,297.258,(r)) (Mercury,356.922,(p)) (sextile,20')\n(H1,26.190,(r)) (Jupiter,340.293,(c)) (45-semisquare,54')\n(H1,26.190,(r)) (Uranus,206.572,(c)) (opposition,23')\n(H10,297.258,(r)) (Mercury,208.234,(c)) (square,59')\n(H10,297.258,(r)) (Uranus,206.572,(c)) (square,41')", 39]
['1999-06-18 00:33:12', "(H7,208.698,(r)) (Pluto,268.499,(p)) (sextile,12')", "(H4,119.978,(r)) (Sun,359.017,(p)) (trine,58')\n(H7,208.698,(r)) (Sun,359.017,(p)) (150-quincunx,19')", "(H10,299.978,(r)) (Mercury,255.336,(c)) (45-semisquare,22')", "(H4,119.978,(r)) (Mean_Node,209.899,(p)) (square,5')\n(H4,119.978,(r)) (Mercury,150.880,(c)) (30-semisextile,54')\n(H4,119.978,(r)) (Pluto,210.391,(c)) (square,25')", "(H1,28.698,(r)) (Venus,149.533,(c)) (trine,50')\n(H1,28.698,(r)) (Saturn,207.776,(c)) (opposition,55')\n(H4,119.978,(r)) (Venus,149.533,(c)) (30-semisextile,27')", "(H1,28.698,(r)) (Uranus,27.808,(p)) (conjunction,53')\n(H1,28.698,(r)) (Sun,358.844,(c)) (30-semisextile,9')\n(H10,299.978,(r)) (Uranus,240.019,(c)) (sextile,2')", "(H4,119.978,(r)) (Sun,330.786,(p)) (150-quincunx,49')", "(H1,28.698,(r)) (Mars,72.996,(c)) (45-semisquare,42')", '8', "(H7,208.698,(r)) (Mean_Node,73.801,(p)) (135-sesquisquare,6')\n(H4,119.978,(r)) (Venus,119.899,(c)) (conjunction,5')\n(H7,208.698,(r)) (Mars,87.841,(c)) (trine,51')\n(H7,208.698,(r)) (Neptune,253.374,(c)) (45-semisquare,19')", "(H1,28.698,(r)) (Mercury,88.129,(p)) (sextile,34')\n(H10,299.978,(r)) (Neptune,255.069,(c)) (45-semisquare,5')", "(H10,299.978,(r)) (Jupiter,331.039,(p)) (30-semisextile,64')", "(H1,28.698,(r)) (Mercury,58.652,(p)) (30-semisextile,3')", "(H1,28.698,(r)) (Mean_Node,253.227,(c)) (135-sesquisquare,28')\n(H4,119.978,(r)) (Moon,60.606,(c)) (sextile,38')", "(H1,28.698,(r)) (Mercury,208.252,(c)) (opposition,27')", 26]
['1999-06-18 00:59:04', "(H4,126.261,(r)) (Venus,187.219,(p)) (sextile,57')\n(H4,126.261,(r)) (Uranus,350.977,(p)) (135-sesquisquare,17')", "(H4,126.261,(r)) (Moon,277.234,(p)) (150-quincunx,58')\n(H4,126.261,(r)) (Mean_Node,306.859,(p)) (opposition,36')\n(H7,214.396,(r)) (Venus,213.570,(c)) (conjunction,50')", "(H1,34.396,(r)) (Pluto,214.113,(c)) (opposition,17')", "(H7,214.396,(r)) (Sun,3.765,(p)) (150-quincunx,38')\n(H4,126.261,(r)) (Moon,351.192,(c)) (135-sesquisquare,4')\n(H7,214.396,(r)) (Jupiter,273.340,(c)) (sextile,63')", "(H4,126.261,(r)) (Sun,65.897,(p)) (sextile,22')\n(H4,126.261,(r)) (Mean_Node,187.180,(p)) (sextile,55')\n(H1,34.396,(r)) (Moon,93.778,(c)) (sextile,37')\n(H4,126.261,(r)) (Mars,96.916,(c)) (30-semisextile,39')\n(H4,126.261,(r)) (Uranus,245.586,(c)) (trine,41')", "(H1,34.396,(r)) (Mercury,155.457,(p)) (trine,64')\n(H10,306.261,(r)) (Mercury,155.457,(p)) (150-quincunx,48')\n(H10,306.261,(r)) (Jupiter,186.343,(c)) (trine,5')", '6', "(H1,34.396,(r)) (Mars,94.109,(p)) (sextile,17')\n(H1,34.396,(r)) (Uranus,34.177,(p)) (conjunction,13')\n(H1,34.396,(r)) (Neptune,348.480,(p)) (45-semisquare,55')", "(H10,306.261,(r)) (Uranus,36.614,(p)) (square,21')\n(H1,34.396,(r)) (Mercury,4.579,(c)) (30-semisextile,11')\n(H1,34.396,(r)) (Neptune,260.253,(c)) (135-sesquisquare,51')\n(H10,306.261,(r)) (Saturn,157.328,(c)) (150-quincunx,64')\n(H10,306.261,(r)) (Neptune,260.253,(c)) (45-semisquare,60')", "(H4,126.261,(r)) (Neptune,351.613,(p)) (135-sesquisquare,21')\n(H7,214.396,(r)) (Mercury,4.254,(p)) (150-quincunx,9')\n(H7,214.396,(r)) (Mars,79.741,(p)) (135-sesquisquare,21')\n(H7,214.396,(r)) (Mercury,169.030,(c)) (45-semisquare,22')", '10', "(H1,34.396,(r)) (Moon,349.352,(c)) (45-semisquare,3')\n(H1,34.396,(r)) (Mercury,259.729,(c)) (135-sesquisquare,20')", "(H1,34.396,(r)) (Sun,64.272,(p)) (30-semisextile,7')\n(H10,306.261,(r)) (Moon,275.933,(c)) (30-semisextile,20')", "(H1,34.396,(r)) (Venus,183.717,(c)) (150-quincunx,41')\n(H4,126.261,(r)) (Mercury,217.172,(c)) (square,55')", "(H1,34.396,(r)) (Sun,348.481,(p)) (45-semisquare,55')", 36]
['1999-06-18 00:45:28', '0', "(H4,122.943,(r)) (Mercury,348.165,(p)) (135-sesquisquare,13')\n(H4,122.943,(r)) (Pluto,273.230,(p)) (150-quincunx,17')\n(H4,122.943,(r)) (Venus,213.548,(c)) (square,36')\n(H7,211.405,(r)) (Uranus,271.350,(c)) (sextile,3')", "(H1,31.405,(r)) (Mars,182.362,(p)) (150-quincunx,57')\n(H10,302.943,(r)) (Mars,182.362,(p)) (trine,35')\n(H1,31.405,(r)) (Mercury,255.327,(c)) (135-sesquisquare,65')\n(H10,302.943,(r)) (Moon,257.942,(c)) (45-semisquare,0')", "(H4,122.943,(r)) (Sun,3.765,(p)) (trine,49')\n(H4,122.943,(r)) (Sun,168.009,(c)) (45-semisquare,4')\n(H4,122.943,(r)) (Jupiter,273.339,(c)) (150-quincunx,24')\n(H7,211.405,(r)) (Mercury,150.889,(c)) (sextile,31')\n(H7,211.405,(r)) (Pluto,210.391,(c)) (conjunction,61')\n(H7,211.405,(r)) (Mean_Node,61.102,(c)) (150-quincunx,18')", "(H1,31.405,(r)) (Saturn,241.307,(p)) (150-quincunx,6')\n(H4,122.943,(r)) (Moon,93.498,(c)) (30-semisextile,33')", "(H1,31.405,(r)) (Moon,166.705,(c)) (135-sesquisquare,18')\n(H1,31.405,(r)) (Mercury,331.534,(c)) (sextile,8')", "(H4,122.943,(r)) (Mercury,332.406,(p)) (150-quincunx,32')\n(H7,211.405,(r)) (Sun,330.786,(p)) (trine,37')\n(H7,211.405,(r)) (Mercury,332.406,(p)) (trine,60')", "(H1,31.405,(r)) (Mercury,62.296,(p)) (30-semisextile,54')\n(H10,302.943,(r)) (Mercury,62.296,(p)) (trine,39')\n(H10,302.943,(r)) (Neptune,348.480,(p)) (45-semisquare,32')\n(H10,302.943,(r)) (Neptune,258.268,(c)) (45-semisquare,19')", "(H1,31.405,(r)) (Mercury,122.025,(p)) (square,37')\n(H10,302.943,(r)) (Mercury,122.025,(p)) (opposition,55')\n(H10,302.943,(r)) (Neptune,348.039,(p)) (45-semisquare,6')", "(H7,211.405,(r)) (Moon,331.579,(c)) (trine,10')", '10', "(H1,31.405,(r)) (Mercury,301.618,(p)) (square,13')\n(H1,31.405,(r)) (Jupiter,331.039,(p)) (sextile,22')", "(H10,302.943,(r)) (Jupiter,2.665,(p)) (sextile,17')\n(H10,302.943,(r)) (Uranus,213.034,(c)) (square,5')", "(H1,31.405,(r)) (Moon,60.831,(c)) (30-semisextile,34')\n(H4,122.943,(r)) (Venus,183.693,(c)) (sextile,45')", "(H10,302.943,(r)) (Sun,348.481,(p)) (45-semisquare,32')\n(H10,302.943,(r)) (Sun,183.009,(c)) (trine,4')", 37]
['1999-06-18 00:55:28', "(H4,125.380,(r)) (Uranus,350.977,(p)) (135-sesquisquare,36')", "(H7,213.605,(r)) (Mercury,348.165,(p)) (135-sesquisquare,26')\n(H7,213.605,(r)) (Pluto,273.230,(p)) (sextile,22')\n(H7,213.605,(r)) (Venus,213.565,(c)) (conjunction,2')", "(H1,33.605,(r)) (Moon,258.136,(c)) (135-sesquisquare,28')\n(H1,33.605,(r)) (Pluto,214.113,(c)) (opposition,30')", "(H7,213.605,(r)) (Sun,3.765,(p)) (150-quincunx,10')\n(H4,125.380,(r)) (Moon,351.132,(c)) (135-sesquisquare,45')\n(H7,213.605,(r)) (Sun,168.022,(c)) (45-semisquare,35')\n(H7,213.605,(r)) (Jupiter,273.340,(c)) (sextile,16')", "(H4,125.380,(r)) (Sun,65.897,(p)) (sextile,31')\n(H1,33.605,(r)) (Moon,93.704,(c)) (sextile,6')\n(H4,125.380,(r)) (Uranus,245.586,(c)) (trine,12')", "(H10,305.380,(r)) (Mercury,155.457,(p)) (150-quincunx,5')\n(H10,305.380,(r)) (Jupiter,186.344,(c)) (trine,58')", '6', "(H1,33.605,(r)) (Mars,94.109,(p)) (sextile,30')\n(H1,33.605,(r)) (Uranus,34.177,(p)) (conjunction,34')\n(H1,33.605,(r)) (Neptune,348.480,(p)) (45-semisquare,8')\n(H1,33.605,(r)) (Neptune,258.268,(c)) (135-sesquisquare,20')", "(H1,33.605,(r)) (Neptune,348.039,(p)) (45-semisquare,34')\n(H1,33.605,(r)) (Mercury,4.574,(c)) (30-semisextile,58')\n(H10,305.380,(r)) (Mercury,4.574,(c)) (sextile,48')\n(H10,305.380,(r)) (Neptune,260.253,(c)) (45-semisquare,8')", "(H4,125.380,(r)) (Mars,79.741,(p)) (45-semisquare,38')\n(H7,213.605,(r)) (Mercury,4.254,(p)) (150-quincunx,39')\n(H7,213.605,(r)) (Mercury,169.033,(c)) (45-semisquare,26')", '10', "(H1,33.605,(r)) (Moon,349.291,(c)) (45-semisquare,41')\n(H10,305.380,(r)) (Mercury,259.721,(c)) (45-semisquare,40')", "(H1,33.605,(r)) (Sun,64.272,(p)) (30-semisextile,40')\n(H1,33.605,(r)) (Jupiter,2.665,(p)) (30-semisextile,56')\n(H1,33.605,(r)) (Uranus,213.034,(c)) (opposition,34')\n(H10,305.380,(r)) (Moon,275.863,(c)) (30-semisextile,29')", "(H1,33.605,(r)) (Venus,183.711,(c)) (150-quincunx,6')", "(H1,33.605,(r)) (Sun,348.481,(p)) (45-semisquare,7')\n(H1,33.605,(r)) (Sun,183.022,(c)) (150-quincunx,35')", 35]
['1999-06-18 00:26:47', "(H4,118.440,(r)) (Pluto,268.499,(p)) (150-quincunx,4')\n(H7,207.282,(r)) (Saturn,162.097,(p)) (45-semisquare,11')", "(H4,118.440,(r)) (Sun,359.017,(p)) (trine,35')", "(H1,27.282,(r)) (Mercury,251.377,(p)) (135-sesquisquare,54')\n(H1,27.282,(r)) (Mars,327.142,(c)) (sextile,8')", '3', "(H1,27.282,(r)) (Saturn,207.776,(c)) (opposition,30')\n(H1,27.282,(r)) (Neptune,267.335,(c)) (trine,3')\n(H1,27.282,(r)) (Pluto,206.712,(c)) (opposition,34')\n(H4,118.440,(r)) (Saturn,207.776,(c)) (square,40')", "(H1,27.282,(r)) (Uranus,27.808,(p)) (conjunction,32')\n(H10,298.440,(r)) (Uranus,27.808,(p)) (square,38')\n(H10,298.440,(r)) (Sun,358.835,(c)) (sextile,24')", "(H7,207.282,(r)) (Jupiter,177.191,(c)) (30-semisextile,5')", "(H1,27.282,(r)) (Mars,72.989,(c)) (45-semisquare,42')\n(H10,298.440,(r)) (Mars,72.989,(c)) (135-sesquisquare,27')", "(H1,27.282,(r)) (Mars,147.002,(p)) (trine,17')", "(H4,118.440,(r)) (Mean_Node,73.801,(p)) (45-semisquare,22')\n(H7,207.282,(r)) (Pluto,296.698,(p)) (square,35')\n(H4,118.440,(r)) (Mars,87.835,(c)) (30-semisextile,36')\n(H4,118.440,(r)) (Neptune,253.374,(c)) (135-sesquisquare,4')\n(H7,207.282,(r)) (Mars,87.835,(c)) (trine,33')", "(H1,27.282,(r)) (Mercury,88.129,(p)) (sextile,51')\n(H10,298.440,(r)) (Mercury,88.129,(p)) (150-quincunx,19')", '11', "(H1,27.282,(r)) (Venus,26.357,(p)) (conjunction,56')\n(H10,298.440,(r)) (Mercury,58.652,(p)) (trine,13')", "(H1,27.282,(r)) (Uranus,207.118,(c)) (opposition,10')\n(H1,27.282,(r)) (Mean_Node,253.228,(c)) (135-sesquisquare,57')\n(H4,118.440,(r)) (Mean_Node,253.228,(c)) (135-sesquisquare,13')", "(H1,27.282,(r)) (Mercury,356.922,(p)) (30-semisextile,22')\n(H1,27.282,(r)) (Mercury,208.242,(c)) (opposition,58')\n(H1,27.282,(r)) (Uranus,206.572,(c)) (opposition,43')\n(H10,298.440,(r)) (Mercury,208.242,(c)) (square,12')", 32]
