Row 1: {'time': '1916-09-06 19:28:55', 'p_a_conj': 2, 'p_a_maj': 7, 'p_a_allm': 9, 'p_a_min': 17, 'p_h_conj': 0, 'p_h_maj': 9, 'p_h_allm': 9, 'p_h_min': 3, 'mon_p_conj': 5, 'mon_p_maj': 6, 'mon_p_allm': 11, 'mon_p_min': 8, 'e': 1, 'all_conj': 7}
Row 2: {'time': '1916-09-06 10:59:19', 'p_a_conj': 1, 'p_a_maj': 10, 'p_a_allm': 11, 'p_a_min': 12, 'p_h_conj': 2, 'p_h_maj': 3, 'p_h_allm': 5, 'p_h_min': 4, 'mon_p_conj': 3, 'mon_p_maj': 7, 'mon_p_allm': 10, 'mon_p_min': 4, 'e': 4, 'all_conj': 6}
Row 3: {'time': '1916-09-06 11:18:56', 'p_a_conj': 4, 'p_a_maj': 9, 'p_a_allm': 13, 'p_a_min': 15, 'p_h_conj': 3, 'p_h_maj': 9, 'p_h_allm': 12, 'p_h_min': 2, 'mon_p_conj': 2, 'mon_p_maj': 8, 'mon_p_allm': 10, 'mon_p_min': 6, 'e': 1, 'all_conj': 9}
Row 4: {'time': '1916-09-07 01:52:39', 'p_a_conj': 1, 'p_a_maj': 9, 'p_a_allm': 10, 'p_a_min': 10, 'p_h_conj': 1, 'p_h_maj': 4, 'p_h_allm': 5, 'p_h_min': 8, 'mon_p_conj': 1, 'mon_p_maj': 11, 'mon_p_allm': 12, 'mon_p_min': 7, 'e': 1, 'all_conj': 3}
Row 5: {'time': '1916-09-06 11:38:15', 'p_a_conj': 4, 'p_a_maj': 9, 'p_a_allm': 13, 'p_a_min': 19, 'p_h_conj': 1, 'p_h_maj': 5, 'p_h_allm': 6, 'p_h_min': 8, 'mon_p_conj': 2, 'mon_p_maj': 7, 'mon_p_allm': 9, 'mon_p_min': 7, 'e': 0, 'all_conj': 7}
Row 6: {'time': '1916-09-06 23:47:04', 'p_a_conj': 0, 'p_a_maj': 10, 'p_a_allm': 10, 'p_a_min': 13, 'p_h_conj': 5, 'p_h_maj': 1, 'p_h_allm': 6, 'p_h_min': 4, 'mon_p_conj': 3, 'mon_p_maj': 6, 'mon_p_allm': 9, 'mon_p_min': 13, 'e': 1, 'all_conj': 8}
Row 7: {'time': '1916-09-06 21:26:39', 'p_a_conj': 11, 'p_a_maj': 10, 'p_a_allm': 21, 'p_a_min': 8, 'p_h_conj': 2, 'p_h_maj': 4, 'p_h_allm': 6, 'p_h_min': 10, 'mon_p_conj': 1, 'mon_p_maj': 4, 'mon_p_allm': 5, 'mon_p_min': 11, 'e': 1, 'all_conj': 14}
Row 8: {'time': '1916-09-06 11:49:36', 'p_a_conj': 5, 'p_a_maj': 4, 'p_a_allm': 9, 'p_a_min': 14, 'p_h_conj': 0, 'p_h_maj': 6, 'p_h_allm': 6, 'p_h_min': 1, 'mon_p_conj': 3, 'mon_p_maj': 6, 'mon_p_allm': 9, 'mon_p_min': 7, 'e': 1, 'all_conj': 8}
Row 9: {'time': '1916-09-07 03:01:12', 'p_a_conj': 6, 'p_a_maj': 10, 'p_a_allm': 16, 'p_a_min': 16, 'p_h_conj': 0, 'p_h_maj': 7, 'p_h_allm': 7, 'p_h_min': 6, 'mon_p_conj': 1, 'mon_p_maj': 4, 'mon_p_allm': 5, 'mon_p_min': 9, 'e': 1, 'all_conj': 7}
Row 10: {'time': '1916-09-06 05:12:47', 'p_a_conj': 7, 'p_a_maj': 7, 'p_a_allm': 14, 'p_a_min': 10, 'p_h_conj': 1, 'p_h_maj': 5, 'p_h_allm': 6, 'p_h_min': 2, 'mon_p_conj': 3, 'mon_p_maj': 10, 'mon_p_allm': 13, 'mon_p_min': 2, 'e': 2, 'all_conj': 11}
Row 11: {'time': '1916-09-06 12:41:36', 'p_a_conj': 7, 'p_a_maj': 9, 'p_a_allm': 16, 'p_a_min': 11, 'p_h_conj': 0, 'p_h_maj': 6, 'p_h_allm': 6, 'p_h_min': 16, 'mon_p_conj': 4, 'mon_p_maj': 5, 'mon_p_allm': 9, 'mon_p_min': 7, 'e': 2, 'all_conj': 11}
Row 12: {'time': '1916-09-07 03:58:15', 'p_a_conj': 5, 'p_a_maj': 9, 'p_a_allm': 14, 'p_a_min': 6, 'p_h_conj': 1, 'p_h_maj': 5, 'p_h_allm': 6, 'p_h_min': 11, 'mon_p_conj': 4, 'mon_p_maj': 6, 'mon_p_allm': 10, 'mon_p_min': 8, 'e': 3, 'all_conj': 10}
Row 13: {'time': '1916-09-06 23:03:04', 'p_a_conj': 4, 'p_a_maj': 14, 'p_a_allm': 18, 'p_a_min': 24, 'p_h_conj': 3, 'p_h_maj': 5, 'p_h_allm': 8, 'p_h_min': 4, 'mon_p_conj': 3, 'mon_p_maj': 8, 'mon_p_allm': 11, 'mon_p_min': 10, 'e': 1, 'all_conj': 10}
Row 14: {'time': '1916-09-06 08:31:04', 'p_a_conj': 1, 'p_a_maj': 5, 'p_a_allm': 6, 'p_a_min': 19, 'p_h_conj': 4, 'p_h_maj': 0, 'p_h_allm': 4, 'p_h_min': 7, 'mon_p_conj': 2, 'mon_p_maj': 6, 'mon_p_allm': 8, 'mon_p_min': 4, 'e': 5, 'all_conj': 7}
