Row 1: {'time': '1916-09-06 19:28:55', 'p_a_conj': 11, 'p_a_maj': 19, 'p_a_allm': 30, 'p_a_min': 26, 'e': 0, 'all_conj': 11}
Row 2: {'time': '1916-09-06 10:59:19', 'p_a_conj': 7, 'p_a_maj': 20, 'p_a_allm': 27, 'p_a_min': 30, 'e': 2, 'all_conj': 7}
Row 3: {'time': '1916-09-06 11:18:56', 'p_a_conj': 13, 'p_a_maj': 22, 'p_a_allm': 35, 'p_a_min': 32, 'e': 2, 'all_conj': 13}
Row 4: {'time': '1916-09-07 01:52:39', 'p_a_conj': 3, 'p_a_maj': 21, 'p_a_allm': 24, 'p_a_min': 28, 'e': 1, 'all_conj': 3}
Row 5: {'time': '1916-09-06 11:38:15', 'p_a_conj': 7, 'p_a_maj': 18, 'p_a_allm': 25, 'p_a_min': 22, 'e': 1, 'all_conj': 7}
Row 6: {'time': '1916-09-06 23:47:04', 'p_a_conj': 7, 'p_a_maj': 15, 'p_a_allm': 22, 'p_a_min': 26, 'e': 2, 'all_conj': 7}
Row 7: {'time': '1916-09-06 21:26:39', 'p_a_conj': 10, 'p_a_maj': 20, 'p_a_allm': 30, 'p_a_min': 28, 'e': 0, 'all_conj': 10}
Row 8: {'time': '1916-09-06 11:49:36', 'p_a_conj': 7, 'p_a_maj': 14, 'p_a_allm': 21, 'p_a_min': 25, 'e': 4, 'all_conj': 7}
Row 9: {'time': '1916-09-07 03:01:12', 'p_a_conj': 11, 'p_a_maj': 27, 'p_a_allm': 38, 'p_a_min': 34, 'e': 0, 'all_conj': 11}
Row 10: {'time': '1916-09-06 05:12:47', 'p_a_conj': 5, 'p_a_maj': 26, 'p_a_allm': 31, 'p_a_min': 33, 'e': 0, 'all_conj': 5}
Row 11: {'time': '1916-09-06 12:41:36', 'p_a_conj': 6, 'p_a_maj': 25, 'p_a_allm': 31, 'p_a_min': 30, 'e': 2, 'all_conj': 6}
Row 12: {'time': '1916-09-07 03:58:15', 'p_a_conj': 2, 'p_a_maj': 12, 'p_a_allm': 14, 'p_a_min': 30, 'e': 2, 'all_conj': 2}
Row 13: {'time': '1916-09-06 23:03:04', 'p_a_conj': 3, 'p_a_maj': 21, 'p_a_allm': 24, 'p_a_min': 32, 'e': 3, 'all_conj': 3}
Row 14: {'time': '1916-09-06 08:31:04', 'p_a_conj': 3, 'p_a_maj': 31, 'p_a_allm': 34, 'p_a_min': 22, 'e': 1, 'all_conj': 3}
Row 15: {'time': '1916-09-07 00:59:43', 'p_a_conj': 7, 'p_a_maj': 30, 'p_a_allm': 37, 'p_a_min': 29, 'e': 0, 'all_conj': 7}
Row 16: {'time': '1916-09-06 13:32:07', 'p_a_conj': 1, 'p_a_maj': 19, 'p_a_allm': 20, 'p_a_min': 27, 'e': 2, 'all_conj': 1}
Row 17: {'time': '1916-09-06 07:27:43', 'p_a_conj': 8, 'p_a_maj': 21, 'p_a_allm': 29, 'p_a_min': 33, 'e': 1, 'all_conj': 8}
Row 18: {'time': '1916-09-06 23:15:44', 'p_a_conj': 11, 'p_a_maj': 22, 'p_a_allm': 33, 'p_a_min': 32, 'e': 1, 'all_conj': 11}
Row 19: {'time': '1916-09-06 13:34:39', 'p_a_conj': 5, 'p_a_maj': 25, 'p_a_allm': 30, 'p_a_min': 29, 'e': 0, 'all_conj': 5}
Row 20: {'time': '1916-09-07 03:11:12', 'p_a_conj': 8, 'p_a_maj': 16, 'p_a_allm': 24, 'p_a_min': 35, 'e': 0, 'all_conj': 8}
Row 21: {'time': '1916-09-06 23:34:39', 'p_a_conj': 8, 'p_a_maj': 20, 'p_a_allm': 28, 'p_a_min': 28, 'e': 0, 'all_conj': 8}
Row 22: {'time': '1916-09-06 13:02:47', 'p_a_conj': 12, 'p_a_maj': 27, 'p_a_allm': 39, 'p_a_min': 25, 'e': 2, 'all_conj': 12}
Row 23: {'time': '1916-09-06 07:14:39', 'p_a_conj': 3, 'p_a_maj': 18, 'p_a_allm': 21, 'p_a_min': 22, 'e': 6, 'all_conj': 3}
Row 24: {'time': '1916-09-06 21:10:15', 'p_a_conj': 7, 'p_a_maj': 25, 'p_a_allm': 32, 'p_a_min': 18, 'e': 0, 'all_conj': 7}
Row 25: {'time': '1916-09-06 14:51:52', 'p_a_conj': 8, 'p_a_maj': 27, 'p_a_allm': 35, 'p_a_min': 33, 'e': 3, 'all_conj': 8}
Row 26: {'time': '1916-09-06 15:13:51', 'p_a_conj': 5, 'p_a_maj': 23, 'p_a_allm': 28, 'p_a_min': 28, 'e': 1, 'all_conj': 5}
Row 27: {'time': '1916-09-06 05:57:52', 'p_a_conj': 5, 'p_a_maj': 19, 'p_a_allm': 24, 'p_a_min': 29, 'e': 0, 'all_conj': 5}
Row 28: {'time': '1916-09-07 03:03:43', 'p_a_conj': 8, 'p_a_maj': 25, 'p_a_allm': 33, 'p_a_min': 33, 'e': 0, 'all_conj': 8}
Row 29: {'time': '1916-09-06 14:59:28', 'p_a_conj': 9, 'p_a_maj': 26, 'p_a_allm': 35, 'p_a_min': 23, 'e': 4, 'all_conj': 9}
Row 30: {'time': '1916-09-06 05:24:47', 'p_a_conj': 8, 'p_a_maj': 20, 'p_a_allm': 28, 'p_a_min': 30, 'e': 1, 'all_conj': 8}
Row 31: {'time': '1916-09-06 21:33:44', 'p_a_conj': 4, 'p_a_maj': 14, 'p_a_allm': 18, 'p_a_min': 33, 'e': 0, 'all_conj': 4}
Row 32: {'time': '1916-09-07 03:00:00', 'p_a_conj': 12, 'p_a_maj': 28, 'p_a_allm': 40, 'p_a_min': 32, 'e': 0, 'all_conj': 12}
Row 33: {'time': '1916-09-06 12:40:16', 'p_a_conj': 6, 'p_a_maj': 22, 'p_a_allm': 28, 'p_a_min': 30, 'e': 2, 'all_conj': 6}
Row 34: {'time': '1916-09-06 13:28:55', 'p_a_conj': 5, 'p_a_maj': 24, 'p_a_allm': 29, 'p_a_min': 28, 'e': 1, 'all_conj': 5}
Row 35: {'time': '1916-09-06 12:09:04', 'p_a_conj': 6, 'p_a_maj': 27, 'p_a_allm': 33, 'p_a_min': 32, 'e': 1, 'all_conj': 6}
Row 36: {'time': '1916-09-06 15:06:32', 'p_a_conj': 9, 'p_a_maj': 26, 'p_a_allm': 35, 'p_a_min': 28, 'e': 2, 'all_conj': 9}
