['Time', '0: 1917-11-30', '1: 1927-06-30', '2: 1927-06-30', '3: 1930-07-20', '4: 1940-01-01', '5: 1941-12-07', '6: 1942-03-20', '7: 1943-06-25', '8: 1944-04-20', '9: 1948-02-07', '10: 1949-01-15', '11: 1949-12-04', '12: 1952-04-22', '13: 1954-01-18', '14: 1963-04-29', '15: 1974-08-21', '16: 1978-09-21', 'Count']
['1916-09-06 21:26:38', "(H4,67.840,(r)) (Moon,277.767,(d)) (150-quincunx,4')\n(H4,67.840,(r)) (Mercury,187.840,(c)) (trine,0')", "(Sun,163.922,(r)) (H1,343.972,(d)) (opposition,3')\n(H1,331.438,(r)) (Sun,151.539,(c)) (opposition,6')", "(Sun,163.922,(r)) (H1,343.972,(d)) (opposition,3')\n(H1,331.438,(r)) (Sun,151.539,(c)) (opposition,6')", '3', "(Mars,208.776,(r)) (H1,358.841,(d)) (150-quincunx,4')", '5', "(Moon,276.366,(r)) (H12,276.469,(c)) (conjunction,6')\n(Neptune,123.889,(r)) (H1,303.877,(c)) (opposition,1')", '7', "(H1,331.438,(r)) (Sun,196.348,(d)) (135-sesquisquare,5')", "(Moon,276.366,(r)) (H4,96.454,(d)) (opposition,5')\n(Venus,118.100,(r)) (H1,297.960,(c)) (opposition,8')\n(H1,331.438,(r)) (Jupiter,1.509,(c)) (30-semisextile,4')", "(H10,247.840,(r)) (Jupiter,67.961,(d)) (opposition,7')", "(Mercury,190.578,(r)) (H1,10.683,(d)) (opposition,6')\n(H1,331.438,(r)) (Venus,151.375,(d)) (opposition,4')\n(H4,67.840,(r)) (Sun,202.835,(d)) (135-sesquisquare,0')\n(H1,331.438,(r)) (Mercury,151.478,(c)) (opposition,2')", '12', '13', "(H4,67.840,(r)) (Sun,217.823,(d)) (150-quincunx,1')", "(H5,93.788,(r)) (Moon,333.696,(d)) (trine,6')", '16', 330]
['1916-09-06 07:27:42', '0', "(Moon,268.070,(r)) (H1,118.034,(c)) (150-quincunx,2')", "(Moon,268.070,(r)) (H1,118.034,(c)) (150-quincunx,2')", '3', '4', "(Mercury,189.945,(r)) (H3,159.940,(c)) (30-semisextile,0')", '6', "(Moon,268.070,(r)) (H5,223.054,(c)) (45-semisquare,1')", '8', "(Jupiter,35.171,(r)) (H4,185.212,(c)) (150-quincunx,2')\n(H4,218.126,(r)) (H5,218.297,(c)) (conjunction,10')", '10', "(H1,127.784,(r)) (Jupiter,67.860,(d)) (sextile,5')", '12', "(Sun,163.357,(r)) (H5,283.312,(d)) (trine,3')\n(H1,127.784,(r)) (Uranus,352.706,(d)) (135-sesquisquare,5')\n(Pluto,94.265,(r)) (H1,94.338,(c)) (conjunction,4')", "(H5,249.236,(r)) (Mars,159.214,(c)) (square,1')", '15', "(Mean_Node,296.549,(r)) (H1,71.608,(c)) (135-sesquisquare,3')", 138]
['1916-09-06 20:09:04', '0', "(Sun,163.870,(r)) (H1,298.831,(c)) (135-sesquisquare,2')", "(Saturn,116.869,(r)) (H8,176.807,(d)) (sextile,4')\n(H1,309.862,(r)) (Mars,219.911,(d)) (square,3')\n(Sun,163.870,(r)) (H1,298.831,(c)) (135-sesquisquare,2')\n(Mars,208.741,(r)) (H1,298.831,(c)) (square,5')", "(Jupiter,35.150,(r)) (H10,215.237,(c)) (opposition,5')", "(Uranus,316.699,(r)) (H1,286.686,(c)) (30-semisextile,1')", '5', '6', '7', "(Mercury,190.520,(r)) (H1,340.542,(d)) (150-quincunx,1')", "(Uranus,316.699,(r)) (H5,46.759,(c)) (square,4')\n(H1,309.862,(r)) (Sun,129.838,(c)) (opposition,1')", '10', "(Jupiter,35.150,(r)) (H4,80.238,(d)) (45-semisquare,5')", "(Jupiter,35.150,(r)) (H1,275.235,(c)) (trine,5')", "(Mercury,190.520,(r)) (H4,10.644,(c)) (opposition,7')", "(Sun,163.870,(r)) (H5,118.791,(d)) (45-semisquare,5')\n(Mars,208.741,(r)) (H5,118.791,(d)) (square,3')", "(H4,49.069,(r)) (H8,229.008,(d)) (opposition,4')\n(H7,129.862,(r)) (Mars,264.936,(d)) (135-sesquisquare,4')\n(H7,129.862,(r)) (H5,129.856,(d)) (conjunction,0')\n(H4,49.069,(r)) (H12,229.125,(c)) (opposition,3')\n(H7,129.862,(r)) (Neptune,69.945,(c)) (sextile,5')", "(Mean_Node,296.521,(r)) (H1,251.527,(c)) (45-semisquare,0')", 287]
['1916-09-06 10:19:04', '0', '1', '2', "(H1,168.843,(r)) (Jupiter,48.823,(d)) (trine,1')\n(H1,168.843,(r)) (Uranus,303.871,(c)) (135-sesquisquare,2')", "(H1,168.843,(r)) (Saturn,138.804,(d)) (30-semisextile,2')\n(Saturn,116.827,(r)) (H3,206.847,(c)) (square,1')\n(Mean_Node,296.543,(r)) (H1,146.510,(c)) (150-quincunx,2')", "(Sun,163.472,(r)) (H1,193.428,(d)) (30-semisextile,3')", "(Sun,163.472,(r)) (H3,253.432,(d)) (square,2')\n(Sun,163.472,(r)) (H12,163.596,(d)) (conjunction,7')\n(Mars,208.470,(r)) (H3,253.432,(d)) (45-semisquare,2')\n(H10,79.620,(r)) (Mercury,214.553,(d)) (135-sesquisquare,4')", '7', "(Moon,269.758,(r)) (H5,314.781,(d)) (45-semisquare,1')", '9', "(H10,79.620,(r)) (H9,79.615,(d)) (conjunction,0')", '11', "(Uranus,316.713,(r)) (H5,256.626,(c)) (sextile,5')", "(Sun,163.472,(r)) (H1,133.457,(c)) (30-semisextile,1')", "(H1,168.843,(r)) (Jupiter,78.917,(d)) (square,4')\n(H5,288.954,(r)) (Jupiter,78.917,(d)) (150-quincunx,2')\n(Jupiter,35.167,(r)) (H4,215.020,(c)) (opposition,9')", "(Mars,208.470,(r)) (H8,73.533,(d)) (135-sesquisquare,4')", "(H8,19.010,(r)) (H4,199.029,(c)) (opposition,1')", 235]
['1916-09-06 10:55:58', "(H3,238.588,(r)) (Venus,118.499,(d)) (trine,5')", '1', '2', '3', '4', '5', '6', '7', "(H5,297.572,(r)) (Mercury,162.486,(c)) (135-sesquisquare,5')", "(Venus,117.697,(r)) (H5,327.717,(d)) (150-quincunx,1')\n(Mars,208.487,(r)) (H1,208.366,(d)) (conjunction,7')\n(H4,268.131,(r)) (Mars,238.172,(d)) (30-semisextile,2')\n(H5,297.572,(r)) (Venus,147.492,(d)) (150-quincunx,5')\n(Venus,117.697,(r)) (H1,147.723,(c)) (30-semisextile,2')\n(H1,177.984,(r)) (Mean_Node,268.003,(c)) (square,1')\n(H4,268.131,(r)) (Mean_Node,268.003,(c)) (conjunction,8')", "(Venus,117.697,(r)) (H10,117.773,(d)) (conjunction,5')\n(H10,88.131,(r)) (H9,88.092,(d)) (conjunction,2')\n(H1,177.984,(r)) (Venus,87.959,(c)) (square,2')\n(H10,88.131,(r)) (Venus,87.959,(c)) (conjunction,10')", "(Moon,270.122,(r)) (H1,210.095,(d)) (sextile,2')", "(Mercury,190.103,(r)) (H4,235.196,(c)) (45-semisquare,6')", "(H1,177.984,(r)) (Jupiter,358.149,(c)) (opposition,10')\n(H4,268.131,(r)) (Jupiter,358.149,(c)) (square,1')", "(Sun,163.497,(r)) (H1,133.561,(c)) (30-semisextile,4')", "(Pluto,94.266,(r)) (H12,94.318,(c)) (conjunction,3')", "(Saturn,116.830,(r)) (H4,326.895,(d)) (150-quincunx,4')\n(H1,177.984,(r)) (Mean_Node,357.967,(d)) (opposition,1')\n(H8,28.258,(r)) (Saturn,178.271,(d)) (150-quincunx,1')\n(Mean_Node,296.542,(r)) (H8,326.590,(c)) (30-semisextile,3')", 331]
['1916-09-06 08:56:00', "(H7,328.576,(r)) (Venus,118.635,(d)) (150-quincunx,4')\n(Moon,268.940,(r)) (H4,238.897,(c)) (30-semisextile,3')", '1', '2', "(Uranus,316.715,(r)) (H10,46.685,(c)) (square,2')\n(H10,60.066,(r)) (Venus,104.977,(c)) (45-semisquare,5')", '4', "(H10,60.066,(r)) (Jupiter,59.900,(d)) (conjunction,10')\n(Jupiter,35.169,(r)) (H1,125.247,(c)) (square,5')\n(Jupiter,35.169,(r)) (H10,35.289,(c)) (conjunction,7')", '6', "(Jupiter,35.169,(r)) (H5,245.137,(c)) (150-quincunx,2')", "(Pluto,94.265,(r)) (H5,244.357,(c)) (150-quincunx,5')\n(H4,240.066,(r)) (Mars,180.021,(c)) (sextile,3')", "(Sun,163.416,(r)) (H5,298.410,(d)) (135-sesquisquare,0')\n(Moon,268.940,(r)) (H1,178.867,(d)) (square,4')\n(Moon,268.940,(r)) (H4,268.949,(d)) (conjunction,1')\n(Mars,208.432,(r)) (H5,298.410,(d)) (square,1')\n(Moon,268.940,(r)) (H4,208.959,(c)) (sextile,1')", "(Moon,268.940,(r)) (H1,118.847,(c)) (150-quincunx,6')\n(H1,148.576,(r)) (Moon,238.623,(c)) (square,3')", "(Moon,268.940,(r)) (H5,238.963,(c)) (30-semisextile,1')", "(H4,240.066,(r)) (Mean_Node,330.071,(d)) (square,0')", "(Pluto,94.265,(r)) (H4,274.328,(d)) (opposition,4')\n(Mercury,190.012,(r)) (H5,234.948,(c)) (45-semisquare,4')\n(H4,240.066,(r)) (Pluto,60.002,(c)) (opposition,4')", '14', "(H5,269.838,(r)) (Neptune,179.916,(d)) (square,5')", "(Sun,163.416,(r)) (H1,208.466,(d)) (45-semisquare,3')\n(Moon,268.940,(r)) (H12,179.016,(d)) (square,5')\n(Mars,208.432,(r)) (H1,208.466,(d)) (conjunction,2')\n(Saturn,116.821,(r)) (H4,296.989,(d)) (opposition,10')", 403]
['1916-09-06 03:52:47', "(H4,160.361,(r)) (Mean_Node,295.430,(c)) (135-sesquisquare,4')", '1', '2', "(Moon,265.958,(r)) (H10,325.951,(c)) (sextile,0')\n(H1,78.560,(r)) (Uranus,303.616,(c)) (135-sesquisquare,3')", "(Mercury,189.781,(r)) (H1,99.726,(d)) (square,3')\n(H10,340.361,(r)) (Uranus,340.312,(d)) (conjunction,3')", "(H10,340.361,(r)) (Sun,190.332,(d)) (150-quincunx,2')", '6', "(H10,340.361,(r)) (Pluto,70.413,(c)) (square,3')", "(Mercury,189.781,(r)) (H4,189.901,(d)) (conjunction,7')", "(Uranus,316.722,(r)) (H5,226.663,(d)) (square,4')", '10', '11', '12', '13', '14', "(Moon,265.958,(r)) (H5,130.882,(c)) (135-sesquisquare,5')", '16', 135]
['1916-09-06 20:46:16', "(H4,58.191,(r)) (Venus,118.121,(d)) (sextile,4')", '1', '2', "(H10,238.191,(r)) (Sun,148.263,(c)) (square,4')", "(Uranus,316.698,(r)) (H1,346.610,(d)) (30-semisextile,5')\n(H1,319.975,(r)) (Saturn,94.955,(c)) (135-sesquisquare,1')", "(H10,238.191,(r)) (Sun,193.208,(d)) (45-semisquare,1')", '6', "(H5,84.502,(r)) (Venus,144.489,(d)) (sextile,1')\n(H7,139.975,(r)) (Uranus,289.945,(c)) (150-quincunx,2')", "(H5,84.502,(r)) (Mercury,219.577,(d)) (135-sesquisquare,5')", "(H5,84.502,(r)) (Sun,129.562,(c)) (45-semisquare,4')", "(Venus,118.074,(r)) (H10,268.011,(d)) (150-quincunx,4')", "(Mars,208.758,(r)) (H4,88.810,(d)) (trine,3')", '12', "(Sun,163.895,(r)) (H5,118.968,(d)) (45-semisquare,4')", '14', "(H8,175.253,(r)) (Mars,265.258,(d)) (square,0')\n(Mars,208.758,(r)) (H4,358.708,(c)) (150-quincunx,3')\n(H8,175.253,(r)) (Mars,145.328,(c)) (30-semisextile,4')\n(H8,175.253,(r)) (Pluto,40.198,(c)) (135-sesquisquare,3')", "(Mean_Node,296.520,(r)) (H12,356.596,(d)) (sextile,5')\n(H4,58.191,(r)) (Neptune,193.164,(d)) (135-sesquisquare,2')", 172]
['1916-09-06 16:37:26', '0', "(Mean_Node,296.529,(r)) (H10,161.469,(c)) (135-sesquisquare,4')", "(Sun,163.727,(r)) (H8,118.761,(d)) (45-semisquare,2')\n(Mean_Node,296.529,(r)) (H4,341.469,(c)) (45-semisquare,4')", "(H1,258.845,(r)) (Jupiter,48.855,(d)) (150-quincunx,1')", "(H3,319.968,(r)) (Mean_Node,320.032,(d)) (conjunction,4')\n(Saturn,116.854,(r)) (H3,296.843,(c)) (opposition,1')\n(H3,319.968,(r)) (Saturn,95.047,(c)) (135-sesquisquare,5')", "(Mean_Node,296.529,(r)) (H10,146.439,(c)) (150-quincunx,5')", "(Sun,163.727,(r)) (H12,208.688,(c)) (45-semisquare,2')\n(Mars,208.644,(r)) (H12,208.688,(c)) (conjunction,3')", "(H5,24.630,(r)) (Mars,234.590,(d)) (150-quincunx,2')", "(H4,352.989,(r)) (Mercury,217.943,(d)) (135-sesquisquare,3')\n(H5,24.630,(r)) (Mean_Node,324.598,(d)) (sextile,2')", "(Mercury,190.361,(r)) (H5,55.328,(d)) (135-sesquisquare,2')\n(Mean_Node,296.529,(r)) (H4,26.450,(d)) (square,5')", '10', '11', '12', '13', "(H1,258.845,(r)) (Jupiter,78.990,(d)) (opposition,9')\n(Jupiter,35.156,(r)) (H4,305.232,(c)) (square,5')", "(H8,108.386,(r)) (Mean_Node,243.455,(c)) (135-sesquisquare,4')", '16', 215]
['1916-09-06 07:23:42', "(H4,217.097,(r)) (Jupiter,36.928,(d)) (opposition,10')\n(H7,306.861,(r)) (Jupiter,36.928,(d)) (square,4')", "(Uranus,316.717,(r)) (H1,136.754,(d)) (opposition,2')\n(H1,126.861,(r)) (Uranus,306.812,(c)) (opposition,3')", "(Uranus,316.717,(r)) (H1,136.754,(d)) (opposition,2')\n(Moon,268.031,(r)) (H12,88.138,(c)) (opposition,6')\n(H1,126.861,(r)) (Uranus,306.812,(c)) (opposition,3')", '3', "(Mars,208.389,(r)) (H1,148.433,(d)) (sextile,3')\n(Uranus,316.717,(r)) (H12,76.673,(c)) (trine,3')", "(H3,185.008,(r)) (Mercury,214.984,(d)) (30-semisextile,1')\n(H3,185.008,(r)) (Venus,95.027,(c)) (square,1')", "(H3,185.008,(r)) (Mean_Node,319.956,(d)) (135-sesquisquare,3')", '7', '8', "(H4,217.097,(r)) (H5,217.240,(c)) (conjunction,9')", "(H10,37.097,(r)) (Jupiter,67.064,(d)) (30-semisextile,2')\n(H9,5.008,(r)) (Neptune,94.919,(c)) (square,5')", "(Jupiter,35.171,(r)) (H5,215.336,(c)) (opposition,10')", "(H4,217.097,(r)) (Pluto,127.187,(d)) (square,5')", "(H4,217.097,(r)) (Sun,127.099,(c)) (square,0')", '14', "(Uranus,316.717,(r)) (H4,271.721,(d)) (45-semisquare,0')", '16', 314]
