Row 1: {'time': '2000-03-11 10:39:19', 'p_a_conj': 5, 'p_a_maj': 10, 'p_a_allm': 15, 'p_a_min': 28, 'e': 3, 'all_conj': 5}
Row 2: {'time': '2000-03-11 12:58:23', 'p_a_conj': 6, 'p_a_maj': 22, 'p_a_allm': 28, 'p_a_min': 25, 'e': 1, 'all_conj': 6}
Row 3: {'time': '2000-03-11 15:00:31', 'p_a_conj': 8, 'p_a_maj': 19, 'p_a_allm': 27, 'p_a_min': 35, 'e': 0, 'all_conj': 8}
Row 4: {'time': '2000-03-11 15:44:39', 'p_a_conj': 7, 'p_a_maj': 14, 'p_a_allm': 21, 'p_a_min': 33, 'e': 1, 'all_conj': 7}
Row 5: {'time': '2000-03-11 13:49:19', 'p_a_conj': 6, 'p_a_maj': 28, 'p_a_allm': 34, 'p_a_min': 29, 'e': 3, 'all_conj': 6}
Row 6: {'time': '2000-03-11 07:46:39', 'p_a_conj': 7, 'p_a_maj': 25, 'p_a_allm': 32, 'p_a_min': 30, 'e': 0, 'all_conj': 7}
Row 7: {'time': '2000-03-11 15:49:35', 'p_a_conj': 8, 'p_a_maj': 18, 'p_a_allm': 26, 'p_a_min': 28, 'e': 0, 'all_conj': 8}
Row 8: {'time': '2000-03-11 12:09:04', 'p_a_conj': 10, 'p_a_maj': 25, 'p_a_allm': 35, 'p_a_min': 30, 'e': 1, 'all_conj': 10}
Row 9: {'time': '2000-03-11 09:23:28', 'p_a_conj': 7, 'p_a_maj': 25, 'p_a_allm': 32, 'p_a_min': 28, 'e': 1, 'all_conj': 7}
Row 10: {'time': '2000-03-11 07:40:08', 'p_a_conj': 7, 'p_a_maj': 28, 'p_a_allm': 35, 'p_a_min': 40, 'e': 0, 'all_conj': 7}
Row 11: {'time': '2000-03-11 15:24:56', 'p_a_conj': 13, 'p_a_maj': 29, 'p_a_allm': 42, 'p_a_min': 31, 'e': 1, 'all_conj': 13}
Row 12: {'time': '2000-03-11 13:41:12', 'p_a_conj': 6, 'p_a_maj': 18, 'p_a_allm': 24, 'p_a_min': 21, 'e': 3, 'all_conj': 6}
Row 13: {'time': '2000-03-11 15:29:12', 'p_a_conj': 6, 'p_a_maj': 24, 'p_a_allm': 30, 'p_a_min': 31, 'e': 1, 'all_conj': 6}
Row 14: {'time': '2000-03-11 11:09:12', 'p_a_conj': 8, 'p_a_maj': 22, 'p_a_allm': 30, 'p_a_min': 26, 'e': 1, 'all_conj': 8}
Row 15: {'time': '2000-03-11 09:44:31', 'p_a_conj': 11, 'p_a_maj': 15, 'p_a_allm': 26, 'p_a_min': 30, 'e': 2, 'all_conj': 11}
Row 16: {'time': '2000-03-11 09:21:04', 'p_a_conj': 5, 'p_a_maj': 21, 'p_a_allm': 26, 'p_a_min': 26, 'e': 2, 'all_conj': 5}
Row 17: {'time': '2000-03-11 08:49:51', 'p_a_conj': 6, 'p_a_maj': 28, 'p_a_allm': 34, 'p_a_min': 29, 'e': 0, 'all_conj': 6}
Row 18: {'time': '2000-03-11 11:27:51', 'p_a_conj': 8, 'p_a_maj': 24, 'p_a_allm': 32, 'p_a_min': 30, 'e': 1, 'all_conj': 8}
Row 19: {'time': '2000-03-11 10:15:35', 'p_a_conj': 8, 'p_a_maj': 30, 'p_a_allm': 38, 'p_a_min': 28, 'e': 1, 'all_conj': 8}
Row 20: {'time': '2000-03-11 06:31:28', 'p_a_conj': 10, 'p_a_maj': 32, 'p_a_allm': 42, 'p_a_min': 29, 'e': 0, 'all_conj': 10}
Row 21: {'time': '2000-03-11 11:28:56', 'p_a_conj': 7, 'p_a_maj': 23, 'p_a_allm': 30, 'p_a_min': 30, 'e': 1, 'all_conj': 7}
Row 22: {'time': '2000-03-11 13:18:56', 'p_a_conj': 3, 'p_a_maj': 26, 'p_a_allm': 29, 'p_a_min': 24, 'e': 4, 'all_conj': 3}
Row 23: {'time': '2000-03-11 08:16:23', 'p_a_conj': 6, 'p_a_maj': 19, 'p_a_allm': 25, 'p_a_min': 26, 'e': 2, 'all_conj': 6}
Row 24: {'time': '2000-03-11 11:36:00', 'p_a_conj': 9, 'p_a_maj': 17, 'p_a_allm': 26, 'p_a_min': 28, 'e': 2, 'all_conj': 9}
Row 25: {'time': '2000-03-11 15:11:04', 'p_a_conj': 4, 'p_a_maj': 23, 'p_a_allm': 27, 'p_a_min': 35, 'e': 0, 'all_conj': 4}
Row 26: {'time': '2000-03-11 07:37:11', 'p_a_conj': 7, 'p_a_maj': 23, 'p_a_allm': 30, 'p_a_min': 36, 'e': 0, 'all_conj': 7}
Row 27: {'time': '2000-03-11 06:06:56', 'p_a_conj': 6, 'p_a_maj': 21, 'p_a_allm': 27, 'p_a_min': 25, 'e': 2, 'all_conj': 6}
Row 28: {'time': '2000-03-11 14:26:56', 'p_a_conj': 7, 'p_a_maj': 18, 'p_a_allm': 25, 'p_a_min': 31, 'e': 1, 'all_conj': 7}
Row 29: {'time': '2000-03-11 15:26:56', 'p_a_conj': 8, 'p_a_maj': 26, 'p_a_allm': 34, 'p_a_min': 29, 'e': 1, 'all_conj': 8}
Row 30: {'time': '2000-03-11 13:37:03', 'p_a_conj': 8, 'p_a_maj': 17, 'p_a_allm': 25, 'p_a_min': 25, 'e': 4, 'all_conj': 8}
Row 31: {'time': '2000-03-11 14:42:56', 'p_a_conj': 9, 'p_a_maj': 20, 'p_a_allm': 29, 'p_a_min': 33, 'e': 0, 'all_conj': 9}
Row 32: {'time': '2000-03-11 10:03:43', 'p_a_conj': 8, 'p_a_maj': 22, 'p_a_allm': 30, 'p_a_min': 25, 'e': 0, 'all_conj': 8}
Row 33: {'time': '2000-03-11 10:27:27', 'p_a_conj': 11, 'p_a_maj': 15, 'p_a_allm': 26, 'p_a_min': 29, 'e': 1, 'all_conj': 11}
Row 34: {'time': '2000-03-11 07:13:27', 'p_a_conj': 5, 'p_a_maj': 24, 'p_a_allm': 29, 'p_a_min': 32, 'e': 1, 'all_conj': 5}
Row 35: {'time': '2000-03-11 06:30:16', 'p_a_conj': 11, 'p_a_maj': 30, 'p_a_allm': 41, 'p_a_min': 28, 'e': 0, 'all_conj': 11}
Row 36: {'time': '2000-03-11 10:21:59', 'p_a_conj': 9, 'p_a_maj': 27, 'p_a_allm': 36, 'p_a_min': 35, 'e': 1, 'all_conj': 9}
Row 37: {'time': '2000-03-11 12:29:20', 'p_a_conj': 9, 'p_a_maj': 26, 'p_a_allm': 35, 'p_a_min': 30, 'e': 1, 'all_conj': 9}
Row 38: {'time': '2000-03-11 15:51:20', 'p_a_conj': 8, 'p_a_maj': 22, 'p_a_allm': 30, 'p_a_min': 29, 'e': 1, 'all_conj': 8}
Row 39: {'time': '2000-03-11 11:26:47', 'p_a_conj': 8, 'p_a_maj': 25, 'p_a_allm': 33, 'p_a_min': 30, 'e': 1, 'all_conj': 8}
Row 40: {'time': '2000-03-11 07:49:19', 'p_a_conj': 6, 'p_a_maj': 20, 'p_a_allm': 26, 'p_a_min': 28, 'e': 2, 'all_conj': 6}
