['Time', '0: 2008-09-05', '1: 2009-01-14', '2: 2009-03-19', '3: 2012-03-06', '4: 2012-11-14', '5: 2012-12-12', '6: 2013-12-12', '7: 2014-03-24', '8: 2015-05-27', '9: 2016-05-26', '10: 2017-09-15', '11: 2017-09-22', '12: 2018-02-19', '13: 2019-05-22', '14: 2019-08-13', '15: 2021-04-06', '16: 2021-07-10', '17: 2022-01-03', '18: 2022-05-25', '19: 2024-02-28', '20: 2024-03-08', 'Count']
['2000-03-11 10:39:18', "(H4,177.024,(r)) (Neptune,296.999,(c)) (trine,1')", '1', "(H3,142.578,(r)) (Mercury,322.613,(c)) (opposition,2')", "(Moon,57.019,(r)) (H1,87.062,(d)) (30-semisextile,3')", '4', "(H9,322.578,(r)) (Jupiter,22.651,(c)) (sextile,4')", "(H3,142.578,(r)) (Mars,7.587,(c)) (135-sesquisquare,1')", "(Moon,57.019,(r)) (H4,192.072,(d)) (135-sesquisquare,3')", "(Saturn,43.334,(r)) (H4,193.325,(d)) (150-quincunx,1')\n(Uranus,318.705,(r)) (H8,273.791,(c)) (45-semisquare,5')\n(H4,177.024,(r)) (Venus,311.988,(c)) (135-sesquisquare,2')", "(H10,357.024,(r)) (Moon,42.104,(c)) (45-semisquare,5')", '10', '11', '12', "(H1,76.531,(r)) (Neptune,286.622,(c)) (150-quincunx,6')\n(H10,357.024,(r)) (Mercury,312.065,(c)) (45-semisquare,2')", "(Mars,21.409,(r)) (H10,336.365,(c)) (45-semisquare,3')", "(H4,177.024,(r)) (Mars,42.077,(d)) (135-sesquisquare,3')", '16', '17', "(H10,357.024,(r)) (Mercury,357.052,(d)) (conjunction,2')\n(Mercury,333.394,(r)) (H10,333.462,(c)) (conjunction,4')\n(Venus,327.480,(r)) (H1,57.565,(c)) (square,5')", "(H4,177.024,(r)) (Jupiter,57.059,(d)) (trine,2')\n(H4,177.024,(r)) (Mean_Node,147.103,(d)) (30-semisextile,5')", "(H10,357.024,(r)) (Jupiter,57.081,(d)) (sextile,3')", 246]
['2000-03-11 12:58:22', "(Pluto,252.898,(r)) (H4,222.947,(d)) (30-semisextile,3')\n(H1,109.052,(r)) (Pluto,259.140,(d)) (150-quincunx,5')\n(H7,289.052,(r)) (Pluto,259.140,(d)) (30-semisextile,5')\n(H1,109.052,(r)) (Pluto,244.020,(c)) (135-sesquisquare,2')\n(H7,289.052,(r)) (Pluto,244.020,(c)) (45-semisquare,2')", "(Saturn,43.343,(r)) (H4,223.303,(d)) (opposition,2')\n(H4,214.393,(r)) (Pluto,259.460,(d)) (45-semisquare,4')", "(Moon,58.372,(r)) (H7,298.325,(d)) (trine,3')\n(Pluto,252.898,(r)) (H3,192.891,(d)) (sextile,0')", "(Mean_Node,121.332,(r)) (H1,121.497,(d)) (conjunction,10')\n(Uranus,318.710,(r)) (H9,348.666,(c)) (30-semisextile,3')\n(H1,109.052,(r)) (Mean_Node,109.052,(c)) (conjunction,0')\n(H9,2.499,(r)) (Moon,47.549,(c)) (45-semisquare,3')", "(Sun,351.262,(r)) (H10,21.247,(c)) (30-semisextile,1')", '5', "(Mercury,333.359,(r)) (H1,123.420,(d)) (150-quincunx,4')\n(Mercury,333.359,(r)) (H3,198.290,(d)) (135-sesquisquare,4')", "(H7,289.052,(r)) (Jupiter,49.081,(d)) (trine,2')\n(Mean_Node,121.332,(r)) (H3,166.319,(c)) (45-semisquare,1')", '8', "(H8,325.523,(r)) (Sun,10.430,(d)) (45-semisquare,6')", '10', '11', '12', '13', '14', '15', "(H1,109.052,(r)) (Saturn,64.123,(d)) (45-semisquare,4')\n(Neptune,305.690,(r)) (H12,65.687,(c)) (trine,0')", '17', '18', '19', "(Mercury,333.359,(r)) (H6,243.350,(c)) (square,1')", 230]
['2000-03-11 15:00:30', "(Saturn,43.352,(r)) (H1,133.378,(c)) (square,2')\n(Saturn,43.352,(r)) (H7,313.378,(c)) (square,2')", "(Pluto,252.898,(r)) (H4,252.903,(d)) (conjunction,0')\n(Pluto,252.898,(r)) (H1,132.961,(c)) (trine,4')\n(Pluto,252.898,(r)) (H7,312.961,(c)) (sextile,4')", "(Pluto,252.898,(r)) (H4,253.064,(d)) (conjunction,10')", '3', "(Mean_Node,121.327,(r)) (H10,76.415,(d)) (45-semisquare,5')", "(H10,64.705,(r)) (Uranus,304.747,(c)) (trine,3')", "(H3,217.440,(r)) (Mars,37.338,(d)) (opposition,6')\n(Mars,21.544,(r)) (H10,51.613,(c)) (30-semisextile,4')", "(Sun,351.347,(r)) (H4,231.342,(c)) (trine,0')\n(H4,244.705,(r)) (Jupiter,19.703,(c)) (135-sesquisquare,0')", "(Uranus,318.714,(r)) (H4,258.723,(d)) (sextile,1')\n(Neptune,305.692,(r)) (H1,125.734,(c)) (opposition,3')\n(H8,3.490,(r)) (Mars,3.599,(c)) (conjunction,7')", "(Saturn,43.352,(r)) (H8,343.302,(c)) (sextile,3')", '10', '11', "(H3,217.440,(r)) (Venus,307.484,(c)) (square,3')", '13', "(Uranus,318.714,(r)) (H1,168.806,(d)) (150-quincunx,6')\n(H1,143.557,(r)) (Saturn,23.556,(c)) (trine,0')", '15', "(Mercury,333.330,(r)) (H12,93.277,(c)) (trine,3')", '17', "(H10,64.705,(r)) (Sun,19.691,(d)) (45-semisquare,1')\n(Venus,327.704,(r)) (H9,12.705,(c)) (45-semisquare,0')", '19', "(Uranus,318.714,(r)) (H6,318.871,(d)) (conjunction,9')", 348]
['2000-03-11 15:49:34', "(H1,159.522,(r)) (Moon,69.563,(d)) (square,2')\n(H1,159.522,(r)) (Venus,339.465,(d)) (opposition,3')\n(H7,339.522,(r)) (Moon,69.563,(d)) (square,2')\n(H7,339.522,(r)) (Venus,339.465,(d)) (conjunction,3')", '1', "(Venus,327.746,(r)) (H7,327.869,(c)) (conjunction,7')\n(H7,339.522,(r)) (Sun,339.578,(c)) (conjunction,3')", '3', "(Venus,327.746,(r)) (H10,87.747,(d)) (trine,0')", "(Venus,327.746,(r)) (H10,87.816,(d)) (trine,4')", '6', "(H3,230.516,(r)) (Jupiter,50.629,(d)) (opposition,7')\n(H4,256.233,(r)) (Mean_Node,136.224,(d)) (trine,0')\n(Mercury,333.318,(r)) (H4,243.249,(c)) (square,4')", "(Moon,60.039,(r)) (H1,180.053,(d)) (trine,1')\n(Moon,60.039,(r)) (H4,270.035,(d)) (150-quincunx,0')\n(H1,159.522,(r)) (Mars,39.493,(d)) (trine,2')\n(Moon,60.039,(r)) (H8,0.073,(c)) (sextile,2')\n(H4,256.233,(r)) (Mean_Node,106.296,(c)) (150-quincunx,4')", "(Mean_Node,121.325,(r)) (H1,181.417,(d)) (sextile,6')", "(Moon,60.039,(r)) (H10,59.968,(c)) (conjunction,4')", "(Mercury,333.318,(r)) (H1,183.225,(d)) (150-quincunx,6')", "(Uranus,318.716,(r)) (H7,3.786,(d)) (45-semisquare,4')\n(H3,230.516,(r)) (Mean_Node,140.569,(d)) (square,3')", "(Uranus,318.716,(r)) (H10,93.641,(d)) (135-sesquisquare,5')\n(H10,76.233,(r)) (Neptune,286.287,(c)) (150-quincunx,3')", '14', '15', "(H10,76.233,(r)) (Mars,46.297,(d)) (30-semisextile,4')\n(Pluto,252.898,(r)) (H1,132.955,(c)) (trine,3')", '17', "(H1,159.522,(r)) (Jupiter,9.613,(c)) (150-quincunx,5')", "(H4,256.233,(r)) (Venus,301.162,(c)) (45-semisquare,4')", "(Mercury,333.318,(r)) (H6,333.365,(d)) (conjunction,3')", 403]
['2000-03-11 09:23:28', '0', "(Venus,327.415,(r)) (H4,147.335,(c)) (opposition,5')\n(Pluto,252.897,(r)) (H12,27.961,(c)) (135-sesquisquare,4')", '2', '3', '4', '5', '6', "(H4,156.503,(r)) (Sun,336.670,(c)) (opposition,10')", "(Pluto,252.897,(r)) (H1,73.009,(d)) (opposition,7')", "(Sun,351.113,(r)) (H12,21.161,(c)) (30-semisextile,3')", "(Uranus,318.702,(r)) (H10,318.559,(c)) (conjunction,9')", "(Uranus,318.702,(r)) (H10,318.540,(c)) (conjunction,10')", "(Sun,351.113,(r)) (H3,141.135,(d)) (150-quincunx,1')\n(H3,122.636,(r)) (Sun,332.706,(c)) (150-quincunx,4')", "(H1,60.038,(r)) (Saturn,60.017,(d)) (conjunction,1')\n(Mercury,333.413,(r)) (H12,18.385,(c)) (45-semisquare,2')", "(H1,60.038,(r)) (Saturn,60.215,(d)) (conjunction,11')\n(H9,302.636,(r)) (Mars,2.594,(c)) (sextile,3')", "(H4,156.503,(r)) (Venus,306.561,(c)) (150-quincunx,3')", "(H1,60.038,(r)) (Neptune,285.011,(c)) (135-sesquisquare,2')", "(Uranus,318.702,(r)) (H1,78.722,(d)) (trine,1')\n(H10,336.503,(r)) (Moon,36.454,(c)) (sextile,3')", '18', '19', "(Venus,327.415,(r)) (H6,237.478,(d)) (square,4')", 277]
['2000-03-11 15:24:56', '0', "(Pluto,252.898,(r)) (H1,162.941,(d)) (square,3')\n(Pluto,252.898,(r)) (H7,342.941,(d)) (square,3')", "(Uranus,318.715,(r)) (H4,258.743,(d)) (sextile,2')\n(H4,250.475,(r)) (Venus,340.407,(d)) (square,4')", "(Sun,351.364,(r)) (H10,81.440,(d)) (square,5')", '4', '5', "(H3,224.029,(r)) (Moon,74.003,(d)) (150-quincunx,2')", '7', "(Sun,351.364,(r)) (H1,171.510,(d)) (opposition,9')\n(Moon,59.799,(r)) (H8,29.714,(d)) (30-semisextile,5')\n(Mars,21.557,(r)) (H1,171.510,(d)) (150-quincunx,3')\n(H8,11.234,(r)) (Sun,11.202,(d)) (conjunction,2')\n(Moon,59.799,(r)) (H12,104.767,(c)) (45-semisquare,2')\n(H4,250.475,(r)) (Venus,310.530,(c)) (sextile,3')", '9', "(H3,224.029,(r)) (Mean_Node,103.982,(c)) (trine,3')", "(Uranus,318.715,(r)) (H12,138.591,(d)) (opposition,7')\n(H10,70.475,(r)) (Saturn,25.469,(c)) (45-semisquare,0')", '12', "(Mercury,333.324,(r)) (H9,63.389,(d)) (square,4')\n(H1,151.365,(r)) (Pluto,271.369,(d)) (trine,0')", "(H9,44.029,(r)) (Mars,43.864,(d)) (conjunction,10')", '15', "(Neptune,305.693,(r)) (H1,125.832,(c)) (opposition,8')\n(H9,44.029,(r)) (Neptune,284.074,(c)) (trine,3')", "(H10,70.475,(r)) (Jupiter,10.437,(c)) (sextile,2')", "(Jupiter,34.777,(r)) (H1,124.864,(c)) (square,5')", '19', '20', 336]
['2000-03-11 08:49:51', "(Mars,21.353,(r)) (H4,156.438,(d)) (135-sesquisquare,5')\n(H4,147.639,(r)) (Uranus,327.685,(d)) (opposition,3')", "(Uranus,318.701,(r)) (H4,138.677,(c)) (opposition,1')\n(H1,52.781,(r)) (Mean_Node,112.796,(c)) (sextile,1')\n(H7,232.781,(r)) (Mean_Node,112.796,(c)) (trine,1')", '2', "(Sun,351.090,(r)) (H9,306.076,(d)) (45-semisquare,1')", "(Venus,327.386,(r)) (H9,282.298,(c)) (45-semisquare,5')", '5', '6', "(Jupiter,34.721,(r)) (H7,244.698,(d)) (150-quincunx,1')\n(Moon,55.954,(r)) (H3,101.044,(c)) (45-semisquare,5')", "(Neptune,305.685,(r)) (H1,65.698,(d)) (trine,1')", "(Pluto,252.897,(r)) (H12,42.959,(d)) (150-quincunx,4')", '10', "(H10,327.639,(r)) (Saturn,27.644,(c)) (sextile,0')", "(Mean_Node,121.341,(r)) (H4,166.431,(d)) (45-semisquare,5')\n(H3,114.271,(r)) (Pluto,234.341,(c)) (trine,4')", "(H1,52.781,(r)) (Mercury,352.769,(d)) (sextile,1')", "(H9,294.271,(r)) (Uranus,339.251,(d)) (45-semisquare,1')", "(H1,52.781,(r)) (Mean_Node,142.837,(d)) (square,3')\n(H7,232.781,(r)) (Mean_Node,142.837,(d)) (square,3')", "(H10,327.639,(r)) (Neptune,327.562,(d)) (conjunction,5')\n(H9,294.271,(r)) (Saturn,24.258,(c)) (square,1')", '17', "(Sun,351.090,(r)) (H10,350.980,(d)) (conjunction,7')\n(H9,294.271,(r)) (Jupiter,54.362,(d)) (trine,5')", '19', '20', 305]
['2000-03-11 07:41:20', "(Uranus,318.699,(r)) (H4,138.585,(d)) (opposition,7')", "(Uranus,318.699,(r)) (H12,3.751,(c)) (45-semisquare,3')\n(H4,130.204,(r)) (Uranus,310.261,(c)) (opposition,3')", "(H4,130.204,(r)) (Mean_Node,130.130,(d)) (conjunction,4')\n(Mean_Node,121.343,(r)) (H4,121.518,(c)) (conjunction,11')\n(H4,130.204,(r)) (Uranus,310.092,(c)) (opposition,7')", '3', "(Uranus,318.699,(r)) (H1,48.744,(d)) (square,3')", '5', '6', "(Sun,351.042,(r)) (H3,111.022,(d)) (trine,1')", "(Moon,55.288,(r)) (H4,145.372,(d)) (square,5')", "(Mars,21.317,(r)) (H8,261.336,(d)) (trine,1')\n(H8,247.063,(r)) (Sun,6.992,(d)) (trine,4')\n(H10,310.204,(r)) (Pluto,265.194,(d)) (45-semisquare,1')", '10', '11', "(H4,130.204,(r)) (Venus,310.154,(c)) (opposition,3')", "(Mars,21.317,(r)) (H1,21.239,(c)) (conjunction,5')", '14', "(Mean_Node,121.343,(r)) (H4,151.395,(d)) (30-semisextile,3')\n(H4,130.204,(r)) (Mars,40.241,(d)) (square,2')\n(H4,130.204,(r)) (Uranus,340.221,(d)) (150-quincunx,1')", "(Uranus,318.699,(r)) (H9,258.638,(c)) (sextile,4')", '17', '18', "(Mean_Node,121.343,(r)) (H3,76.272,(c)) (45-semisquare,4')", '20', 301]
['2000-03-11 08:26:22', "(H1,47.704,(r)) (Pluto,257.653,(d)) (150-quincunx,3')\n(H7,227.704,(r)) (Pluto,257.653,(d)) (30-semisextile,3')", '1', "(H3,108.578,(r)) (Venus,318.652,(c)) (150-quincunx,4')", '3', '4', "(Jupiter,34.718,(r)) (H10,334.662,(d)) (sextile,3')", '6', '7', '8', "(Neptune,305.684,(r)) (H10,305.603,(c)) (conjunction,5')", "(H3,108.578,(r)) (Sun,333.631,(c)) (135-sesquisquare,3')", '11', "(Sun,351.074,(r)) (H3,126.065,(d)) (135-sesquisquare,1')\n(H3,108.578,(r)) (Jupiter,18.571,(c)) (square,0')", '13', '14', "(Saturn,43.325,(r)) (H4,163.411,(d)) (trine,5')\n(Neptune,305.684,(r)) (H1,65.607,(d)) (trine,5')\n(Neptune,305.684,(r)) (H7,245.607,(d)) (sextile,5')", "(H10,321.568,(r)) (Pluto,231.592,(c)) (square,1')", '17', '18', '19', "(H6,202.728,(r)) (Venus,352.637,(d)) (150-quincunx,5')", 169]
['2000-03-11 10:25:50', "(Mars,21.402,(r)) (H1,66.310,(c)) (45-semisquare,6')\n(Mars,21.402,(r)) (H7,246.310,(c)) (135-sesquisquare,6')\n(H4,173.348,(r)) (Mercury,323.287,(c)) (150-quincunx,4')", '1', '2', "(Mercury,333.398,(r)) (H1,63.333,(c)) (square,4')", "(H9,318.923,(r)) (Mercury,318.911,(c)) (conjunction,1')\n(H9,318.923,(r)) (Mean_Node,108.871,(c)) (150-quincunx,3')", "(H9,318.923,(r)) (Neptune,319.014,(d)) (conjunction,5')\n(Neptune,305.687,(r)) (H9,305.747,(c)) (conjunction,4')\n(H9,318.923,(r)) (Mercury,318.832,(c)) (conjunction,6')", '6', '7', "(Moon,56.888,(r)) (H1,86.881,(d)) (30-semisextile,0')\n(H8,284.782,(r)) (Venus,344.703,(d)) (sextile,5')", "(H10,353.348,(r)) (Pluto,263.322,(d)) (square,2')\n(Neptune,305.687,(r)) (H12,35.733,(c)) (square,3')", "(Jupiter,34.735,(r)) (H10,334.780,(c)) (sextile,3')", '11', "(H7,253.574,(r)) (Mercury,313.506,(c)) (sextile,4')", '13', '14', "(Mean_Node,121.337,(r)) (H12,31.301,(c)) (square,2')", '16', '17', "(H1,73.574,(r)) (Uranus,343.534,(d)) (square,2')\n(H1,73.574,(r)) (Jupiter,13.588,(c)) (sextile,1')", '19', '20', 262]
