Row 1: {'time': '2014-03-24 00:07:28', 'p_a_conj': 2, 'p_a_maj': 1, 'p_a_allm': 3, 'p_a_min': 7, 'e': 0, 'all_conj': 2}
Row 2: {'time': '2014-03-24 01:54:07', 'p_a_conj': 6, 'p_a_maj': 6, 'p_a_allm': 12, 'p_a_min': 9, 'e': 0, 'all_conj': 6}
Row 3: {'time': '2014-03-24 00:54:56', 'p_a_conj': 1, 'p_a_maj': 7, 'p_a_allm': 8, 'p_a_min': 4, 'e': 0, 'all_conj': 1}
Row 4: {'time': '2014-03-24 01:01:51', 'p_a_conj': 4, 'p_a_maj': 7, 'p_a_allm': 11, 'p_a_min': 7, 'e': 0, 'all_conj': 4}
Row 5: {'time': '2014-03-24 01:09:59', 'p_a_conj': 0, 'p_a_maj': 9, 'p_a_allm': 9, 'p_a_min': 7, 'e': 1, 'all_conj': 0}
Row 6: {'time': '2014-03-24 00:01:43', 'p_a_conj': 2, 'p_a_maj': 4, 'p_a_allm': 6, 'p_a_min': 12, 'e': 0, 'all_conj': 2}
Row 7: {'time': '2014-03-24 01:19:28', 'p_a_conj': 1, 'p_a_maj': 4, 'p_a_allm': 5, 'p_a_min': 8, 'e': 0, 'all_conj': 1}
Row 8: {'time': '2014-03-24 01:13:03', 'p_a_conj': 0, 'p_a_maj': 10, 'p_a_allm': 10, 'p_a_min': 11, 'e': 0, 'all_conj': 0}
Row 9: {'time': '2014-03-24 00:57:59', 'p_a_conj': 2, 'p_a_maj': 9, 'p_a_allm': 11, 'p_a_min': 4, 'e': 0, 'all_conj': 2}
Row 10: {'time': '2014-03-24 00:24:23', 'p_a_conj': 3, 'p_a_maj': 4, 'p_a_allm': 7, 'p_a_min': 8, 'e': 0, 'all_conj': 3}
Row 11: {'time': '2014-03-24 00:03:35', 'p_a_conj': 2, 'p_a_maj': 3, 'p_a_allm': 5, 'p_a_min': 8, 'e': 0, 'all_conj': 2}
Row 12: {'time': '2014-03-24 01:46:31', 'p_a_conj': 2, 'p_a_maj': 13, 'p_a_allm': 15, 'p_a_min': 8, 'e': 0, 'all_conj': 2}
Row 13: {'time': '2014-03-24 01:07:59', 'p_a_conj': 2, 'p_a_maj': 6, 'p_a_allm': 8, 'p_a_min': 7, 'e': 1, 'all_conj': 2}
Row 14: {'time': '2014-03-24 01:42:47', 'p_a_conj': 2, 'p_a_maj': 8, 'p_a_allm': 10, 'p_a_min': 7, 'e': 0, 'all_conj': 2}
Row 15: {'time': '2014-03-24 01:14:55', 'p_a_conj': 0, 'p_a_maj': 10, 'p_a_allm': 10, 'p_a_min': 11, 'e': 0, 'all_conj': 0}
Row 16: {'time': '2014-03-24 01:16:23', 'p_a_conj': 0, 'p_a_maj': 7, 'p_a_allm': 7, 'p_a_min': 10, 'e': 0, 'all_conj': 0}
Row 17: {'time': '2014-03-24 01:51:20', 'p_a_conj': 5, 'p_a_maj': 10, 'p_a_allm': 15, 'p_a_min': 9, 'e': 0, 'all_conj': 5}
Row 18: {'time': '2014-03-24 00:19:04', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_allm': 4, 'p_a_min': 12, 'e': 0, 'all_conj': 1}
Row 19: {'time': '2014-03-24 01:06:56', 'p_a_conj': 2, 'p_a_maj': 7, 'p_a_allm': 9, 'p_a_min': 8, 'e': 0, 'all_conj': 2}
Row 20: {'time': '2014-03-24 00:31:20', 'p_a_conj': 4, 'p_a_maj': 6, 'p_a_allm': 10, 'p_a_min': 7, 'e': 0, 'all_conj': 4}
Row 21: {'time': '2014-03-24 00:20:23', 'p_a_conj': 2, 'p_a_maj': 4, 'p_a_allm': 6, 'p_a_min': 14, 'e': 0, 'all_conj': 2}
Row 22: {'time': '2014-03-24 01:04:15', 'p_a_conj': 4, 'p_a_maj': 6, 'p_a_allm': 10, 'p_a_min': 6, 'e': 0, 'all_conj': 4}
Row 23: {'time': '2014-03-24 01:56:15', 'p_a_conj': 4, 'p_a_maj': 7, 'p_a_allm': 11, 'p_a_min': 7, 'e': 0, 'all_conj': 4}
Row 24: {'time': '2014-03-24 01:37:19', 'p_a_conj': 4, 'p_a_maj': 6, 'p_a_allm': 10, 'p_a_min': 9, 'e': 0, 'all_conj': 4}
Row 25: {'time': '2014-03-24 01:41:12', 'p_a_conj': 4, 'p_a_maj': 8, 'p_a_allm': 12, 'p_a_min': 9, 'e': 0, 'all_conj': 4}
Row 26: {'time': '2014-03-24 00:43:36', 'p_a_conj': 1, 'p_a_maj': 6, 'p_a_allm': 7, 'p_a_min': 16, 'e': 0, 'all_conj': 1}
Row 27: {'time': '2014-03-24 01:21:28', 'p_a_conj': 1, 'p_a_maj': 4, 'p_a_allm': 5, 'p_a_min': 6, 'e': 0, 'all_conj': 1}
Row 28: {'time': '2014-03-24 01:59:11', 'p_a_conj': 3, 'p_a_maj': 7, 'p_a_allm': 10, 'p_a_min': 8, 'e': 0, 'all_conj': 3}
Row 29: {'time': '2014-03-24 01:38:31', 'p_a_conj': 4, 'p_a_maj': 6, 'p_a_allm': 10, 'p_a_min': 10, 'e': 0, 'all_conj': 4}
Row 30: {'time': '2014-03-24 01:25:11', 'p_a_conj': 1, 'p_a_maj': 7, 'p_a_allm': 8, 'p_a_min': 5, 'e': 2, 'all_conj': 1}
Row 31: {'time': '2014-03-24 01:58:07', 'p_a_conj': 3, 'p_a_maj': 7, 'p_a_allm': 10, 'p_a_min': 9, 'e': 0, 'all_conj': 3}
Row 32: {'time': '2014-03-24 01:27:59', 'p_a_conj': 1, 'p_a_maj': 6, 'p_a_allm': 7, 'p_a_min': 6, 'e': 1, 'all_conj': 1}
Row 33: {'time': '2014-03-24 01:39:51', 'p_a_conj': 3, 'p_a_maj': 8, 'p_a_allm': 11, 'p_a_min': 8, 'e': 0, 'all_conj': 3}
Row 34: {'time': '2014-03-24 00:22:23', 'p_a_conj': 2, 'p_a_maj': 3, 'p_a_allm': 5, 'p_a_min': 13, 'e': 1, 'all_conj': 2}
Row 35: {'time': '2014-03-24 00:37:27', 'p_a_conj': 2, 'p_a_maj': 9, 'p_a_allm': 11, 'p_a_min': 9, 'e': 1, 'all_conj': 2}
Row 36: {'time': '2014-03-24 00:15:19', 'p_a_conj': 3, 'p_a_maj': 6, 'p_a_allm': 9, 'p_a_min': 11, 'e': 0, 'all_conj': 3}
Row 37: {'time': '2014-03-24 01:31:43', 'p_a_conj': 2, 'p_a_maj': 4, 'p_a_allm': 6, 'p_a_min': 6, 'e': 1, 'all_conj': 2}
Row 38: {'time': '2014-03-24 00:45:04', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_allm': 3, 'p_a_min': 15, 'e': 0, 'all_conj': 1}
Row 39: {'time': '2014-03-24 00:41:12', 'p_a_conj': 1, 'p_a_maj': 5, 'p_a_allm': 6, 'p_a_min': 9, 'e': 0, 'all_conj': 1}
Row 40: {'time': '2014-03-24 01:49:43', 'p_a_conj': 4, 'p_a_maj': 10, 'p_a_allm': 14, 'p_a_min': 6, 'e': 0, 'all_conj': 4}
Row 41: {'time': '2014-03-24 01:29:44', 'p_a_conj': 2, 'p_a_maj': 4, 'p_a_allm': 6, 'p_a_min': 4, 'e': 2, 'all_conj': 2}
Row 42: {'time': '2014-03-24 01:47:59', 'p_a_conj': 4, 'p_a_maj': 12, 'p_a_allm': 16, 'p_a_min': 6, 'e': 0, 'all_conj': 4}
Row 43: {'time': '2014-03-24 00:35:51', 'p_a_conj': 2, 'p_a_maj': 7, 'p_a_allm': 9, 'p_a_min': 8, 'e': 1, 'all_conj': 2}
